Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Vasyl Ivanchuk,162.1,0.22,3.09,5,3,160.6,0.03,2632,2711,239,3,2,2.29,7.96,0.32,2.07,0.24,0.39,-0.02,158.87,166.95,1.5,1.5,1.12,63.31,0.17,0.18,0.43,0.1,4.3
Erigaisi Arjun,160.99,0.33,1.41,7,5.5,160.7,0.3,2797,2812,276,3,4,5.38,2.27,0.35,13.31,0.19,0.56,0.15,159.53,162.07,2.5,3,2.29,5.14,0.17,0.02,0.12,0.12,177.21
Maxim Rodshtein,160.6,0.31,7.31,7,5.5,159.5,0.22,2613,2714,290,4,3,7.65,2.75,0.27,5.28,0.16,0.38,0.21,161.12,159.9,3.5,2,2.14,7.54,0.1,0.02,0.15,0.07,27.86
Ahmad Ahmadzada,160.46,0.29,4.34,7,5,160.8,0.2,2523,2594,382,4,3,5.04,2.35,0.35,2.84,0.15,0.23,0.38,161.5,159.07,3,2,2.04,5.53,0.17,0.02,0.13,0.13,8.05
Felix-Antonio Ilinca,160.4,0.21,5.36,7,6.5,159.1,0.12,2419,2828,232,3,4,3.45,3.01,0.27,4.9,0.15,0.22,0.2,160.1,160.62,2.5,4,1.47,9.08,0.08,0.03,0.16,0.07,24.05
Javokhir Sindarov,159.39,0.28,6.09,7,6,158.9,0.08,2668,2737,280,3,4,4.88,3.3,0.36,3.98,0.1,0.57,0.06,157.6,160.72,2.5,3.5,1.93,10.88,0.07,0.03,0.18,0.13,15.85
Nihal Sarin,159.08,0.36,7.38,6,4.5,159.95,0.29,2668,2761,287,3,3,5.08,5.67,0.29,5.67,0.08,0.46,0.27,158.77,159.4,2.5,2,2.18,32.18,0.13,0.09,0.31,0.08,32.11
Jergus Pechac,159.02,0.45,9.79,5,3.5,161,0.51,2582,2766,246,2,3,12.89,6.5,0.41,7.76,0.08,0.63,0.33,160.1,158.3,2,1.5,2.25,42.24,0.18,0.12,0.35,0.17,60.28
Shakhriyar Mamedyarov,158.95,0.49,9.01,6,5,159.5,0.42,2733,2798,244,4,2,8.57,3.53,0.55,7.11,0.08,0.44,0.59,159.98,156.9,3.5,1.5,2.93,12.45,0.1,0.04,0.19,0.3,50.49
Emre Can,158.87,0.39,34.67,6,5,158.65,0.45,2551,2707,254,2,4,9.93,1.15,0.21,61.37,0.07,0.32,0.42,159.7,158.45,2,3,2.33,1.32,0.06,0,0.06,0.04,3766.4
Ori Kobo,158.81,0.47,8.42,7,5.5,158.5,0.44,2525,2681,382,4,3,6.6,1.27,0.29,5.57,0.07,0.58,0.31,158.18,159.67,3,2.5,3.26,1.61,0.05,0,0.07,0.08,31.08
Ediz Gurel,158.37,0.45,40.62,7,5.5,158.1,0.44,2625,2622,330,4,3,5.53,3.47,0.38,92.07,0.04,0.64,0.21,157.57,159.43,3,2.5,3.17,12.03,0.03,0.03,0.19,0.14,8477.74
Isik Can,158.25,0.32,7.82,4,3,158,0.34,2507,2492,199,2,2,7.65,2.47,0.22,5.52,0.04,0.48,0.15,156.75,159.75,1.5,1.5,1.26,6.08,0.02,0.02,0.13,0.05,30.48
Pentala Harikrishna,158.22,0.35,6.6,6,3.5,159.95,0.24,2688,2660,316,2,4,6.46,8.89,0.36,2.96,0.04,0.3,0.37,159,157.82,1,2.5,2.08,79.07,0.13,0.23,0.48,0.13,8.74
Liviu-Dieter Nisipeanu,157.89,0.38,6.32,7,4.5,158.5,0.29,2584,2545,302,4,3,5.22,4.8,0.43,3.63,0.01,0.48,0.25,156.93,159.17,2.5,2,2.64,23.06,0.05,0.07,0.26,0.18,13.19
Chithambaram VR. Aravindh,157.47,0.5,10.44,6,4.5,159.55,0.32,2698,2776,209,3,3,7.7,10.65,0.53,7.95,-0.01,0.52,0.49,159.13,155.8,2,2.5,3.01,113.32,0.11,0.33,0.58,0.28,63.14
Maxime Lagarde,157.41,0.48,6.62,7,5.5,158.8,0.42,2595,2654,295,4,3,6.43,6.17,0.49,4.68,-0.01,0.28,0.75,159.32,154.87,3,2.5,3.37,38.09,0.07,0.11,0.33,0.24,21.88
Arseniy Nesterov,157,0.31,34.27,7,4,159.6,0.28,2601,2566,303,4,3,5.8,9,0.2,70.64,-0.03,0.32,0.28,160.55,152.27,3,1,2.14,81.03,0.11,0.24,0.49,0.04,4989.35
Ivan Saric,156.78,0.36,10.87,6,4,159.2,0.32,2673,2593,230,3,3,8.96,6.71,0.19,9.24,-0.04,0.5,0.22,154.67,158.9,2,2,2.18,44.96,0.09,0.13,0.36,0.04,85.35
Nikita Petrov,156.6,0.19,60.81,4,2,161.75,0.12,2589,2548,147,3,1,7.32,11.26,0.23,111.6,-0.05,0.22,0.12,155.27,160.6,1,1,0.77,126.73,0.22,0.37,0.61,0.05,12454.23
Lucas Van Foreest,156.02,0.18,6.78,4,1.5,159.55,0.06,2522,2462,130,3,1,3.72,9.21,0.29,7.45,-0.08,0.23,0.05,154.67,160.1,1,0.5,0.73,84.78,0.11,0.25,0.5,0.08,55.58
Gergely Antal,155.64,0.33,68.11,5,2.5,157.8,0.51,2545,2401,328,2,3,17.91,6.83,0.31,95.16,-0.11,0.24,0.38,158.75,153.57,1.5,1,1.63,46.64,0.01,0.13,0.37,0.09,9055.17
