Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Francois Godart,165.8,0.48,3.8,1.0,1.0,165.8,0.48,2377.0,2937.0,50.0,1.0,0.0,3.8,0.0,0.0,0.0,0.44,0.48,,165.8,,1.0,0.0,0.48,0.0,0.44,0.0,0.0,0.0,0.0
Evgeny Romanov,164.4,0.04,3.15,1.0,0.5,164.4,0.04,2580.0,2729.0,34.0,1.0,0.0,3.15,0.0,0.0,0.0,0.37,0.04,,164.4,,0.5,0.0,0.04,0.0,0.37,0.0,0.0,0.0,0.0
Ilia Smirin,164.25,0.24,4.65,2.0,2.0,164.25,0.24,2563.0,2914.0,71.0,2.0,0.0,4.65,2.9,0.18,4.41,0.36,0.24,,164.25,,2.0,0.0,0.48,8.41,0.36,0.02,0.16,0.03,19.47
Vignir Vatnar Stefansson,163.1,0.02,2.06,1.0,0.5,163.1,0.02,2541.0,2658.0,31.0,1.0,0.0,2.06,0.0,0.0,0.0,0.3,0.02,,163.1,,0.5,0.0,0.02,0.0,0.3,0.0,0.0,0.0,0.0
Vasyl Ivanchuk,162.1,0.22,3.09,5.0,3.0,160.6,0.03,2632.0,2711.0,239.0,3.0,2.0,2.29,7.96,0.32,2.07,0.24,0.39,-0.02,158.87,166.95,1.5,1.5,1.12,63.31,0.17,0.18,0.43,0.1,4.3
Nikolaos Galopoulos,162.05,0.26,6.74,2.0,1.5,162.05,0.26,2399.0,2803.0,98.0,2.0,0.0,6.74,4.88,0.2,0.73,0.24,0.26,,162.05,,1.5,0.0,0.52,23.8,0.24,0.07,0.27,0.04,0.53
Peter T Roberson,162.0,0.05,4.31,1.0,0.5,162.0,0.05,2425.0,2624.0,36.0,0.0,1.0,4.31,0.0,0.0,0.0,0.24,,0.05,,162.0,0.0,0.5,0.05,0.0,0.24,0.0,0.0,0.0,0.0
Jan Smeets,161.6,0.01,1.1,1.0,0.5,161.6,0.01,2543.0,2582.0,31.0,1.0,0.0,1.1,0.0,0.0,0.0,0.22,0.01,,161.6,,0.5,0.0,0.01,0.0,0.22,0.0,0.0,0.0,0.0
Bernat Serarols Mabras,161.0,0.18,5.89,1.0,1.0,161.0,0.18,2300.0,2630.0,27.0,1.0,0.0,5.89,0.0,0.0,0.0,0.18,0.18,,161.0,,1.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0
Erigaisi Arjun,160.99,0.33,1.41,7.0,5.5,160.7,0.3,2797.0,2812.0,276.0,3.0,4.0,5.38,2.27,0.35,13.31,0.19,0.56,0.15,159.53,162.07,2.5,3.0,2.29,5.14,0.17,0.02,0.12,0.12,177.21
Maxim Rodshtein,160.6,0.31,7.31,7.0,5.5,159.5,0.22,2613.0,2714.0,290.0,4.0,3.0,7.65,2.75,0.27,5.28,0.16,0.38,0.21,161.12,159.9,3.5,2.0,2.14,7.54,0.1,0.02,0.15,0.07,27.86
Enrique Llobell Cortell,160.5,0.19,6.88,1.0,0.5,160.5,0.19,2370.0,2613.0,17.0,0.0,1.0,6.88,0.0,0.0,0.0,0.16,,0.19,,160.5,0.0,0.5,0.19,0.0,0.16,0.0,0.0,0.0,0.0
Ahmad Ahmadzada,160.46,0.29,4.34,7.0,5.0,160.8,0.2,2523.0,2594.0,382.0,4.0,3.0,5.04,2.35,0.35,2.84,0.15,0.23,0.38,161.5,159.07,3.0,2.0,2.04,5.53,0.17,0.02,0.13,0.13,8.05
Felix-Antonio Ilinca,160.4,0.21,5.36,7.0,6.5,159.1,0.12,2419.0,2828.0,232.0,3.0,4.0,3.45,3.01,0.27,4.9,0.15,0.22,0.2,160.1,160.62,2.5,4.0,1.47,9.08,0.08,0.03,0.16,0.07,24.05
Eric Sos Andreu,160.3,0.06,4.36,1.0,0.5,160.3,0.06,2364.0,2519.0,14.0,1.0,0.0,4.36,0.0,0.0,0.0,0.15,0.06,,160.3,,0.5,0.0,0.06,0.0,0.15,0.0,0.0,0.0,0.0
Nadav Zemach,160.3,0.06,3.48,1.0,0.5,160.3,0.06,2398.0,2522.0,29.0,0.0,1.0,3.48,0.0,0.0,0.0,0.15,,0.06,,160.3,0.0,0.5,0.06,0.0,0.15,0.0,0.0,0.0,0.0
Bjorn Thorfinnsson,160.2,0.2,5.79,1.0,0.5,160.2,0.2,2356.0,2601.0,43.0,1.0,0.0,5.79,0.0,0.0,0.0,0.14,0.2,,160.2,,0.5,0.0,0.2,0.0,0.14,0.0,0.0,0.0,0.0
Bjornar Byklum,160.2,0.14,5.56,1.0,0.5,160.2,0.14,2330.0,2553.0,39.0,0.0,1.0,5.56,0.0,0.0,0.0,0.14,,0.14,,160.2,0.0,0.5,0.14,0.0,0.14,0.0,0.0,0.0,0.0
Christos Tsarsitalidis,159.8,0.69,23.84,1.0,1.0,159.8,0.69,2104.0,2741.0,62.0,0.0,1.0,23.84,0.0,0.0,0.0,0.12,,0.69,,159.8,0.0,1.0,0.69,0.0,0.12,0.0,0.0,0.0,0.0
Javokhir Sindarov,159.39,0.28,6.09,7.0,6.0,158.9,0.08,2668.0,2737.0,280.0,3.0,4.0,4.88,3.3,0.36,3.98,0.1,0.57,0.06,157.6,160.72,2.5,3.5,1.93,10.88,0.07,0.03,0.18,0.13,15.85
Madis Nahkur,159.3,0.3,10.58,1.0,1.0,159.3,0.3,2003.0,2536.0,38.0,1.0,0.0,10.58,0.0,0.0,0.0,0.09,0.3,,159.3,,1.0,0.0,0.3,0.0,0.09,0.0,0.0,0.0,0.0
Ilay Zakin,159.2,0.04,3.83,1.0,1.0,159.2,0.04,2240.0,2466.0,41.0,1.0,0.0,3.83,0.0,0.0,0.0,0.09,0.04,,159.2,,1.0,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.0
Nihal Sarin,159.08,0.36,7.38,6.0,4.5,159.95,0.29,2668.0,2761.0,287.0,3.0,3.0,5.08,5.67,0.29,5.67,0.08,0.46,0.27,158.77,159.4,2.5,2.0,2.18,32.18,0.13,0.09,0.31,0.08,32.11
Jergus Pechac,159.02,0.45,9.79,5.0,3.5,161.0,0.51,2582.0,2766.0,246.0,2.0,3.0,12.89,6.5,0.41,7.76,0.08,0.63,0.33,160.1,158.3,2.0,1.5,2.25,42.24,0.18,0.12,0.35,0.17,60.28
Shakhriyar Mamedyarov,158.95,0.49,9.01,6.0,5.0,159.5,0.42,2733.0,2798.0,244.0,4.0,2.0,8.57,3.53,0.55,7.11,0.08,0.44,0.59,159.98,156.9,3.5,1.5,2.93,12.45,0.1,0.04,0.19,0.3,50.49
Emre Can,158.87,0.39,34.67,6.0,5.0,158.65,0.45,2551.0,2707.0,254.0,2.0,4.0,9.93,1.15,0.21,61.37,0.07,0.32,0.42,159.7,158.45,2.0,3.0,2.33,1.32,0.06,0.0,0.06,0.04,3766.4
Ori Kobo,158.81,0.47,8.42,7.0,5.5,158.5,0.44,2525.0,2681.0,382.0,4.0,3.0,6.6,1.27,0.29,5.57,0.07,0.58,0.31,158.18,159.67,3.0,2.5,3.26,1.61,0.05,0.0,0.07,0.08,31.08
Mateusz Bartel,158.4,0.32,8.34,2.0,2.0,158.4,0.32,2608.0,2537.0,79.0,1.0,1.0,8.34,0.14,0.23,2.81,0.04,0.48,0.15,158.3,158.5,1.0,1.0,0.63,0.02,0.04,0.0,0.01,0.05,7.92
Ediz Gurel,158.37,0.45,40.62,7.0,5.5,158.1,0.44,2625.0,2622.0,330.0,4.0,3.0,5.53,3.47,0.38,92.07,0.04,0.64,0.21,157.57,159.43,3.0,2.5,3.17,12.03,0.03,0.03,0.19,0.14,8477.74
