,Mean,Median,Std Dev,Min,Max
Total Moves,44318.0,44318.0,0.0,44318.0,44318.0
Total Games,486.0,486.0,0.0,486.0,486.0
avg_gi,136.71,141.3,23.21,-77.3,165.8
avg_gpl,0.95,0.78,0.71,0.01,8.26
avg_gpl_white,0.85,0.66,0.64,0.0,4.3
avg_gpl_black,0.94,0.84,0.75,-0.03,8.26
avg_gi_white,141.39,145.12,21.16,13.0,165.8
avg_gi_black,136.73,140.6,23.45,-77.3,166.95
avg_acpl,49.88,20.49,85.84,-5.14,493.19
Elo,2398.32,2406.0,187.49,1867.0,2797.0
TPR,2461.71,2459.0,177.15,1957.0,2937.0
gi_median,138.51,141.85,24.23,-77.3,165.8
gpl_median,0.9,0.73,0.74,0.01,8.26
