Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Erigaisi Arjun,162.01,0.4,-20.6,11.0,10.0,163.4,0.26,2778.0,2985.0,493.0,6.0,5.0,7.33,6.7,0.4,91.91,0.24,0.44,0.36,160.9,163.34,5.0,5.0,4.44,44.85,0.31,0.13,0.36,0.16,8447.23
Shant Sargsyan,161.11,0.18,17.45,11.0,7.0,161.1,0.08,2649.0,2663.0,461.0,6.0,5.0,3.89,3.07,0.22,46.14,0.19,0.21,0.15,161.77,160.32,4.5,2.5,2.0,9.45,0.19,0.03,0.17,0.05,2129.17
Nodirbek Abdusattorov,158.96,0.57,7.07,11.0,9.0,161.6,0.29,2766.0,2884.0,523.0,6.0,5.0,5.35,8.4,0.48,5.02,0.07,0.54,0.62,159.03,158.88,5.0,4.0,6.32,70.63,0.22,0.2,0.45,0.23,25.24
David Anton Guijarro,157.76,0.34,22.08,11.0,7.0,161.0,0.28,2665.0,2659.0,488.0,5.0,6.0,7.06,9.25,0.31,43.89,0.01,0.21,0.45,156.82,158.55,3.0,4.0,3.76,85.58,0.18,0.25,0.5,0.1,1925.95
Haik M. Martirosyan,154.13,0.58,18.81,11.0,7.0,158.5,0.38,2667.0,2707.0,523.0,5.0,6.0,7.94,12.94,0.65,70.94,-0.19,0.91,0.32,152.12,155.8,4.0,3.0,6.42,167.43,0.05,0.49,0.7,0.42,5032.6
Bardiya Daneshvar,150.71,0.69,32.32,11.0,7.5,158.2,0.53,2598.0,2688.0,566.0,6.0,5.0,5.86,18.08,0.74,84.52,-0.37,0.97,0.35,141.7,161.52,3.5,4.0,7.6,326.79,0.03,0.95,0.97,0.54,7143.9
Aydin Suleymanli,149.21,0.71,14.26,11.0,6.0,159.5,0.54,2632.0,2590.0,476.0,5.0,6.0,10.63,20.76,0.69,14.15,-0.45,0.75,0.67,151.1,147.63,3.5,2.5,7.76,430.81,0.1,1.25,1.12,0.48,200.29
Yangyi Yu,161.92,0.3,6.03,10.0,7.5,161.85,0.11,2703.0,2800.0,404.0,6.0,4.0,5.01,3.93,0.38,2.85,0.23,0.13,0.55,162.43,161.15,4.0,3.5,2.99,15.47,0.24,0.04,0.21,0.14,8.09
Levon Aronian,161.44,0.34,20.74,10.0,8.0,162.65,0.16,2729.0,2773.0,416.0,6.0,4.0,5.84,3.08,0.39,47.95,0.21,0.38,0.29,160.98,162.12,4.5,3.5,3.45,9.51,0.27,0.03,0.17,0.15,2299.15
Gukesh D,160.78,0.47,33.08,10.0,9.0,165.5,0.18,2764.0,3072.0,500.0,5.0,5.0,4.22,20.04,0.94,88.41,0.18,0.14,0.8,168.5,153.06,4.5,4.5,4.7,401.74,0.43,1.17,1.08,0.88,7816.67
Tuan Minh Le,160.43,0.3,5.25,10.0,7.5,161.25,0.1,2564.0,2731.0,491.0,5.0,5.0,5.15,7.96,0.49,4.69,0.15,0.22,0.38,163.04,157.82,4.0,3.5,2.99,63.36,0.2,0.18,0.43,0.24,22.01
Bogdan-Daniel Deac,160.07,0.26,11.38,10.0,6.0,161.3,0.08,2680.0,2696.0,551.0,5.0,5.0,4.0,8.64,0.37,21.9,0.14,0.14,0.38,163.34,156.8,4.0,2.0,2.6,74.7,0.2,0.22,0.47,0.14,479.49
Santosh Gujrathi Vidit,158.95,0.39,4.94,10.0,7.5,160.15,0.18,2720.0,2741.0,500.0,5.0,5.0,4.54,6.74,0.49,4.56,0.08,0.37,0.4,160.7,157.2,4.5,3.0,3.86,45.47,0.14,0.13,0.36,0.24,20.78
