,Mean,Median,Std Dev,Min,Max
Total Moves,87162.0,87162.0,0.0,87162.0,87162.0
Total Games,952.0,952.0,0.0,952.0,952.0
avg_gi,139.77,143.29,19.1,-71.3,164.2
avg_gpl,0.85,0.72,0.6,0.0,8.03
avg_gpl_white,0.8,0.65,0.68,-0.05,7.53
avg_gpl_black,0.83,0.7,0.63,-0.05,8.03
avg_gi_white,142.72,147.53,21.99,-93.3,168.5
avg_gi_black,140.24,144.0,19.94,-71.3,165.7
avg_acpl,45.98,21.77,72.35,-37.54,531.37
Elo,2417.66,2451.0,202.7,1842.0,2832.0
TPR,2483.49,2480.5,162.23,1991.0,3072.0
gi_median,142.31,145.0,20.05,-71.3,165.5
gpl_median,0.78,0.66,0.62,0.0,8.03
