Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Carissa Yip,153.34,0.7,24.44,11,10,158.4,0.63,2386,2651,466,5,6,15.05,8.76,0.52,35.97,-0.23,0.84,0.58,150.46,155.73,4.5,5.5,7.68,76.74,0.04,0.22,0.47,0.27,1293.51
Divya Deshmukh,153.19,0.45,34.37,11,9.5,158.5,0.21,2483,2620,459,7,4,8.43,18.96,0.78,52.87,-0.24,0.63,0.14,149.93,158.9,6,3.5,4.97,359.45,0.05,1.04,1.02,0.61,2795.5
Sabrina Vega Gutierrez,150.25,0.62,59.7,11,9.5,157.9,0.42,2374,2517,504,4,7,11.33,22.32,0.69,89,-0.39,0.33,0.78,158.6,145.49,4,5.5,6.78,497.97,0.02,1.45,1.21,0.47,7920.41
Lilit Mkrtchian,147.43,0.66,12.87,11,8,157.7,0.52,2366,2503,420,5,6,9.03,18.31,0.55,9.15,-0.55,0.27,0.98,157.96,138.65,4.5,3.5,7.26,335.25,0.01,0.97,0.99,0.3,83.74
Machteld Van Foreest,145.72,0.76,121.36,11,8,157.6,0.73,2224,2322,473,6,5,24.59,20.81,0.59,133.88,-0.64,0.87,0.62,140.47,152.02,4,4,8.32,432.93,0,1.26,1.12,0.35,17923.07
Anastasia Avramidou,139.36,0.91,66.13,11,8,157.8,0.53,2290,2288,572,5,6,15.37,29.45,0.89,97.52,-0.98,1.02,0.81,139.3,139.42,4,4,9.98,867.1,0.01,2.52,1.59,0.8,9509.33
Mariam Mkrtchyan,135.69,1,70.8,11,5.5,140.5,1.01,2328,2309,603,6,5,17.46,24,0.87,104.48,-1.18,1.03,0.95,134.2,137.48,3,2.5,10.96,576.07,-0.92,1.67,1.29,0.76,10915.69
Marina Brunello,132.94,1.11,17.4,11,6,124.7,1.15,2348,2287,485,6,5,14.84,20.83,0.57,10.34,-1.33,0.96,1.29,140.3,124.1,4.5,1.5,12.2,433.92,-1.77,1.26,1.12,0.32,106.85
Zhaoqin Peng,154.89,0.39,19.43,10,7,157.9,0.26,2349,2333,413,5,5,10.26,8.85,0.42,34.33,-0.14,0.37,0.41,156.88,152.9,4,3,3.9,78.32,0.02,0.23,0.48,0.18,1178.26
Nana Dzagnidze,153.42,0.57,7.38,10,7,157.35,0.64,2508,2539,551,5,5,7.16,7.21,0.48,6.79,-0.22,0.76,0.38,149.76,157.08,3,4,5.67,51.92,-0.02,0.15,0.39,0.23,46.09
Elisabeth Paehtz,153.22,0.63,22.65,10,7.5,157.8,0.46,2455,2475,368,5,5,8.61,7.71,0.52,43.68,-0.24,0.7,0.56,150.1,156.34,3.5,4,6.31,59.4,0.01,0.17,0.42,0.27,1907.77
Bach_Ngoc_Thuy Duong,152.55,0.65,14.42,10,7.5,157.65,0.64,2214,2287,360,5,5,15.98,10.45,0.39,5.71,-0.27,0.65,0.66,153,152.1,4,3.5,6.54,109.21,0,0.31,0.56,0.15,32.65
Govhar Beydullayeva,152.55,0.52,10.59,10,7.5,157.8,0.53,2395,2415,433,5,5,8.64,10.36,0.5,5.9,-0.27,0.65,0.4,151.4,153.7,3.5,4,5.24,107.39,0.01,0.31,0.56,0.25,34.76
Mariia Manko,151.91,0.45,70.45,10,8,157.7,0.32,2159,2286,388,6,4,13.39,11.62,0.49,180.13,-0.31,0.5,0.38,156.8,144.57,6,2,4.54,134.95,0,0.39,0.63,0.24,32446.15
Jovanka Houska,151.02,0.68,56.95,10,8,157.75,0.57,2333,2408,397,5,5,8.9,11.56,0.5,146.83,-0.35,0.6,0.75,152.34,149.7,4,4,6.77,133.65,0.01,0.39,0.62,0.25,21559.53
