,Mean,Median,Std Dev,Min,Max
Total Moves,99776.0,99776.0,0.0,99776.0,99776.0
Total Games,1092.0,1092.0,0.0,1092.0,1092.0
avg_gi,125.93,130.58,21.16,30.7,158.2
avg_gpl,1.13,1.02,0.55,0.13,3.73
avg_gpl_white,1.08,1.0,0.6,0.0,3.73
avg_gpl_black,1.13,1.02,0.63,-0.01,3.65
avg_gi_white,129.78,133.55,22.14,30.7,158.7
avg_gi_black,126.26,131.54,23.7,24.45,158.9
avg_acpl,86.2,45.5,108.24,-20.24,707.37
Elo,2065.35,2070.0,237.94,0.0,2508.0
TPR,2132.09,2131.0,187.57,1601.0,2651.0
gi_median,130.3,134.35,23.34,30.7,158.75
gpl_median,1.05,0.94,0.57,0.13,3.73
