Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Shant Sargsyan,160.37,0.25,26.53,9,6.5,161.1,0.14,2646.0,2758.0,436,5,4,5.18,7.62,0.25,64.5,0.15,0.14,0.39,162.92,157.18,3.5,3.0,2.27,58.03,0.19,0.17,0.41,0.06,4160.67
Vladislav Artemiev,160.36,0.15,4.61,9,6.0,160.5,0.12,2701.0,2599.0,348,5,4,4.52,1.68,0.13,1.09,0.15,0.15,0.16,160.74,159.88,4.0,2.0,1.37,2.83,0.16,0.01,0.09,0.02,1.18
Andrey Esipenko,160.33,0.41,22.92,9,7.5,160.6,0.36,2682.0,2866.0,470,5,4,11.63,5.28,0.35,28.1,0.15,0.25,0.62,162.78,157.28,4.5,3.0,3.72,27.91,0.16,0.08,0.28,0.12,789.5
Abdimalik Abdisalimov,158.92,0.31,7.42,9,6.0,160.0,0.07,2536.0,2676.0,401,5,4,4.17,6.81,0.41,5.99,0.07,0.19,0.46,161.6,155.57,3.5,2.5,2.76,46.43,0.13,0.13,0.37,0.17,35.83
A.R. Saleh Salem,156.92,0.34,8.73,9,6.5,161.2,0.36,2622.0,2690.0,444,4,5,6.12,10.13,0.37,10.47,-0.04,0.43,0.26,155.7,157.9,3.5,3.0,3.03,102.7,0.2,0.3,0.55,0.14,109.65
Mukhammadzokhid Suyarov,156.68,0.21,7.08,9,4.5,158.5,0.1,2466.0,2399.0,399,4,5,3.59,5.47,0.22,8.29,-0.05,0.18,0.23,154.85,158.14,2.0,2.5,1.89,29.97,0.05,0.09,0.29,0.05,68.74
Manuel Petrosyan,156.26,0.27,6.66,9,5.0,158.6,0.13,2612.0,2413.0,444,4,5,5.04,6.42,0.26,4.8,-0.07,0.4,0.17,157.72,155.08,3.0,2.0,2.42,41.17,0.06,0.12,0.35,0.07,23.01
Murali Karthikeyan,155.49,0.64,11.1,9,6.5,159.4,0.55,2637.0,2738.0,436,5,4,10.2,8.33,0.37,5.73,-0.11,0.7,0.57,155.78,155.12,4.0,2.5,5.76,69.38,0.1,0.2,0.45,0.14,32.78
Bharath_Subramaniyam H,155.23,0.33,-8.91,9,5.5,159.9,0.07,2561.0,2599.0,362,5,4,5.39,12.35,0.48,57.53,-0.12,0.09,0.62,161.64,147.22,3.5,2.0,2.97,152.47,0.13,0.44,0.66,0.23,3309.67
Ayush Sharma,154.67,0.45,25.46,9,5.0,158.2,0.38,2466.0,2529.0,323,4,5,9.93,7.47,0.28,107.43,-0.16,0.44,0.46,159.8,150.56,3.5,1.5,4.05,55.83,0.03,0.16,0.4,0.08,11541.55
Nodirbek Yakubboev,153.82,0.47,33.95,9,6.0,160.2,0.22,2668.0,2599.0,395,4,5,9.14,12.21,0.49,71.05,-0.2,0.58,0.39,156.62,151.58,3.5,2.5,4.27,149.1,0.14,0.44,0.66,0.24,5048.21
Vasyl Ivanchuk,153.57,0.46,6.42,9,5.5,159.3,0.18,2630.0,2530.0,343,4,5,5.69,12.94,0.53,3.32,-0.22,0.12,0.73,160.43,148.08,2.5,3.0,4.16,167.43,0.09,0.49,0.7,0.29,11.04
Haik M. Martirosyan,152.84,0.52,22.63,9,5.5,159.2,0.51,2656.0,2554.0,409,5,4,5.99,14.56,0.48,44.5,-0.25,0.46,0.6,158.9,145.28,4.0,1.5,4.67,212.14,0.09,0.62,0.78,0.23,1980.56
Ivan Zemlyanskii,152.4,0.61,59.8,9,6.0,161.4,0.12,2543.0,2673.0,496,5,4,10.32,14.49,0.73,154.17,-0.28,0.76,0.41,149.56,155.95,4.0,2.0,5.47,210.03,0.21,0.61,0.78,0.53,23769.09
Ngoc Truong Son Nguyen,152.28,0.44,7.38,9,5.5,159.1,0.08,2646.0,2519.0,333,4,5,8.25,18.72,0.71,5.05,-0.28,0.4,0.46,156.3,149.06,2.5,3.0,3.93,350.37,0.08,1.02,1.01,0.5,25.45
Nodirbek Abdusattorov,151.86,0.66,41.58,9,7.0,159.2,0.51,2777.0,2693.0,379,5,4,8.84,17.91,0.65,95.05,-0.31,0.95,0.3,144.54,161.0,4.0,3.0,5.95,320.86,0.09,0.93,0.97,0.42,9035.16
M. Amin Tabatabaei,151.74,0.63,10.6,9,6.0,159.0,0.59,2695.0,2615.0,403,4,5,8.33,13.54,0.5,8.03,-0.31,0.48,0.76,158.8,146.1,3.5,2.5,5.68,183.25,0.08,0.53,0.73,0.25,64.49
Khumoyun Begmuratov,151.39,0.43,24.25,9,5.0,158.5,0.52,2416.0,2419.0,415,5,4,7.77,10.96,0.38,35.88,-0.33,0.63,0.18,148.32,155.22,2.5,2.5,3.88,120.19,0.05,0.35,0.59,0.14,1287.54
Pouya Idani,151.26,0.72,39.68,9,6.0,158.2,0.71,2603.0,2678.0,510,5,4,7.72,12.58,0.64,63.97,-0.34,0.68,0.77,152.66,149.5,3.5,2.5,6.49,158.19,0.03,0.46,0.68,0.41,4092.17
Lorenzo Lodici,151.16,0.64,61.97,9,6.0,158.4,0.56,2564.0,2638.0,502,5,4,17.38,15.48,0.69,105.49,-0.35,0.55,0.74,150.92,151.45,2.5,3.5,5.74,239.49,0.04,0.7,0.83,0.47,11128.34
