,Mean,Median,Std Dev,Min,Max
Total Moves,59837.0,59837.0,0.0,59837.0,59837.0
Total Games,617.0,617.0,0.0,617.0,617.0
avg_gi,139.5,141.44,11.21,107.44,160.37
avg_missed_points,0.89,0.86,0.32,0.15,1.75
avg_missed_points_white,0.86,0.82,0.41,0.09,1.89
avg_missed_points_black,0.91,0.82,0.43,0.16,2.15
avg_gi_white,140.94,142.33,13.33,105.62,162.92
avg_gi_black,138.05,141.18,14.58,91.92,161.12
avg_acpl,41.87,37.64,30.44,-8.91,132.75
Elo,2432.17,2398.0,131.49,2205.0,2801.0
TPR,2429.62,2417.5,154.19,1843.0,2866.0
gi_median,144.61,144.65,12.72,103.3,161.4
missed_points_median,0.76,0.76,0.33,0.07,1.65
