white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
101.3,129.2,3.03,2.53,788.96,431.32,DeepSeek R1, o4mini,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.1,,,0.0,1.0,2025.08.05,28,28,3.6,4.6,0.11,0.09,-3.03,-1.53,0,0,3,0,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqkb1r/1p3ppp/p1nppB2/1N6/4P3/2N5/PPP2PPP/R2QKB1R b KQkq - 0 8', 'move_number': 9, 'move': 'd8f6', 'prev_move': 'g5f6', 'time_diff': '0:00:30', 'exp_point_loss': 0.5105}, {'turn': 'White', 'fen': 'N1bk3r/1p3ppp/p1n1pq2/b7/3pP3/P1N5/1PPQ1PPP/2KR1B1R w - - 0 14', 'move_number': 14, 'move': 'c3b5', 'prev_move': 'd5d4', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}, {'turn': 'Black', 'fen': 'N1bk3r/1p3ppp/p1n1pq2/bN6/3pP3/P7/1PPQ1PPP/2KR1B1R b - - 1 14', 'move_number': 15, 'move': 'f6e5', 'prev_move': 'c3b5', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}, {'turn': 'White', 'fen': 'N1bk3r/1p3ppp/p1n1p3/bN2q3/3pP3/P7/1PPQ1PPP/2KR1B1R w - - 2 15', 'move_number': 15, 'move': 'a8c7', 'prev_move': 'f6e5', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}, {'turn': 'Black', 'fen': '2bk3r/1pN2ppp/p1n1p3/bN2q3/3pP3/P7/1PPQ1PPP/2KR1B1R b - - 3 15', 'move_number': 16, 'move': 'e5c5', 'prev_move': 'a8c7', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}, {'turn': 'White', 'fen': '2bk3r/1p4pp/p1n1p3/bNq5/3pP3/P7/1PPQ1PPP/2KR1B1R w - - 0 17', 'move_number': 17, 'move': 'a3a4', 'prev_move': 'f7e6', 'time_diff': '0:00:30', 'exp_point_loss': 1.0}]",[]
175.5,147.8,0.03,0.53,1.12,625.0,Gemini_25 Pro,Claude_4 Opus,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.1,,,1.0,0.0,2025.08.05,17,16,10.3,9.2,0.0,0.03,0.97,-0.53,1,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bq1rk1/pp2bpp1/2nppn1p/8/3NPP1B/2N5/PPPQ2PP/2KR1B1R b - - 1 10', 'move_number': 11, 'move': 'g7g5', 'prev_move': 'g5h4', 'time_diff': '0:00:30', 'exp_point_loss': 0.457}]",[]
163.0,144.6,0.71,0.7,44.56,47.12,Grok 4,Gemini_25 Flash,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.1,,,1.0,0.0,2025.08.05,9,8,18.1,18.1,0.08,0.09,0.29,-0.7,1,0,1,0,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqkb1r/1p1Bpppp/p2p1n2/8/3NP3/8/PPP2PPP/RNBQK2R b KQkq - 0 7', 'move_number': 8, 'move': 'e8d7', 'prev_move': 'a4d7', 'time_diff': '0:00:30', 'exp_point_loss': 0.30300000000000005}, {'turn': 'Black', 'fen': 'r1bq1b1r/1p1kpppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQK2R b KQ - 1 8', 'move_number': 9, 'move': 'd6d5', 'prev_move': 'b1c3', 'time_diff': '0:00:30', 'exp_point_loss': 0.3745}, {'turn': 'White', 'fen': 'r1bq1b1r/1p1kpppp/p4n2/3p4/3NP3/2N5/PPP2PPP/R1BQK2R w KQ - 0 9', 'move_number': 9, 'move': 'd4f5', 'prev_move': 'd6d5', 'time_diff': '0:00:30', 'exp_point_loss': 0.502}]",[]
147.1,175.1,0.56,0.06,69.83,13.5,Kimi K2,OpenAI O3,Kaggle Game Arena Chess Exhibition Tournament 2025,Chess.com,1.1,,,0.0,1.0,2025.08.05,6,6,24.5,29.2,0.09,0.01,-0.56,0.94,0,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'rnbqkb1r/pp3ppp/3p1n2/4p3/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 6', 'move_number': 6, 'move': 'e1g1', 'prev_move': 'e7e5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5429999999999999}]",[]
131.1,159.0,1.43,0.92,628.42,615.55,Claude_4 Opus,Gemini_25 Pro,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.2,,,0.0,1.0,2025.08.05,33,33,4.0,4.8,0.04,0.03,-1.43,0.08,1,0,3,0,0,2,0,0,0,0,"[{'turn': 'White', 'fen': 'r2q1rk1/3n2pp/p2p1b2/1p1Pp2n/8/1N2BP2/PPPQ3P/2KR1B1R w - - 0 16', 'move_number': 16, 'move': 'c2c4', 'prev_move': 'e7f6', 'time_diff': '0:00:30', 'exp_point_loss': 0.41}, {'turn': 'Black', 'fen': '2r3k1/6pp/3p4/p2Pp3/2B1Rn2/5r2/PPK4P/2R5 b - - 2 26', 'move_number': 27, 'move': 'c8c4', 'prev_move': 'e1e4', 'time_diff': '0:00:30', 'exp_point_loss': 0.6965}, {'turn': 'Black', 'fen': '6k1/6pp/3p4/p2Pp3/2R2n2/5r2/PPK4P/2R5 b - - 0 27', 'move_number': 28, 'move': 'f3f2', 'prev_move': 'e4c4', 'time_diff': '0:00:30', 'exp_point_loss': 0.2655}, {'turn': 'White', 'fen': '6k1/6pp/3p4/p2Pp3/2R2n2/8/PPK2r1P/2R5 w - - 1 28', 'move_number': 28, 'move': 'c2d1', 'prev_move': 'f3f2', 'time_diff': '0:00:30', 'exp_point_loss': 0.489}, {'turn': 'White', 'fen': '6k1/6pp/3p4/p2np3/2R5/8/PP3r1P/2RK4 w - - 0 29', 'move_number': 29, 'move': 'c1c2', 'prev_move': 'f4d5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}]",[]
147.4,175.3,0.55,0.04,411.0,10.48,Gemini_25 Flash,Grok 4,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.2,,,0.0,1.0,2025.08.05,25,25,5.9,7.0,0.02,0.0,-0.55,0.96,0,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'rnbqk2r/1p2bpp1/p2p1n1p/4p1N1/4P3/2N5/PPP1BPPP/R1BQK2R w KQkq - 0 9', 'move_number': 9, 'move': 'g5e6', 'prev_move': 'h7h6', 'time_diff': '0:00:30', 'exp_point_loss': 0.48850000000000005}]",[]
175.8,148.1,0.02,0.51,10.29,63.5,OpenAI O3,Kimi K2,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.2,,,1.0,0.0,2025.08.05,7,6,25.1,24.7,0.0,0.09,0.98,-0.51,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqkbnr/1p1p1ppp/p1nN4/4p3/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 1 6', 'move_number': 7, 'move': 'e8e7', 'prev_move': 'b5d6', 'time_diff': '0:00:30', 'exp_point_loss': 0.4525}]",[]
148.7,120.9,1.48,1.97,76.65,705.25, o4mini,DeepSeek R1,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.2,,,1.0,0.0,2025.08.05,17,16,8.7,7.6,0.09,0.12,-0.48,-1.97,1,0,3,0,0,4,0,0,0,0,"[{'turn': 'White', 'fen': 'r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6', 'move_number': 6, 'move': 'f1e1', 'prev_move': 'b7b5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5085}, {'turn': 'Black', 'fen': 'r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 1 6', 'move_number': 7, 'move': 'f8c5', 'prev_move': 'f1e1', 'time_diff': '0:00:30', 'exp_point_loss': 0.5105}, {'turn': 'White', 'fen': 'r1bqk2r/2pp1ppp/p1n2n2/1pb1p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 2 7', 'move_number': 7, 'move': 'c2c3', 'prev_move': 'f8c5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5105}, {'turn': 'Black', 'fen': 'r1bqk2r/2pp1ppp/p1n2n2/1pb1p3/B3P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq - 0 7', 'move_number': 8, 'move': 'e8g8', 'prev_move': 'c2c3', 'time_diff': '0:00:30', 'exp_point_loss': 0.5055000000000001}, {'turn': 'White', 'fen': 'r1bq1rk1/2pp1ppp/p1n2n2/1p6/Bb1PP3/5N2/PP3PPP/RNBQR1K1 w - - 1 10', 'move_number': 10, 'move': 'b1c3', 'prev_move': 'c5b4', 'time_diff': '0:00:30', 'exp_point_loss': 0.347}, {'turn': 'Black', 'fen': 'r1bq1rk1/2pp1ppp/p1n2n2/1p1P4/B3P3/2b2N2/PP3PPP/R1BQR1K1 b - - 0 11', 'move_number': 12, 'move': 'c3b2', 'prev_move': 'd4d5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5549999999999999}, {'turn': 'Black', 'fen': 'r1bq1rk1/2pp1ppp/p1n2n2/1p1P4/B3P3/5N2/PB3PPP/R2QR1K1 b - - 0 12', 'move_number': 13, 'move': 'f6d5', 'prev_move': 'c1b2', 'time_diff': '0:00:30', 'exp_point_loss': 0.4265}]",[]
175.0,147.3,0.06,0.56,941.57,1318.21,Gemini_25 Pro,Claude_4 Opus,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.3,,,1.0,0.0,2025.08.05,30,29,5.8,5.1,0.0,0.02,0.94,-0.56,1,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqk2r/4bppp/p1np1B2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R b KQkq - 0 10', 'move_number': 11, 'move': 'g7f6', 'prev_move': 'g5f6', 'time_diff': '0:00:30', 'exp_point_loss': 0.4835}]",[]
176.1,148.4,0.0,0.5,9.5,597.18,Grok 4,Gemini_25 Flash,Kaggle Game Arena Chess Exhibition Tournament 2025,https://www.kaggle.com/benchmarks/kaggle/chess-text,1.3,,,1.0,0.0,2025.08.05,18,17,9.8,8.7,0.0,0.03,1.0,-0.5,0,0,0,2,1,0,0,0,0,0,[],[]
