white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
159.5,131.8,0.9,1.39,6.41,23.82,Jack Rudd,Yang-Fan Zhou,"Round 2: Rudd, Jack - Zhou, Yang-Fan",?,2.14,2259,2406,1.0,0.0,????.??.??,39,38,4.1,3.5,0.02,0.04,0.1,-1.39,0,0,2,1,0,3,0,0,0,1,"[{'turn': 'Black', 'fen': 'rn1q1rk1/p1pbppbp/5np1/1p6/3PP3/1QN2N2/PP3PPP/R1B1KB1R b KQ - 1 12', 'move_number': 13, 'move': 'a7a6', 'prev_move': 'c4b3', 'time_diff': '0:01:32', 'exp_point_loss': 0.27099999999999996}, {'turn': 'White', 'fen': 'r2qr1k1/2p1ppPp/p1n3p1/1p6/3P4/1PN2N2/1P3PPP/R1B1KB1R w KQ - 1 17', 'move_number': 17, 'move': 'c1e3', 'prev_move': 'b8c6', 'time_diff': '0:00:49', 'exp_point_loss': 0.36550000000000005}, {'turn': 'Black', 'fen': 'r2qr1k1/2p1ppPp/p1n3p1/1p6/3P4/1PN1BN2/1P3PPP/R3KB1R b KQ - 2 17', 'move_number': 18, 'move': 'c6b4', 'prev_move': 'c1e3', 'time_diff': '0:02:13', 'exp_point_loss': 0.4225}, {'turn': 'White', 'fen': 'r2qr1k1/5pPp/p5p1/1pP1p3/1n6/1PN1BN2/1P3PPP/2R1KB1R w K - 0 20', 'move_number': 20, 'move': 'c3e4', 'prev_move': 'e7e5', 'time_diff': '0:01:00', 'exp_point_loss': 0.393}, {'turn': 'Black', 'fen': 'r2qr1k1/5pPp/p5p1/1pP1p3/1n2N3/1P2BN2/1P3PPP/2R1KB1R b K - 1 20', 'move_number': 21, 'move': 'g8g7', 'prev_move': 'c3e4', 'time_diff': '0:04:11', 'exp_point_loss': 0.4025}]","[{'turn': 'Black', 'fen': 'rn1qk2r/pppbppbp/5np1/8/2QP4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 8 10', 'move_number': 11, 'move': 'e8g8', 'prev_move': 'a4c4', 'time_diff': '0:15:31', 'exp_point_loss': 0.003500000000000003}]"
129.0,157.0,1.54,1.03,46.84,26.92,Marek Korsinskij,Edward Jackson,"Round 6: Korsinskij, Marek - Jackson, Edward",?,6.42,1727,2194,0.0,1.0,????.??.??,37,37,3.5,4.2,0.04,0.03,-1.54,-0.03,0,0,3,0,0,2,0,0,1,0,"[{'turn': 'White', 'fen': 'r3qrk1/3nppbp/bpN2np1/p7/2P5/P1NBP3/1B3PPP/R2Q1RK1 w - - 3 14', 'move_number': 14, 'move': 'c3d5', 'prev_move': 'd8e8', 'time_diff': '0:02:26', 'exp_point_loss': 0.47550000000000003}, {'turn': 'Black', 'fen': '2r1qr2/4ppkp/bp3np1/p3N3/2PQB3/P3P3/6PP/R4RK1 b - - 5 19', 'move_number': 20, 'move': 'e8d8', 'prev_move': 'c6e5', 'time_diff': '0:02:14', 'exp_point_loss': 0.492}, {'turn': 'White', 'fen': '2rq1r2/4ppkp/bp3np1/p3N3/2PQB3/P3P3/6PP/R4RK1 w - - 6 20', 'move_number': 20, 'move': 'd4b2', 'prev_move': 'e8d8', 'time_diff': '0:01:31', 'exp_point_loss': 0.492}, {'turn': 'Black', 'fen': '2rq1r2/4ppkp/bp3np1/p3N3/2P1B3/P3P3/1Q4PP/R4RK1 b - - 7 20', 'move_number': 21, 'move': 'g7g8', 'prev_move': 'd4b2', 'time_diff': '0:06:44', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '2r2rk1/5p1p/bp3pp1/p7/2q1B1N1/P3P3/1Q4PP/3R2K1 w - - 0 24', 'move_number': 24, 'move': 'b2f6', 'prev_move': 'c7c4', 'time_diff': '0:01:23', 'exp_point_loss': 0.48950000000000005}]","[{'turn': 'White', 'fen': 'r3qrk1/3nppBp/bpN3p1/p7/2P5/P2Bn3/5PPP/R2Q1RK1 w - - 0 16', 'move_number': 16, 'move': 'f2e3', 'prev_move': 'd5e3', 'time_diff': '0:16:08', 'exp_point_loss': 0}]"
128.5,156.4,1.57,1.06,112.56,-57.0,Owen Crawford,Tarun Kanyamarala,"Round 1: Crawford, Owen - Kanyamarala, Tarun",?,1.22,2125,2397,0.0,1.0,????.??.??,59,59,2.2,2.7,0.03,0.02,-1.57,-0.06,1,1,2,2,0,1,0,1,1,1,"[{'turn': 'White', 'fen': 'r5k1/1p3pp1/2p1n2p/p2r4/PqN5/1PnR3P/2P2PP1/2Q1RBK1 w - - 4 25', 'move_number': 25, 'move': 'd3d4', 'prev_move': 'd8d5', 'time_diff': '0:00:31', 'exp_point_loss': 0.671}, {'turn': 'Black', 'fen': 'r5k1/1p3pp1/2p1n2p/p7/PqNr4/1Pn4P/2P1BPP1/2Q1R1K1 b - - 1 26', 'move_number': 27, 'move': 'd4d3', 'prev_move': 'f1e2', 'time_diff': '0:00:30', 'exp_point_loss': 0.5025}, {'turn': 'White', 'fen': '6k1/5pp1/7p/pp2q3/8/1PnB2PP/2P2P2/2Q3K1 w - - 0 35', 'move_number': 35, 'move': 'c1a3', 'prev_move': 'e7e5', 'time_diff': '0:02:34', 'exp_point_loss': 0.48850000000000005}]","[{'turn': 'White', 'fen': 'r2r2k1/1pq1bpp1/2ppbnnp/p3p3/P2PP3/BPN1QN1P/2P2PP1/3RRBK1 w - - 5 16', 'move_number': 16, 'move': 'c3b1', 'prev_move': 'c8e6', 'time_diff': '0:20:38', 'exp_point_loss': 0.181}, {'turn': 'Black', 'fen': 'r2r1nk1/1p2qpp1/2p1b2p/p2n4/P2N4/NP5P/2P2PP1/2QRRBK1 b - - 2 21', 'move_number': 22, 'move': 'e7b4', 'prev_move': 'b1a3', 'time_diff': '0:15:46', 'exp_point_loss': 0.0015000000000000013}, {'turn': 'Black', 'fen': 'r5k1/1p3pp1/2p1n2p/p2r4/PqNR4/1Pn4P/2P2PP1/2Q1RBK1 b - - 5 25', 'move_number': 26, 'move': 'd5d4', 'prev_move': 'd3d4', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
157.4,129.7,1.01,1.5,145.76,292.38,Neil F Dickenson,Michael Ashworth,"Round 4: Dickenson, Neil F - Ashworth, Michael",?,4.30,2247,2053,1.0,0.0,????.??.??,70,69,2.2,1.9,0.01,0.02,-0.01,-1.5,0,0,2,0,0,3,0,0,1,2,"[{'turn': 'Black', 'fen': '4n1k1/5pp1/1pN1p2p/2n5/3B4/P3P2P/3r1PP1/2R3K1 b - - 2 31', 'move_number': 32, 'move': 'c5d3', 'prev_move': 'b2d4', 'time_diff': '0:03:24', 'exp_point_loss': 0.349}, {'turn': 'White', 'fen': '4n1k1/5pp1/1pN1p2p/8/3B4/P2nP2P/3r1PP1/2R3K1 w - - 3 32', 'move_number': 32, 'move': 'c1b1', 'prev_move': 'c5d3', 'time_diff': '0:00:50', 'exp_point_loss': 0.349}, {'turn': 'Black', 'fen': '6k1/5pp1/P3p2p/2B5/rNn5/4P2P/3n2P1/3R2K1 b - - 4 39', 'move_number': 40, 'move': 'f7f6', 'prev_move': 'b6c5', 'time_diff': '0:01:03', 'exp_point_loss': 0.4965}, {'turn': 'White', 'fen': '8/P4kp1/4pp1p/2B5/r1n5/1n2P2P/2N3P1/3R2K1 w - - 3 42', 'move_number': 42, 'move': 'd1d8', 'prev_move': 'd2b3', 'time_diff': '0:11:43', 'exp_point_loss': 0.4885}, {'turn': 'Black', 'fen': 'R7/5kp1/4pp1p/2n5/2n5/4P2P/2N3P1/6K1 b - - 0 44', 'move_number': 45, 'move': 'c5d3', 'prev_move': 'd8a8', 'time_diff': '0:01:26', 'exp_point_loss': 0.473}]","[{'turn': 'Black', 'fen': 'r1bq1rk1/pp1n1ppp/4pn2/1Pb5/2B5/P3PN2/1BQN1PPP/R3K2R b KQ - 3 13', 'move_number': 14, 'move': 'a7a6', 'prev_move': 'a4c2', 'time_diff': '0:17:15', 'exp_point_loss': 0.0040000000000000036}, {'turn': 'White', 'fen': '2rrn1k1/4qpp1/1p2p2p/1Nn5/8/P3PQ1P/1B3PP1/2RR2K1 w - - 3 27', 'move_number': 27, 'move': 'd1d8', 'prev_move': 'a8c8', 'time_diff': '0:17:23', 'exp_point_loss': 0.0015000000000000013}, {'turn': 'Black', 'fen': '8/P4kp1/4pp1p/2B5/r1n5/4P2P/2Nn2P1/3R2K1 b - - 2 41', 'move_number': 42, 'move': 'd2b3', 'prev_move': 'b4c2', 'time_diff': '0:17:59', 'exp_point_loss': 0}]"
166.7,166.6,0.01,0.01,2.38,4.0,Koby Kalavannan,Daniel Howard Fernandez,"Round 9: Kalavannan, Koby - Fernandez, Daniel Howard",?,9.10,2322,2500,0.5,0.5,????.??.??,8,8,20.8,20.8,0.0,0.0,0.49,0.49,0,0,0,0,0,0,0,0,0,0,[],[]
143.3,143.4,1.27,1.26,13.98,13.67,Steven A Jones,Yang-Fan Zhou,"Round 4: Jones, Steven A - Zhou, Yang-Fan",?,4.1,2185,2406,0.5,0.5,????.??.??,58,58,2.5,2.5,0.02,0.02,-0.77,-0.76,1,0,3,2,0,2,0,0,1,2,"[{'turn': 'White', 'fen': '4rrk1/5ppp/p2pbq1b/1p1Bp3/4PP2/1N2Q1P1/PPP4P/1K3RR1 w - - 4 20', 'move_number': 20, 'move': 'e3d3', 'prev_move': 'g4e6', 'time_diff': '0:07:48', 'exp_point_loss': 0.3174999999999999}, {'turn': 'White', 'fen': '4rrk1/5p1p/p2p1qpb/1p1Q4/4PP2/1N6/PPP4P/1K3RR1 w - - 0 23', 'move_number': 23, 'move': 'e4e5', 'prev_move': 'g7g6', 'time_diff': '0:07:26', 'exp_point_loss': 0.476}, {'turn': 'Black', 'fen': '3r4/5pk1/p3qrp1/1p2p3/5b1P/P2N4/1PP1Q3/K4RR1 b - - 6 33', 'move_number': 34, 'move': 'g7f8', 'prev_move': 'f3e2', 'time_diff': '0:06:19', 'exp_point_loss': 0.48750000000000004}, {'turn': 'White', 'fen': '3r1k2/5p1Q/p4r2/1p1qp2P/8/P4p2/1PP5/K4RR1 w - - 0 38', 'move_number': 38, 'move': 'g1g8', 'prev_move': 'f4f3', 'time_diff': '0:00:35', 'exp_point_loss': 0.498}, {'turn': 'Black', 'fen': '8/5pk1/p4r2/1p2p2P/6Q1/P1P1qp2/1P6/K4R2 b - - 4 44', 'move_number': 45, 'move': 'g7h8', 'prev_move': 'c8g4', 'time_diff': '0:02:42', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': '4rrk1/5ppp/p2pbq1b/1p1Bp3/4PP2/1N1Q2P1/PPP4P/1K3RR1 b - - 5 20', 'move_number': 21, 'move': 'e6d5', 'prev_move': 'e3d3', 'time_diff': '0:15:48', 'exp_point_loss': 0.139}, {'turn': 'White', 'fen': '3r1rk1/5p2/p4qp1/1pNQp3/5b2/8/PPP4P/1K3RR1 w - - 2 27', 'move_number': 27, 'move': 'd5b7', 'prev_move': 'e8d8', 'time_diff': '0:19:41', 'exp_point_loss': 0.0004999999999999449}, {'turn': 'Black', 'fen': '8/1Q2kp2/p4r2/1p2p2P/3q4/P4p2/1PP5/K4R2 b - - 3 41', 'move_number': 42, 'move': 'e7f8', 'prev_move': 'e4b7', 'time_diff': '0:24:12', 'exp_point_loss': 0}]"
118.3,146.2,2.12,1.61,43.24,24.05,Brandon G I Clarke,Jude Shearsby,"Round 4: Clarke, Brandon G I - Shearsby, Jude",?,4.11,2491,2270,0.0,1.0,????.??.??,42,42,2.8,3.5,0.05,0.04,-2.12,-0.61,0,0,4,0,0,3,0,0,1,0,"[{'turn': 'Black', 'fen': 'rn2kbnr/pp3ppp/1q2p3/3pP3/1P6/N1PQ1N2/P4PPP/R1B1K2R b KQkq - 2 10', 'move_number': 11, 'move': 'a7a5', 'prev_move': 'b1a3', 'time_diff': '0:11:28', 'exp_point_loss': 0.475}, {'turn': 'White', 'fen': '3b1rk1/1p3ppp/3Pp3/pR2P3/2qN1P2/4Q1P1/P6P/6K1 w - - 1 29', 'move_number': 29, 'move': 'b5b7', 'prev_move': 'c8c4', 'time_diff': '0:04:51', 'exp_point_loss': 0.4845}, {'turn': 'Black', 'fen': '3b1rk1/1R3ppp/2NPp3/p3P3/5P2/4Q1P1/q6P/6K1 b - - 1 30', 'move_number': 31, 'move': 'a2a1', 'prev_move': 'd4c6', 'time_diff': '0:00:04', 'exp_point_loss': 0.499}, {'turn': 'White', 'fen': '3b1rk1/1R3ppp/2NPp3/p3P3/5P2/4Q1P1/q5KP/8 w - - 4 32', 'move_number': 32, 'move': 'e3f2', 'prev_move': 'a1a2', 'time_diff': '0:01:52', 'exp_point_loss': 0.4795}, {'turn': 'Black', 'fen': '3b1rk1/1R3ppp/2NPp3/p3P3/2q2P2/5QP1/6KP/8 b - - 7 33', 'move_number': 34, 'move': 'a5a4', 'prev_move': 'f2f3', 'time_diff': '0:02:02', 'exp_point_loss': 0.495}, {'turn': 'White', 'fen': '3b1rk1/1R3ppp/2NPp3/4P3/p1q2P2/5QP1/6KP/8 w - - 0 34', 'move_number': 34, 'move': 'c6d8', 'prev_move': 'a5a4', 'time_diff': '0:10:36', 'exp_point_loss': 0.4955}, {'turn': 'White', 'fen': '3r4/2R2pkp/3Pp1p1/4P3/p4P1K/5QP1/1q5P/8 w - - 6 39', 'move_number': 39, 'move': 'h2h3', 'prev_move': 'b5b2', 'time_diff': '0:00:26', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'Q7/2R2pkp/4p1p1/4P3/p2r1P1K/6PP/1q6/8 w - - 2 41', 'move_number': 41, 'move': 'a8a7', 'prev_move': 'd6d4', 'time_diff': '0:17:58', 'exp_point_loss': 0}]"
176.1,148.4,0.0,0.5,8.0,29.07,Maciej Czopor,Yichen Han,"Round 8: Czopor, Maciej - Han, Yichen",?,8.7,2434,2430,1.0,0.0,????.??.??,29,28,6.1,5.3,0.0,0.02,1.0,-0.5,0,0,0,0,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': 'r1bqk2r/ppp2ppp/3bn3/1B2p3/8/2N1BQ2/PPP2PPP/3RK2R b Kkq - 5 12', 'move_number': 13, 'move': 'e8e7', 'prev_move': 'c4b5', 'time_diff': '0:10:05', 'exp_point_loss': 0.3815}]","[{'turn': 'Black', 'fen': 'r1bqk2r/ppp2ppp/4n3/4p3/1bB5/2N1BQ2/PPP2PPP/3RK2R b Kkq - 3 11', 'move_number': 12, 'move': 'b4d6', 'prev_move': 'a1d1', 'time_diff': '0:23:42', 'exp_point_loss': 0.0605}, {'turn': 'White', 'fen': 'r1bqk2r/ppp2ppp/3bn3/4p3/2B5/2N1BQ2/PPP2PPP/3RK2R w Kkq - 4 12', 'move_number': 12, 'move': 'c4b5', 'prev_move': 'b4d6', 'time_diff': '0:18:54', 'exp_point_loss': 0}]"
174.8,147.1,0.07,0.57,22.64,266.83,Stephen Dishman,Sheng Liang Bernard Chan,"Round 8: Dishman, Stephen - Chan, Sheng Liang Bernard",?,8.31,2254,2098,1.0,0.0,????.??.??,42,41,4.2,3.6,0.0,0.01,0.93,-0.57,0,0,0,0,0,1,1,0,1,0,"[{'turn': 'Black', 'fen': '5rk1/1b3ppp/q3p3/1p1pP3/pQR5/6P1/PP2PPBP/3R2K1 b - - 0 21', 'move_number': 22, 'move': 'd5c4', 'prev_move': 'c1c4', 'time_diff': '0:02:06', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'r1bq1rk1/4bppp/2p1p3/1p1nP3/p7/6P1/PPQ1PPBP/RNBR2K1 w - - 1 14', 'move_number': 14, 'move': 'b1c3', 'prev_move': 'f6d5', 'time_diff': '0:19:41', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '5r1k/3R3p/8/4p3/p1Q1P3/2p3Pq/P4P1P/6K1 w - - 8 39', 'move_number': 39, 'move': 'c4c5', 'prev_move': 'g8h8', 'time_diff': '0:38:54', 'exp_point_loss': 0}]"
161.8,161.8,0.27,0.27,11.53,11.24,Peter K Wells,Savas Marin Stoica,"Round 2: Wells, Peter K - Stoica, Savas Marin",?,2.27,2339,2092,0.5,0.5,????.??.??,34,34,4.8,4.8,0.01,0.01,0.23,0.23,3,0,1,2,0,1,0,0,1,3,"[{'turn': 'Black', 'fen': 'r1bq1rk1/ppp1n1bp/3p2p1/3Ppp1n/PPP1P3/2N2N2/4BPPP/R1BQR1K1 b - - 0 11', 'move_number': 12, 'move': 'h5f4', 'prev_move': 'a2a4', 'time_diff': '0:21:39', 'exp_point_loss': 0.255}, {'turn': 'White', 'fen': '3kq3/1pp4p/3pB1p1/2nP2P1/PQP5/6P1/5P2/6K1 w - - 1 32', 'move_number': 32, 'move': 'a4a5', 'prev_move': 'd7c5', 'time_diff': '0:04:45', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'r1bq1rk1/ppp1n1bp/3p2p1/3Ppp1n/PPP1P3/2N2N2/4BPPP/R1BQR1K1 b - - 0 11', 'move_number': 12, 'move': 'h5f4', 'prev_move': 'a2a4', 'time_diff': '0:21:39', 'exp_point_loss': 0.255}, {'turn': 'Black', 'fen': 'r2q1rk1/ppp1n1bp/3p2p1/3Pp3/PPP1Nnb1/R4N2/5PPP/2BQRBK1 b - - 2 14', 'move_number': 15, 'move': 'e7f5', 'prev_move': 'a1a3', 'time_diff': '0:15:41', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r2q1rk1/ppp3bp/3p2p1/3Ppn1n/PPP1N1b1/R4NP1/5P1P/2BQRBK1 w - - 1 16', 'move_number': 16, 'move': 'h2h3', 'prev_move': 'f4h5', 'time_diff': '0:16:32', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r4qk1/ppp3bp/3p2p1/3Pp2n/PPPnN3/6PP/5PB1/2BQR1K1 b - - 1 19', 'move_number': 20, 'move': 'h5f6', 'prev_move': 'f1g2', 'time_diff': '0:28:08', 'exp_point_loss': 0}]"
