Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Michael Adams,166.3,0.31,8.2,9,7.0,166.3,0.18,2663,2651,333,5,4,6.12,9.14,0.33,4.64,0.47,0.35,0.25,165.9,166.9,4.0,3.0,2.75,83.51,0.11,21.56
Nikita Vitiugov,161.0,0.48,10.38,9,6.0,160.4,0.45,2676,2566,419,5,4,7.4,9.33,0.27,8.99,0.19,0.55,0.39,158.4,164.3,3.0,3.0,4.33,87.11,0.07,80.83
Gawain C B Maroroa Jones,161.0,0.54,36.63,9,6.5,160.0,0.63,2651,2539,418,5,4,9.4,12.1,0.49,78.11,0.18,0.3,0.84,165.0,156.0,3.5,3.0,4.84,146.31,0.24,6101.28
Peter T Roberson,160.7,0.61,29.47,9,7.0,162.7,0.28,2440,2535,418,4,5,9.77,12.89,0.54,56.39,0.17,0.78,0.47,159.3,161.9,3.5,3.5,5.47,166.08,0.29,3180.11
Shreyas Royal,160.2,0.47,17.0,9,5.5,162.2,0.56,2495,2537,376,5,4,9.94,15.4,0.44,106.26,0.14,0.4,0.56,163.2,156.5,3.5,2.0,4.2,237.3,0.19,11290.98
Matthew J Wadsworth,159.6,0.56,10.26,9,6.0,163.8,0.47,2483,2509,446,5,4,6.57,14.12,0.62,8.03,0.11,0.29,0.88,165.2,152.8,3.5,2.5,5.0,199.45,0.38,64.55
Lan Yao,159.4,0.51,38.23,9,5.5,165.4,0.54,2316,2347,387,4,5,13.91,13.41,0.29,72.7,0.1,0.55,0.48,161.2,158.0,3.0,2.5,4.6,179.78,0.09,5285.23
Svyatoslav Bazakutsa,158.2,0.69,101.0,9,6.5,161.2,0.66,2481,2442,521,4,5,14.47,19.5,0.76,176.37,0.03,0.7,0.68,160.7,156.2,3.5,3.0,6.2,380.41,0.58,31107.69
Rock Yu,157.5,0.57,29.66,8,4.5,158.6,0.64,2107,2220,298,4,4,17.32,14.22,0.45,37.33,-0.0,0.42,0.72,166.0,148.9,3.5,1.0,4.53,202.18,0.2,1393.36
Yichen Han,157.4,0.62,12.19,9,5.5,158.4,0.52,2430,2498,369,5,4,11.4,10.4,0.44,7.9,-0.01,0.65,0.59,158.5,156.0,3.5,2.0,5.61,108.09,0.19,62.48
Ameet K Ghasi,156.7,0.71,8.95,9,6.0,166.6,0.11,2501,2481,338,5,4,8.38,22.24,0.95,8.3,-0.05,0.92,0.46,155.4,158.4,4.0,2.0,6.43,494.78,0.91,68.95
Daniel Howard Fernandez,156.0,0.69,32.63,9,5.5,159.9,0.71,2500,2457,380,4,5,11.76,15.67,0.51,54.26,-0.08,0.73,0.66,155.6,156.4,2.5,3.0,6.23,245.65,0.26,2943.74
Maciej Czopor,155.0,0.8,53.2,9,6.0,159.7,0.64,2434,2517,406,4,5,16.05,16.09,0.66,82.85,-0.14,0.65,0.93,161.7,149.6,3.5,2.5,7.23,258.8,0.43,6864.58
Stanley Badacsonyi,154.7,0.71,9.48,9,5.0,157.3,0.51,2309,2209,351,5,4,8.35,12.11,0.72,7.07,-0.15,1.07,0.25,148.8,162.2,3.0,2.0,6.38,146.65,0.53,50.0
Max Pert,154.6,0.72,129.69,9,5.0,158.1,0.62,2263,2173,320,5,4,17.61,17.38,0.71,193.18,-0.16,0.54,0.93,158.6,149.5,3.0,2.0,6.44,302.22,0.51,37318.68
Richard G Pert,154.6,0.83,59.09,9,6.0,162.4,0.47,2409,2435,477,5,4,9.31,26.86,1.32,117.5,-0.16,1.18,0.38,146.7,164.4,3.0,3.0,7.43,721.46,1.75,13806.6
Stephen J Gordon,154.5,0.83,-1.46,9,6.0,158.6,0.94,2469,2422,367,5,4,11.71,9.11,0.42,49.12,-0.17,0.99,0.64,150.4,159.6,3.0,3.0,7.51,82.95,0.18,2412.86
Savas Marin Stoica,154.4,0.73,48.66,9,5.0,160.0,0.48,2092,2338,319,5,4,13.6,13.64,0.62,98.27,-0.17,0.73,0.72,155.1,153.4,3.0,2.0,6.55,186.1,0.39,9657.57
Borna Derakhshani,154.0,0.53,17.63,3,1.0,149.2,0.45,2348,2137,112,1,2,23.36,19.1,0.51,11.23,-0.19,0.45,0.57,149.2,156.4,0.0,1.0,1.58,364.86,0.26,126.0
Siva Mahadevan,153.6,0.88,12.99,9,6.0,152.6,0.86,2416,2476,383,4,5,11.54,11.13,0.41,4.8,-0.22,0.94,0.84,149.5,156.8,2.0,4.0,7.94,123.88,0.16,23.06
Avyukt Dasgupta,153.6,0.78,79.35,8,4.5,152.6,0.89,2158,2218,330,4,4,15.49,14.29,0.38,119.61,-0.21,1.0,0.55,145.9,161.3,1.5,3.0,6.21,204.34,0.14,14305.38
Glenn C Flear,153.6,0.88,13.72,9,6.0,157.0,0.55,2358,2502,396,5,4,12.13,15.16,0.91,9.18,-0.21,0.98,0.75,152.3,155.2,3.5,2.5,7.92,229.72,0.83,84.28
William Claridge-Hansen,153.4,0.83,77.3,9,5.5,157.4,1.01,2364,2412,395,5,4,14.84,15.74,0.5,129.81,-0.22,0.92,0.73,153.6,153.3,3.5,2.0,7.51,247.77,0.25,16849.74
Andrew J Ledger,153.1,0.74,73.24,9,4.5,156.6,0.55,2323,2199,376,5,4,23.42,17.23,0.69,113.79,-0.24,0.8,0.66,153.8,152.2,3.0,1.5,6.66,296.72,0.48,12948.26
Stephen Dishman,152.8,0.7,18.5,9,4.0,162.0,0.45,2254,2073,356,4,5,22.64,22.89,0.92,10.66,-0.26,1.02,0.44,147.8,156.9,2.0,2.0,6.3,524.07,0.84,113.62
John R Richardson,151.9,0.8,73.64,9,4.5,150.5,0.61,2246,2134,318,5,4,23.96,17.47,0.68,115.93,-0.3,0.43,1.27,164.4,136.3,4.0,0.5,7.23,305.13,0.46,13439.76
Roman Kovalskyi,151.7,0.81,68.77,9,4.5,155.9,0.99,2180,2302,371,4,5,8.21,16.07,0.63,116.58,-0.31,1.14,0.55,143.3,158.5,1.5,3.0,7.33,258.1,0.4,13592.02
Jacob Connor Boswell,151.2,0.9,21.33,9,5.0,157.7,0.56,2278,2282,289,4,5,15.81,18.66,0.7,14.72,-0.34,0.73,1.03,162.6,142.1,4.0,1.0,8.09,348.23,0.48,216.54
Audrey Kueh,151.0,0.85,70.12,9,4.5,157.3,0.94,2071,2221,404,4,5,13.17,16.26,0.59,120.93,-0.35,0.78,0.91,152.3,150.0,2.0,2.5,7.67,264.41,0.35,14623.59
Robert S Eames,151.0,0.8,20.73,9,4.0,157.4,0.81,2136,2165,324,4,5,20.26,13.84,0.44,10.73,-0.35,0.94,0.68,147.1,154.2,1.5,2.5,7.18,191.43,0.19,115.05
Rishi Vijayakumar,151.0,0.91,37.09,9,5.0,152.3,0.8,2310,2352,431,5,4,17.18,9.92,0.67,67.92,-0.35,1.18,0.56,148.5,154.1,3.5,1.5,8.16,98.47,0.46,4612.63
