white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
173.5,146.3,0.01,0.51,11.91,25.17,Hikaru Nakamura,Alireza Firouzja,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,3.1,2734,2754,1.0,0.0,2025.02.19,47,46,3.7,3.2,0.0,0.01,0.86,-0.61,0,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '5rk1/1p1q1bpp/r1np1p2/p2n4/2NB4/PP4P1/4PPBP/2RQ1RK1 b - - 0 20', 'move_number': 21, 'move': 'b7b5', 'prev_move': 'b2d4', 'time_diff': '0:00:36', 'exp_point_loss': 0.2625}]",[]
137.9,164.9,0.92,0.41,170.67,70.55,Praggnanandhaa R,Yi Wei,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,1.1,2684,2746,0.0,1.0,2025.02.18,100,100,1.4,1.6,0.01,0.0,-1.06,0.4,0,0,2,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '8/1pR2p2/1P2k3/2K5/2P5/2N5/8/1r5b b - - 4 44', 'move_number': 45, 'move': 'b1c1', 'prev_move': 'a4c3', 'time_diff': '0:00:31', 'exp_point_loss': 0.40249999999999997}, {'turn': 'White', 'fen': '8/1pR2p2/1P2k3/2K5/2P5/2N5/8/2r4b w - - 5 45', 'move_number': 45, 'move': 'c3b5', 'prev_move': 'b1c1', 'time_diff': '0:00:33', 'exp_point_loss': 0.40349999999999997}, {'turn': 'White', 'fen': '8/1p6/1P2N1k1/2K5/2P2R2/8/5p2/5r1b w - - 8 56', 'move_number': 56, 'move': 'f4f8', 'prev_move': 'g5g6', 'time_diff': '0:00:35', 'exp_point_loss': 0.5}]",[]
124.1,94.2,2.38,2.88,18.69,231.83,Hikaru Nakamura,Alexander Grischuk,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,1.1,2734,2688,1.0,0.0,2025.02.18,48,47,2.6,2.0,0.05,0.06,-1.81,-3.42,5,2,4,7,0,4,0,0,0,0,"[{'turn': 'White', 'fen': 'r1r3k1/p4ppp/2nqbn2/1p2p3/3pP3/1P1P4/PBQNBPPP/2R2RK1 w - - 0 16', 'move_number': 16, 'move': 'c2b1', 'prev_move': 'b7b5', 'time_diff': '0:00:53', 'exp_point_loss': 0.402}, {'turn': 'White', 'fen': '2r3k1/p4pp1/3qbn1p/1p2p3/1n1pP3/1P1P4/PB1NBPPP/1Q3RK1 w - - 0 19', 'move_number': 19, 'move': 'f1c1', 'prev_move': 'a8c8', 'time_diff': '0:00:33', 'exp_point_loss': 0.356}, {'turn': 'White', 'fen': '6k1/2qn1pp1/4b2p/pp2p3/1n1pP3/1P1P4/PB2BPPP/1Q2N1K1 w - - 6 25', 'move_number': 25, 'move': 'h2h4', 'prev_move': 'c3c7', 'time_diff': '0:01:07', 'exp_point_loss': 0.30799999999999994}, {'turn': 'Black', 'fen': '6k1/2qn1pp1/4b2p/pp2p3/1n1pP2P/1P1P4/PB2BPP1/1Q2N1K1 b - - 0 25', 'move_number': 26, 'move': 'd7c5', 'prev_move': 'h2h4', 'time_diff': '0:01:07', 'exp_point_loss': 0.3514999999999999}, {'turn': 'White', 'fen': '6k1/2q2pp1/4b2p/ppn1p3/1n1pP2P/1P1P4/PB2BPP1/1Q2N1K1 w - - 1 26', 'move_number': 26, 'move': 'b2a3', 'prev_move': 'd7c5', 'time_diff': '0:00:34', 'exp_point_loss': 0.47}, {'turn': 'Black', 'fen': '6k1/2q2pp1/4b2p/ppn1p3/1n1pP2P/BP1P4/P3BPP1/1Q2N1K1 b - - 2 26', 'move_number': 27, 'move': 'b4a6', 'prev_move': 'b2a3', 'time_diff': '0:00:35', 'exp_point_loss': 0.347}, {'turn': 'Black', 'fen': '6k1/3n1p2/2N1b2Q/p1q4P/1p1P4/1Pn5/P5P1/5BK1 b - - 0 43', 'move_number': 44, 'move': 'c5c6', 'prev_move': 'd3d4', 'time_diff': '0:00:31', 'exp_point_loss': 0.506}, {'turn': 'Black', 'fen': '5k2/3n1p2/2q1b2P/p5Q1/1p1P4/1Pn5/P5P1/5BK1 b - - 0 47', 'move_number': 48, 'move': 'c6e4', 'prev_move': 'h5h6', 'time_diff': '0:00:34', 'exp_point_loss': 0.47}]",[]
135.1,165.5,1.02,0.52,184.58,14.8,Ian Nepomniachtchi,Hikaru Nakamura,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,2.2,2758,2734,0.0,1.0,2025.02.18,59,59,2.3,2.8,0.02,0.01,-1.21,0.43,1,1,1,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '4rr1k/2pn1qp1/1p1bp2p/nP1pp3/R3P3/2PPBNNP/Q3RPP1/6K1 b - - 14 23', 'move_number': 24, 'move': 'f7g8', 'prev_move': 'b1a2', 'time_diff': '0:00:43', 'exp_point_loss': 0.23149999999999998}, {'turn': 'White', 'fen': '6qk/1npn2p1/1p1bp2p/1P1pp3/4P3/2rPB1NP/R4PPN/1Q4K1 w - - 0 29', 'move_number': 29, 'move': 'h2f3', 'prev_move': 'a3c3', 'time_diff': '0:01:18', 'exp_point_loss': 0.37850000000000006}]",[]
171.8,144.8,0.12,0.61,13.42,283.54,Fabiano Caruana,Alireza Firouzja,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,2.1,2756,2754,1.0,0.0,2025.02.18,38,37,4.5,3.9,0.0,0.02,0.77,-0.69,1,0,0,4,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3rnk1/2pqnpp1/1p1p3p/p1b5/2PNP3/PP2B1NP/5PP1/R2Q1RK1 b - - 0 18', 'move_number': 19, 'move': 'e7c6', 'prev_move': 'b2b3', 'time_diff': '0:01:29', 'exp_point_loss': 0.3505}]",[]
170.2,146.3,0.05,0.54,13.25,33.72,Ian Nepomniachtchi,Vladislav Artemiev,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,52.1,2758,2699,1.0,0.0,2025.02.19,44,43,3.9,3.4,0.0,0.01,0.68,-0.61,0,0,0,0,1,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2q1r1k/ppp2ppp/1nnb4/4p2b/PP6/1BPP1N1P/3N1PP1/R1BQR1K1 b - - 0 13', 'move_number': 14, 'move': 'f7f5', 'prev_move': 'a2a4', 'time_diff': '0:01:07', 'exp_point_loss': 0.2995}]",[]
138.2,133.1,1.43,1.42,58.14,58.58,Samuel Sevian,Fabiano Caruana,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,1.2,2641,2756,0.5,0.5,2025.02.18,92,91,1.5,1.5,0.02,0.02,-1.04,-1.32,1,1,2,0,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '3rr1k1/1Qpn1qp1/p2bp2p/P7/3PR3/5N1P/3B1PP1/R5K1 b - - 0 24', 'move_number': 25, 'move': 'd7f6', 'prev_move': 'c3d4', 'time_diff': '0:00:48', 'exp_point_loss': 0.25549999999999995}, {'turn': 'Black', 'fen': '8/7R/P3k1p1/1K4P1/7p/8/8/r7 b - - 1 75', 'move_number': 76, 'move': 'e6f5', 'prev_move': 'c7h7', 'time_diff': '0:00:32', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/3K4/P5p1/6k1/R7/8/8/3r4 w - - 6 80', 'move_number': 80, 'move': 'd7e6', 'prev_move': 'c1d1', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': 'r7/P7/6p1/4K1k1/R7/8/8/8 b - - 2 82', 'move_number': 83, 'move': 'a8e8', 'prev_move': 'e6e5', 'time_diff': '0:00:33', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4r3/PK6/6p1/5k2/R7/8/8/8 w - - 9 86', 'move_number': 86, 'move': 'a4c4', 'prev_move': 'a8e8', 'time_diff': '0:00:32', 'exp_point_loss': 0.5}]",[]
106.4,135.8,2.39,1.89,31.2,19.53,Praggnanandhaa R,Yi Wei,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,1.3,2684,2746,0.0,1.0,2025.02.18,49,49,2.2,2.8,0.05,0.04,-2.76,-1.17,2,0,5,1,0,4,0,0,0,0,"[{'turn': 'White', 'fen': '2r1r1k1/pp4bp/1q4p1/3ppb2/1n2n3/N3PN1P/PP2BPPB/R2Q1RK1 w - - 0 18', 'move_number': 18, 'move': 'a3b5', 'prev_move': 'f6e5', 'time_diff': '0:00:31', 'exp_point_loss': 0.3034999999999999}, {'turn': 'Black', 'fen': '2r1r1k1/pp4bp/1q4p1/1N1ppb2/1n2n3/4PN1P/PP2BPPB/R2Q1RK1 b - - 1 18', 'move_number': 19, 'move': 'g8h8', 'prev_move': 'a3b5', 'time_diff': '0:01:22', 'exp_point_loss': 0.3789999999999999}, {'turn': 'White', 'fen': '2r1r2k/pp4bp/1q4p1/1N1ppb2/1n2n3/4PN1P/PP2BPPB/R2Q1RK1 w - - 2 19', 'move_number': 19, 'move': 'a2a3', 'prev_move': 'g8h8', 'time_diff': '0:00:49', 'exp_point_loss': 0.37249999999999994}, {'turn': 'Black', 'fen': '7k/pp4bp/6p1/4pb2/3p4/P1N1qN1P/1P2B1PB/3R3K b - - 0 27', 'move_number': 28, 'move': 'f5c2', 'prev_move': 'f1d1', 'time_diff': '0:01:00', 'exp_point_loss': 0.381}, {'turn': 'White', 'fen': '7k/pp4bp/6p1/4p3/2bp4/P1N1qN1P/1P1R2PB/3B3K w - - 5 30', 'move_number': 30, 'move': 'h2g1', 'prev_move': 'b3c4', 'time_diff': '0:00:32', 'exp_point_loss': 0.49450000000000005}, {'turn': 'Black', 'fen': '7k/pp4bp/6p1/4p3/2bp1q2/P1N2N1P/1P1R2PB/3B3K b - - 8 31', 'move_number': 32, 'move': 'f4e3', 'prev_move': 'g1h2', 'time_diff': '0:00:38', 'exp_point_loss': 0.496}, {'turn': 'White', 'fen': '7k/pp4bp/6p1/4p3/2bp4/P1N1qN1P/1P1R2PB/3B3K w - - 9 32', 'move_number': 32, 'move': 'h2g1', 'prev_move': 'f4e3', 'time_diff': '0:01:07', 'exp_point_loss': 0.495}, {'turn': 'Black', 'fen': '7k/pp4bp/6p1/4p3/2bp4/P4N1P/1P1R2PB/1q1B2NK b - - 16 35', 'move_number': 36, 'move': 'e5e4', 'prev_move': 'e2g1', 'time_diff': '0:00:30', 'exp_point_loss': 0.43700000000000006}, {'turn': 'White', 'fen': '7k/pp4bp/6p1/8/2bpB3/q4N1P/3R2PB/6NK w - - 0 38', 'move_number': 38, 'move': 'f3d4', 'prev_move': 'b2a3', 'time_diff': '0:00:31', 'exp_point_loss': 0.46299999999999997}]",[]
114.1,134.4,2.48,1.97,285.83,146.81,Yangyi Yu,Magnus Carlsen,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,2.2,2700,2819,0.0,1.0,2025.02.18,72,72,1.6,1.9,0.03,0.03,-2.34,-1.25,1,1,4,5,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '5rk1/3nr1b1/1ppq3p/p1p1pp1Q/P1P5/2BP3N/2P2PPP/1R2R1K1 b - - 5 21', 'move_number': 22, 'move': 'd7f6', 'prev_move': 'b3b1', 'time_diff': '0:00:51', 'exp_point_loss': 0.3065}, {'turn': 'White', 'fen': '8/1r3kn1/1pp2q1p/p1p2p2/P1P2N2/3P1QP1/5P1P/1R4K1 w - - 11 38', 'move_number': 38, 'move': 'f4d5', 'prev_move': 'd6f6', 'time_diff': '0:00:50', 'exp_point_loss': 0.4665}, {'turn': 'Black', 'fen': '8/1r3kn1/1pp2q1p/p1pN1p2/P1P5/3P1QP1/5P1P/1R4K1 b - - 12 38', 'move_number': 39, 'move': 'f6d8', 'prev_move': 'f4d5', 'time_diff': '0:00:46', 'exp_point_loss': 0.44}, {'turn': 'White', 'fen': '3q4/1r3kn1/1pp4p/p1pN1p2/P1P5/3P1QP1/5P1P/1R4K1 w - - 13 39', 'move_number': 39, 'move': 'd5e3', 'prev_move': 'f6d8', 'time_diff': '0:00:43', 'exp_point_loss': 0.4715}, {'turn': 'White', 'fen': '8/7R/4n1k1/N7/1rp1p3/6P1/5P1P/6K1 w - - 6 51', 'move_number': 51, 'move': 'h7e7', 'prev_move': 'f7g6', 'time_diff': '0:00:35', 'exp_point_loss': 0.49450000000000005}, {'turn': 'Black', 'fen': '8/8/8/5k2/8/4N1P1/7r/2n2K2 b - - 1 67', 'move_number': 68, 'move': 'f5e5', 'prev_move': 'c4e3', 'time_diff': '0:00:31', 'exp_point_loss': 0.507}, {'turn': 'White', 'fen': '8/8/8/4k3/8/4N1P1/7r/2n2K2 w - - 2 68', 'move_number': 68, 'move': 'f1g1', 'prev_move': 'f5e5', 'time_diff': '0:00:30', 'exp_point_loss': 0.507}]",[]
162.2,130.0,0.67,1.16,149.89,175.21,Yangyi Yu,Wesley So,2025 Champions Chess Tour Chessable Masters Playoffs,Chess.com,1.2,2700,2711,1.0,0.0,2025.02.18,62,61,2.6,2.1,0.01,0.02,0.25,-1.49,1,1,1,1,0,2,0,0,0,0,"[{'turn': 'White', 'fen': 'r1br2k1/p1R2ppp/1p1q4/3p4/3Q4/2R3P1/P4PBP/6K1 w - - 0 24', 'move_number': 24, 'move': 'c3c6', 'prev_move': 'e6d5', 'time_diff': '0:00:48', 'exp_point_loss': 0.37550000000000006}, {'turn': 'Black', 'fen': '3r1qk1/p1R2pp1/1p2b2p/3p4/P2Q3P/6P1/5PBK/8 b - - 2 31', 'move_number': 32, 'move': 'd8c8', 'prev_move': 'e5d4', 'time_diff': '0:01:08', 'exp_point_loss': 0.37450000000000006}, {'turn': 'Black', 'fen': '8/5p2/5kp1/3r3p/5R1P/5KP1/5P2/8 b - - 17 55', 'move_number': 56, 'move': 'd5f5', 'prev_move': 'e4f4', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}]",[]
