Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Magnus Carlsen,148.4,1.01,29.76,18,12.5,154.6,0.78,2819,2847,1031,10,8,12.9,21.3,0.91,51.35,-0.49,0.57,1.56,160.2,133.7,8.0,4.5,18.21,453.58,0.83,2636.89
Erigaisi Arjun,147.5,1.02,75.31,13,7.5,154.0,0.71,2708,2810,785,7,6,15.0,24.9,1.0,107.21,-0.54,1.19,0.82,146.5,148.7,5.0,2.5,13.26,620.16,0.99,11494.54
Hikaru Nakamura,147.1,1.03,23.55,19,10.5,157.0,0.53,2734,2805,989,10,9,14.8,23.33,1.09,43.9,-0.57,1.07,0.98,148.8,145.1,7.0,3.5,19.57,544.3,1.18,1927.27
Vladislav Artemiev,146.1,0.85,36.22,8,3.5,145.9,0.76,2699,2671,421,4,4,16.98,20.51,0.8,58.44,-0.62,0.58,1.13,155.0,137.2,2.5,1.0,6.83,420.81,0.63,3415.43
Yangyi Yu,144.2,1.12,99.82,11,5.5,145.5,1.02,2700,2740,642,5,6,14.12,19.83,0.82,143.92,-0.72,1.26,1.0,145.0,143.6,3.5,2.0,12.27,393.25,0.67,20711.79
Yi Wei,143.6,0.99,35.53,8,3.5,139.8,1.0,2746,2661,477,3,5,27.36,15.2,0.56,31.33,-0.75,0.66,1.19,152.9,138.0,1.5,2.0,7.92,230.91,0.32,981.5
Ian Nepomniachtchi,143.0,1.15,46.65,17,10.0,141.6,0.88,2758,2778,1005,8,9,15.08,21.0,0.99,65.66,-0.78,1.17,1.13,144.5,141.7,5.5,4.5,19.51,441.04,0.98,4311.15
Praggnanandhaa R,143.0,0.92,44.39,5,1.5,145.8,0.92,2684,2580,296,3,2,11.76,23.13,0.92,71.47,-0.78,1.44,0.14,130.0,162.6,0.5,1.0,4.6,534.9,0.85,5107.37
Samuel Sevian,142.2,0.97,102.28,5,1.5,138.2,1.17,2641,2582,318,2,3,58.14,21.16,0.89,114.37,-0.83,0.74,1.12,150.8,136.5,1.0,0.5,4.84,447.6,0.8,13081.34
Wesley So,141.9,1.0,36.6,6,2.5,140.0,1.15,2711,2625,323,3,3,12.45,17.47,0.73,68.06,-0.84,0.48,1.51,155.3,128.5,1.5,1.0,5.97,305.18,0.53,4631.89
Andrey Esipenko,141.6,1.25,54.43,10,4.5,144.0,1.14,2651,2738,507,5,5,16.31,20.76,0.85,83.51,-0.86,1.85,0.65,128.8,154.5,2.0,2.5,12.53,430.96,0.72,6974.0
Anish Giri,138.6,1.06,84.25,7,2.0,144.7,1.04,2688,2547,371,3,4,22.43,27.01,1.04,117.16,-1.02,0.88,1.18,144.2,134.4,1.0,1.0,7.39,729.56,1.08,13727.29
Alireza Firouzja,132.9,1.6,106.34,13,6.5,144.1,1.55,2754,2730,686,7,6,38.03,31.68,1.34,114.51,-1.33,1.85,1.31,128.8,137.6,4.0,2.5,20.82,1003.84,1.81,13111.78
Fabiano Caruana,132.2,1.55,98.51,9,4.5,133.1,1.46,2756,2693,507,5,4,34.21,24.67,0.88,115.96,-1.37,1.35,1.81,138.2,124.6,3.0,1.5,13.98,608.54,0.78,13445.62
Jan-Krzysztof Duda,126.0,1.9,82.89,14,6.5,127.0,1.78,2731,2713,979,7,7,23.68,20.89,0.99,130.15,-1.7,1.69,2.1,133.9,118.1,4.5,2.0,26.57,436.25,0.99,16939.71
Alexander Grischuk,113.1,2.31,65.81,5,1.5,104.6,2.88,2688,2586,310,2,3,23.74,19.41,0.95,92.87,-2.39,1.9,2.58,121.0,107.8,0.5,1.0,11.55,376.76,0.9,8625.0
