,Mean,Median,Std Dev,Min,Max
Total Moves,9647.0,9647.0,0.0,9647.0,9647.0
Total Games,84.0,84.0,0.0,84.0,84.0
avg_gi,139.46,142.6,9.32,113.1,148.4
avg_missed_points,1.23,1.04,0.4,0.85,2.31
avg_missed_points_white,1.17,1.18,0.49,0.48,1.9
avg_missed_points_black,1.26,1.15,0.57,0.14,2.58
avg_gi_white,142.74,144.75,11.44,121.0,160.2
avg_gi_black,137.04,137.4,13.38,107.8,162.6
avg_acpl,63.9,60.12,28.92,23.55,106.34
Elo,2716.75,2709.5,44.67,2641.0,2819.0
TPR,2694.12,2703.0,92.07,2547.0,2847.0
gi_median,141.24,144.05,12.39,104.6,157.0
missed_points_median,1.17,1.03,0.56,0.53,2.88
