white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
145.5,92.9,1.33,1.83,225.32,357.86,Fedor Melnikov,Eymen Eren Buyuk,"Round 5: Melnikov, Fedor - Buyuk, Eymen Eren",?,5.8,2276,2131,1.0,0.0,????.??.??,78,77,1.9,1.2,0.02,0.02,-0.65,-3.49,0,1,3,1,0,5,0,0,1,0,"[{'turn': 'Black', 'fen': '4r3/5pkb/1R3n1p/1p1p4/1P1N1P2/2rP4/4P1BP/4R1K1 b - - 0 26', 'move_number': 27, 'move': 'c3d3', 'prev_move': 'a6b6', 'time_diff': '0:00:33', 'exp_point_loss': 0.35450000000000004}, {'turn': 'White', 'fen': '8/5pkb/4Rn1p/1p1p4/1P1r1P2/8/4P1BP/4R1K1 w - - 1 29', 'move_number': 29, 'move': 'e6e5', 'prev_move': 'd3d4', 'time_diff': '0:03:16', 'exp_point_loss': 0.3015}, {'turn': 'Black', 'fen': '8/5pkb/5n1p/1p1pR3/1P1r1P2/8/4P1BP/4R1K1 b - - 2 29', 'move_number': 30, 'move': 'd4b4', 'prev_move': 'e6e5', 'time_diff': '0:00:03', 'exp_point_loss': 0.268}, {'turn': 'Black', 'fen': '8/5pkb/5n1p/1p1pRP2/1r6/8/4P1BP/4R1K1 b - - 0 30', 'move_number': 31, 'move': 'b4d4', 'prev_move': 'f4f5', 'time_diff': '0:01:29', 'exp_point_loss': 0.292}, {'turn': 'White', 'fen': '8/5pkb/5n1p/3pRP2/1pr5/4P3/6BP/1R4K1 w - - 1 33', 'move_number': 33, 'move': 'g2f3', 'prev_move': 'd4c4', 'time_diff': '0:04:30', 'exp_point_loss': 0.33699999999999997}, {'turn': 'Black', 'fen': '7k/5K1b/8/7P/8/8/3R4/8 b - - 0 64', 'move_number': 65, 'move': 'h7g8', 'prev_move': 'f6f7', 'time_diff': '0:00:24', 'exp_point_loss': 0.496}, {'turn': 'White', 'fen': '6k1/7R/4b2K/7P/8/8/8/8 w - - 9 69', 'move_number': 69, 'move': 'h7e7', 'prev_move': 'h8g8', 'time_diff': '0:00:09', 'exp_point_loss': 0.4825}, {'turn': 'Black', 'fen': '6k1/4R3/4b2K/7P/8/8/8/8 b - - 10 69', 'move_number': 70, 'move': 'e6f7', 'prev_move': 'h7e7', 'time_diff': '0:00:24', 'exp_point_loss': 0.4825}]","[{'turn': 'White', 'fen': '2r1r1k1/1p1n1p1b/p1pb1n1p/3p2p1/1P1N4/1NBP2P1/1P2PPBP/R3R1K1 w - - 0 18', 'move_number': 18, 'move': 'c3d2', 'prev_move': 'g7g5', 'time_diff': '0:25:53', 'exp_point_loss': 0.025999999999999968}]"
130.2,130.0,1.26,1.26,17.31,16.85,Varvara Saulina,Nazmi Can Dogan,"Round 9: Saulina, Varvara - Dogan, Nazmi Can",?,9.9,2073,2199,0.5,0.5,????.??.??,39,39,3.3,3.3,0.03,0.03,-1.48,-1.49,0,1,2,1,0,2,1,0,0,1,"[{'turn': 'White', 'fen': '4r1k1/3b4/3r3p/pp1pqp2/3Qn1p1/1PP1NRPP/P3N1PK/3R4 w - - 0 28', 'move_number': 28, 'move': 'h3g4', 'prev_move': 'g5g4', 'time_diff': '0:03:03', 'exp_point_loss': 0.49450000000000005}, {'turn': 'Black', 'fen': '4r1k1/3b4/5r1p/pp1p1N2/6P1/1PPRN1P1/P6K/8 b - - 2 33', 'move_number': 34, 'move': 'd7f5', 'prev_move': 'd4f5', 'time_diff': '0:01:42', 'exp_point_loss': 0.47850000000000004}, {'turn': 'White', 'fen': '6k1/8/5r2/pp1p1P1p/4r1P1/1PPRN3/P6K/8 w - - 0 36', 'move_number': 36, 'move': 'g4g5', 'prev_move': 'h6h5', 'time_diff': '0:02:51', 'exp_point_loss': 0.49050000000000005}, {'turn': 'Black', 'fen': '6k1/8/5r2/pp1p1PPp/4r3/1PPRN3/P6K/8 b - - 0 36', 'move_number': 37, 'move': 'e4e3', 'prev_move': 'g4g5', 'time_diff': '0:00:31', 'exp_point_loss': 0.496}]","[{'turn': 'White', 'fen': 'rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2', 'move_number': 2, 'move': 'd2d4', 'prev_move': 'c7c6', 'time_diff': '0:38:04', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r1bq1rk1/pp3pp1/3b1n1p/3p4/7B/2PQ1N1P/PP3PP1/RN3RK1 b - - 1 12', 'move_number': 13, 'move': 'g7g5', 'prev_move': 'g5h4', 'time_diff': '0:25:42', 'exp_point_loss': 0.0025000000000000022}]"
83.4,89.1,2.56,2.56,23.21,22.96,Ramil Faizrakhmanov,Etka Karabulut,"Round 2: Faizrakhmanov, Ramil - Karabulut, Etka",?,2.14,2426,2204,0.5,0.5,????.??.??,71,71,1.2,1.3,0.04,0.04,-4.0,-3.69,2,2,4,3,1,5,2,0,2,0,"[{'turn': 'Black', 'fen': 'r2qkbnr/pp3ppp/2n1p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 1 7', 'move_number': 8, 'move': 'g8e7', 'prev_move': 'e1g1', 'time_diff': '0:03:40', 'exp_point_loss': 0.2875}, {'turn': 'White', 'fen': 'r1q2rk1/pp2bppp/2n2n2/1BPp1P2/1P1NpB2/2P5/P3Q1PP/1R3RK1 w - - 4 19', 'move_number': 19, 'move': 'd4c6', 'prev_move': 'c7c8', 'time_diff': '0:02:43', 'exp_point_loss': 0.316}, {'turn': 'Black', 'fen': '3rr1k1/p2qbppp/B1p2n2/2Pp1P2/PP2pB2/2P5/4Q1PP/3R1R1K b - - 0 23', 'move_number': 24, 'move': 'e4e3', 'prev_move': 'a2a4', 'time_diff': '0:02:13', 'exp_point_loss': 0.2815}, {'turn': 'White', 'fen': '3r2k1/p3qppp/2p2n2/2Pp1P2/PPPQ4/8/2B1r1PP/3R1R1K w - - 5 33', 'move_number': 33, 'move': 'c2b3', 'prev_move': 'e5e2', 'time_diff': '0:00:28', 'exp_point_loss': 0.4804999999999999}, {'turn': 'Black', 'fen': '3r2k1/p4ppp/2p2n2/P1P1qPQ1/1PPpr3/1B6/6PP/3R1R1K b - - 2 36', 'move_number': 37, 'move': 'h7h6', 'prev_move': 'd2g5', 'time_diff': '0:00:21', 'exp_point_loss': 0.48250000000000004}, {'turn': 'White', 'fen': '3r2k1/p3qpp1/2p2n1p/P1P2P2/BPPp4/4rQ2/6PP/3R1R1K w - - 8 41', 'move_number': 41, 'move': 'f3c6', 'prev_move': 'e4e3', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '3r2k1/p3qpp1/2Q2n1p/P1P2P2/BPPp4/4r3/6PP/3R1R1K b - - 0 41', 'move_number': 42, 'move': 'f6g4', 'prev_move': 'f3c6', 'time_diff': '0:01:57', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '3r2k1/p1Q2pp1/7p/P1P1nP2/BPPp3q/7r/6P1/3R1RK1 w - - 0 45', 'move_number': 45, 'move': 'c7d8', 'prev_move': 'e3h3', 'time_diff': '0:00:49', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '6k1/5pp1/1PP4p/5P2/8/2qp4/5RB1/6K1 b - - 0 57', 'move_number': 58, 'move': 'd3d2', 'prev_move': 'a5b6', 'time_diff': '0:01:22', 'exp_point_loss': 0.486}]","[{'turn': 'White', 'fen': 'r2qkb1r/pp3ppp/2n1p1n1/2PpPb2/8/2P2N2/PP2BPPP/RNBQ1RK1 w kq - 1 9', 'move_number': 9, 'move': 'b2b4', 'prev_move': 'e7g6', 'time_diff': '0:18:19', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r2qk2r/pp2bppp/2n1p1n1/2PpPb2/1P6/2P2N2/P3BPPP/RNBQ1RK1 w kq - 1 10', 'move_number': 10, 'move': 'f3d4', 'prev_move': 'f8e7', 'time_diff': '0:18:59', 'exp_point_loss': 0.026999999999999996}, {'turn': 'White', 'fen': '3rr1k1/p2q1ppp/B1p2n2/2Pp1P2/PP3b2/2P2Q2/6PP/3R1R1K w - - 0 26', 'move_number': 26, 'move': 'f3f4', 'prev_move': 'd6f4', 'time_diff': '0:40:00', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '3q2k1/p4pp1/7p/P1P1nP2/BPPp4/7r/6P1/3R1RK1 w - - 0 46', 'move_number': 46, 'move': 'g2h3', 'prev_move': 'h4d8', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
157.6,159.4,0.0,0.0,0.0,0.0,Bayanmunkh Amin-Erdene,Narmin Abdinova,"Round 6: Amin-Erdene, Bayanmunkh - Abdinova, Narmin",?,6.42,2286,2142,0.0,1.0,????.??.??,45,45,3.5,3.5,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,1,1,0,[],"[{'turn': 'White', 'fen': '2rq1rk1/pb2bppp/1pn2n2/2pp4/3P1BP1/2N2P2/PPPQN1BP/2KR3R w - - 4 12', 'move_number': 12, 'move': 'd4c5', 'prev_move': 'a8c8', 'time_diff': '0:22:06', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/5p1p/1P6/5k2/5pr1/5R2/8/K7 b - - 0 39', 'move_number': 40, 'move': 'g4g8', 'prev_move': 'a5b6', 'time_diff': '0:39:57', 'exp_point_loss': 0}]"
158.2,144.0,-0.1,0.39,268.66,297.74,Selim Citak,Esat Tuna Turker,"Round 8: Citak, Selim - Turker, Esat Tuna",?,8.17,2357,2073,1.0,0.0,????.??.??,35,34,4.5,4.2,-0.0,0.01,0.03,-0.73,1,0,0,1,0,2,0,0,0,1,"[{'turn': 'Black', 'fen': 'r1bq1rk1/1p3pbp/n1pp2p1/p1nPp1PP/2P1P3/2N1BP2/PP2B3/R2QK1NR b KQ - 0 12', 'move_number': 13, 'move': 'f7f5', 'prev_move': 'f2f3', 'time_diff': '0:07:13', 'exp_point_loss': 0.2475}, {'turn': 'Black', 'fen': 'r1bq1rk1/1p6/n1pp2p1/p1nPp3/2P1P2b/2N1BP2/PP1QB3/R4KNR b - - 3 16', 'move_number': 17, 'move': 'c8g4', 'prev_move': 'e1f1', 'time_diff': '0:16:05', 'exp_point_loss': 0.24}]","[{'turn': 'Black', 'fen': 'r1bq1rk1/1p6/n1pp2p1/p1nPp3/2P1P2b/2N1BP2/PP1QB3/R4KNR b - - 3 16', 'move_number': 17, 'move': 'c8g4', 'prev_move': 'e1f1', 'time_diff': '0:16:05', 'exp_point_loss': 0.24}]"
122.3,123.6,1.48,1.48,9.11,9.11,Kayra Kamer,Salih Eke,"Round 1: Kamer, Kayra - Eke, Salih",?,1.12,2332,2195,0.5,0.5,????.??.??,71,71,1.7,1.7,0.02,0.02,-1.9,-1.83,0,0,3,3,0,2,0,2,0,1,"[{'turn': 'Black', 'fen': 'r1bqk2r/pp2bppp/2n2n2/3p2B1/3PpN2/2N3P1/PP2PPBP/R2QK2R b KQkq - 3 9', 'move_number': 10, 'move': 'e8g8', 'prev_move': 'h3f4', 'time_diff': '0:02:29', 'exp_point_loss': 0.32}, {'turn': 'White', 'fen': 'r2q1rk1/pp3ppp/2n5/3N4/3bB3/2N3Pb/PP2PP1P/R2QK2R w KQ - 1 13', 'move_number': 13, 'move': 'e2e3', 'prev_move': 'c8h3', 'time_diff': '0:00:51', 'exp_point_loss': 0.417}, {'turn': 'White', 'fen': '1r5k/p6p/2p2r2/8/4Pp2/1PN4b/P3KP1P/R2R4 w - - 1 23', 'move_number': 23, 'move': 'e2f3', 'prev_move': 'f8f6', 'time_diff': '0:06:10', 'exp_point_loss': 0.431}, {'turn': 'Black', 'fen': '5r1k/R6p/4b3/3N4/4Kp2/1P5r/P4P2/6R1 b - - 0 31', 'move_number': 32, 'move': 'e6f5', 'prev_move': 'c7a7', 'time_diff': '0:05:44', 'exp_point_loss': 0.4765}, {'turn': 'White', 'fen': '5r1k/R3R2p/5Nb1/4K3/5p2/1P6/P4P2/7r w - - 9 36', 'move_number': 36, 'move': 'f6d7', 'prev_move': 'h2h1', 'time_diff': '0:02:19', 'exp_point_loss': 0.4665}]","[{'turn': 'Black', 'fen': '1r5k/p6p/2p2r2/8/4Pp2/1PN2K1b/P4P1P/R2R4 b - - 2 23', 'move_number': 24, 'move': 'b8f8', 'prev_move': 'e2f3', 'time_diff': '0:23:26', 'exp_point_loss': 0.026000000000000023}, {'turn': 'Black', 'fen': '7Q/R2N1r2/3K2bk/8/5p2/8/P4P2/7q b - - 4 46', 'move_number': 47, 'move': 'g6h7', 'prev_move': 'b2h8', 'time_diff': '0:40:00', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'Black', 'fen': '8/2q5/6b1/8/3KNp2/1Q3P1k/P7/8 b - - 11 61', 'move_number': 62, 'move': 'c7a7', 'prev_move': 'e5d4', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
112.0,75.3,2.23,2.23,110.62,111.83,Yaman Binboga,Omer Umut Koseoglu,"Round 9: Binboga, Yaman - Koseoglu, Omer Umut",?,9.53,1882,1869,1.0,0.0,????.??.??,78,77,1.4,1.0,0.03,0.03,-2.46,-4.43,2,2,3,3,0,4,0,1,2,0,"[{'turn': 'Black', 'fen': '2b2k2/5pp1/p6p/8/2BnN1P1/7P/PP3P2/6K1 b - - 0 36', 'move_number': 37, 'move': 'c8b7', 'prev_move': 'e2c4', 'time_diff': '0:00:19', 'exp_point_loss': 0.364}, {'turn': 'Black', 'fen': '8/1b2k3/p4p1p/6p1/3n2P1/3B2KP/PP1N1P2/8 b - - 1 40', 'move_number': 41, 'move': 'e7d6', 'prev_move': 'c4d3', 'time_diff': '0:00:22', 'exp_point_loss': 0.2565}, {'turn': 'White', 'fen': '8/1b6/p2k1p1p/6p1/3n2P1/3B2KP/PP1N1P2/8 w - - 2 41', 'move_number': 41, 'move': 'd3e4', 'prev_move': 'e7d6', 'time_diff': '0:00:31', 'exp_point_loss': 0.366}, {'turn': 'Black', 'fen': '8/8/p3bp1p/1n4p1/2B3P1/kP2KP1P/P2N4/8 b - - 8 47', 'move_number': 48, 'move': 'e6c4', 'prev_move': 'd3c4', 'time_diff': '0:01:26', 'exp_point_loss': 0.46599999999999997}, {'turn': 'White', 'fen': '8/2n5/p4p1p/6p1/2P3P1/k3KP1P/P2N4/8 w - - 1 49', 'move_number': 49, 'move': 'c4c5', 'prev_move': 'b5c7', 'time_diff': '0:00:42', 'exp_point_loss': 0.47}, {'turn': 'Black', 'fen': '8/8/5p1p/6p1/6P1/2K2P1P/p1N5/2k5 b - - 13 65', 'move_number': 66, 'move': 'c1d1', 'prev_move': 'd3c3', 'time_diff': '0:00:02', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/8/5p1N/6p1/5kP1/2K5/8/8 w - - 3 73', 'move_number': 73, 'move': 'c3d3', 'prev_move': 'g3f4', 'time_diff': '0:00:14', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'rn2k2r/1pp2ppp/p2q1n2/3p1b2/3P4/2N1PN1P/PP3PP1/R2QKB1R w KQkq - 1 10', 'move_number': 10, 'move': 'f1e2', 'prev_move': 'g4f5', 'time_diff': '0:15:42', 'exp_point_loss': 0.015000000000000013}, {'turn': 'Black', 'fen': 'r3r1k1/1ppn1pp1/p2q1n1p/3p1b2/3P4/1QN1P2P/PP1NBPP1/2R2RK1 b - - 5 14', 'move_number': 15, 'move': 'b7b6', 'prev_move': 'd1b3', 'time_diff': '0:37:14', 'exp_point_loss': 0.008000000000000007}, {'turn': 'White', 'fen': 'r3r1k1/2pn1pp1/pp1q1n1p/3p1b2/3P4/1QN1P2P/PP1NBPP1/2R2RK1 w - - 0 15', 'move_number': 15, 'move': 'e2f3', 'prev_move': 'b7b6', 'time_diff': '0:19:44', 'exp_point_loss': 0.006000000000000005}]"
158.5,129.5,0.36,0.86,9.33,19.33,Hasan Huseyin Celik,Handszar Odeev,"Round 1: Celik, Hasan Huseyin - Odeev, Handszar",?,1.22,2448,2253,1.0,0.0,????.??.??,21,21,7.5,6.2,0.02,0.04,0.05,-1.51,0,0,1,1,0,2,0,1,0,0,"[{'turn': 'Black', 'fen': '2kr3r/p1p1pp2/4b1p1/2p4p/1n1b3P/1PN3P1/PB1PPPB1/1K1R1R2 b - - 1 16', 'move_number': 17, 'move': 'c5c4', 'prev_move': 'c1b1', 'time_diff': '0:08:29', 'exp_point_loss': 0.352}, {'turn': 'White', 'fen': '2kr3r/p1p1pp2/n3b1p1/7p/2pb3P/PPN3P1/1B1PPPB1/1K1R1R2 w - - 1 18', 'move_number': 18, 'move': 'b3c4', 'prev_move': 'b4a6', 'time_diff': '0:00:39', 'exp_point_loss': 0.453}, {'turn': 'Black', 'fen': '1k1r3r/p1p1pp2/n1B3p1/7p/3b3P/PbNP2P1/1B2PP2/1KR2R2 b - - 4 21', 'move_number': 22, 'move': 'e7e5', 'prev_move': 'g2c6', 'time_diff': '0:10:33', 'exp_point_loss': 0.2825}]","[{'turn': 'Black', 'fen': '2kr3r/p1p1ppbp/2p1b1p1/8/1n6/1PN3P1/PB1PPPBP/2KR3R b - - 4 13', 'move_number': 14, 'move': 'g7d4', 'prev_move': 'e1c1', 'time_diff': '0:49:39', 'exp_point_loss': 0.013500000000000012}]"
157.7,158.0,0.26,0.25,9.62,8.34,Handszar Odeev,Talat Yildiz,"Round 4: Odeev, Handszar - Yildiz, Talat",?,4.30,2253,2043,0.5,0.5,????.??.??,29,29,5.4,5.4,0.01,0.01,0.01,0.02,0,1,0,1,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'r3kb1r/1pq2p1p/p1n1p1p1/2BpP3/P2P4/1P3N1P/5PP1/2RQK2R b Kkq - 0 16', 'move_number': 17, 'move': 'c7a5', 'prev_move': 'd2f3', 'time_diff': '0:15:40', 'exp_point_loss': 0.0005000000000000004}]"
157.7,110.3,0.84,1.33,18.72,36.47,Baver Yilmaz,Artem Alek Fedorov,"Round 2: Yilmaz, Baver - Fedorov, Artem Alek",?,2.8,2269,2157,1.0,0.0,????.??.??,32,32,4.9,3.4,0.03,0.04,0.01,-2.55,1,1,1,2,0,2,0,0,0,0,"[{'turn': 'White', 'fen': '1qr1k2r/1b1nbpp1/p2p1n1p/1p2pP2/4P2B/PNNB1Q2/1PP3PP/1K1R3R w k - 3 16', 'move_number': 16, 'move': 'h4f2', 'prev_move': 'c7b8', 'time_diff': '0:05:32', 'exp_point_loss': 0.49449999999999994}, {'turn': 'Black', 'fen': 'q3k2r/1b1nbpp1/p2p1n1p/Np2pP2/4P3/P1PB1Q2/2P2BPP/1K1R3R b k - 0 18', 'move_number': 19, 'move': 'b7e4', 'prev_move': 'b2c3', 'time_diff': '0:00:05', 'exp_point_loss': 0.4454999999999999}, {'turn': 'Black', 'fen': 'q3k2r/3nbpp1/p2p1n1p/Np2pP2/4B3/P1P2Q2/2P2BPP/1K1R3R b k - 0 19', 'move_number': 20, 'move': 'a8e4', 'prev_move': 'd3e4', 'time_diff': '0:00:05', 'exp_point_loss': 0.5475}]",[]
