Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Nazmi Can Dogan,140.6,0.64,50.3,9,4.5,150.8,0.43,2199,2200,351,5,5,17.15,23.35,0.79,110.53,-0.91,0.36,0.92,145.5,135.8,1.5,3,6.4,545.16,0.63,12216.99
Ege Coban,156.9,0.48,9.71,9,8,157.6,0.35,1694,1968,334,4,5,11.4,2.03,0.41,7.52,-0.04,0.44,0.51,157.6,156.4,4,4,4.3,4.13,0.17,56.59
Li Min Peng,155.8,0.24,17.48,9,7,158.9,0.08,2491,2569,286,5,4,7.5,11.38,0.46,29.93,-0.1,0.14,0.37,159.8,150.8,5,2,2.19,129.56,0.21,895.53
Vahap Sanal,154.7,0.45,7.43,9,7,158.3,0.26,2564,2547,400,5,4,5.85,11.11,0.6,6.11,-0.15,0.38,0.55,157.8,150.9,4,3,4.08,123.38,0.36,37.37
Momchil Petkov,154.4,0.51,23.96,9,6.5,158,0.61,2528,2502,437,4,5,9.46,8.65,0.29,47.15,-0.17,0.44,0.57,158.1,151.5,3.5,3,4.61,74.77,0.08,2223.5
Alihan Huseyinoglu,153.4,0.43,11.64,9,6,158.3,0.32,2316,2413,360,4,5,12.92,9.06,0.44,8.6,-0.23,0.41,0.45,155.6,151.6,3,3,3.9,82.06,0.19,73.91
Sahaj Grover,152.6,0.57,20.23,9,6,158,0.46,2465,2504,397,4,5,10.24,10.17,0.52,35.38,-0.27,0.24,0.83,159.2,147.2,2.5,3.5,5.1,103.38,0.27,1251.93
Oliwia Kiolbasa,152.1,0.67,10.92,9,6.5,157.7,0.63,2366,2640,372,5,4,10.33,12.72,0.61,8.42,-0.3,0.68,0.66,154,149.6,4,2.5,6.05,161.78,0.37,70.84
Rashad Zeynalli,151,0.55,16.71,9,5.5,157.7,0.14,2255,2318,342,4,5,12.2,15.19,0.72,19.34,-0.35,1,0.19,146.6,154.5,3.5,2,4.94,230.77,0.52,374.06
Mert Ceyhan,150.6,0.59,38.26,9,5.5,157.7,0.6,2220,2266,400,5,4,12,9.75,0.4,64.71,-0.38,0.77,0.37,148.9,152.6,3.5,2,5.32,95,0.16,4187.68
Giga Quparadze,150,0.59,-13.48,9,6.5,158.5,0.24,2526,2532,419,5,4,6.03,14.28,0.67,60.74,-0.41,0.69,0.47,147.1,153.7,3.5,3,5.35,203.91,0.45,3689.23
Alexander Shabalov,149.9,0.48,11.23,9,5.5,158.2,0.16,2483,2366,257,4,5,9.86,19.02,0.59,7.88,-0.41,0.35,0.59,155,145.9,3,2.5,4.36,361.74,0.34,62.04
Vugar Rasulov,149.8,0.62,42.91,9,7,158,0.38,2483,2511,393,5,4,13.51,15.35,0.64,89.4,-0.42,0.55,0.71,149.9,149.7,4,3,5.59,235.49,0.41,7991.57
Handszar Odeev,149.4,0.61,14.67,9,4.5,157.6,0.64,2253,2180,264,4,5,10.88,11.57,0.33,7.66,-0.44,0.71,0.53,152.6,146.8,3,1.5,5.47,133.98,0.11,58.67
Bhagat Kush,149.3,0.6,46.34,9,6,157.8,0.54,2276,2440,440,5,4,12.55,13.5,0.53,107.54,-0.45,0.57,0.64,152.4,145.5,3.5,2.5,5.41,182.31,0.28,11564.12
Rosh Jain,149,0.5,36.87,9,5,157.6,0.49,2299,2265,388,4,5,12.79,20.5,0.49,66.83,-0.46,0.24,0.7,158.1,141.8,2.5,2.5,4.47,420.17,0.24,4465.99
Semen Mitusov,148.9,0.51,50.55,9,5.5,157.8,0.35,2468,2368,391,5,4,5.87,19.27,0.75,91.19,-0.47,0.41,0.63,148.1,149.8,3,2.5,4.58,371.29,0.56,8316.09
Adar Tarhan,148.6,0.69,8.27,9,6.5,158,0.43,2465,2533,430,5,4,8.03,16.62,0.73,6.16,-0.48,0.81,0.56,144.9,153.3,4,2.5,6.25,276.23,0.53,37.98
Misratdin Iskandarov,147.9,0.62,39.75,9,5.5,157.7,0.59,2534,2308,400,4,5,18.45,17.78,0.57,75.35,-0.52,0.4,0.79,158.2,139.7,3,2.5,5.56,315.98,0.33,5677.03
Gaioz Nigalidze,147.6,0.65,19.1,9,5.5,157.7,0.41,2368,2452,409,5,4,16.42,25.17,0.75,19.1,-0.54,0.23,1.18,159.4,132.8,3.5,2,5.87,633.58,0.56,364.78
Gergely Kantor,146.9,0.8,24.92,9,7,147.7,0.82,2584,2526,414,5,4,14.78,12.46,0.63,36.54,-0.57,0.73,0.88,148.1,145.4,4,3,7.17,155.23,0.4,1335.06
Kutay Sakmak,146.5,0.62,25.02,9,4,152.3,0.59,2158,2185,347,5,4,13.81,12.6,0.48,30.31,-0.6,0.56,0.71,148.8,143.5,2.5,1.5,5.61,158.86,0.23,918.96
Alparslan Isik,145.7,0.66,16.6,9,6.5,157.9,0.6,2480,2447,373,5,4,9.45,27.18,0.72,117.04,-0.64,0.7,0.62,150.4,139.7,4,2.5,5.98,738.76,0.52,13699.33
Gleb Dudin,145.5,0.67,79.07,9,6.5,157.9,0.21,2574,2468,426,4,5,13.17,19.06,0.8,137.3,-0.65,0.56,0.75,150,141.8,4,2.5,5.99,363.3,0.63,18850.14
Umid Aslanov,144.7,0.91,84.77,9,5.5,157.6,0.78,2298,2303,371,4,5,36,31.94,0.94,96.87,-0.7,0.63,1.13,156.6,135.1,3,2.5,8.16,1020.4,0.88,9383.47
Oriyat Obidjonov,144.7,0.89,12.52,9,5,151.9,1.12,2051,2295,430,4,5,11.48,15.73,0.5,8.35,-0.69,0.99,0.81,133.4,153.7,1.5,3.5,8.01,247.47,0.25,69.77
Gombosuren Munkhgal,144.6,0.63,65.37,9,5.5,158.3,0.4,2406,2416,381,5,4,9.44,21.78,0.65,163.04,-0.7,0.55,0.73,148.8,139.2,3.5,2,5.66,474.24,0.42,26583.1
Sathvik Adiga,143.9,0.62,94.72,9,5.5,157.9,0.66,2341,2291,457,4,5,16.95,17.53,0.47,108.14,-0.73,0.46,0.74,144,143.9,2,3.5,5.57,307.15,0.22,11694.63
Dhulipalla_Bala_Chandra Prasad,143.9,0.92,29.81,9,6,146.5,1.01,2406,2479,419,4,5,12.06,15.73,0.59,48.67,-0.74,1.02,0.83,141.2,146,2.5,3.5,8.24,247.57,0.35,2369.17
Marius Fromm,143.8,0.59,103.9,9,5,140.1,0.52,2444,2248,399,4,5,25.8,14.8,0.56,123.21,-0.74,0.41,0.73,149.4,139.2,3,2,5.29,219.01,0.31,15180.63
Stanislav Bukreev,143.7,0.71,-13.51,9,6,158.2,0.41,2305,2466,390,5,4,13.04,23.87,0.8,114.88,-0.75,0.37,1.15,155.8,128.6,5,1,6.42,569.67,0.64,13197.49
Ali Gur,143.4,0.66,95.5,9,4,143.5,0.68,2033,2173,416,5,4,30.06,15.41,0.39,120.25,-0.76,0.69,0.62,142.5,144.5,2,2,5.92,237.48,0.15,14460.25
Rafael Sabirov,142.8,0.65,26.44,9,4.5,157.7,0.42,2149,2125,318,4,5,14.86,22.62,0.53,30.6,-0.8,0.67,0.63,147.4,139.1,3,1.5,5.82,511.82,0.28,936.43
Enes Tanriverdi,142.7,0.87,77.94,9,6.5,156.9,0.79,2413,2399,466,4,5,22.29,24.85,0.82,103.79,-0.8,0.98,0.78,139.7,145.1,3.5,3,7.83,617.53,0.67,10772.28
Serdar Murat Yildiz,142.4,0.83,17.15,9,5.5,157.6,0.79,2188,2450,459,5,4,17.89,22.9,0.69,13.2,-0.82,0.95,0.66,140.4,144.8,3.5,2,7.43,524.56,0.47,174.24
Dimitris Alexakis,142,0.87,47.12,9,7,158.9,0.6,2532,2609,382,5,4,22.06,30.35,1.1,74.26,-0.84,0.84,0.91,146.2,136.9,4.5,2.5,7.84,920.9,1.21,5514.8
Okan Ozsakallioglu,141.8,0.87,13.89,9,4.5,148.6,0.75,2355,2264,418,4,5,11.45,21.07,0.64,7.35,-0.85,1.14,0.66,134.6,147.6,1.5,3,7.87,443.96,0.4,54.04
Efe Yalcinkaya,141.7,0.75,47.72,9,4.5,138.6,0.75,2225,2252,392,5,4,11.64,13.18,0.51,99.85,-0.86,0.72,0.8,143.9,139,2.5,2,6.78,173.6,0.26,9969.47
Manish_Anto_Cristiano F,141.6,0.8,90.78,9,5,157.6,0.7,2365,2289,394,4,5,12.6,26.09,0.82,123.19,-0.86,1.27,0.42,132,149.2,3,2,7.17,680.92,0.67,15174.96
