Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Burak Sarp Yildirim,173.8,0.13,53.41,2.0,2.0,173.8,0.13,0,324,69,1,1,53.41,0.78,0.04,71.23,0.87,0.1,0.16,174.3,173.2,1.0,1.0,0.26,0.61,0.0,5074.27
Omer Yilmaz,168.5,0.41,17.73,1.0,1.0,168.5,0.41,0,191,22,0,1,17.73,0.0,0.0,0.0,0.59,,0.41,,168.5,0.0,1.0,0.41,0.0,0.0,0.0
Timur Bayar,165.9,0.3,12.44,2.0,1.5,165.9,0.3,0,191,59,1,1,12.44,2.12,0.47,5.2,0.45,-0.03,0.63,167.4,164.4,0.5,1.0,0.6,4.5,0.22,27.08
Kutay Kurtsahin,165.0,0.1,8.06,1.0,0.5,165.0,0.1,0,1650,32,1,0,8.06,0.0,0.0,0.0,0.4,0.1,,165.0,,0.5,0.0,0.1,0.0,0.0,0.0
Metehan Kepir,161.5,0.79,26.06,1.0,1.0,161.5,0.79,0,191,32,0,1,26.06,0.0,0.0,0.0,0.21,,0.79,,161.5,0.0,1.0,0.79,0.0,0.0,0.0
Efe Andac,161.2,0.3,166.77,2.0,1.0,161.2,0.3,0,0,63,1,1,166.77,20.72,0.41,227.45,0.2,0.01,0.59,175.9,146.6,1.0,0.0,0.6,429.25,0.17,51732.58
Murat Unlusan,161.1,0.47,22.26,3.0,2.0,167.1,0.48,0,120,70,2,1,26.57,18.73,0.47,20.45,0.19,0.71,0.0,153.6,176.1,1.0,1.0,1.42,351.0,0.22,418.32
Ali Arda Eracar,160.2,0.1,2.76,2.0,0.5,160.2,0.1,1832,798,118,2,0,2.76,3.75,0.15,3.9,0.14,0.1,,160.2,,0.5,0.0,0.21,14.05,0.02,15.18
Hasan Huseyin Celik,158.2,0.16,14.42,4.0,2.5,158.3,0.15,2448,2300,136,2,2,5.58,0.43,0.15,21.77,0.03,0.28,0.05,158.3,158.0,2.0,0.5,0.65,0.18,0.02,474.04
Ata Gebes,157.7,-0.01,1.0,1.0,0.5,157.7,-0.01,1807,1929,18,1,0,1.0,0.0,0.0,0.0,0.01,-0.01,,157.7,,0.5,0.0,-0.01,0.0,0.0,0.0
Nuri Kirici,157.6,0.0,0.0,1.0,0.0,157.6,0.0,0,-191,43,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.6,,0.0,0.0,0.0,0.0,0.0,0.0
Emin Tekin,157.6,0.0,0.0,1.0,0.0,157.6,0.0,0,1495,35,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Hasan Yerli,157.6,0.0,0.0,1.0,0.0,157.6,0.0,1763,1702,29,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Melih Gupluce,157.6,0.0,0.0,1.0,0.0,157.6,0.0,1818,1767,52,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Ufuk Bayram,157.6,0.0,0.0,1.0,0.0,157.6,0.0,1682,1469,51,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,,157.6,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Osman Abdullah,157.4,0.51,12.84,2.0,1.0,157.4,0.51,0,0,73,1,1,12.84,13.36,0.72,18.16,-0.01,1.02,0.0,147.9,166.8,0.5,0.5,1.02,178.6,0.52,329.73
Ege Coban,156.9,0.48,9.71,9.0,8.0,157.6,0.35,1694,1968,334,4,5,11.4,2.03,0.41,7.52,-0.04,0.44,0.51,157.6,156.4,4.0,4.0,4.3,4.13,0.17,56.59
Atalay Uras Yeltekin,156.8,0.43,78.4,3.0,1.5,157.6,0.17,1686,552,121,2,1,4.49,19.76,0.61,131.93,-0.04,0.56,0.17,156.4,157.6,1.0,0.5,1.3,390.58,0.37,17405.32
Batu Dogan,155.8,0.41,5.75,3.0,2.0,157.6,0.35,1683,1776,175,1,2,6.06,3.06,0.2,0.54,-0.09,0.35,0.44,157.6,155.0,0.5,1.5,1.24,9.36,0.04,0.29
Li Min Peng,155.8,0.24,17.48,9.0,7.0,158.9,0.08,2491,2569,286,5,4,7.5,11.38,0.46,29.93,-0.1,0.14,0.37,159.8,150.8,5.0,2.0,2.19,129.56,0.21,895.53
Enes Kaan Usta,155.1,1.14,15.4,2.0,2.0,155.1,1.14,1638,324,107,1,1,15.4,26.09,1.41,7.83,-0.13,2.13,0.14,136.7,173.6,1.0,1.0,2.27,680.81,1.98,61.27
Kerem_Ali Ozturk,155.1,0.63,11.53,1.0,0.5,155.1,0.63,0,1934,34,0,1,11.53,0.0,0.0,0.0,-0.13,,0.63,,155.1,0.0,0.5,0.63,0.0,0.0,0.0
Yusuf Kagan Ayar,154.9,0.9,21.38,4.0,3.0,157.7,0.5,0,191,150,1,3,20.58,19.83,1.15,11.07,-0.15,2.59,0.33,128.1,163.8,1.0,2.0,3.59,393.28,1.33,122.46
Mert Yilmazyerli,154.9,0.42,7.26,6.0,3.5,157.7,0.42,2515,2315,271,3,3,7.67,5.6,0.39,5.51,-0.15,0.55,0.29,153.3,156.4,1.5,2.0,2.54,31.31,0.15,30.34
