,Mean,Median,Std Dev,Min,Max
Total Moves,67546.0,67546.0,0.0,67546.0,67546.0
Total Games,750.0,750.0,0.0,750.0,750.0
avg_gi,130.81,134.5,21.84,-4.0,173.8
avg_missed_points,1.09,0.96,0.61,-0.01,4.36
avg_missed_points_white,1.04,0.9,0.68,-0.03,3.86
avg_missed_points_black,1.04,0.92,0.65,0.0,4.36
avg_gi_white,133.92,138.5,22.41,40.5,175.9
avg_gi_black,131.48,135.7,23.52,-4.0,176.1
avg_acpl,66.26,42.16,79.17,-63.24,497.92
Elo,1766.86,2019.5,752.98,0.0,2585.0
TPR,1738.39,1962.0,755.67,-191.0,2640.0
gi_median,135.43,138.55,23.61,-4.0,173.8
missed_points_median,1.01,0.9,0.65,-0.01,4.36
