white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
165.5,165.6,0.07,0.07,4.5,4.14,Pranesh M,Leon Luke Mendonca,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",5.3,2589,2606,0.5,0.5,????.??.??,38,37,4.4,4.5,0.0,0.0,0.43,0.43,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'r1b1k1nr/pp2qppp/1bpp4/4p3/2BPP3/1QP1B3/PP3PPP/RN3RK1 b kq - 3 10', 'move_number': 11, 'move': 'g8f6', 'prev_move': 'c1e3', 'time_diff': '0:29:10', 'exp_point_loss': 0.008000000000000007}]"
166.6,166.6,0.01,0.01,1.9,1.5,Harshavardhan_G B,Aryan Chopra,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",2.1,2454,2634,0.5,0.5,????.??.??,21,20,7.9,8.3,0.0,0.0,0.49,0.49,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': '1r1q1rk1/R3npbp/3p2p1/1ppPp3/8/2PP2P1/1P3PBP/2BQ1RK1 b - - 6 19', 'move_number': 20, 'move': 'b8a8', 'prev_move': 'b7a7', 'time_diff': '0:15:01', 'exp_point_loss': 0}]"
161.7,161.6,0.28,0.28,11.88,12.4,Diptayan Ghosh,Pa Iniyan,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",5.5,2576,2586,0.5,0.5,????.??.??,25,25,6.5,6.5,0.01,0.01,0.22,0.22,1,0,0,1,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': '1q3rk1/1bn2pp1/1p2p2p/3p4/rPP5/4PB2/1Q3PPP/1NRR2K1 b - - 3 22', 'move_number': 23, 'move': 'a4a7', 'prev_move': 'd2b1', 'time_diff': '0:15:18', 'exp_point_loss': 0.00649999999999995}]"
143.8,171.7,0.74,0.24,17.4,4.02,Harika Dronavalli,Pranesh M,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",8.5,2487,2589,0.0,1.0,????.??.??,42,42,3.4,4.1,0.02,0.01,-0.74,0.76,0,1,1,0,0,1,0,0,1,0,"[{'turn': 'Black', 'fen': 'r3k2r/1bqn2pp/p2bpn2/1pp3N1/4P3/2NB4/PP2QPPP/R1B2RK1 b kq - 1 14', 'move_number': 15, 'move': 'd7f8', 'prev_move': 'f3g5', 'time_diff': '0:02:28', 'exp_point_loss': 0.23450000000000001}, {'turn': 'White', 'fen': '8/1k1b2p1/3P3p/8/1p3r2/5N2/6PP/1R5K w - - 2 37', 'move_number': 37, 'move': 'f3e5', 'prev_move': 'f7f4', 'time_diff': '0:00:44', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'r3kn1r/1bq3p1/p2bpn1p/1p4N1/2p1PP2/2N5/PPB1Q1PP/R1B2RK1 w kq - 0 17', 'move_number': 17, 'move': 'g5f3', 'prev_move': 'h7h6', 'time_diff': '0:16:34', 'exp_point_loss': 0}]"
132.8,160.8,1.33,0.83,18.44,6.21,Leon Luke Mendonca,Abhimanyu Puranik,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",2.5,2606,2635,0.0,1.0,????.??.??,48,48,2.8,3.3,0.03,0.02,-1.33,0.17,2,4,1,5,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2rk1/1pq1bppp/p2p4/P2Pp3/8/2P5/3P1PPP/R1BQRBK1 b - - 0 14', 'move_number': 15, 'move': 'f7f5', 'prev_move': 'a4a5', 'time_diff': '0:08:59', 'exp_point_loss': 0.277}, {'turn': 'White', 'fen': '1r5k/2b3p1/2Pq3p/1Q1p4/1p1P4/5BP1/5PKP/2B5 w - - 4 39', 'move_number': 39, 'move': 'b5a6', 'prev_move': 'a8b8', 'time_diff': '0:00:40', 'exp_point_loss': 0.49}]",[]
132.8,128.4,1.83,2.07,21.28,24.0,Diptayan Ghosh,Pranesh M,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",2.2,2576,2589,0.5,0.5,????.??.??,29,29,4.6,4.4,0.06,0.07,-1.33,-1.57,1,4,2,4,1,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3q1k1/ppp3p1/2b2pr1/3N1Qn1/2P1p3/1P2P3/PB3PP1/R2R1K2 b - - 1 23', 'move_number': 24, 'move': 'c6d5', 'prev_move': 'c3d5', 'time_diff': '0:00:24', 'exp_point_loss': 0.4455}, {'turn': 'White', 'fen': 'r3q3/ppp3pk/5pr1/3Q2n1/2P1p3/1P2P3/PB3PP1/R2R1K2 w - - 1 25', 'move_number': 25, 'move': 'f1e2', 'prev_move': 'g8h7', 'time_diff': '0:02:02', 'exp_point_loss': 0.4125}, {'turn': 'Black', 'fen': 'r3q3/ppp3pk/5p1r/5Qn1/2P1p3/1P2P3/PB2KPP1/R2R4 b - - 4 26', 'move_number': 27, 'move': 'h7g8', 'prev_move': 'd5f5', 'time_diff': '0:00:50', 'exp_point_loss': 0.35650000000000004}, {'turn': 'White', 'fen': 'r3q1k1/ppp3p1/5p1r/5Qn1/2P1p3/1P2P3/PB2KPP1/R2R4 w - - 5 27', 'move_number': 27, 'move': 'f5d5', 'prev_move': 'h7g8', 'time_diff': '0:02:16', 'exp_point_loss': 0.3865}, {'turn': 'Black', 'fen': 'r3q1k1/ppp3p1/5p1r/3Q2n1/2P1p3/1P2P3/PB2KPP1/R2R4 b - - 10 29', 'move_number': 30, 'move': 'g8h7', 'prev_move': 'f5d5', 'time_diff': '0:00:10', 'exp_point_loss': 0.244}]",[]
137.8,165.7,1.07,0.56,134.66,-93.0,Harika Dronavalli,Diptayan Ghosh,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",1.4,2487,2576,0.0,1.0,????.??.??,44,44,3.1,3.8,0.02,0.01,-1.07,0.44,0,0,2,0,0,1,0,0,1,1,"[{'turn': 'White', 'fen': '6k1/3brpp1/7p/p1pB3q/2Pp4/PP4PP/3Q1P2/3R2K1 w - - 3 28', 'move_number': 28, 'move': 'd1f1', 'prev_move': 'f5h5', 'time_diff': '0:06:45', 'exp_point_loss': 0.49949999999999994}, {'turn': 'Black', 'fen': '6k1/4rpp1/7p/Q1p5/2Pp4/PP4P1/4qPK1/5R2 b - - 0 31', 'move_number': 32, 'move': 'e2e4', 'prev_move': 'g1g2', 'time_diff': '0:01:51', 'exp_point_loss': 0.45699999999999996}, {'turn': 'White', 'fen': '6k1/4rpp1/7p/Q1p5/2Ppq3/PP4P1/5PK1/5R2 w - - 1 32', 'move_number': 32, 'move': 'g2g1', 'prev_move': 'e2e4', 'time_diff': '0:00:12', 'exp_point_loss': 0.45699999999999996}]","[{'turn': 'Black', 'fen': 'r1bqr1k1/p4ppp/2p2n2/3p4/1b3B2/2NB1Q1P/PPP2PP1/R4RK1 b - - 3 12', 'move_number': 13, 'move': 'b4d6', 'prev_move': 'c1f4', 'time_diff': '0:17:52', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'White', 'fen': '1r1qr1k1/p4pp1/3bbn1p/2pp4/5B2/1P1B1Q1P/P1P1NPP1/3RR1K1 w - - 0 17', 'move_number': 17, 'move': 'c2c4', 'prev_move': 'h7h6', 'time_diff': '0:16:02', 'exp_point_loss': 0.007000000000000006}]"
147.5,175.4,0.54,0.04,225.39,7.63,Pranesh M,Harshavardhan_G B,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",9.1,2589,2454,0.0,1.0,????.??.??,46,46,3.2,3.8,0.01,0.0,-0.54,0.96,0,0,1,0,0,0,0,0,1,0,"[{'turn': 'White', 'fen': '2kr2r1/pp3p1p/3b2pQ/2pP4/2P5/4Bq2/PP3P1P/1K1R3R w - - 1 21', 'move_number': 21, 'move': 'b1a1', 'prev_move': 'e7d6', 'time_diff': '0:02:01', 'exp_point_loss': 0.45299999999999996}]","[{'turn': 'White', 'fen': '2kr2r1/pp2bp1p/6pQ/2pP4/8/4Bq2/PPP2P1P/1K1R3R w - - 0 20', 'move_number': 20, 'move': 'c2c4', 'prev_move': 'f5f3', 'time_diff': '0:15:05', 'exp_point_loss': 0.023499999999999965}]"
174.3,146.5,0.1,0.6,9.44,22.97,Abhimanyu Puranik,Harshavardhan_G B,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",3.1,2635,2454,1.0,0.0,????.??.??,41,40,4.3,3.7,0.0,0.01,0.9,-0.6,0,0,0,2,1,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'r2q1rk1/3nppbp/b2p1np1/pNpP4/P1N1P3/6P1/1P3PBP/R1BQR1K1 b - - 2 14', 'move_number': 15, 'move': 'd8b8', 'prev_move': 'c3b5', 'time_diff': '0:25:00', 'exp_point_loss': 0.2205}]"
149.5,149.6,0.94,0.93,12.33,12.2,B. Adhiban,Pranesh M,Quantbox Chennai Grandmasters Chess Tournament -Challengers 2025,"Hyatt Regency, Chennai, India",4.3,2534,2589,0.5,0.5,????.??.??,36,35,4.2,4.3,0.03,0.03,-0.44,-0.43,0,2,1,0,0,2,1,0,0,0,"[{'turn': 'Black', 'fen': '3r3r/pk2qppp/1n6/3p1QP1/2pN4/P3R3/1P2PP1P/2KR4 b - - 4 21', 'move_number': 22, 'move': 'e7f8', 'prev_move': 'h3e3', 'time_diff': '0:06:49', 'exp_point_loss': 0.3125}, {'turn': 'White', 'fen': '3r1q1r/pk3ppp/1n6/3p1QP1/2pN4/P3R3/1P2PP1P/2KR4 w - - 5 22', 'move_number': 22, 'move': 'e3f3', 'prev_move': 'e7f8', 'time_diff': '0:09:24', 'exp_point_loss': 0.34700000000000003}, {'turn': 'Black', 'fen': '7r/pk1r1ppp/1n6/2qP1QP1/2pN4/P4R2/1P3P1P/2KR4 b - - 0 24', 'move_number': 25, 'move': 'd7d5', 'prev_move': 'e4d5', 'time_diff': '0:00:47', 'exp_point_loss': 0.264}]","[{'turn': 'White', 'fen': '7r/p4Qpp/kn6/2q3P1/2p5/P4R2/1PN2P1P/2Kr4 w - - 0 27', 'move_number': 27, 'move': 'c1d1', 'prev_move': 'd5d1', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
