Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Pa Iniyan,158.1,0.58,20.93,9,5.5,161.6,0.5,2586,2633,486,4,5,15.58,9.8,0.48,22.39,0.03,0.96,0.28,156.0,159.7,3.5,2.0,5.24,96.05,0.23,501.49
Pranesh M,157.1,0.75,33.46,9,6.5,154.8,0.54,2589,2720,382,5,4,10.25,15.07,0.69,72.27,-0.03,0.42,1.15,162.7,150.1,3.5,3.0,6.73,227.1,0.48,5222.96
B. Adhiban,156.6,0.72,18.3,9,6.0,156.1,0.83,2534,2681,385,4,5,9.57,10.97,0.6,22.78,-0.05,0.49,0.91,162.4,151.9,3.0,3.0,6.49,120.41,0.36,519.01
Abhimanyu Puranik,156.3,0.74,51.14,9,6.0,160.8,0.83,2635,2670,469,5,4,9.44,17.3,0.63,85.6,-0.07,0.84,0.61,155.0,157.8,3.5,2.5,6.63,299.14,0.39,7326.89
Leon Luke Mendonca,155.9,0.76,13.67,9,6.0,157.0,1.03,2606,2673,419,5,4,12.68,14.84,0.59,10.81,-0.09,0.84,0.65,154.9,157.2,3.5,2.5,6.8,220.13,0.34,116.9
Aryan Chopra,150.4,0.83,36.46,9,4.0,148.7,0.85,2634,2510,401,4,5,22.32,11.42,0.6,52.04,-0.39,0.67,0.96,156.8,145.3,2.5,1.5,7.48,130.49,0.36,2707.89
Diptayan Ghosh,147.0,1.07,18.64,9,4.5,148.3,0.57,2576,2556,446,4,5,15.29,16.78,0.89,57.8,-0.57,0.83,1.26,151.4,143.4,2.0,2.5,9.64,281.45,0.78,3340.95
Harshavardhan_G B,146.0,1.07,70.16,9,4.0,156.3,0.6,2454,2530,549,4,5,8.16,27.83,1.17,94.57,-0.62,1.5,0.72,134.2,155.4,1.0,3.0,9.61,774.78,1.36,8942.62
Rameshbabu Vaishali,136.6,1.24,86.32,9,1.0,136.1,1.16,2476,2206,527,5,4,31.98,18.31,0.83,82.35,-1.13,1.53,0.88,131.0,143.6,0.5,0.5,11.15,335.41,0.69,6781.6
Harika Dronavalli,136.5,1.3,124.42,9,1.5,137.8,1.49,2487,2286,457,5,4,134.66,13.21,0.63,113.74,-1.14,0.9,1.8,142.7,128.7,0.5,1.0,11.72,174.4,0.4,12936.47
