white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
152.7,152.8,0.76,0.75,4.5,4.32,Erigaisi Arjun,V Pranav,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",5.3,2776,2597,0.5,0.5,????.??.??,78,77,2.0,2.0,0.01,0.01,-0.26,-0.25,1,3,1,5,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '7k/p1r2pp1/R2pbn1p/8/3N4/5P1P/PP1N2P1/6K1 b - - 2 33', 'move_number': 34, 'move': 'f6e8', 'prev_move': 'a3a6', 'time_diff': '0:00:10', 'exp_point_loss': 0.2345}, {'turn': 'White', 'fen': '2b1n3/5pk1/p1Np4/6pp/2NK4/5P1P/PP4P1/8 w - - 0 40', 'move_number': 40, 'move': 'b2b4', 'prev_move': 'h6h5', 'time_diff': '0:14:21', 'exp_point_loss': 0.322}]",[]
165.4,165.5,0.08,0.07,4.71,4.41,Murali Karthikeyan,Awonder Liang,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",2.1,2658,2696,0.5,0.5,????.??.??,42,41,3.9,4.0,0.0,0.0,0.42,0.43,0,0,0,0,0,0,1,1,1,0,[],"[{'turn': 'White', 'fen': 'r1b1qrk1/p1p1bpp1/2N1pn1p/8/2pP4/2N3P1/PP2PP1P/R1BQ1RK1 w - - 1 11', 'move_number': 11, 'move': 'c6e7', 'prev_move': 'd8e8', 'time_diff': '0:16:28', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r4rk1/2p2pp1/2b1p2p/p7/1P1PP3/2P3P1/5P1P/R1B1R1K1 b - - 0 19', 'move_number': 20, 'move': 'a5b4', 'prev_move': 'b2c3', 'time_diff': '0:39:36', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'White', 'fen': '8/5p2/2k5/4K2p/1Pb2P1B/8/7P/8 w - - 2 36', 'move_number': 36, 'move': 'h4e1', 'prev_move': 'b5c4', 'time_diff': '0:39:52', 'exp_point_loss': 0.003500000000000003}]"
141.2,113.5,1.88,2.38,65.82,189.75,Jorden Van Foreest,Ray Robson,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",5.5,2697,2687,1.0,0.0,????.??.??,82,81,1.7,1.4,0.02,0.03,-0.88,-2.38,0,1,4,3,0,6,0,0,1,0,"[{'turn': 'Black', 'fen': '8/R2nkp2/2p5/1p1P2p1/4p3/2P1P1P1/7r/1R1K4 b - - 0 30', 'move_number': 31, 'move': 'h2h1', 'prev_move': 'd4d5', 'time_diff': '0:01:24', 'exp_point_loss': 0.387}, {'turn': 'Black', 'fen': '8/R2nk3/8/1K1p1pp1/4p3/2P1P1P1/8/8 b - - 1 39', 'move_number': 40, 'move': 'e7d6', 'prev_move': 'a4b5', 'time_diff': '0:00:35', 'exp_point_loss': 0.2695}, {'turn': 'White', 'fen': '2K5/8/4kn2/3p1pR1/4p1p1/2P1P1P1/8/8 w - - 8 46', 'move_number': 46, 'move': 'c8d8', 'prev_move': 'e5e6', 'time_diff': '0:00:10', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '3K4/8/4kn2/3p1pR1/4p1p1/2P1P1P1/8/8 b - - 9 46', 'move_number': 47, 'move': 'f6h7', 'prev_move': 'c8d8', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '3K4/8/4kn2/3p1p2/4p1p1/2P1P1P1/7R/8 w - - 16 50', 'move_number': 50, 'move': 'h2h6', 'prev_move': 'd6e6', 'time_diff': '0:01:08', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '3K4/8/4kn1R/3p1p2/4p1p1/2P1P1P1/8/8 b - - 17 50', 'move_number': 51, 'move': 'e6f7', 'prev_move': 'h2h6', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/8/1K2kn2/3p1pR1/4p1p1/2P1P1P1/8/8 w - - 26 55', 'move_number': 55, 'move': 'b6c5', 'prev_move': 'f7e6', 'time_diff': '0:01:10', 'exp_point_loss': 0.496}, {'turn': 'Black', 'fen': '8/8/4kn2/2Kp1pR1/4p1p1/2P1P1P1/8/8 b - - 27 55', 'move_number': 56, 'move': 'e6e5', 'prev_move': 'b6c5', 'time_diff': '0:00:19', 'exp_point_loss': 0.496}, {'turn': 'White', 'fen': '3R4/8/8/2Kpkp1n/4p1p1/2P1P1P1/8/8 w - - 42 63', 'move_number': 63, 'move': 'd8e8', 'prev_move': 'f6h5', 'time_diff': '0:00:26', 'exp_point_loss': 0.498}, {'turn': 'Black', 'fen': '5R2/8/5k2/3K1p2/4p1p1/2P1P1n1/8/8 b - - 1 65', 'move_number': 66, 'move': 'f6g7', 'prev_move': 'e8f8', 'time_diff': '0:01:13', 'exp_point_loss': 0.442}]","[{'turn': 'White', 'fen': 'r3k2r/pp1n1p2/2p1q3/6pp/3Pp1P1/P1P1P1BP/4KP2/RQ5R w kq - 2 20', 'move_number': 20, 'move': 'g4h5', 'prev_move': 'e7e6', 'time_diff': '0:23:38', 'exp_point_loss': 0.050000000000000044}]"
165.8,165.9,0.05,0.05,4.78,4.39,Santosh Gujrathi Vidit,Erigaisi Arjun,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",8.5,2720,2776,0.5,0.5,????.??.??,32,31,5.2,5.4,0.0,0.0,0.45,0.45,0,0,0,0,0,0,0,0,2,1,[],"[{'turn': 'White', 'fen': 'rnbq1rk1/1p2bppp/p3pn2/6B1/2BP4/2N2N2/PP3PPP/R2Q1RK1 w - - 0 10', 'move_number': 10, 'move': 'a2a4', 'prev_move': 'a7a6', 'time_diff': '0:16:21', 'exp_point_loss': 0.014500000000000013}, {'turn': 'Black', 'fen': 'rnbq1rk1/1p2bppp/p3pn2/6B1/P1BP4/2N2N2/1P3PPP/R2Q1RK1 b - - 0 10', 'move_number': 11, 'move': 'b8c6', 'prev_move': 'a2a4', 'time_diff': '0:20:12', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r2qr1k1/1p1bbppp/p1n1pn2/6B1/P1BP4/2N2N2/1P2QPPP/R3R1K1 w - - 5 13', 'move_number': 13, 'move': 'f3e5', 'prev_move': 'f8e8', 'time_diff': '0:20:16', 'exp_point_loss': 0.014000000000000012}]"
133.0,160.9,1.33,0.82,24.09,10.35,V Pranav,Vincent Keymer,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",2.5,2597,2730,0.0,1.0,????.??.??,46,46,2.9,3.5,0.03,0.02,-1.33,0.18,1,1,2,1,0,1,2,0,0,0,"[{'turn': 'White', 'fen': '1qr5/5p1k/p3p1pb/1n1pP2B/bPp2P1P/P5R1/3Q1BP1/2R3K1 w - - 1 31', 'move_number': 31, 'move': 'h5d1', 'prev_move': 'f8h6', 'time_diff': '0:06:28', 'exp_point_loss': 0.4595}, {'turn': 'Black', 'fen': '1qr5/5p1k/p3p1pb/1n1pP3/bP3P1P/P1p1Q1R1/5BP1/2RB2K1 b - - 1 32', 'move_number': 33, 'move': 'a4d1', 'prev_move': 'd2e3', 'time_diff': '0:08:41', 'exp_point_loss': 0.48449999999999993}, {'turn': 'White', 'fen': '1q6/7k/p3p1pb/3pP3/1nr2P2/2p2R2/5BP1/2QR2K1 w - - 0 38', 'move_number': 38, 'move': 'f3h3', 'prev_move': 'c2b4', 'time_diff': '0:00:36', 'exp_point_loss': 0.47550000000000003}]","[{'turn': 'White', 'fen': '1qr2rk1/1b3pbp/pp1ppnp1/4n3/1PP1P3/1NN1BP2/P2QB1PP/2R2RK1 w - - 3 17', 'move_number': 17, 'move': 'c3a4', 'prev_move': 'd7e5', 'time_diff': '0:33:16', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1q6/7k/p3p1pb/3pP3/2r2P2/7R/n1p2BP1/2Q2RK1 w - - 2 40', 'move_number': 40, 'move': 'c1a3', 'prev_move': 'b4a2', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
157.2,157.2,0.52,0.52,5.57,5.33,Jorden Van Foreest,Erigaisi Arjun,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",2.2,2697,2776,0.5,0.5,????.??.??,42,42,3.7,3.7,0.01,0.01,-0.02,-0.02,1,0,1,1,0,1,0,0,1,0,"[{'turn': 'Black', 'fen': '2rq1rk1/pp3pbp/2n1pnp1/3pNb2/3P1B2/2N3PP/PP2PPB1/2RQ1RK1 b - - 0 12', 'move_number': 13, 'move': 'c6e5', 'prev_move': 'h2h3', 'time_diff': '0:10:21', 'exp_point_loss': 0.412}, {'turn': 'White', 'fen': '2rq1rk1/pp3pbp/4pnp1/3pnb2/3P1B2/2N3PP/PP2PPB1/2RQ1RK1 w - - 0 13', 'move_number': 13, 'move': 'f4e5', 'prev_move': 'c6e5', 'time_diff': '0:11:01', 'exp_point_loss': 0.413}]","[{'turn': 'White', 'fen': '3qnr2/pp3pkp/2r1p1b1/3p4/3P1QP1/2N4P/PP2P1B1/2R2RK1 w - - 1 19', 'move_number': 19, 'move': 'c1d1', 'prev_move': 'c8c6', 'time_diff': '0:17:53', 'exp_point_loss': 0.005500000000000005}]"
140.0,140.1,1.45,1.44,21.44,21.08,Santosh Gujrathi Vidit,Jorden Van Foreest,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",1.4,2720,2697,0.5,0.5,????.??.??,48,48,2.9,2.9,0.03,0.03,-0.95,-0.94,0,0,3,0,0,2,0,0,1,1,"[{'turn': 'White', 'fen': 'r1bqr1k1/3n1pb1/6p1/1B1p4/3p3p/4BP2/PP1Q2PP/R4RKN w - - 0 19', 'move_number': 19, 'move': 'e3g5', 'prev_move': 'e5d4', 'time_diff': '0:03:17', 'exp_point_loss': 0.32599999999999996}, {'turn': 'Black', 'fen': 'r5k1/3B1pb1/bq4p1/3p2B1/P7/3p1P1P/1P2rN1P/R2Q1RK1 b - - 0 24', 'move_number': 25, 'move': 'e2b2', 'prev_move': 'g2h3', 'time_diff': '0:04:16', 'exp_point_loss': 0.9994999999999999}, {'turn': 'White', 'fen': 'r5k1/3B1p2/b5p1/3p4/Pq6/2b1BP1P/3p1NKP/3Q2R1 w - - 2 32', 'move_number': 32, 'move': 'd7b5', 'prev_move': 'c4b4', 'time_diff': '0:02:08', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4r1k1/5p2/6p1/1P1p4/1q6/2b1BP1P/3p1NKP/3Q2R1 w - - 1 34', 'move_number': 34, 'move': 'e3g5', 'prev_move': 'a8e8', 'time_diff': '0:00:36', 'exp_point_loss': 0.504}, {'turn': 'Black', 'fen': '4r1k1/5p2/6p1/1P1p2B1/1q6/2b2P1P/3p1NKP/3Q2R1 b - - 2 34', 'move_number': 35, 'move': 'f7f6', 'prev_move': 'e3g5', 'time_diff': '0:02:21', 'exp_point_loss': 0.514}]","[{'turn': 'White', 'fen': 'r1bq1rk1/3n1pbp/2pp1np1/4p3/3PP3/2N1BP2/PP1QN1PP/R3KB1R w KQ - 0 12', 'move_number': 12, 'move': 'e2g3', 'prev_move': 'e7e5', 'time_diff': '0:15:44', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'Black', 'fen': 'r5k1/3B1pb1/bq4p1/3p2B1/P7/3p1P1P/1r3N1P/1R1Q1RK1 b - - 1 25', 'move_number': 26, 'move': 'g7d4', 'prev_move': 'a1b1', 'time_diff': '0:20:11', 'exp_point_loss': 0}]"
150.7,150.8,0.87,0.86,6.84,6.47,Erigaisi Arjun,Murali Karthikeyan,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",9.1,2776,2658,0.5,0.5,????.??.??,49,49,3.1,3.1,0.02,0.02,-0.37,-0.36,0,0,2,0,0,2,0,0,2,1,"[{'turn': 'White', 'fen': '3r2k1/p6p/1pp3p1/2p1pn2/4N3/2Pb3P/PP3P2/3R1R1K w - - 0 23', 'move_number': 23, 'move': 'e4f6', 'prev_move': 'a8d8', 'time_diff': '0:02:21', 'exp_point_loss': 0.4335000000000001}, {'turn': 'Black', 'fen': '3r4/p5kp/1pp3p1/2p1pn2/6N1/2Pb3P/PP3P2/3R1R1K b - - 3 24', 'move_number': 25, 'move': 'd8d5', 'prev_move': 'f6g4', 'time_diff': '0:02:26', 'exp_point_loss': 0.3245000000000001}, {'turn': 'White', 'fen': '8/p5kp/1pp3p1/2pr4/4p3/2Pbn2P/PP3P2/3RR2K w - - 0 27', 'move_number': 27, 'move': 'e1e3', 'prev_move': 'f5e3', 'time_diff': '0:00:10', 'exp_point_loss': 0.43000000000000005}, {'turn': 'Black', 'fen': '8/p5kp/1pp3p1/2pr4/4p3/2PbR2P/PP3P2/3R3K b - - 0 27', 'move_number': 28, 'move': 'c5c4', 'prev_move': 'e1e3', 'time_diff': '0:00:04', 'exp_point_loss': 0.43100000000000005}]","[{'turn': 'Black', 'fen': 'r1bqnrk1/p3p1bp/1pp3p1/2p1B3/8/2NP1N1P/PPPQ1PP1/R4RK1 b - - 0 12', 'move_number': 13, 'move': 'f8f3', 'prev_move': 'f4e5', 'time_diff': '0:19:10', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'White', 'fen': 'r1bq2k1/p3p2p/1pp3p1/2p2n2/8/2NP1P1P/PPPQ1P2/R4RK1 w - - 1 15', 'move_number': 15, 'move': 'c3e4', 'prev_move': 'g7f5', 'time_diff': '0:18:43', 'exp_point_loss': 0.034499999999999975}, {'turn': 'White', 'fen': 'r2q2k1/p6p/bpp3p1/2p1pnQ1/4N3/2PP3P/PP3P2/R4R1K w - - 6 21', 'move_number': 21, 'move': 'a1d1', 'prev_move': 'c8a6', 'time_diff': '0:19:14', 'exp_point_loss': 0.0025000000000000022}]"
176.0,148.3,0.01,0.5,4.9,25.1,Vincent Keymer,Murali Karthikeyan,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",3.1,2730,2658,1.0,0.0,????.??.??,30,29,5.9,5.1,0.0,0.02,0.99,-0.5,0,0,0,1,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': 'r2qk2r/4bppp/p1p1pn2/3p3P/4PB2/2NQ4/PPP2PP1/2KR3R b kq - 0 13', 'move_number': 14, 'move': 'h7h6', 'prev_move': 'h4h5', 'time_diff': '0:00:34', 'exp_point_loss': 0.2385}]","[{'turn': 'Black', 'fen': 'r2qkb1r/5ppp/p1p1pn2/3p4/4PB1P/2NQ4/PPP2PP1/2KR3R b kq - 0 12', 'move_number': 13, 'move': 'f8e7', 'prev_move': 'h2h4', 'time_diff': '0:26:04', 'exp_point_loss': 0.14249999999999996}]"
124.3,96.5,2.79,3.29,16.93,161.68,Nihal Sarin,Erigaisi Arjun,Quantbox Chennai Grandmasters Chess Tournament 2025,"Hyatt Regency, Chennai, India",4.3,2692,2776,1.0,0.0,????.??.??,70,69,1.8,1.4,0.04,0.05,-1.79,-3.29,5,1,5,4,1,6,0,0,0,2,"[{'turn': 'Black', 'fen': 'r1b2r2/1p2qpbk/p2p2p1/2pBn3/2P2Nn1/1P2P1N1/PB1PQ2P/R4RK1 b - - 6 20', 'move_number': 21, 'move': 'g4f6', 'prev_move': 'd1e2', 'time_diff': '0:00:27', 'exp_point_loss': 0.28900000000000003}, {'turn': 'White', 'fen': '1r3r2/1p3p1k/p2p2p1/2pB1b1N/2P4q/1P2PR2/Pb1P2QP/5RK1 w - - 2 27', 'move_number': 27, 'move': 'h5g3', 'prev_move': 'e7h4', 'time_diff': '0:01:38', 'exp_point_loss': 0.4825}, {'turn': 'Black', 'fen': '1r3r1k/1p6/p2p2R1/2pB4/2P5/1P2PN1b/P2P3P/6K1 b - - 2 33', 'move_number': 34, 'move': 'h8h7', 'prev_move': 'h4f3', 'time_diff': '0:03:17', 'exp_point_loss': 0.4385}, {'turn': 'White', 'fen': '1r3r2/1p4k1/p2R4/2pB4/2P5/1P2PN1b/P2P3P/6K1 w - - 1 35', 'move_number': 35, 'move': 'g1f2', 'prev_move': 'h7g7', 'time_diff': '0:03:00', 'exp_point_loss': 0.424}, {'turn': 'Black', 'fen': '1r6/1p6/p3bk2/2pB4/2P2K2/1P2PN2/P2P3P/8 b - - 3 38', 'move_number': 39, 'move': 'b8g8', 'prev_move': 'g3f4', 'time_diff': '0:02:34', 'exp_point_loss': 0.351}, {'turn': 'White', 'fen': '6r1/1p6/p3k3/2p5/2P2K2/1P2PN2/P2P3P/8 w - - 0 40', 'move_number': 40, 'move': 'h2h4', 'prev_move': 'f6e6', 'time_diff': '0:00:05', 'exp_point_loss': 0.326}, {'turn': 'Black', 'fen': '5r2/8/1p2k3/p7/2PPK2P/PP3N2/8/8 b - - 0 44', 'move_number': 45, 'move': 'f8c8', 'prev_move': 'a2a3', 'time_diff': '0:00:41', 'exp_point_loss': 0.4895}, {'turn': 'White', 'fen': '8/8/1p2k3/4N3/1PPPK2P/8/6r1/8 w - - 1 48', 'move_number': 48, 'move': 'd4d5', 'prev_move': 'g8g2', 'time_diff': '0:01:37', 'exp_point_loss': 0.4955}, {'turn': 'Black', 'fen': '8/8/3k4/2PP4/3K3P/3N4/7r/8 b - - 0 52', 'move_number': 53, 'move': 'd6e7', 'prev_move': 'b4c5', 'time_diff': '0:01:32', 'exp_point_loss': 0.497}, {'turn': 'White', 'fen': '8/3k3N/3P4/2P4P/2r5/4K3/8/8 w - - 15 66', 'move_number': 66, 'move': 'h7f8', 'prev_move': 'h4c4', 'time_diff': '0:01:22', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '4kN2/8/3P4/2P4P/2r5/3K4/8/8 b - - 18 67', 'move_number': 68, 'move': 'c4c5', 'prev_move': 'e3d3', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'r1b2rk1/1p2qpb1/p2p2p1/2pBn3/2P2Nn1/1P2P1N1/PB1P3P/R2Q1RK1 b - - 4 19', 'move_number': 20, 'move': 'g8h7', 'prev_move': 'f3d5', 'time_diff': '0:17:35', 'exp_point_loss': 0.127}, {'turn': 'Black', 'fen': 'r1b2r2/1p2qpbk/p2p1np1/2pBn3/2P2N2/1P2P1N1/PB1P2QP/R4RK1 b - - 8 21', 'move_number': 22, 'move': 'a8b8', 'prev_move': 'e2g2', 'time_diff': '0:16:58', 'exp_point_loss': 0.06749999999999999}]"
