Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Vincent Keymer,163.3,0.47,8.77,9,7.0,165.6,0.14,2730,2914,375,5,4,6.66,13.47,0.77,7.66,0.31,0.63,0.27,158.9,168.8,3.5,3.5,4.24,181.35,0.59,58.64
Awonder Liang,158.6,0.45,10.31,9,4.5,165.5,0.54,2696,2701,344,4,5,10.79,10.82,0.36,6.6,0.05,0.44,0.45,158.6,158.6,2.0,2.5,4.01,117.13,0.13,43.6
Murali Karthikeyan,158.0,0.53,7.65,9,5.0,161.3,0.3,2658,2744,536,4,5,6.47,11.02,0.52,8.15,0.02,0.56,0.51,158.8,157.4,2.5,2.5,4.78,121.5,0.27,66.46
Anish Giri,156.6,0.61,7.98,9,5.0,164.7,0.12,2748,2734,504,5,4,4.63,12.68,0.8,9.34,-0.05,0.35,0.94,160.4,151.8,2.5,2.5,5.47,160.79,0.64,87.29
Erigaisi Arjun,155.1,0.69,22.19,9,5.0,159.3,0.41,2776,2730,440,5,4,4.5,23.58,1.03,52.33,-0.13,0.39,1.07,163.4,144.7,3.5,1.5,6.21,555.9,1.06,2737.91
V Pranav,151.2,0.68,47.54,9,3.0,152.8,0.74,2597,2591,570,5,4,10.34,12.23,0.48,76.65,-0.34,0.52,0.87,153.5,148.4,1.5,1.5,6.09,149.61,0.23,5874.94
Santosh Gujrathi Vidit,150.7,0.81,46.23,9,4.0,149.9,1.18,2720,2659,531,5,4,4.78,15.66,0.72,77.84,-0.37,0.87,0.75,150.8,150.6,2.5,1.5,7.33,245.14,0.52,6059.43
Ray Robson,149.1,0.79,33.19,9,3.0,150.3,0.64,2687,2581,507,4,5,15.69,16.36,0.73,59.37,-0.46,0.98,0.64,146.3,151.3,1.5,1.5,7.12,267.79,0.54,3524.36
Jorden Van Foreest,143.3,1.21,23.77,9,4.0,142.8,1.07,2697,2662,490,4,5,13.2,15.88,0.73,21.51,-0.77,1.59,0.91,137.2,148.1,2.0,2.0,10.92,252.21,0.54,462.66
Nihal Sarin,137.7,1.57,18.5,9,4.5,136.0,1.57,2692,2701,479,4,5,14.61,20.82,0.88,10.04,-1.07,1.6,1.54,139.4,136.4,2.5,2.0,14.12,433.65,0.77,100.8
