white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
159.4,125.3,0.81,1.31,10.8,33.04,Parham Maghsoodloo,Vasyl Ivanchuk,"Round 5: Maghsoodloo, Parham - Ivanchuk, Vasyl",https://lichess.org/study/gQ3BfgMi/q1gNuCHw,5.3,2680,2619,1.0,0.0,????.??.??,25,24,6.4,5.2,0.03,0.05,0.1,-1.74,3,1,0,1,0,3,0,0,1,0,"[{'turn': 'Black', 'fen': '2q1k2r/rp1nbppp/p1p1p3/2Pp4/3PbB2/PQ2P2P/1P1NBPP1/R3K2R b KQk - 1 13', 'move_number': 14, 'move': 'g7g5', 'prev_move': 'f3d2', 'time_diff': '0:03:49', 'exp_point_loss': 0.3175}, {'turn': 'Black', 'fen': '2q1k2r/rp1n1p1p/2pPp1b1/p2p4/P2PP2p/1Q6/1P1NBPP1/R3K2R b KQk - 0 18', 'move_number': 19, 'move': 'g6e4', 'prev_move': 'e3e4', 'time_diff': '0:01:51', 'exp_point_loss': 0.25749999999999995}, {'turn': 'Black', 'fen': '2q1k2r/rp1n1p1p/2pPp3/p7/P2Pp2R/1Q6/1P2BPP1/R3K3 b Qk - 0 20', 'move_number': 21, 'move': 'c8d8', 'prev_move': 'h1h4', 'time_diff': '0:03:16', 'exp_point_loss': 0.345}]","[{'turn': 'White', 'fen': '3qk2r/rp1nbppp/p1p1p3/2Pp1b2/3PnB2/1QN1PN1P/PP2BPP1/R3K2R w KQk - 3 11', 'move_number': 11, 'move': 'a2a3', 'prev_move': 'f6e4', 'time_diff': '0:16:18', 'exp_point_loss': 0.034499999999999975}]"
161.7,129.6,0.63,1.12,9.17,20.52,David Navara,Bassem Amin,"Round 2: Navara, David - Amin, Bassem",https://lichess.org/study/teb8lA5i/gcDuKUOq,2.1,2677,2654,1.0,0.0,????.??.??,41,40,3.9,3.2,0.02,0.03,0.22,-1.51,1,0,1,1,0,2,0,0,1,2,"[{'turn': 'Black', 'fen': '8/pp3pk1/2nB3p/3B4/4PP1p/1Pb5/5KP1/8 b - - 0 32', 'move_number': 33, 'move': 'f7f6', 'prev_move': 'e3e4', 'time_diff': '0:00:08', 'exp_point_loss': 0.372}, {'turn': 'White', 'fen': '8/pp4k1/2nB1p1p/3B4/4PP1p/1Pb5/5KP1/8 w - - 0 33', 'move_number': 33, 'move': 'f2f3', 'prev_move': 'f7f6', 'time_diff': '0:01:02', 'exp_point_loss': 0.3725}, {'turn': 'Black', 'fen': '8/pp4k1/2nB1p1p/3B4/4PP1p/1Pb2K2/6P1/8 b - - 1 33', 'move_number': 34, 'move': 'g7g6', 'prev_move': 'f2f3', 'time_diff': '0:02:01', 'exp_point_loss': 0.4935}]","[{'turn': 'Black', 'fen': 'r1bq1rk1/pp2ppbp/2n2np1/3p4/3P1B1P/1QN1PN2/PP3PP1/R3KB1R b KQ - 2 9', 'move_number': 10, 'move': 'c6a5', 'prev_move': 'd1b3', 'time_diff': '0:15:46', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'White', 'fen': 'r1bq1rk1/pp2ppbp/2n2np1/3p4/3P1B1P/Q1N1PN2/PP3PP1/R3KB1R w KQ - 5 11', 'move_number': 11, 'move': 'f3e5', 'prev_move': 'a5c6', 'time_diff': '0:15:25', 'exp_point_loss': 0.006500000000000006}, {'turn': 'Black', 'fen': 'r2q1rk1/pp3pbp/2n1b1p1/3p2B1/7P/Q1N1PP2/PP2B1P1/3RK2R b K - 3 17', 'move_number': 18, 'move': 'd8b6', 'prev_move': 'f4g5', 'time_diff': '0:20:30', 'exp_point_loss': 0.008000000000000007}]"
158.1,122.5,0.87,1.36,10.51,23.73,Volodar Murzin,Faustino Oro,"Round 5: Murzin, Volodar - Oro, Faustino",https://lichess.org/study/gQ3BfgMi/vO282TkX,5.5,2657,2447,1.0,0.0,????.??.??,74,73,2.1,1.7,0.01,0.02,0.03,-1.89,0,2,1,1,1,3,0,0,1,1,"[{'turn': 'Black', 'fen': '5rk1/2p2pp1/r2qp2p/N2n4/P2P4/4P1P1/1P1Q1PBP/2R3K1 b - - 0 21', 'move_number': 22, 'move': 'f8b8', 'prev_move': 'c6a5', 'time_diff': '0:18:11', 'exp_point_loss': 0.4475}, {'turn': 'Black', 'fen': '1r3k2/r1p2pp1/4p2p/8/P2P4/1Pn1PBP1/3N1P1P/R4K2 b - - 15 32', 'move_number': 33, 'move': 'f8e7', 'prev_move': 'c4d2', 'time_diff': '0:00:47', 'exp_point_loss': 0.2885}, {'turn': 'White', 'fen': '1r6/2r1k1p1/2p1pp1p/3n3P/P2P2P1/1P2PB2/3NKP2/2R5 w - - 11 44', 'move_number': 44, 'move': 'f3d5', 'prev_move': 'd6e7', 'time_diff': '0:00:40', 'exp_point_loss': 0.471}, {'turn': 'Black', 'fen': '1r6/2r3p1/2p1kp1p/3p3P/P2P1KP1/1P2P3/3N1P2/2R5 b - - 3 46', 'move_number': 47, 'move': 'b8f8', 'prev_move': 'f3f4', 'time_diff': '0:02:43', 'exp_point_loss': 0.24149999999999996}]","[{'turn': 'White', 'fen': 'r4rk1/2p2pp1/2Nqp2p/p2n4/P2P4/4P1P1/1P1Q1PBP/R5K1 w - - 1 20', 'move_number': 20, 'move': 'a1c1', 'prev_move': 'e7d6', 'time_diff': '0:27:35', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '5rk1/2p2pp1/r2qp2p/N2n4/P2P4/4P1P1/1P1Q1PBP/2R3K1 b - - 0 21', 'move_number': 22, 'move': 'f8b8', 'prev_move': 'c6a5', 'time_diff': '0:18:11', 'exp_point_loss': 0.4475}]"
148.1,107.7,1.38,1.88,17.64,28.86,Etienne Bacrot,Parham Maghsoodloo,"Round 8: Bacrot, Etienne - Maghsoodloo, Parham",https://lichess.org/study/TGAw91mF/4wJG2C8u,8.5,2640,2680,1.0,0.0,????.??.??,44,43,3.4,2.5,0.03,0.04,-0.51,-2.69,1,1,2,1,0,4,0,0,1,2,"[{'turn': 'Black', 'fen': '2r1k1nr/pp1q2pp/2nbb3/3pp3/Q7/2N1PNB1/PP2BPPP/R3K2R b KQk - 5 14', 'move_number': 15, 'move': 'a7a6', 'prev_move': 'd2f3', 'time_diff': '0:12:19', 'exp_point_loss': 0.3685}, {'turn': 'White', 'fen': '2r1k1nr/1p1q2pp/p1nbb3/3pp3/Q7/2N1PNB1/PP2BPPP/R3K2R w KQk - 0 15', 'move_number': 15, 'move': 'e1g1', 'prev_move': 'a7a6', 'time_diff': '0:05:50', 'exp_point_loss': 0.3745}, {'turn': 'Black', 'fen': '2r2rk1/1p1nnbp1/3bq2p/3pp3/Q7/2N1PNB1/P4PPP/1BRR2K1 b - - 12 25', 'move_number': 26, 'move': 'c8c4', 'prev_move': 'd3b1', 'time_diff': '0:01:35', 'exp_point_loss': 0.2370000000000001}, {'turn': 'Black', 'fen': '1br3k1/1p2nbp1/qn5p/1N1pN3/8/4P1B1/PQ3PPP/1B1R2K1 b - - 0 33', 'move_number': 34, 'move': 'f7h5', 'prev_move': 'f3e5', 'time_diff': '0:00:32', 'exp_point_loss': 0.4725}, {'turn': 'White', 'fen': '2r3k1/1p2n1p1/q6p/1N1pb2b/nQ6/4P1B1/P4PPP/1B3RK1 w - - 0 36', 'move_number': 36, 'move': 'b4e7', 'prev_move': 'b8e5', 'time_diff': '0:00:02', 'exp_point_loss': 0.486}, {'turn': 'Black', 'fen': '2r3k1/1p2Q1p1/q6p/1N1pb2b/n7/4P1B1/P4PPP/1B3RK1 b - - 0 36', 'move_number': 37, 'move': 'c8e8', 'prev_move': 'b4e7', 'time_diff': '0:00:36', 'exp_point_loss': 0.4855}]","[{'turn': 'White', 'fen': '2rqkbnr/pp3ppp/2n1p3/3p1b2/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQk - 2 8', 'move_number': 8, 'move': 'd1b3', 'prev_move': 'a8c8', 'time_diff': '0:21:05', 'exp_point_loss': 0.007500000000000007}, {'turn': 'Black', 'fen': '2r1kbnr/pp1q2pp/2n1pp2/3p1b2/3P1B2/1QN1P3/PP1NBPPP/R3K2R b KQk - 1 10', 'move_number': 11, 'move': 'e6e5', 'prev_move': 'f3d2', 'time_diff': '0:28:03', 'exp_point_loss': 0.0015000000000000013}, {'turn': 'Black', 'fen': '2r1k2r/1p1q2p1/p1nbbn1p/3pp3/QP6/2N1PNB1/P3BPPP/3R1RK1 b k - 0 17', 'move_number': 18, 'move': 'e8g8', 'prev_move': 'b2b4', 'time_diff': '0:15:26', 'exp_point_loss': 0.10850000000000004}]"
161.5,162.0,0.05,0.04,4.92,4.15,Vasyl Ivanchuk,Jules Moussard,"Round 2: Ivanchuk, Vasyl - Moussard, Jules",https://lichess.org/study/teb8lA5i/W4UQwvoD,2.5,2619,2595,0.5,0.5,????.??.??,26,26,6.2,6.2,0.0,0.0,0.21,0.24,0,0,0,0,0,0,0,0,3,2,[],"[{'turn': 'Black', 'fen': 'rn1qkb1r/pb3ppp/1p2p3/2Pn4/8/P1N2N2/1PQ1PPPP/R1B1KB1R b KQkq - 0 8', 'move_number': 9, 'move': 'f8c5', 'prev_move': 'd4c5', 'time_diff': '0:17:24', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'rn1qk2r/pb2bppp/1p2p3/3n2B1/8/P1N2N2/1PQ1PPPP/R3KB1R w KQkq - 2 10', 'move_number': 10, 'move': 'g5e7', 'prev_move': 'c5e7', 'time_diff': '0:18:46', 'exp_point_loss': 0.0040000000000000036}, {'turn': 'Black', 'fen': 'rn1qk2r/pb2Bppp/1p2p3/3n4/8/P1N2N2/1PQ1PPPP/R3KB1R b KQkq - 0 10', 'move_number': 11, 'move': 'd8e7', 'prev_move': 'g5e7', 'time_diff': '0:15:12', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'rn2k2r/pb2qppp/1p6/3p4/8/P4N2/1PQ1PPPP/R3KB1R w KQkq - 0 12', 'move_number': 12, 'move': 'e2e3', 'prev_move': 'e6d5', 'time_diff': '0:26:03', 'exp_point_loss': 0.004500000000000004}, {'turn': 'White', 'fen': 'r1r3k1/pb2qppp/1p6/3pn3/8/P2BPN2/1P1Q1PPP/R4RK1 w - - 7 16', 'move_number': 16, 'move': 'f3e5', 'prev_move': 'c6e5', 'time_diff': '0:17:14', 'exp_point_loss': 0}]"
160.9,160.7,0.23,0.22,8.86,8.66,Volodar Murzin,Parham Maghsoodloo,"Round 2: Murzin, Volodar - Maghsoodloo, Parham",https://lichess.org/study/teb8lA5i/sQiV30wu,2.2,2657,2680,0.5,0.5,????.??.??,42,41,3.8,3.9,0.01,0.01,0.18,0.17,1,0,0,1,0,0,0,0,1,1,[],"[{'turn': 'Black', 'fen': 'r1bq1rk1/1ppnbppp/4pn2/p2p4/2PP1B2/5NP1/PPQ1PPBP/RN3RK1 b - - 1 8', 'move_number': 9, 'move': 'd5c4', 'prev_move': 'c1f4', 'time_diff': '0:24:06', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '5rk1/1p1qb1pp/2p1pp2/r2n4/p2PNP2/3QP3/PP3PBP/2RR2K1 w - - 2 19', 'move_number': 19, 'move': 'd3e2', 'prev_move': 'b6d5', 'time_diff': '0:18:52', 'exp_point_loss': 0.0050000000000000044}]"
135.1,164.3,0.87,0.37,18.41,7.0,Etienne Bacrot,Volodar Murzin,"Round 1: Bacrot, Etienne - Murzin, Volodar",https://lichess.org/study/cX1mIndx/RKYh2mg4,1.4,2640,2657,0.0,1.0,????.??.??,41,41,3.3,4.0,0.02,0.01,-1.21,0.36,2,1,1,1,0,1,0,0,4,3,"[{'turn': 'Black', 'fen': 'r5k1/2p3qp/p2p2p1/np1N1p2/3b4/1P2RP1P/P1Q3P1/3R2K1 b - - 1 25', 'move_number': 26, 'move': 'f5f4', 'prev_move': 'c3d5', 'time_diff': '0:07:50', 'exp_point_loss': 0.30400000000000005}, {'turn': 'White', 'fen': 'r7/5k2/p1ppN1pp/np6/4R3/1P3P1P/P5P1/6K1 w - - 0 31', 'move_number': 31, 'move': 'e6f4', 'prev_move': 'h7h6', 'time_diff': '0:01:12', 'exp_point_loss': 0.3304999999999999}]","[{'turn': 'White', 'fen': 'r1bqr1k1/2p2ppp/pb1p1n2/np2p3/3PP3/1BP1BN1P/PP1N1PP1/R2Q1RK1 w - - 1 12', 'move_number': 12, 'move': 'b3c2', 'prev_move': 'c6a5', 'time_diff': '0:15:01', 'exp_point_loss': 0.0005000000000000004}, {'turn': 'Black', 'fen': 'r1bqr1k1/2p2ppp/pb1p1n2/np2p3/3PP3/2P1BN1P/PPBN1PP1/R2Q1RK1 b - - 2 12', 'move_number': 13, 'move': 'e5d4', 'prev_move': 'b3c2', 'time_diff': '0:17:14', 'exp_point_loss': 0.0005000000000000004}, {'turn': 'White', 'fen': 'r2qr1k1/1bp2ppp/pb1p1n2/np6/3PP3/4BN1P/PPBN1PP1/R2Q1RK1 w - - 1 14', 'move_number': 14, 'move': 'f1e1', 'prev_move': 'c8b7', 'time_diff': '0:28:01', 'exp_point_loss': 0.007500000000000007}, {'turn': 'White', 'fen': 'r2qr1k1/2p2ppp/pb1p1n2/np6/3Pb3/4BN1P/PPBN1PP1/R2QR1K1 w - - 0 15', 'move_number': 15, 'move': 'd2e4', 'prev_move': 'b7e4', 'time_diff': '0:15:58', 'exp_point_loss': 0.0015000000000000568}, {'turn': 'White', 'fen': 'r2q2k1/2p2ppp/pb1p4/np6/3Pr3/4BN1P/PP3PP1/R2QR1K1 w - - 0 17', 'move_number': 17, 'move': 'd1c2', 'prev_move': 'e8e4', 'time_diff': '0:17:37', 'exp_point_loss': 0.010500000000000065}, {'turn': 'Black', 'fen': 'r2q2k1/2p2ppp/pb1p4/np6/3Pr3/4BN1P/PPQ2PP1/R3R1K1 b - - 1 17', 'move_number': 18, 'move': 'e4e8', 'prev_move': 'd1c2', 'time_diff': '0:15:12', 'exp_point_loss': 0.008500000000000063}, {'turn': 'Black', 'fen': 'r2qr1k1/2p4p/pb1p1pp1/np6/3PN3/1P2B2P/P1Q2PP1/R3R1K1 b - - 0 20', 'move_number': 21, 'move': 'd8e7', 'prev_move': 'b2b3', 'time_diff': '0:20:12', 'exp_point_loss': 0}]"
166.1,137.8,0.3,0.8,5.79,24.06,Parham Maghsoodloo,David Navara,"Round 9: Maghsoodloo, Parham - Navara, David",https://lichess.org/study/ZTK55z4H/bHxSXI69,9.1,2680,2677,1.0,0.0,????.??.??,34,33,4.9,4.2,0.01,0.02,0.46,-1.07,3,0,0,2,1,1,0,0,1,1,"[{'turn': 'Black', 'fen': '3r1bk1/pp1q1ppp/2n2n2/4N3/3p2b1/1P3NP1/PB1P1PBP/4RQK1 b - - 5 17', 'move_number': 18, 'move': 'c6e5', 'prev_move': 'c4e5', 'time_diff': '0:00:10', 'exp_point_loss': 0.2435}]","[{'turn': 'White', 'fen': '3r1bk1/ppq2ppp/5n2/4N3/3p2b1/1P4P1/PB1P1PBP/4RQK1 w - - 1 19', 'move_number': 19, 'move': 'e5g4', 'prev_move': 'd7c7', 'time_diff': '0:17:22', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '3r1bk1/ppq2ppp/8/8/3pR1n1/1P4P1/PB1P1PBP/5QK1 b - - 1 20', 'move_number': 21, 'move': 'g4f6', 'prev_move': 'e1e4', 'time_diff': '0:16:08', 'exp_point_loss': 0.123}]"
144.8,143.2,1.01,1.01,15.76,15.72,Jules Moussard,David Navara,"Round 3: Moussard, Jules - Navara, David",https://lichess.org/study/P3KprzUg/w0cRTXLz,3.1,2595,2677,0.5,0.5,????.??.??,51,50,2.8,2.9,0.02,0.02,-0.69,-0.78,0,0,2,0,0,2,0,0,3,1,"[{'turn': 'Black', 'fen': '8/p1p1R1k1/1p3p2/2p5/3n1BP1/7P/PPP2K2/1r6 b - - 2 30', 'move_number': 31, 'move': 'g7g6', 'prev_move': 'e4e7', 'time_diff': '0:00:20', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/p7/4n1Pk/1p2Bp1P/2p5/6K1/PP6/8 w - - 0 44', 'move_number': 44, 'move': 'g3h4', 'prev_move': 'c5c4', 'time_diff': '0:01:57', 'exp_point_loss': 0.4845}, {'turn': 'Black', 'fen': '8/8/4n1Pk/p3Bp1P/Ppp4K/8/1P6/8 b - a3 0 47', 'move_number': 48, 'move': 'e6c5', 'prev_move': 'a2a4', 'time_diff': '0:03:35', 'exp_point_loss': 0.463}, {'turn': 'White', 'fen': '8/6k1/6P1/p1n2p1P/Ppp2B1K/8/1P6/8 w - - 7 51', 'move_number': 51, 'move': 'f4e5', 'prev_move': 'h6g7', 'time_diff': '0:00:20', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'r3k2r/pbp1bpp1/1pp5/4PnBp/8/5N1P/PPP1NPP1/R2R2K1 w - - 4 14', 'move_number': 14, 'move': 'e2f4', 'prev_move': 'c8b7', 'time_diff': '0:23:49', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'Black', 'fen': 'r3k2r/pbp1bpp1/1pp5/4PnBp/5N2/5N1P/PPP2PP1/R2R2K1 b - - 5 14', 'move_number': 15, 'move': 'f7f6', 'prev_move': 'e2f4', 'time_diff': '0:19:51', 'exp_point_loss': 0.009000000000000008}, {'turn': 'White', 'fen': 'r3k2r/pbp1b1p1/1pp2p2/4PnBp/5N2/5N1P/PPP2PP1/R2R2K1 w - - 0 15', 'move_number': 15, 'move': 'f4g6', 'prev_move': 'f7f6', 'time_diff': '0:19:00', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r3k3/pbp1b1pr/1pp2pN1/4PnBp/8/5N1P/PPP2PP1/R2R2K1 w - - 2 16', 'move_number': 16, 'move': 'g6e7', 'prev_move': 'h8h7', 'time_diff': '0:25:42', 'exp_point_loss': 0.008500000000000008}]"
168.7,142.1,0.1,0.6,8.59,32.95,Daniel Dardha,Parham Maghsoodloo,"Round 4: Dardha, Daniel - Maghsoodloo, Parham",https://lichess.org/study/ZbPxwLaW/x7BfFPjH,4.3,2652,2680,1.0,0.0,????.??.??,22,21,7.7,6.8,0.0,0.03,0.6,-0.84,1,0,0,0,0,2,0,0,0,2,"[{'turn': 'Black', 'fen': '4k2r/r3npp1/2p2q1p/p2pp2P/4P3/2PNQ3/PP3PP1/R3K2R b KQk - 3 17', 'move_number': 18, 'move': 'e7c8', 'prev_move': 'c5d3', 'time_diff': '0:07:35', 'exp_point_loss': 0.33599999999999997}, {'turn': 'Black', 'fen': '2n1k2r/r4pp1/5q1p/p1Qpp2P/8/2PN4/PP3PP1/R3K2R b KQk - 1 19', 'move_number': 20, 'move': 'f6e6', 'prev_move': 'e3c5', 'time_diff': '0:10:01', 'exp_point_loss': 0.235}]","[{'turn': 'Black', 'fen': 'r1b1k2r/pp1pnppp/2n1pq2/2b5/3NP3/2P1B3/PP1Q1PPP/RN2KB1R b KQkq - 2 8', 'move_number': 9, 'move': 'd7d5', 'prev_move': 'd1d2', 'time_diff': '0:18:01', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r1b1k2r/p3nppp/2p1pq2/3p4/4P3/2P1Q3/PP1N1PPP/R3KB1R b KQkq - 1 11', 'move_number': 12, 'move': 'a7a5', 'prev_move': 'b1d2', 'time_diff': '0:15:22', 'exp_point_loss': 0}]"
