Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Daniel Dardha,160.0,0.33,9.68,9,6.0,161.4,0.1,2652,2737,299,4,5,5.68,7.34,0.38,13.49,0.13,0.05,0.54,164.9,156.1,3.0,3.0,2.93,53.87,0.15,181.9
Marc`Andria Maurizzi,155.6,0.69,10.03,9,7.5,159.7,0.5,2581,2904,376,5,4,10.11,10.93,0.62,6.37,-0.11,0.76,0.6,154.6,156.8,4.5,3.0,6.2,119.48,0.38,40.58
David Navara,153.9,0.51,9.23,9,4.5,158.8,0.63,2677,2614,362,4,5,8.09,9.64,0.39,7.15,-0.2,0.46,0.55,158.0,150.6,2.5,2.0,4.56,93.01,0.15,51.1
Bassem Amin,153.7,0.49,9.33,9,4.5,159.6,0.4,2654,2616,355,4,5,7.12,13.72,0.4,6.36,-0.21,0.37,0.58,160.1,148.6,2.5,2.0,4.37,188.18,0.16,40.47
Etienne Bacrot,152.9,0.47,14.81,9,4.5,161.3,0.14,2640,2618,265,5,4,8.22,11.37,0.52,14.42,-0.25,0.68,0.21,150.2,156.4,2.5,2.0,4.25,129.35,0.27,207.83
Parham Maghsoodloo,152.5,0.61,12.77,9,5.0,159.4,0.55,2680,2652,314,5,4,8.66,18.04,0.54,10.57,-0.27,0.53,0.71,160.2,142.8,4.0,1.0,5.5,325.26,0.29,111.7
Volodar Murzin,150.0,0.64,8.96,9,5.0,160.9,0.31,2657,2655,413,4,5,8.47,23.44,0.76,7.14,-0.41,0.81,0.51,144.9,154.1,2.0,3.0,5.78,549.25,0.58,50.96
Jules Moussard,148.4,0.59,11.58,9,3.5,159.0,0.18,2595,2544,389,5,4,6.04,16.63,0.65,10.07,-0.5,0.78,0.36,145.1,152.5,2.0,1.5,5.34,276.71,0.42,101.47
Vasyl Ivanchuk,147.6,0.54,13.03,9,3.0,161.5,0.11,2619,2500,264,5,4,4.92,25.21,0.8,14.69,-0.54,0.11,1.08,161.7,130.1,2.5,0.5,4.88,635.5,0.64,215.88
Faustino Oro,137.4,0.91,38.41,9,1.5,128.9,0.99,2447,2360,446,4,5,17.78,15.39,0.42,68.49,-1.09,0.83,0.98,137.7,137.2,0.5,1.0,8.21,236.9,0.18,4690.96
