,Mean,Median,Std Dev,Min,Max
Total Moves,3483.0,3483.0,0.0,3483.0,3483.0
Total Games,45.0,45.0,0.0,45.0,45.0
avg_gi,151.2,152.7,6.03,137.4,160.0
avg_missed_points,0.58,0.56,0.15,0.33,0.91
avg_missed_points_white,0.54,0.6,0.29,0.05,0.83
avg_missed_points_black,0.61,0.56,0.26,0.21,1.08
avg_gi_white,153.74,156.3,8.89,137.7,164.9
avg_gi_black,148.52,151.55,9.07,130.1,156.8
avg_acpl,13.78,10.8,8.87,8.96,38.41
Elo,2620.2,2646.0,69.02,2447.0,2680.0
TPR,2620.0,2617.0,143.15,2360.0,2904.0
gi_median,157.05,159.65,9.94,128.9,161.5
missed_points_median,0.39,0.36,0.28,0.1,0.99
