white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
140.7,160.0,0.52,0.02,29.69,11.62,Vladimir-Alexandru Cnejev,Jonasz Baum,"Round 5: Cnejev, Vladimir-Alexandru - Baum, Jonasz",https://lichess.org/study/acBi2qan/lsnAkElr,5.27,2343,2469,0.0,1.0,2025.03.19,42,42,3.3,3.8,0.01,0.0,-0.91,0.13,0,0,1,0,0,0,1,0,0,2,"[{'turn': 'White', 'fen': 'r1b1kb1r/pp4pp/4pp1q/1P1pP3/8/P4N2/6PP/RN1QKB1R w KQkq - 8 17', 'move_number': 17, 'move': 'd1d4', 'prev_move': 'c1h6', 'time_diff': '0:38:23', 'exp_point_loss': 0.45200000000000007}]","[{'turn': 'White', 'fen': 'r1b1kb1r/pp4pp/4pp1q/1P1pP3/8/P4N2/6PP/RN1QKB1R w KQkq - 8 17', 'move_number': 17, 'move': 'd1d4', 'prev_move': 'c1h6', 'time_diff': '0:38:23', 'exp_point_loss': 0.45200000000000007}, {'turn': 'Black', 'fen': 'r1b1kb1r/pp4pp/4p2q/1P1pQ3/8/P4N2/6PP/RN2KB1R b KQkq - 0 18', 'move_number': 19, 'move': 'f8e7', 'prev_move': 'd4e5', 'time_diff': '0:15:17', 'exp_point_loss': 0.00649999999999995}, {'turn': 'Black', 'fen': '2r1kr2/p2bb1pp/Q3p3/1P1p4/8/P3qN2/3NB1PP/R3K2R b KQ - 4 23', 'move_number': 24, 'move': 'c8c5', 'prev_move': 'b7a6', 'time_diff': '0:28:38', 'exp_point_loss': 0}]"
137.9,160.1,0.61,0.1,26.21,8.05,Sohum Lohia,Timothe Razafindratsima,"Round 9: Lohia, Sohum - Razafindratsima, Timothe",https://lichess.org/study/O25vSUBh/xsKKB44p,9.28,2365,2465,0.0,1.0,2025.03.24,38,38,3.6,4.2,0.02,0.0,-1.06,0.14,0,0,1,0,0,0,0,0,2,0,"[{'turn': 'White', 'fen': '6k1/7p/2p1b3/1pNqPp2/rB3n2/2Q2p2/2P3PP/4R1K1 w - - 0 31', 'move_number': 31, 'move': 'g2f3', 'prev_move': 'g4f3', 'time_diff': '0:04:51', 'exp_point_loss': 0.44199999999999995}]","[{'turn': 'White', 'fen': 'r4rk1/p1q1n1bp/1pp1bpp1/P1p1p3/2N1P3/3PBN2/1PP2PPP/R2QR1K1 w - - 0 13', 'move_number': 13, 'move': 'd1d2', 'prev_move': 'f7f6', 'time_diff': '0:15:10', 'exp_point_loss': 0.03199999999999997}, {'turn': 'White', 'fen': 'r1r3k1/3q2bp/2p1bpn1/1pB1p1p1/1Q2P3/3P1N2/1NP2PPP/R3R1K1 w - - 3 20', 'move_number': 20, 'move': 'd3d4', 'prev_move': 'c7d7', 'time_diff': '0:17:49', 'exp_point_loss': 0.025000000000000022}]"
111.4,101.1,2.25,2.25,14.59,14.34,Radoslaw Psyk,Nils Grandelius,"Round 2: Psyk, Radoslaw - Grandelius, Nils",https://lichess.org/study/il18dNgx/5boqlpsK,2.14,2467,2644,0.5,0.5,2025.03.16,71,71,1.6,1.4,0.03,0.03,-2.49,-3.04,4,2,3,4,0,4,1,0,3,3,"[{'turn': 'Black', 'fen': '2br1rk1/ppq1ppb1/2n3pp/3n4/P3N2N/2P4P/1PB1QPP1/R1B1R1K1 b - - 0 20', 'move_number': 21, 'move': 'b7b6', 'prev_move': 'a2a4', 'time_diff': '0:00:30', 'exp_point_loss': 0.26550000000000007}, {'turn': 'White', 'fen': '2br1rk1/p1q2pb1/1pn1p1pp/3n4/P3N2N/1BP4P/1P2QPP1/R1B1R1K1 w - - 0 22', 'move_number': 22, 'move': 'g2g3', 'prev_move': 'e7e6', 'time_diff': '0:08:16', 'exp_point_loss': 0.35650000000000004}, {'turn': 'White', 'fen': 'q3r1k1/1b3p2/1p2p1pp/p1b5/P4P2/2P2NPP/1PB1Q1K1/3R4 w - - 0 39', 'move_number': 39, 'move': 'g3g4', 'prev_move': 'a7a5', 'time_diff': '0:00:30', 'exp_point_loss': 0.32999999999999996}, {'turn': 'Black', 'fen': 'q3r1k1/1b3p2/1p2p1pp/p1b5/P4PP1/2P2N1P/1PB1Q1K1/3R4 b - - 0 39', 'move_number': 40, 'move': 'a8b8', 'prev_move': 'g3g4', 'time_diff': '0:00:30', 'exp_point_loss': 0.3435}, {'turn': 'White', 'fen': '2q3k1/2rR1p2/1p2p2p/pQb1N1p1/P4PP1/2P3KP/1P6/8 w - - 0 46', 'move_number': 46, 'move': 'f4f5', 'prev_move': 'g6g5', 'time_diff': '0:00:37', 'exp_point_loss': 0.49249999999999994}, {'turn': 'Black', 'fen': '2q3k1/2rR1p2/1p2p2p/pQb1NPp1/P5P1/2P3KP/1P6/8 b - - 0 46', 'move_number': 47, 'move': 'e6f5', 'prev_move': 'f4f5', 'time_diff': '0:03:10', 'exp_point_loss': 0.49249999999999994}, {'turn': 'Black', 'fen': '6k1/4bp2/1p6/pR3Ppp/P1rN4/2P3KP/1P6/8 b - - 2 54', 'move_number': 55, 'move': 'e7c5', 'prev_move': 'd5b5', 'time_diff': '0:00:44', 'exp_point_loss': 0.4095}]","[{'turn': 'White', 'fen': 'rnbqkb1r/pp1ppppp/1n6/4P3/2p5/1BP5/PP1P1PPP/RNBQK1NR w KQkq - 0 6', 'move_number': 6, 'move': 'b3c2', 'prev_move': 'c5c4', 'time_diff': '0:39:16', 'exp_point_loss': 0.0005000000000000004}, {'turn': 'White', 'fen': 'r1bqkb1r/pp1ppp1p/1nn3p1/4P3/2p5/2P2N2/PPBP1PPP/RNBQK2R w KQkq - 0 8', 'move_number': 8, 'move': 'd2d4', 'prev_move': 'g7g6', 'time_diff': '0:25:01', 'exp_point_loss': 0.009000000000000008}, {'turn': 'Black', 'fen': 'r1b2rk1/ppq1ppbp/1nn3p1/8/4N3/2P2N2/PPB1QPPP/R1B2RK1 b - - 5 14', 'move_number': 15, 'move': 'c8g4', 'prev_move': 'd2e4', 'time_diff': '0:23:04', 'exp_point_loss': 0.0040000000000000036}, {'turn': 'White', 'fen': '2br1rk1/p1q1ppb1/1pn3pp/3n4/P3N2N/2P4P/1PB1QPP1/R1B1R1K1 w - - 0 21', 'move_number': 21, 'move': 'c2b3', 'prev_move': 'b7b6', 'time_diff': '0:18:39', 'exp_point_loss': 0.05800000000000005}, {'turn': 'Black', 'fen': '2br1rk1/p1q1ppb1/1pn3pp/3n4/P3N2N/1BP4P/1P2QPP1/R1B1R1K1 b - - 1 21', 'move_number': 22, 'move': 'e7e6', 'prev_move': 'c2b3', 'time_diff': '0:17:47', 'exp_point_loss': 0.04200000000000004}, {'turn': 'White', 'fen': '4r1k1/1bq2p2/1p2p1pp/p1b5/P3BPP1/2P2N1P/1P2Q1K1/3R4 w - - 3 41', 'move_number': 41, 'move': 'e2b5', 'prev_move': 'b8c7', 'time_diff': '0:19:05', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '4r1k1/1bq2p2/1p2p1pp/pQb5/P3BPP1/2P2N1P/1P4K1/3R4 b - - 4 41', 'move_number': 42, 'move': 'e8b8', 'prev_move': 'e2b5', 'time_diff': '0:18:18', 'exp_point_loss': 0}]"
159.2,130.0,0.59,1.08,10.04,21.4,Daniel Dardha,Filip Magold,"Round 6: Dardha, Daniel - Magold, Filip",https://lichess.org/study/vTE1a6Ni/EKXffxGm,6.42,2665,2435,1.0,0.0,2025.03.20,56,55,2.8,2.4,0.01,0.02,0.09,-1.48,0,0,1,1,0,2,0,0,0,1,"[{'turn': 'Black', 'fen': 'r2q1rk1/pp3pp1/n1p2b1p/3p3N/3P4/2P2N2/PPQ2PPP/R4RK1 b - - 0 18', 'move_number': 19, 'move': 'g7g6', 'prev_move': 'd1c2', 'time_diff': '0:00:04', 'exp_point_loss': 0.339}, {'turn': 'White', 'fen': 'r3r1k1/pp3p2/n1p3pp/3pNq2/3P1P2/2P5/PPQ3PP/R4RK1 w - - 1 22', 'move_number': 22, 'move': 'c2b3', 'prev_move': 'f6f5', 'time_diff': '0:06:18', 'exp_point_loss': 0.4465}, {'turn': 'Black', 'fen': 'r5k1/pp2rp2/2p2qp1/1n1pNPp1/3P4/2P5/PPQ4P/R4R1K b - - 0 27', 'move_number': 28, 'move': 'g6f5', 'prev_move': 'f4f5', 'time_diff': '0:08:27', 'exp_point_loss': 0.445}]","[{'turn': 'Black', 'fen': '1Q6/1p2r1k1/p1p5/P2p1n2/3P4/2P2K1P/1P6/8 b - - 2 49', 'move_number': 50, 'move': 'g7f7', 'prev_move': 'f2f3', 'time_diff': '0:18:16', 'exp_point_loss': 0}]"
111.2,157.7,1.42,0.91,19.63,7.09,Miruna-Daria Lehaci,Guy Levin,"Round 8: Lehaci, Miruna-Daria - Levin, Guy",https://lichess.org/study/8HXk9vl5/MVgp1COx,8.36,2212,2450,0.0,1.0,2025.03.23,54,54,2.1,2.9,0.03,0.02,-2.5,0.01,2,1,2,3,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '2rr2k1/1b3p1p/p1nqp1p1/1p6/3PQ3/1P3N2/P3BPPP/R2R2K1 b - - 0 20', 'move_number': 21, 'move': 'd6d5', 'prev_move': 'e3e4', 'time_diff': '0:00:52', 'exp_point_loss': 0.277}, {'turn': 'White', 'fen': '6k1/5p1p/4p1p1/1p2N3/1n1P3P/1P6/1rr2PP1/R2R2K1 w - - 2 30', 'move_number': 30, 'move': 'a1a8', 'prev_move': 'c8c2', 'time_diff': '0:02:56', 'exp_point_loss': 0.42600000000000005}, {'turn': 'Black', 'fen': '3R4/5pkp/2r1p1p1/1p6/3P3P/1P6/1r3PP1/5RK1 b - - 1 33', 'move_number': 34, 'move': 'c6c2', 'prev_move': 'a8d8', 'time_diff': '0:07:08', 'exp_point_loss': 0.396}, {'turn': 'White', 'fen': '3R4/5p1p/3Ppkp1/1p6/7P/1P6/1r1r1PP1/5RK1 w - - 1 36', 'move_number': 36, 'move': 'd6d7', 'prev_move': 'g7f6', 'time_diff': '0:02:42', 'exp_point_loss': 0.41900000000000004}]",[]
158.5,137.2,0.17,0.67,3.24,19.78,Levan Pantsulaia,Itay Sitbon,"Round 1: Pantsulaia, Levan - Sitbon, Itay",https://lichess.org/study/Jhnj4IGh/rE8omyo6,1.31,2538,2195,1.0,0.0,2025.03.15,33,32,4.8,4.3,0.01,0.02,0.05,-1.1,1,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2q1rk1/1p2npbp/p1n1p1p1/8/2PP4/5N1P/PB1QBPP1/R2R2K1 b - - 2 16', 'move_number': 17, 'move': 'd8d7', 'prev_move': 'f1d1', 'time_diff': '0:09:50', 'exp_point_loss': 0.4855}]",[]
74.1,87.6,2.99,2.98,11.59,11.46,Daniele Vocaturo,Patryk Cieslak,"Round 9: Vocaturo, Daniele - Cieslak, Patryk",https://lichess.org/study/O25vSUBh/2dZq5ZkJ,9.8,2600,2411,0.5,0.5,2025.03.24,125,125,0.6,0.7,0.02,0.02,-4.5,-3.77,2,0,6,2,1,5,0,0,1,2,"[{'turn': 'White', 'fen': '3q1rk1/1r1p2pp/2bQp3/p1P2p2/1nN5/1P3P2/P5PP/1BR1R1K1 w - - 10 29', 'move_number': 29, 'move': 'c4e5', 'prev_move': 'b5b7', 'time_diff': '0:00:57', 'exp_point_loss': 0.312}, {'turn': 'Black', 'fen': '3q1rk1/1r1p2pp/2bQp3/p1P1Np2/1n6/1P3P2/P5PP/1BR1R1K1 b - - 11 29', 'move_number': 30, 'move': 'd8c7', 'prev_move': 'c4e5', 'time_diff': '0:02:35', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '5rk1/1rqp2pp/2bQp3/p1P1Np2/1n6/1P3P2/P5PP/1BR1R1K1 w - - 12 30', 'move_number': 30, 'move': 'd6c7', 'prev_move': 'd8c7', 'time_diff': '0:03:48', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '6r1/3p2p1/P1bkp2p/1B3p2/P4P1P/2R5/5KP1/8 b - - 8 49', 'move_number': 50, 'move': 'c6d5', 'prev_move': 'g3c3', 'time_diff': '0:01:56', 'exp_point_loss': 0.384}, {'turn': 'White', 'fen': '6r1/3p2p1/P2kp2p/1B1b1p2/P4P1P/2R5/5KP1/8 w - - 9 50', 'move_number': 50, 'move': 'b5e2', 'prev_move': 'c6d5', 'time_diff': '0:04:27', 'exp_point_loss': 0.38}, {'turn': 'Black', 'fen': '6r1/2kp4/P1b1p3/P4ppP/8/1R2K3/6P1/5B2 b - - 0 60', 'move_number': 61, 'move': 'e6e5', 'prev_move': 'h4h5', 'time_diff': '0:03:20', 'exp_point_loss': 0.453}, {'turn': 'White', 'fen': '6r1/2kp4/P1b4P/P3p1p1/5p2/1R2K3/6P1/5B2 w - - 0 62', 'move_number': 62, 'move': 'e3d2', 'prev_move': 'f5f4', 'time_diff': '0:00:11', 'exp_point_loss': 0.4115}, {'turn': 'Black', 'fen': '1R6/P1kp4/2b4r/P3p1p1/5p2/8/3K2P1/5B2 b - - 1 64', 'move_number': 65, 'move': 'h6d6', 'prev_move': 'b3b8', 'time_diff': '0:00:41', 'exp_point_loss': 0.4945}, {'turn': 'White', 'fen': '1R6/P1kp4/2b5/P3p1p1/3r1p2/8/6P1/4KB2 w - - 4 66', 'move_number': 66, 'move': 'a7a8q', 'prev_move': 'd6d4', 'time_diff': '0:02:13', 'exp_point_loss': 0.4995}, {'turn': 'Black', 'fen': 'R7/2kp4/P7/4p1p1/5p2/8/5KP1/r4B2 b - - 2 69', 'move_number': 70, 'move': 'g5g4', 'prev_move': 'e1f2', 'time_diff': '0:01:06', 'exp_point_loss': 0.49}, {'turn': 'White', 'fen': 'R7/2kp4/P7/4p3/5pp1/8/5KP1/r4B2 w - - 0 70', 'move_number': 70, 'move': 'f1c4', 'prev_move': 'g5g4', 'time_diff': '0:00:45', 'exp_point_loss': 0.488}]","[{'turn': 'Black', 'fen': 'rnbqkb1r/p2p1ppp/1p2pn2/8/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq - 1 6', 'move_number': 7, 'move': 'c8b7', 'prev_move': 'b1c3', 'time_diff': '0:17:07', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'White', 'fen': '6k1/3p2pp/2b1p3/P4p2/P1R5/1r1B1P2/6PP/6K1 w - - 3 41', 'move_number': 41, 'move': 'a5a6', 'prev_move': 'b4b3', 'time_diff': '0:15:59', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'Black', 'fen': '6k1/3p2pp/P1b1p3/5p2/P1R5/1r1B1P2/6PP/6K1 b - - 0 41', 'move_number': 42, 'move': 'b3b8', 'prev_move': 'a5a6', 'time_diff': '0:15:35', 'exp_point_loss': 0}]"
159.1,136.6,0.28,0.78,8.06,25.47,Robert Hovhannisyan,Stefan Fruebing,"Round 1: Hovhannisyan, Robert - Fruebing, Stefan",https://lichess.org/study/Jhnj4IGh/A6flKWII,1.22,2630,2310,1.0,0.0,2025.03.15,35,34,4.5,4.0,0.01,0.02,0.08,-1.13,0,0,1,4,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': '2brk2r/2p2pp1/1pp5/p3P2p/P2N2Pb/1P2BP1P/2P3K1/R2R4 b - - 1 20', 'move_number': 21, 'move': 'c8d7', 'prev_move': 'e2d4', 'time_diff': '0:07:56', 'exp_point_loss': 0.26849999999999996}, {'turn': 'White', 'fen': '3rk2r/2pb1pp1/1pp5/p3P2p/P2N2Pb/1P2BP1P/2P3K1/R2R4 w - - 2 21', 'move_number': 21, 'move': 'e3f4', 'prev_move': 'c8d7', 'time_diff': '0:07:04', 'exp_point_loss': 0.417}]","[{'turn': 'Black', 'fen': 'r3k2r/ppp2pp1/2p1b3/4P2p/6Pb/5P1P/PPP1N3/R1BR2K1 b - - 2 15', 'move_number': 16, 'move': 'e6d7', 'prev_move': 'c3e2', 'time_diff': '0:29:16', 'exp_point_loss': 0.017500000000000016}]"
137.0,95.8,1.66,2.13,15.29,18.5,Stamatis Kourkoulos-Arditis,Jan Malek,"Round 4: Kourkoulos-Arditis, Stamatis - Malek, Jan",https://lichess.org/study/qnql7QX7/1nHdsYtl,4.30,2580,2504,1.0,0.0,2025.03.18,49,48,2.8,2.0,0.03,0.04,-1.11,-3.33,2,4,1,2,1,4,0,0,2,1,"[{'turn': 'Black', 'fen': '1r2r1k1/5pp1/p1n2bbp/q2pp3/Pp4N1/1B1PB2P/1PP2PP1/R2QR1K1 b - - 3 23', 'move_number': 24, 'move': 'f6g5', 'prev_move': 'h2g4', 'time_diff': '0:00:20', 'exp_point_loss': 0.347}, {'turn': 'Black', 'fen': '3R3k/6p1/p1n3bp/5pb1/Pp2p3/1B2B1PP/1PP2NP1/6K1 b - - 0 34', 'move_number': 35, 'move': 'c6d8', 'prev_move': 'd1d8', 'time_diff': '0:03:15', 'exp_point_loss': 0.286}, {'turn': 'Black', 'fen': '3n3k/6p1/p5bp/2B2pb1/Pp2p3/1B4PP/1PP2NP1/6K1 b - - 1 35', 'move_number': 36, 'move': 'g5d2', 'prev_move': 'e3c5', 'time_diff': '0:02:52', 'exp_point_loss': 0.46449999999999997}, {'turn': 'White', 'fen': '7k/1n4p1/p5bp/2B2p2/Pp2p3/1B4PP/1PPb2P1/3N2K1 w - - 4 37', 'move_number': 37, 'move': 'c5e3', 'prev_move': 'd8b7', 'time_diff': '0:01:46', 'exp_point_loss': 0.492}, {'turn': 'Black', 'fen': '7k/8/p6p/P1n2pp1/1N2p3/1P4PP/1P3KP1/8 b - - 0 43', 'move_number': 44, 'move': 'f5f4', 'prev_move': 'c2b3', 'time_diff': '0:11:10', 'exp_point_loss': 0.4825}]","[{'turn': 'White', 'fen': '1r1qr1k1/3bbpp1/p1np3p/4p3/Pp2R3/3P1N1P/BPPB1PP1/R2Q2K1 w - - 0 18', 'move_number': 18, 'move': 'a2d5', 'prev_move': 'a5c6', 'time_diff': '0:20:43', 'exp_point_loss': 0.1605000000000001}, {'turn': 'White', 'fen': '7k/7b/p6p/P1n2pp1/1p2p3/1B2N1PP/1PP2KP1/8 w - - 0 41', 'move_number': 41, 'move': 'e3d5', 'prev_move': 'g7g5', 'time_diff': '0:16:30', 'exp_point_loss': 0.03999999999999998}, {'turn': 'Black', 'fen': '7k/7b/p6p/P1nN1pp1/1p2p3/1B4PP/1PP2KP1/8 b - - 1 41', 'move_number': 42, 'move': 'h7g8', 'prev_move': 'e3d5', 'time_diff': '0:19:34', 'exp_point_loss': 0.0030000000000000027}]"
62.6,75.9,3.24,3.24,27.72,27.86,Luis Engel,Rasmus Skytte,"Round 11: Engel, Luis - Skytte, Rasmus",https://lichess.org/study/RZ5DLZ3X/M4utTziL,11.31,2555,2343,0.5,0.5,2025.03.26,67,66,0.9,1.2,0.05,0.05,-5.12,-4.4,3,1,6,3,0,6,0,0,1,2,"[{'turn': 'White', 'fen': '4r1k1/4ppbp/pn1p1np1/1prP4/5P2/PP2NB1P/2P2RP1/1RB4K w - - 3 28', 'move_number': 28, 'move': 'c1b2', 'prev_move': 'c8c5', 'time_diff': '0:02:03', 'exp_point_loss': 0.40449999999999997}, {'turn': 'Black', 'fen': '4r1k1/4ppbp/pn1p1np1/1prP4/5P2/PP2NB1P/1BP2RP1/1R5K b - - 4 28', 'move_number': 29, 'move': 'f6d7', 'prev_move': 'c1b2', 'time_diff': '0:08:13', 'exp_point_loss': 0.37149999999999994}, {'turn': 'White', 'fen': '8/4k2p/1n4p1/1P1pp3/7P/1P1BK3/6P1/8 w - - 0 52', 'move_number': 52, 'move': 'g2g4', 'prev_move': 'd6d5', 'time_diff': '0:02:41', 'exp_point_loss': 0.46799999999999997}, {'turn': 'Black', 'fen': '8/4k2p/1n4p1/1P1pp3/6PP/1P1BK3/8/8 b - - 0 52', 'move_number': 53, 'move': 'e7e6', 'prev_move': 'g2g4', 'time_diff': '0:02:33', 'exp_point_loss': 0.41800000000000004}, {'turn': 'White', 'fen': '8/7p/1n2k1p1/1P1pp1P1/7P/1P2K3/2B5/8 w - - 1 55', 'move_number': 55, 'move': 'e3f3', 'prev_move': 'd7b6', 'time_diff': '0:01:27', 'exp_point_loss': 0.31200000000000006}, {'turn': 'Black', 'fen': '8/7p/1n2k1p1/1P1pp1P1/7P/1P3K2/2B5/8 b - - 2 55', 'move_number': 56, 'move': 'b6d7', 'prev_move': 'e3f3', 'time_diff': '0:04:27', 'exp_point_loss': 0.31200000000000006}, {'turn': 'White', 'fen': '8/3n3p/3k2p1/1P1pp1P1/6KP/1P6/2B5/8 w - - 5 57', 'move_number': 57, 'move': 'h4h5', 'prev_move': 'e6d6', 'time_diff': '0:01:13', 'exp_point_loss': 0.49750000000000005}, {'turn': 'Black', 'fen': '8/3n3p/3k2p1/1P1pp1PP/6K1/1P6/2B5/8 b - - 0 57', 'move_number': 58, 'move': 'e5e4', 'prev_move': 'h4h5', 'time_diff': '0:00:20', 'exp_point_loss': 0.497}, {'turn': 'White', 'fen': '8/8/3k2p1/1Pnp2P1/4pK2/1P6/2B5/8 w - - 2 60', 'move_number': 60, 'move': 'b3b4', 'prev_move': 'd7c5', 'time_diff': '0:01:12', 'exp_point_loss': 0.481}, {'turn': 'Black', 'fen': '8/8/3k2p1/1P1p2P1/BP1n4/4p1K1/8/8 b - - 1 63', 'move_number': 64, 'move': 'd4e6', 'prev_move': 'g4g3', 'time_diff': '0:00:30', 'exp_point_loss': 0.46299999999999997}, {'turn': 'White', 'fen': '8/8/3kn1p1/1P1p2P1/BP6/4p1K1/8/8 w - - 2 64', 'move_number': 64, 'move': 'a4c2', 'prev_move': 'd4e6', 'time_diff': '0:01:15', 'exp_point_loss': 0.46299999999999997}, {'turn': 'Black', 'fen': '8/8/3kn1p1/1P1p2P1/1P6/4p1K1/2B5/8 b - - 3 64', 'move_number': 65, 'move': 'e6g5', 'prev_move': 'a4c2', 'time_diff': '0:00:56', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': '2r1r1k1/pp2ppbp/3p1np1/q2P4/2n2P2/P1N2B1P/1PP3P1/1RBQR2K b - - 0 18', 'move_number': 19, 'move': 'a7a6', 'prev_move': 'a2a3', 'time_diff': '0:15:37', 'exp_point_loss': 0.0040000000000000036}, {'turn': 'White', 'fen': '8/3nppkp/3p1np1/1p1P4/3R1P2/PPr1N2P/5KP1/3B4 w - - 7 41', 'move_number': 41, 'move': 'd4b4', 'prev_move': 'b6d7', 'time_diff': '0:25:46', 'exp_point_loss': 0.08650000000000002}, {'turn': 'Black', 'fen': '8/3nppkp/3p1np1/1p1P4/1R3P2/PPr1N2P/5KP1/3B4 b - - 8 41', 'move_number': 42, 'move': 'c3e3', 'prev_move': 'd4b4', 'time_diff': '0:19:43', 'exp_point_loss': 0.06099999999999994}]"
