Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Ahmad Ahmadzada,161.7,0.04,7.15,11.0,7.5,161.5,0.02,2550,2637,356,6,5,6.43,2.85,0.06,8.1,0.22,0.03,0.06,162.1,161.1,4.5,3.0,0.47,8.14,0.0,65.61
Nijat Abasov,160.5,0.18,4.37,11.0,8.0,160.0,0.05,2612,2660,418,5,6,4.22,1.82,0.3,4.3,0.16,0.2,0.17,160.4,160.6,4.0,4.0,1.99,3.3,0.09,18.49
Alper Demirtas,160.3,0.11,8.17,1.0,0.5,160.3,0.11,2207,2545,30,1,0,8.17,0.0,0.0,0.0,0.15,0.11,,160.3,,0.5,0.0,0.11,0.0,0.0,0.0
Gabriel Sargissian,159.8,0.25,7.38,11.0,8.0,161.2,0.06,2628,2710,452,6,5,7.07,5.54,0.43,5.63,0.12,0.11,0.41,162.0,157.2,4.0,4.0,2.72,30.72,0.19,31.72
Maxim Rodshtein,159.7,0.3,8.97,11.0,8.5,160.3,0.11,2623,2742,392,6,5,6.97,4.94,0.39,10.71,0.12,0.21,0.41,162.1,156.9,5.5,3.0,3.29,24.35,0.15,114.68
Matthias Bluebaum,159.4,0.48,24.45,11.0,8.5,160.2,0.43,2643,2763,420,6,5,7.22,2.96,0.41,102.05,0.1,0.62,0.31,158.9,159.9,5.5,3.0,5.26,8.76,0.17,10414.79
Maxime Lagarde,159.3,0.24,7.39,11.0,7.5,160.9,0.06,2615,2655,342,6,5,6.9,6.55,0.33,5.55,0.09,0.13,0.38,162.2,155.8,4.5,3.0,2.67,42.95,0.11,30.84
Shant Sargsyan,159.0,0.28,5.76,11.0,7.5,160.5,0.2,2666,2659,383,6,5,5.56,6.5,0.27,3.81,0.08,0.31,0.25,161.0,156.7,5.0,2.5,3.08,42.29,0.07,14.49
Read Samadov,158.0,0.39,8.65,10.0,7.0,158.2,0.32,2502,2616,360,5,5,8.82,4.81,0.38,4.61,0.02,0.64,0.14,158.1,157.8,4.0,3.0,3.9,23.1,0.15,21.24
Radoslaw Wojtaszek,157.8,0.38,22.35,11.0,7.5,159.7,0.17,2659,2619,505,6,5,5.24,6.48,0.35,49.93,0.01,0.42,0.33,159.7,155.5,5.0,2.5,4.14,42.01,0.12,2493.03
