Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Ahmad Ahmadzada,161.7,0.04,7.15,11,7.5,161.5,0.02,2550,2637,356,6,5,6.43,2.85,0.06,8.1,0.22,0.03,0.06,162.1,161.1,4.5,3,0.47,8.14,0,65.61
Mahel Boyer,149.5,0.49,11.41,11,6,159.1,0.23,2529,2510,419,6,5,6.95,22.89,0.64,12.78,-0.43,0.8,0.11,140.5,160.3,2.5,3.5,5.34,523.8,0.41,163.42
Read Samadov,158,0.39,8.65,10,7,158.2,0.32,2502,2616,360,5,5,8.82,4.81,0.38,4.61,0.02,0.64,0.14,158.1,157.8,4,3,3.9,23.1,0.15,21.24
Nijat Abasov,160.5,0.18,4.37,11,8,160,0.05,2612,2660,418,5,6,4.22,1.82,0.3,4.3,0.16,0.2,0.17,160.4,160.6,4,4,1.99,3.3,0.09,18.49
Niclas Huschenbeth,152,0.59,7.61,11,7.5,160.1,0.05,2589,2663,365,6,5,4.63,22.55,0.97,7.05,-0.3,0.93,0.18,144.3,161.2,4,3.5,6.44,508.6,0.95,49.68
Rasmus Svane,153.1,0.46,5.71,11,7.5,159.8,0.12,2627,2606,432,5,6,6.53,18.03,0.8,5.14,-0.24,0.75,0.21,146.8,158.2,4.5,3,5.01,325.03,0.64,26.43
Ruslan Ponomariov,152.6,0.47,30.49,11,7,159.7,0.12,2628,2579,300,5,6,6.55,13.53,0.7,79.22,-0.27,0.76,0.22,146.3,157.7,3.5,3.5,5.14,183.01,0.48,6276.21
Jorden Van Foreest,150.4,0.51,12.92,11,7.5,161,0.15,2676,2689,438,6,5,9.47,22.03,0.78,41.72,-0.39,0.74,0.23,145,156.8,3.5,4,5.63,485.43,0.6,1740.38
Shant Sargsyan,159,0.28,5.76,11,7.5,160.5,0.2,2666,2659,383,6,5,5.56,6.5,0.27,3.81,0.08,0.31,0.25,161,156.7,5,2.5,3.08,42.29,0.07,14.49
Aydin Suleymanli,155.1,0.41,9.09,11,7.5,159.1,0.26,2633,2617,453,5,6,4.84,9.01,0.47,57.85,-0.14,0.53,0.31,150.1,159.2,2.5,5,4.51,81.22,0.22,3346.21
Matthias Bluebaum,159.4,0.48,24.45,11,8.5,160.2,0.43,2643,2763,420,6,5,7.22,2.96,0.41,102.05,0.1,0.62,0.31,158.9,159.9,5.5,3,5.26,8.76,0.17,10414.79
Radoslaw Wojtaszek,157.8,0.38,22.35,11,7.5,159.7,0.17,2659,2619,505,6,5,5.24,6.48,0.35,49.93,0.01,0.42,0.33,159.7,155.5,5,2.5,4.14,42.01,0.12,2493.03
Eduardo Iturrizaga Bonelli,153.9,0.5,25.85,11,7,158.4,0.4,2582,2567,491,6,5,14.63,12.51,0.48,41.15,-0.2,0.63,0.34,152.5,155.7,4,3,5.49,156.54,0.23,1692.95
Jan Klimkowski,154.8,0.33,-19.93,9,5,158.8,0.15,2511,2498,320,4,5,6,7.54,0.4,136.85,-0.15,0.31,0.35,151.5,157.4,1.5,3.5,3.01,56.87,0.16,18727.09
Eray Kilic,153.9,0.45,33.65,10,6,159.2,0.34,2459,2554,404,5,5,7.93,12.19,0.39,79.54,-0.2,0.55,0.35,149,158.8,3,3,4.5,148.62,0.15,6326.74
Robert Hovhannisyan,156.8,0.4,6.91,11,7.5,159.5,0.26,2630,2657,563,6,5,6.48,8.4,0.39,4.75,-0.04,0.42,0.36,157.1,156.6,4.5,3,4.35,70.49,0.15,22.58
Paul Velten,153.9,0.54,21.71,10,6.5,160,0.37,2515,2687,388,5,5,7.38,17.91,0.56,44.17,-0.2,0.72,0.36,147.5,160.4,2.5,4,5.38,320.64,0.31,1951.17
David Navara,152.2,0.56,13.68,11,7.5,160.1,0.25,2663,2674,434,5,6,4.96,15.66,0.63,16.08,-0.29,0.8,0.36,149.3,154.7,3.5,4,6.13,245.16,0.39,258.72
Alexander Donchenko,156.2,0.35,8.38,10,6.5,160.3,0.19,2627,2579,426,4,6,6.3,10.13,0.33,6.12,-0.07,0.32,0.37,157,155.6,2.5,4,3.49,102.55,0.11,37.51
Haik M. Martirosyan,156,0.48,7.98,11,7.5,159,0.37,2652,2668,396,6,5,9.2,10.24,0.49,5.04,-0.08,0.58,0.37,157.5,154.2,5,2.5,5.32,104.86,0.24,25.45
Maxime Lagarde,159.3,0.24,7.39,11,7.5,160.9,0.06,2615,2655,342,6,5,6.9,6.55,0.33,5.55,0.09,0.13,0.38,162.2,155.8,4.5,3,2.67,42.95,0.11,30.84
Gleb Dudin,148.5,0.56,25.04,11,6.5,159.6,0.35,2544,2619,476,5,6,9.08,20.76,0.69,38.36,-0.49,0.75,0.39,147.1,149.7,3.5,3,6.13,431.11,0.47,1471.4
Andrei Volokitin,154.5,0.6,7.25,11,7.5,157.8,0.45,2628,2590,511,6,5,7.51,8.13,0.51,4.83,-0.17,0.78,0.39,154.9,154,5,2.5,6.65,66.03,0.26,23.37
Gabriel Sargissian,159.8,0.25,7.38,11,8,161.2,0.06,2628,2710,452,6,5,7.07,5.54,0.43,5.63,0.12,0.11,0.41,162,157.2,4,4,2.72,30.72,0.19,31.72
Maxim Rodshtein,159.7,0.3,8.97,11,8.5,160.3,0.11,2623,2742,392,6,5,6.97,4.94,0.39,10.71,0.12,0.21,0.41,162.1,156.9,5.5,3,3.29,24.35,0.15,114.68
Maksim Chigaev,155.2,0.39,8.62,11,7.5,160.4,0.37,2629,2611,436,5,6,6.15,10.6,0.48,6.72,-0.13,0.34,0.42,155.3,155.2,4,3.5,4.24,112.39,0.23,45.12
Jaime Santos Latasa,139.4,1.03,19.1,10,6,155,0.55,2627,2537,488,5,5,6.5,38.88,1.31,30.6,-0.98,1.63,0.43,126.4,152.5,3.5,2.5,10.27,1511.88,1.71,936.17
Tsvetan Stoyanov,152.1,0.4,0.73,10,5,158.1,0.36,2469,2408,359,5,5,11.71,10.29,0.37,41.61,-0.29,0.37,0.44,157.7,146.6,4,1,4.04,105.81,0.14,1731
Mustafa Yilmaz,155.1,0.48,26.28,11,7,158.1,0.5,2576,2594,544,6,5,8.24,7.05,0.4,54.31,-0.13,0.49,0.46,157,152.9,5,2,5.24,49.65,0.16,2949.19
Isik Can,150.4,0.5,24.75,11,6,158.2,0.45,2539,2489,392,6,5,12.52,14.69,0.44,42.05,-0.39,0.54,0.46,151.4,149.2,4,2,5.55,215.71,0.2,1768.3
Benjamin Gledura,150.4,0.75,25,11,8,159.3,0.71,2658,2716,568,5,6,8.14,19.38,0.76,48.8,-0.39,1.1,0.46,142.5,156.9,4,4,8.27,375.46,0.58,2381.73
Ediz Gurel,146,0.82,25.15,11,8,157.6,0.97,2620,2642,521,6,5,10.03,20.86,0.82,51.69,-0.63,1.11,0.46,143.7,148.6,5.5,2.5,8.98,435.14,0.67,2671.38
Emre Can,155.6,0.35,7.24,10,6.5,160,0.12,2562,2583,347,5,5,7.45,13.52,0.51,4.75,-0.11,0.22,0.48,159.5,151.6,3.5,3,3.5,182.71,0.26,22.55
Mads Andersen,148.7,0.53,8.31,11,7,159.4,0.11,2585,2513,511,5,6,5.44,18.54,0.7,8.78,-0.48,0.59,0.48,144.1,152.5,2.5,4.5,5.79,343.66,0.5,77.07
Constantin Lupulescu,144.1,0.76,10.7,9,5,158.3,0.48,2596,2423,381,3,6,10.3,20.08,0.72,5.22,-0.73,1.33,0.48,130.1,151.1,2,3,6.86,403.26,0.51,27.22
Jonah B Willow,149.7,0.51,12.08,10,5,158.4,0.44,2450,2473,322,5,5,12.55,15.2,0.62,10.05,-0.43,0.53,0.49,149.1,150.2,2.5,2.5,5.1,230.91,0.38,101.07
