,Mean,Median,Std Dev,Min,Max
Total Moves,84429.0,84429.0,0.0,84429.0,84429.0
Total Games,935.0,935.0,0.0,935.0,935.0
avg_gi,138.17,140.1,14.31,68.2,161.7
avg_missed_points,0.89,0.8,0.43,0.04,3.04
avg_missed_points_white,0.86,0.77,0.52,0.0,3.77
avg_missed_points_black,0.87,0.76,0.5,0.01,3.04
avg_gi_white,140.17,143.2,17.42,32.3,162.2
avg_gi_black,138.86,141.2,15.53,74.4,161.2
avg_acpl,43.38,25.3,55.74,-37.22,435.71
Elo,2420.31,2434.5,159.74,1530.0,2692.0
TPR,2443.34,2448.0,147.31,2065.0,2763.0
gi_median,142.34,143.65,16.58,68.2,161.7
missed_points_median,0.79,0.71,0.48,0.02,3.04
