white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
132.6,160.3,1.02,0.52,289.58,114.28,Yagiz Kaan Erdogmus,Peter Svidler,"Round 2: Erdogmus, Yagiz Kaan - Svidler, Peter",?,2.1,2500,2684,0,1,????.??.??,57,57,2.3,2.8,0.02,0.01,-1.35,0.15,0,0,2,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': 'r1b1r1k1/bp3ppp/p4qn1/3pp3/1P6/P2PPN1P/1B2BPP1/R2Q1RK1 w - - 0 16', 'move_number': 16, 'move': 'a1c1', 'prev_move': 'c6d5', 'time_diff': '0:00:29', 'exp_point_loss': 0.34950000000000003}, {'turn': 'Black', 'fen': 'r1b1r1k1/bp3ppp/p4qn1/3pp3/1P6/P2PPN1P/1B2BPP1/2RQ1RK1 b - - 1 16', 'move_number': 17, 'move': 'c8f5', 'prev_move': 'a1c1', 'time_diff': '0:00:51', 'exp_point_loss': 0.39849999999999997}, {'turn': 'White', 'fen': '7k/4n1p1/1p5p/pP1qp3/P1rpN3/1Q2P2P/5PP1/3R2K1 w - - 2 36', 'move_number': 36, 'move': 'e4d6', 'prev_move': 'e6d5', 'time_diff': '0:00:34', 'exp_point_loss': 0.49450000000000005}]",[]
124.9,95.5,2.04,2.53,27.88,34.2,Peter Svidler,Yagiz Kaan Erdogmus,"Round 11: Svidler, Peter - Erdogmus, Yagiz Kaan",?,11.1,2684,2500,1,0,????.??.??,57,56,2.2,1.7,0.04,0.05,-1.76,-3.35,4,4,2,3,1,5,0,0,0,0,"[{'turn': 'White', 'fen': 'r4rk1/ppq2pbp/2n1b1p1/2ppp1B1/P1N1R3/2PP1NP1/1P1Q1PBP/R5K1 w - - 0 15', 'move_number': 15, 'move': 'e4e1', 'prev_move': 'd6d5', 'time_diff': '0:00:56', 'exp_point_loss': 0.49249999999999994}, {'turn': 'Black', 'fen': 'r4rk1/ppq2pbp/2n1b1p1/2p1p1B1/P1P5/2P2NP1/1P1Q1PBP/R3R1K1 b - - 0 16', 'move_number': 17, 'move': 'e6c4', 'prev_move': 'd3c4', 'time_diff': '0:00:30', 'exp_point_loss': 0.37749999999999995}, {'turn': 'Black', 'fen': '5rk1/2qr3p/1p1nbpp1/2p1p3/8/R1P3P1/1PQN1PBP/R5K1 b - - 13 29', 'move_number': 30, 'move': 'd6b5', 'prev_move': 'e1a1', 'time_diff': '0:00:29', 'exp_point_loss': 0.24}, {'turn': 'Black', 'fen': '3r4/2qr2kp/1p2bpp1/1np1p3/R3N3/2P3PP/1PQ2PB1/R5K1 b - - 0 32', 'move_number': 33, 'move': 'h7h6', 'prev_move': 'h2h3', 'time_diff': '0:00:34', 'exp_point_loss': 0.3045}, {'turn': 'White', 'fen': '3r4/R1r3k1/1p1qb1pp/1Qp1pp2/8/2P3PP/1P3PB1/R5K1 w - - 0 37', 'move_number': 37, 'move': 'g2f3', 'prev_move': 'f6f5', 'time_diff': '0:00:42', 'exp_point_loss': 0.48849999999999993}, {'turn': 'Black', 'fen': '3r4/R1r3k1/1p1qb1pp/1Qp1pp2/8/2P2BPP/1P3P2/R5K1 b - - 1 37', 'move_number': 38, 'move': 'g7f6', 'prev_move': 'g2f3', 'time_diff': '0:00:30', 'exp_point_loss': 0.49749999999999994}, {'turn': 'Black', 'fen': '3r4/2r5/1R2bkpp/1Qp1qp2/4p3/2P3PP/1P2BP2/R5K1 b - - 2 40', 'move_number': 41, 'move': 'd8d6', 'prev_move': 'f3e2', 'time_diff': '0:00:32', 'exp_point_loss': 0.498}]",[]
92.8,121.8,2.64,2.13,446.04,223.51,Yagiz Kaan Erdogmus,Peter Svidler,"Round 10: Erdogmus, Yagiz Kaan - Svidler, Peter",?,10.1,2500,2684,0,1,????.??.??,45,45,2.1,2.7,0.06,0.05,-3.49,-1.93,1,1,5,4,0,4,0,0,0,0,"[{'turn': 'White', 'fen': '3k3r/1bqn1p1p/p2pp3/2n3P1/r4P2/2P1B1N1/B1P1Q2P/R4RK1 w - - 5 24', 'move_number': 24, 'move': 'e3d4', 'prev_move': 'e4a4', 'time_diff': '0:00:36', 'exp_point_loss': 0.45299999999999996}, {'turn': 'Black', 'fen': '3k3r/1bqn1p1p/p2pp3/2n3P1/r2B1P2/2P3N1/B1P1Q2P/R4RK1 b - - 6 24', 'move_number': 25, 'move': 'h8g8', 'prev_move': 'e3d4', 'time_diff': '0:00:31', 'exp_point_loss': 0.4544999999999999}, {'turn': 'White', 'fen': '3k2r1/1b1n1p1p/p1qpp3/2n3P1/2BB1P2/2P3N1/2P1Q2P/R5K1 w - - 1 27', 'move_number': 27, 'move': 'c4d3', 'prev_move': 'c7c6', 'time_diff': '0:00:37', 'exp_point_loss': 0.48549999999999993}, {'turn': 'Black', 'fen': '3k2r1/1b1n1p1p/p1qpp3/6P1/3B1P2/2PP2N1/4Q2P/R5K1 b - - 0 28', 'move_number': 29, 'move': 'h7h6', 'prev_move': 'c2d3', 'time_diff': '0:00:29', 'exp_point_loss': 0.2915}, {'turn': 'White', 'fen': '3k2r1/1b1n1p2/p1qpp2p/6P1/3B1P2/2PP2N1/4Q2P/R5K1 w - - 0 29', 'move_number': 29, 'move': 'h2h4', 'prev_move': 'h7h6', 'time_diff': '0:00:35', 'exp_point_loss': 0.44499999999999995}, {'turn': 'Black', 'fen': '3k2r1/1b1n1p2/p1qp3p/4p1P1/5P1P/2PPB1N1/4Q3/R5K1 b - - 1 30', 'move_number': 31, 'move': 'h6g5', 'prev_move': 'd4e3', 'time_diff': '0:00:30', 'exp_point_loss': 0.4415}, {'turn': 'White', 'fen': '3k2r1/1b6/p1qp4/2n1p1P1/4Np1P/2PP4/3BQ3/R5K1 w - - 2 34', 'move_number': 34, 'move': 'a1e1', 'prev_move': 'd7c5', 'time_diff': '0:00:29', 'exp_point_loss': 0.4385}, {'turn': 'Black', 'fen': '3k2r1/1b6/p1qp4/2n1p1P1/4Np1P/2PP4/3BQ3/4R1K1 b - - 3 34', 'move_number': 35, 'move': 'c5e4', 'prev_move': 'a1e1', 'time_diff': '0:00:32', 'exp_point_loss': 0.35}, {'turn': 'White', 'fen': '3k2r1/1b6/p1qp4/4p1P1/4np1P/2PP4/3BQ3/4R1K1 w - - 0 35', 'move_number': 35, 'move': 'e2e4', 'prev_move': 'c5e4', 'time_diff': '0:00:29', 'exp_point_loss': 0.364}]",[]
162.2,141.1,0.18,0.67,13.93,26.12,Peter Svidler,Yagiz Kaan Erdogmus,"Round 9: Svidler, Peter - Erdogmus, Yagiz Kaan",?,9.1,2684,2500,1,0,????.??.??,41,40,4.0,3.5,0.0,0.02,0.25,-0.89,1,0,0,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2b2rk1/2p2pp1/p1p3qp/1r6/3bP3/1P3NB1/P3QPPP/2R1R1K1 b - - 5 20', 'move_number': 21, 'move': 'c8g4', 'prev_move': 'd2f3', 'time_diff': '0:00:36', 'exp_point_loss': 0.4135}]",[]
158.9,126.7,0.77,1.26,4.89,19.26,Peter Svidler,Yagiz Kaan Erdogmus,"Round 3: Svidler, Peter - Erdogmus, Yagiz Kaan",?,3.1,2684,2500,1,0,????.??.??,35,34,4.5,3.7,0.02,0.04,0.07,-1.67,3,0,1,3,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2rk1/p1qpbppp/3Nn3/1p1QP3/8/2PB4/PP4PP/R1BK1R2 b - - 1 17', 'move_number': 18, 'move': 'a8b8', 'prev_move': 'c4d3', 'time_diff': '0:00:47', 'exp_point_loss': 0.4725}, {'turn': 'White', 'fen': '1rb2rk1/p1qpbppp/3Nn3/1p1QP3/8/2PB4/PP4PP/R1BK1R2 w - - 2 18', 'move_number': 18, 'move': 'd5e4', 'prev_move': 'a8b8', 'time_diff': '0:00:39', 'exp_point_loss': 0.396}, {'turn': 'Black', 'fen': '1rb2Bk1/p2p1p1p/3qn1p1/1p6/4Q3/2PB4/PP4PP/R2K1R2 b - - 0 21', 'move_number': 22, 'move': 'g8f8', 'prev_move': 'h6f8', 'time_diff': '0:00:32', 'exp_point_loss': 0.28450000000000003}]",[]
123.5,158.2,1.39,0.88,25.11,12.7,Yagiz Kaan Erdogmus,Peter Svidler,"Round 12: Erdogmus, Yagiz Kaan - Svidler, Peter",?,12.1,2500,2684,0,1,????.??.??,61,61,2.0,2.6,0.02,0.01,-1.84,0.04,1,0,3,2,1,1,0,0,0,0,"[{'turn': 'White', 'fen': 'r5k1/pR3ppp/4pn2/8/P1BrP3/7P/1P3PP1/R5K1 w - - 0 24', 'move_number': 24, 'move': 'c4b5', 'prev_move': 'd8d4', 'time_diff': '0:00:28', 'exp_point_loss': 0.39549999999999996}, {'turn': 'Black', 'fen': 'r5k1/pR3ppp/4p3/P7/4r3/7P/1P3PP1/R5K1 b - - 0 27', 'move_number': 28, 'move': 'g7g5', 'prev_move': 'a4a5', 'time_diff': '0:00:34', 'exp_point_loss': 0.4155}, {'turn': 'White', 'fen': 'r5k1/pR3p1p/4p3/P5p1/4r3/7P/1P3PP1/R5K1 w - - 0 28', 'move_number': 28, 'move': 'a1d1', 'prev_move': 'g7g5', 'time_diff': '0:00:30', 'exp_point_loss': 0.4345}, {'turn': 'White', 'fen': '8/5p2/R3p1k1/P7/1P5p/3K3r/5P2/8 w - - 0 50', 'move_number': 50, 'move': 'd3c4', 'prev_move': 'h1h3', 'time_diff': '0:00:32', 'exp_point_loss': 0.5}]",[]
105.9,154.3,1.64,1.14,40.6,19.92,Peter Svidler,Yagiz Kaan Erdogmus,"Round 7: Svidler, Peter - Erdogmus, Yagiz Kaan",?,7.1,2684,2500,0,1,????.??.??,25,25,4.2,6.2,0.07,0.05,-2.79,-0.18,0,4,2,3,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'rnbqk2r/1p2bppp/p2ppn2/6B1/3NP2P/2N5/PPP1QPP1/R3KB1R b KQkq - 0 8', 'move_number': 9, 'move': 'b8d7', 'prev_move': 'h2h4', 'time_diff': '0:00:39', 'exp_point_loss': 0.247}, {'turn': 'White', 'fen': 'r3k2r/1bqnbppp/p2ppn2/1p4B1/3NP1PP/P1N5/1PP1QP2/2KR1B1R w kq - 1 12', 'move_number': 12, 'move': 'g5f6', 'prev_move': 'c8b7', 'time_diff': '0:00:45', 'exp_point_loss': 0.3225}, {'turn': 'Black', 'fen': 'r4rk1/1bqn1ppp/p3p3/1p1P2bP/3N4/P1N4Q/1PP2P2/1K1R1B1R b - - 0 18', 'move_number': 19, 'move': 'g5f6', 'prev_move': 'e4d5', 'time_diff': '0:00:48', 'exp_point_loss': 0.274}, {'turn': 'White', 'fen': '5r1k/1b3qpp/p4b2/1pn2N1P/8/P6Q/1PP2P2/1K1N1BR1 w - - 1 24', 'move_number': 24, 'move': 'd1e3', 'prev_move': 'g8h8', 'time_diff': '0:00:42', 'exp_point_loss': 0.5}]",[]
161.1,136.2,0.38,0.87,11.02,228.13,Peter Svidler,Yagiz Kaan Erdogmus,"Round 5: Svidler, Peter - Erdogmus, Yagiz Kaan",?,5.1,2684,2500,1,0,????.??.??,47,46,3.4,3.0,0.01,0.02,0.19,-1.15,0,2,0,3,1,1,0,0,0,0,"[{'turn': 'Black', 'fen': '5rk1/4npp1/pr2qnp1/4p3/2p1P3/2P2QPP/1PBR1PK1/2BR4 b - - 5 29', 'move_number': 30, 'move': 'a6a5', 'prev_move': 'f1d1', 'time_diff': '0:00:30', 'exp_point_loss': 0.248}]",[]
97.6,33.4,3.45,3.94,38.67,246.38,Yagiz Kaan Erdogmus,Peter Svidler,"Round 6: Erdogmus, Yagiz Kaan - Svidler, Peter",?,6.1,2500,2684,1,0,????.??.??,48,48,2.0,0.7,0.07,0.08,-3.23,-6.69,3,4,4,3,0,7,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bq1rk1/1p1nppbp/p1p3p1/2Pp4/1P1P1P1P/2N2N2/P4PP1/2RQKB1R b K - 0 11', 'move_number': 12, 'move': 'f7f6', 'prev_move': 'h2h4', 'time_diff': '0:00:38', 'exp_point_loss': 0.4295}, {'turn': 'White', 'fen': 'r1bq1rk1/1p1n2bp/p1p2pp1/2Ppp2P/1P1P1P2/2N2N2/P4PP1/2RQKB1R w K - 0 13', 'move_number': 13, 'move': 'h5g6', 'prev_move': 'e7e5', 'time_diff': '0:00:30', 'exp_point_loss': 0.3155}, {'turn': 'White', 'fen': 'r1b2rk1/1p2q1b1/p5p1/3Rp3/1P3P2/5N2/P4PP1/3QKB1R w K - 1 18', 'move_number': 18, 'move': 'f1c4', 'prev_move': 'd8e7', 'time_diff': '0:00:59', 'exp_point_loss': 0.3175}, {'turn': 'Black', 'fen': 'r4rk1/1p4b1/p3b1p1/1R2p3/1qB2P2/8/P2N1PP1/3QK2R b K - 3 20', 'move_number': 21, 'move': 'b4d6', 'prev_move': 'd5b5', 'time_diff': '0:00:37', 'exp_point_loss': 0.4805}, {'turn': 'White', 'fen': 'r4rk1/1p4b1/p2qb1p1/1R2p3/2B2P2/8/P2N1PP1/3QK2R w K - 4 21', 'move_number': 21, 'move': 'f4e5', 'prev_move': 'b4d6', 'time_diff': '0:00:30', 'exp_point_loss': 0.9995}, {'turn': 'Black', 'fen': 'r4rk1/1p4b1/p2qb1p1/1R2P3/2B5/8/P2N1PP1/3QK2R b K - 0 21', 'move_number': 22, 'move': 'g7e5', 'prev_move': 'f4e5', 'time_diff': '0:00:49', 'exp_point_loss': 0.6154999999999999}, {'turn': 'Black', 'fen': 'r4rk1/1p6/p2qb1p1/1R2b3/2B3Q1/8/P2N1PP1/4K2R b K - 1 22', 'move_number': 23, 'move': 'e6c4', 'prev_move': 'd1g4', 'time_diff': '0:01:23', 'exp_point_loss': 0.3665}, {'turn': 'Black', 'fen': '6k1/5r2/p2q2p1/4b3/2Q5/7R/P2N1PP1/4K3 b - - 1 26', 'move_number': 27, 'move': 'g8g7', 'prev_move': 'h1h3', 'time_diff': '0:00:29', 'exp_point_loss': 0.3915}, {'turn': 'Black', 'fen': '8/1q2b1k1/4Q1p1/8/4NPK1/p5P1/P7/8 b - - 2 42', 'move_number': 43, 'move': 'b7b4', 'prev_move': 'h3g4', 'time_diff': '0:00:30', 'exp_point_loss': 0.4875}, {'turn': 'White', 'fen': '8/4b1k1/4Q1p1/8/1q2NPK1/p5P1/P7/8 w - - 3 43', 'move_number': 43, 'move': 'e6e5', 'prev_move': 'b7b4', 'time_diff': '0:00:31', 'exp_point_loss': 0.4885}, {'turn': 'Black', 'fen': '5b2/1q4k1/4Q1p1/3N4/5PK1/p5P1/P7/8 b - - 12 47', 'move_number': 48, 'move': 'b7b5', 'prev_move': 'c3d5', 'time_diff': '0:00:33', 'exp_point_loss': 0.4755}]",[]
82.2,108.2,3.07,2.57,60.98,45.24,Yagiz Kaan Erdogmus,Peter Svidler,"Round 4: Erdogmus, Yagiz Kaan - Svidler, Peter",?,4.1,2500,2684,0,1,????.??.??,41,41,2.0,2.6,0.07,0.06,-4.06,-2.66,2,1,5,3,0,4,0,0,0,0,"[{'turn': 'Black', 'fen': '4kb1r/4qp2/p2pb2p/1p2p1p1/4n3/PNPRB2P/2P2PP1/3Q1RK1 b k - 1 19', 'move_number': 20, 'move': 'e6c4', 'prev_move': 'd2d3', 'time_diff': '0:00:43', 'exp_point_loss': 0.52}, {'turn': 'White', 'fen': '4kb1r/4qp2/p2p3p/1p2p1p1/2b1n3/PNPRB2P/2P2PP1/3Q1RK1 w k - 2 20', 'move_number': 20, 'move': 'd1f3', 'prev_move': 'e6c4', 'time_diff': '0:00:29', 'exp_point_loss': 0.4795}, {'turn': 'White', 'fen': '4kb1r/3n1p2/p3q2p/Np1pp1p1/3B4/P1PP1Q1P/5PP1/4R1K1 w k - 5 25', 'move_number': 25, 'move': 'f3d1', 'prev_move': 'f6d7', 'time_diff': '0:00:33', 'exp_point_loss': 0.4895}, {'turn': 'Black', 'fen': '5rk1/1N3p2/p1Q4p/1p2b1p1/8/P4RPP/5P1K/4q3 b - - 0 35', 'move_number': 36, 'move': 'e5g7', 'prev_move': 'g2g3', 'time_diff': '0:00:30', 'exp_point_loss': 0.48149999999999993}, {'turn': 'White', 'fen': '5rk1/1N3pb1/p1Q4p/1p4p1/8/P4RPP/5P1K/4q3 w - - 1 36', 'move_number': 36, 'move': 'c6a6', 'prev_move': 'e5g7', 'time_diff': '0:00:27', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '5rk1/1N3pb1/Q6p/1p4p1/8/P4RPP/5P1K/4q3 b - - 0 36', 'move_number': 37, 'move': 'e1e4', 'prev_move': 'c6a6', 'time_diff': '0:00:27', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '5rk1/1N3pb1/Q6p/1p4p1/4q3/P4RPP/5P1K/8 w - - 1 37', 'move_number': 37, 'move': 'f3e3', 'prev_move': 'e1e4', 'time_diff': '0:00:32', 'exp_point_loss': 0.49949999999999994}, {'turn': 'Black', 'fen': '5rk1/1N3pb1/Q6p/1p3qp1/8/P3R1PP/5PK1/8 b - - 4 38', 'move_number': 39, 'move': 'g7d4', 'prev_move': 'h2g2', 'time_diff': '0:00:29', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '5rk1/1N3p2/Q6p/1p3qp1/3b4/P3R1PP/5PK1/8 w - - 5 39', 'move_number': 39, 'move': 'e3e2', 'prev_move': 'g7d4', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}]",[]
