white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
170.8,145.4,0.18,0.67,10.38,23.53,Magnus Carlsen,Alireza Firouzja,2025 Esports World Cup Finals Playoffs,https://www.chess.com,3.2.4,2809,2754,1.0,0.0,????.??.??,39,38,4.4,3.8,0.0,0.02,0.72,-0.65,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2rq1rk1/pb2ppb1/1p4p1/4N2p/1PP4P/P3Q1B1/5PP1/2R1R1K1 b - - 2 24', 'move_number': 25, 'move': 'e7e6', 'prev_move': 'd4e3', 'time_diff': '0:00:41', 'exp_point_loss': 0.473}]",[]
136.8,139.7,1.49,1.49,12.17,12.22,Magnus Carlsen,Alireza Firouzja,2025 Esports World Cup Finals Playoffs,https://www.chess.com,3.1.3,2809,2754,0.5,0.5,????.??.??,58,58,2.4,2.4,0.03,0.03,-1.12,-0.97,2,2,2,2,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '1b6/5k2/1N3pp1/ppB4p/2p1bP1P/2P3P1/PP2K3/8 b - - 4 32', 'move_number': 33, 'move': 'a5a4', 'prev_move': 'd5b6', 'time_diff': '0:00:59', 'exp_point_loss': 0.251}, {'turn': 'White', 'fen': '8/4bk2/5pp1/1pNb3p/p1pB1P1P/P1P1K1P1/1P6/8 w - - 1 38', 'move_number': 38, 'move': 'e3f2', 'prev_move': 'c6d5', 'time_diff': '0:00:41', 'exp_point_loss': 0.3474999999999999}, {'turn': 'Black', 'fen': '8/4bk2/5pp1/1pNb3p/p1pB1P1P/P1P3P1/1P3K2/8 b - - 2 38', 'move_number': 39, 'move': 'e7d6', 'prev_move': 'e3f2', 'time_diff': '0:00:35', 'exp_point_loss': 0.43999999999999995}, {'turn': 'White', 'fen': '8/3b1k2/1B3p2/1p3P1p/p1p1K2P/P1P3N1/1P6/2b5 w - - 13 49', 'move_number': 49, 'move': 'b6c5', 'prev_move': 'h6c1', 'time_diff': '0:00:31', 'exp_point_loss': 0.496}, {'turn': 'Black', 'fen': '8/3b1k2/5p2/1pB2P1p/p1p1K2P/P1P3N1/1P6/2b5 b - - 14 49', 'move_number': 50, 'move': 'c1b2', 'prev_move': 'b6c5', 'time_diff': '0:00:36', 'exp_point_loss': 0.497}]",[]
158.0,158.0,0.48,0.47,7.98,7.57,Alireza Firouzja,Magnus Carlsen,2025 Esports World Cup Finals Playoffs,https://www.chess.com,3.1.2,2754,2809,0.5,0.5,????.??.??,44,44,3.6,3.6,0.01,0.01,0.02,0.02,0,0,1,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': '8/1p3kpp/8/1p6/5p2/5P2/PPP4P/7K w - - 0 35', 'move_number': 35, 'move': 'h1g2', 'prev_move': 'a6b5', 'time_diff': '0:00:31', 'exp_point_loss': 0.35950000000000004}, {'turn': 'Black', 'fen': '8/1p3kpp/8/1p6/5p2/5P2/PPP3KP/8 b - - 1 35', 'move_number': 36, 'move': 'f7e6', 'prev_move': 'h1g2', 'time_diff': '0:00:52', 'exp_point_loss': 0.36}]",[]
172.9,147.7,0.05,0.55,6.13,18.2,Magnus Carlsen,Alireza Firouzja,2025 Esports World Cup Finals Playoffs,Chess.com,3.1.1,2809,2754,1.0,0.0,????.??.??,45,44,3.8,3.4,0.0,0.01,0.82,-0.53,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r4rk1/pQ3ppp/2N2n2/8/8/2q3P1/P4P1P/1R3RK1 b - - 0 21', 'move_number': 22, 'move': 'c3a3', 'prev_move': 'e5c6', 'time_diff': '0:01:19', 'exp_point_loss': 0.5005}]",[]
160.9,137.4,0.79,1.12,5.67,7.32,Magnus Carlsen,Alireza Firouzja,2025 Esports World Cup Finals Playoffs,https://www.chess.com,3.2.2,2809,2754,1.0,0.0,????.??.??,60,59,2.7,2.3,0.01,0.02,0.18,-1.09,3,1,1,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'rn1qkb1r/5ppp/b1p1pn2/p7/NPNP4/1Pp3P1/4PPBP/R1BQ1RK1 b kq - 0 13', 'move_number': 14, 'move': 'a6c4', 'prev_move': 'a3b4', 'time_diff': '0:01:35', 'exp_point_loss': 0.30999999999999994}, {'turn': 'Black', 'fen': 'r5k1/3nbppp/2B1pn2/2P4q/1Q6/2N1B1PP/4PP2/5RK1 b - - 0 22', 'move_number': 23, 'move': 'a8b8', 'prev_move': 'g2c6', 'time_diff': '0:00:47', 'exp_point_loss': 0.4425}, {'turn': 'White', 'fen': '1r4k1/3n1ppp/8/2b1p2q/5Q2/2N1B1PP/4PP2/3R2K1 w - - 0 26', 'move_number': 26, 'move': 'f4g4', 'prev_move': 'e6e5', 'time_diff': '0:00:37', 'exp_point_loss': 0.40349999999999997}, {'turn': 'Black', 'fen': '3r4/4b3/6pk/4R3/4N1P1/4P3/4K3/8 b - - 12 57', 'move_number': 58, 'move': 'e7h4', 'prev_move': 'b5e5', 'time_diff': '0:00:31', 'exp_point_loss': 0.4735}]",[]
140.0,166.2,0.97,0.47,21.79,7.47,Alireza Firouzja,Magnus Carlsen,2025 Esports World Cup Finals Playoffs,https://www.chess.com,3.1.4,2754,2809,0.0,1.0,????.??.??,34,34,4.1,4.9,0.03,0.01,-0.95,0.46,2,0,2,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': 'r3r1k1/bpq2pp1/2p4p/p1P1p3/PP3n2/1Q1P1NNP/5PP1/3RR1K1 w - - 0 23', 'move_number': 23, 'move': 'd3d4', 'prev_move': 'a6a5', 'time_diff': '0:01:03', 'exp_point_loss': 0.3430000000000001}, {'turn': 'Black', 'fen': '4r1k1/bpq2pp1/2p4p/p1P5/PP1R1n2/1Q3NNP/5PP1/6K1 b - - 0 25', 'move_number': 26, 'move': 'e8d8', 'prev_move': 'd1d4', 'time_diff': '0:02:51', 'exp_point_loss': 0.38850000000000007}, {'turn': 'White', 'fen': '3r2k1/bpq2pp1/2p4p/p1P5/PP1R1n2/1Q3NNP/5PP1/6K1 w - - 1 26', 'move_number': 26, 'move': 'd4e4', 'prev_move': 'e8d8', 'time_diff': '0:00:37', 'exp_point_loss': 0.42699999999999994}]",[]
146.1,171.6,0.63,0.13,12.67,6.21,Alireza Firouzja,Magnus Carlsen,2025 Esports World Cup Finals Playoffs,https://www.chess.com,3.2.3,2754,2809,0.0,1.0,????.??.??,39,39,3.7,4.4,0.02,0.0,-0.62,0.76,2,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'r1bq1rk1/p1n1ppbp/3p1np1/P1pP4/1p3N2/1P4P1/1BP1PPBP/RN1QK2R w KQ - 5 11', 'move_number': 11, 'move': 'b1d2', 'prev_move': 'a6c7', 'time_diff': '0:01:57', 'exp_point_loss': 0.3769999999999999}]",[]
142.2,108.3,1.85,2.34,190.07,381.92,Alireza Firouzja,Magnus Carlsen,2025 Esports World Cup Finals Playoffs,Chess.com,3.2.1,2754,2809,1.0,0.0,????.??.??,54,53,2.6,2.0,0.03,0.04,-0.83,-2.65,3,4,1,5,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '2r2rk1/pp2qppb/2n1p3/3p3p/N2P2n1/1P2PNP1/P4PBP/2RQ1RK1 b - - 3 16', 'move_number': 17, 'move': 'g4f6', 'prev_move': 'h4f3', 'time_diff': '0:00:40', 'exp_point_loss': 0.2835000000000001}, {'turn': 'Black', 'fen': '2r3k1/p4p1n/1p2pn2/1P3bpp/1Q1PP3/P5PN/2q2N1P/4RBK1 b - - 0 35', 'move_number': 36, 'move': 'f6e4', 'prev_move': 'f3e4', 'time_diff': '0:00:39', 'exp_point_loss': 0.957}, {'turn': 'White', 'fen': '2r3k1/p4p1n/1p2p3/1P1P3p/1Q4p1/P5PB/2b4P/6K1 w - - 0 40', 'move_number': 40, 'move': 'h3g2', 'prev_move': 'g5g4', 'time_diff': '0:00:31', 'exp_point_loss': 0.499}, {'turn': 'Black', 'fen': '2r3k1/p4p1n/1p6/1P1B3p/1Q4p1/P5P1/2b4P/6K1 b - - 0 41', 'move_number': 42, 'move': 'h7f6', 'prev_move': 'g2d5', 'time_diff': '0:00:37', 'exp_point_loss': 0.4715}]",[]
165.3,149.0,0.49,0.49,8.25,8.04,Magnus Carlsen,Hikaru Nakamura,2025 Esports World Cup Finals Playoffs,https://www.chess.com,2.1.1,2819,2738,1.0,0.0,????.??.??,48,47,3.4,3.2,0.01,0.01,0.42,-0.46,0,0,1,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2r1kb1r/pp3ppp/5n2/4p3/1n2P3/2N1N3/PP2KPPP/R1BR4 b k - 6 15', 'move_number': 16, 'move': 'f8c5', 'prev_move': 'h1d1', 'time_diff': '0:00:39', 'exp_point_loss': 0.4815}, {'turn': 'White', 'fen': '4r3/1p3pk1/4n1p1/4N1P1/4P3/5K2/PP1R1P2/8 w - - 1 40', 'move_number': 40, 'move': 'f3e3', 'prev_move': 'f4e6', 'time_diff': '0:00:33', 'exp_point_loss': 0.4735}]",[]
171.6,148.0,-0.02,0.47,6.08,27.28,Alireza Firouzja,Erigaisi Arjun,2025 Esports World Cup Finals Playoffs,https://www.chess.com,2.1.5,2767,2708,1.0,0.0,????.??.??,26,25,6.6,5.9,-0.0,0.02,0.76,-0.52,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2rk1/p2n1ppp/1p2pn2/q2p4/P1PP1B2/2P5/2QN1PPP/R3KB1R b KQ - 0 12', 'move_number': 13, 'move': 'd5c4', 'prev_move': 'e3d4', 'time_diff': '0:00:35', 'exp_point_loss': 0.4145}]",[]
