white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
117.8,154.1,1.63,1.13,31.98,17.78,Hans Moke Niemann,Anish Giri,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,54.1,2621,2687,0.0,1.0,????.??.??,51,51,2.3,3.0,0.03,0.02,-2.14,-0.19,1,0,2,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2r1bk1/pp1q1bpp/2ppBp2/4p2P/4P1PN/P1PPBQ2/1P3P2/R5RK b - - 0 21', 'move_number': 22, 'move': 'd7e6', 'prev_move': 'a2e6', 'time_diff': '0:00:42', 'exp_point_loss': 0.42400000000000004}, {'turn': 'White', 'fen': 'r2r1bk1/pp3bpp/2ppqp2/4p2P/4P1PN/P1PPBQ2/1P3P2/R5RK w - - 0 22', 'move_number': 22, 'move': 'g4g5', 'prev_move': 'd7e6', 'time_diff': '0:00:34', 'exp_point_loss': 0.9594999999999999}, {'turn': 'Black', 'fen': '8/ppbr3k/2p3p1/5qBb/4pP1Q/P1P4R/1P4RK/8 b - - 3 41', 'move_number': 42, 'move': 'd7d3', 'prev_move': 'h6g5', 'time_diff': '0:00:35', 'exp_point_loss': 0.2919999999999999}, {'turn': 'White', 'fen': '8/ppb4k/2p3p1/5qBb/4pP1Q/P1Pr3R/1P4RK/8 w - - 4 42', 'move_number': 42, 'move': 'h3g3', 'prev_move': 'd7d3', 'time_diff': '0:00:56', 'exp_point_loss': 0.49749999999999994}]",[]
156.8,144.8,0.53,1.02,9.71,21.48,Anish Giri,Ahmed Adly,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,52.2,2687,2575,0.5,0.5,????.??.??,34,33,4.6,4.4,0.02,0.03,-0.04,-0.69,1,0,1,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2q1rk1/pb2bp1p/1p2p1pP/8/3PP3/3Q1N2/PB3PP1/1R3RK1 b - - 0 16', 'move_number': 17, 'move': 'a8c8', 'prev_move': 'd1d3', 'time_diff': '0:00:53', 'exp_point_loss': 0.3195}, {'turn': 'White', 'fen': '2rq1rk1/pb2bp1p/1p2p1pP/8/3PP3/3Q1N2/PB3PP1/1R3RK1 w - - 1 17', 'move_number': 17, 'move': 'f1e1', 'prev_move': 'a8c8', 'time_diff': '0:00:47', 'exp_point_loss': 0.33699999999999997}, {'turn': 'Black', 'fen': '2rq1rk1/pb2bp1p/1p2p1pP/8/3PP3/3Q1N2/PB3PP1/1R2R1K1 b - - 2 17', 'move_number': 18, 'move': 'd8c7', 'prev_move': 'f1e1', 'time_diff': '0:00:49', 'exp_point_loss': 0.45849999999999996}]",[]
156.9,157.1,0.52,0.52,4.49,4.13,Javokhir Sindarov,Hans Moke Niemann,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,3.4,2688,2621,0.5,0.5,????.??.??,39,38,4.0,4.1,0.01,0.01,-0.04,-0.02,2,1,0,2,1,0,0,0,0,0,[],[]
134.6,132.1,1.42,1.42,15.21,15.07,Jules Moussard,Alexander Grischuk,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,52.2,2611,2676,0.5,0.5,????.??.??,72,72,1.9,1.8,0.02,0.02,-1.24,-1.37,1,0,3,0,0,3,0,0,0,0,"[{'turn': 'White', 'fen': '4r3/1p2r3/2p2q1k/2Pp4/PR3p1p/2R4P/1Q3PP1/6K1 w - - 0 44', 'move_number': 44, 'move': 'c3f3', 'prev_move': 'g5f4', 'time_diff': '0:00:56', 'exp_point_loss': 0.4085}, {'turn': 'Black', 'fen': '8/1p6/2p4k/2Pp4/P3r2p/5RPP/1R5K/4r3 b - - 0 48', 'move_number': 49, 'move': 'e4e2', 'prev_move': 'f2g3', 'time_diff': '0:00:40', 'exp_point_loss': 0.473}, {'turn': 'White', 'fen': '8/1p6/2p4k/2Pp4/P6p/5RPP/1R2r2K/4r3 w - - 1 49', 'move_number': 49, 'move': 'b2e2', 'prev_move': 'e4e2', 'time_diff': '0:00:31', 'exp_point_loss': 0.478}, {'turn': 'Black', 'fen': '8/3R4/2p4k/3p4/5KPp/7r/8/8 b - - 1 57', 'move_number': 58, 'move': 'h3h1', 'prev_move': 'b7d7', 'time_diff': '0:00:41', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/6k1/2pR4/3p4/5KPp/8/8/7r w - - 4 59', 'move_number': 59, 'move': 'd6d7', 'prev_move': 'h6g7', 'time_diff': '0:00:31', 'exp_point_loss': 0.49950000000000006}, {'turn': 'Black', 'fen': '8/3R2k1/2p5/3p4/5KPp/8/8/7r b - - 5 59', 'move_number': 60, 'move': 'g7g6', 'prev_move': 'd6d7', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}]",[]
169.8,144.4,0.04,0.54,5.09,28.0,Nihal Sarin,Anish Giri,2025 Esports World Cup Lcq Playoffs,Chess.com,2.1,2688,2687,1.0,0.0,????.??.??,23,23,7.4,6.3,0.0,0.02,0.66,-0.71,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2q1rk1/1p3ppp/p2bbn2/3pN3/3P1P2/2NB1Q2/PP4PP/3R1R1K b - - 0 16', 'move_number': 17, 'move': 'd8a5', 'prev_move': 'e3d4', 'time_diff': '0:00:54', 'exp_point_loss': 0.4785}]",[]
167.2,146.2,0.03,0.53,9.07,28.5,Levon Aronian,Andrey Esipenko,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,54.1,2742,2626,1.0,0.0,????.??.??,27,26,6.2,5.6,0.0,0.02,0.52,-0.61,0,0,1,0,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'q4rk1/pbr1bppp/1pn1pn2/8/2PP4/P2B1N2/1B1NQPPP/2RR2K1 b - - 0 15', 'move_number': 16, 'move': 'f8c8', 'prev_move': 'b3c4', 'time_diff': '0:01:07', 'exp_point_loss': 0.3845}, {'turn': 'White', 'fen': 'q1r3k1/pbr1bppp/1pn1pn2/8/2PP4/P2B1N2/1B1NQPPP/2RR2K1 w - - 1 16', 'move_number': 16, 'move': 'f3g5', 'prev_move': 'f8c8', 'time_diff': '0:00:48', 'exp_point_loss': 0.394}, {'turn': 'Black', 'fen': 'q1r2k2/pbr1bnp1/1p3n1p/3P1Q2/2P1N3/P2B4/1B3PPP/2RR2K1 b - - 4 21', 'move_number': 22, 'move': 'f6e4', 'prev_move': 'd2e4', 'time_diff': '0:01:06', 'exp_point_loss': 0.341}]",[]
138.2,168.6,0.79,0.29,213.67,5.27,Levon Aronian,Anish Giri,2025 Esports World Cup Lcq Playoffs,Chess.com,1.1,2742,2687,0.0,1.0,????.??.??,48,48,2.9,3.5,0.02,0.01,-1.04,0.59,1,3,0,2,0,0,0,0,0,0,[],[]
109.9,100.7,2.45,2.45,11.59,11.5,Ahmed Adly,Anish Giri,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,52.1,2575,2687,0.5,0.5,????.??.??,108,108,1.0,0.9,0.02,0.02,-2.57,-3.06,4,2,5,3,0,5,0,0,0,0,"[{'turn': 'White', 'fen': '2rr2k1/pQ3pb1/4p1pp/q2n4/P2P4/2P3PB/5P1P/R1BR2K1 w - - 1 20', 'move_number': 20, 'move': 'c1d2', 'prev_move': 'e7d5', 'time_diff': '0:00:55', 'exp_point_loss': 0.33499999999999996}, {'turn': 'Black', 'fen': '8/p1rr1pk1/R1Bnp2p/6p1/P7/6PP/1R3PK1/8 b - - 26 43', 'move_number': 44, 'move': 'd7e7', 'prev_move': 'a8c6', 'time_diff': '0:00:33', 'exp_point_loss': 0.36750000000000005}, {'turn': 'White', 'fen': '8/p1r1rp2/R3p2p/5kp1/PR6/6PP/5PK1/8 w - - 0 47', 'move_number': 47, 'move': 'h3h4', 'prev_move': 'f6f5', 'time_diff': '0:00:30', 'exp_point_loss': 0.3165}, {'turn': 'White', 'fen': '8/p1rr1p2/R3p3/5kp1/PR6/6P1/5PK1/8 w - - 0 49', 'move_number': 49, 'move': 'b4b8', 'prev_move': 'h6g5', 'time_diff': '0:00:33', 'exp_point_loss': 0.45399999999999996}, {'turn': 'Black', 'fen': '8/p1r2p2/R3p3/5kp1/P7/1R4P1/3r1PK1/8 b - - 3 50', 'move_number': 51, 'move': 'g5g4', 'prev_move': 'b8b3', 'time_diff': '0:00:34', 'exp_point_loss': 0.29599999999999993}, {'turn': 'White', 'fen': '8/p1r2p2/R3p3/5k2/P5p1/1R4P1/3r1PK1/8 w - - 0 51', 'move_number': 51, 'move': 'b3b4', 'prev_move': 'g5g4', 'time_diff': '0:00:34', 'exp_point_loss': 0.3025}, {'turn': 'Black', 'fen': '8/p2r4/R4p2/4pk2/P5p1/6P1/2r2PK1/5R2 b - - 5 55', 'move_number': 56, 'move': 'c2a2', 'prev_move': 'a5a6', 'time_diff': '0:00:32', 'exp_point_loss': 0.44499999999999995}, {'turn': 'White', 'fen': '8/p2r4/R4p2/4pk2/P5p1/6P1/r4PK1/5R2 w - - 6 56', 'move_number': 56, 'move': 'f1e1', 'prev_move': 'c2a2', 'time_diff': '0:00:32', 'exp_point_loss': 0.44499999999999995}, {'turn': 'Black', 'fen': '8/p3r3/R4p2/4p1k1/P5p1/6P1/r4P2/4R1K1 b - - 13 59', 'move_number': 60, 'move': 'f6f5', 'prev_move': 'f1e1', 'time_diff': '0:00:32', 'exp_point_loss': 0.4035000000000001}, {'turn': 'Black', 'fen': '8/p3r3/8/R4pk1/P3p1p1/6P1/r4P2/4RK2 b - - 1 61', 'move_number': 62, 'move': 'a2a3', 'prev_move': 'g1f1', 'time_diff': '0:00:31', 'exp_point_loss': 0.2985}]",[]
126.9,123.1,1.92,1.91,12.81,12.75,Anish Giri,Levon Aronian,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,1.2,2687,2742,0.5,0.5,????.??.??,64,63,2.0,2.0,0.03,0.03,-1.65,-1.86,1,6,2,6,2,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQ - 3 7', 'move_number': 8, 'move': 'e7e5', 'prev_move': 'f1e2', 'time_diff': '0:00:42', 'exp_point_loss': 0.2615}, {'turn': 'Black', 'fen': 'r3r3/3b1pkn/p2p1npb/2pPp2p/2P1P2B/P1NN3P/1R2BPP1/1R4K1 b - - 3 21', 'move_number': 22, 'move': 'e8c8', 'prev_move': 'f1b1', 'time_diff': '0:00:31', 'exp_point_loss': 0.3875}, {'turn': 'White', 'fen': 'r3nk2/7n/p2p2p1/2pPp2p/2B1P2B/P1N4P/3b1PP1/1R3K2 w - - 1 31', 'move_number': 31, 'move': 'b1b3', 'prev_move': 'h6d2', 'time_diff': '0:00:49', 'exp_point_loss': 0.327}, {'turn': 'White', 'fen': 'r3nk2/8/p2p1n2/2pPp1p1/N1BbP2p/PR3P1P/6PB/5K2 w - - 3 36', 'move_number': 36, 'move': 'b3b6', 'prev_move': 'e3d4', 'time_diff': '0:00:39', 'exp_point_loss': 0.4445}]",[]
163.8,162.5,0.01,0.01,0.87,0.28,Andrey Esipenko,Nihal Sarin,2025 Esports World Cup Lcq Playoffs,https://www.chess.com,3.4,2626,2688,0.5,0.5,????.??.??,46,46,3.6,3.5,0.0,0.0,0.33,0.27,0,0,0,0,0,0,0,0,0,0,[],[]
