Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Nihal Sarin,148.8,0.83,43.89,8,5.5,158.6,0.57,2688,2766,367,4,4,9.54,22.94,0.97,98.95,-0.48,0.7,0.95,154.3,143.2,3.5,2.0,6.61,526.18,0.95,9791.6
Javokhir Sindarov,148.8,0.75,47.42,8,5.0,160.8,0.52,2688,2726,404,4,4,7.58,25.57,0.84,108.59,-0.47,0.9,0.6,151.0,146.7,3.0,2.0,6.0,653.65,0.71,11791.48
Anish Giri,148.6,0.86,11.65,11,6.5,155.1,0.56,2687,2723,607,5,6,9.71,19.43,0.78,7.24,-0.48,0.63,1.06,152.8,145.1,2.5,4.0,9.51,377.63,0.6,52.42
Alexey Sarana,147.5,0.74,106.8,6,3.0,149.9,0.72,2632,2672,300,3,3,15.28,19.84,0.77,150.14,-0.54,0.9,0.57,148.3,146.8,2.0,1.0,4.43,393.47,0.59,22543.37
Alexander Grischuk,143.4,0.9,34.23,8,3.5,144.0,0.94,2676,2627,472,4,4,20.22,21.78,0.77,43.8,-0.76,0.43,1.38,156.1,130.8,2.5,1.0,7.24,474.28,0.6,1918.04
Praggnanandhaa R,143.4,0.91,58.92,8,4.0,147.0,0.84,2688,2639,453,4,4,17.81,20.23,0.65,82.93,-0.76,0.74,1.07,150.0,136.9,2.5,1.5,7.27,409.19,0.42,6877.29
Yangyi Yu,141.6,1.1,7.53,6,3.5,146.6,0.94,2700,2670,366,3,3,13.7,19.12,0.68,28.04,-0.86,0.94,1.27,141.6,141.5,1.5,2.0,6.62,365.41,0.47,786.19
Olexandr Bortnyk,140.8,0.76,51.53,4,0.5,144.7,0.75,2641,2316,209,2,2,30.82,9.26,0.39,54.82,-0.9,0.75,0.78,144.7,137.0,0.5,0.0,3.06,85.66,0.15,3004.7
Levon Aronian,138.6,1.25,56.07,12,7.5,148.0,0.8,2742,2738,735,6,6,13.08,30.95,1.27,101.53,-1.02,0.7,1.8,150.1,127.1,3.5,4.0,14.98,958.01,1.61,10308.85
Andrey Esipenko,138.3,1.25,53.86,12,7.0,155.3,0.73,2626,2749,548,6,6,28.66,38.87,1.57,68.52,-1.04,1.56,0.94,133.6,143.0,4.0,3.0,14.99,1510.94,2.45,4695.48
Jules Moussard,136.4,1.34,90.93,6,3.0,134.0,1.3,2611,2652,353,3,3,27.34,10.82,0.39,112.5,-1.14,1.66,1.02,132.1,140.7,2.0,1.0,8.04,117.08,0.15,12657.16
Hans Moke Niemann,135.6,1.31,32.49,11,5.0,135.6,1.3,2621,2638,604,6,5,15.95,18.52,0.75,45.81,-1.18,1.43,1.16,128.4,144.2,1.5,3.5,14.39,342.97,0.57,2098.77
Denis Lazavik,130.2,1.42,132.5,4,1.0,137.1,1.18,2579,2524,291,2,2,40.52,29.26,0.96,207.81,-1.47,1.18,1.66,137.1,123.4,0.5,0.5,5.69,855.93,0.91,43185.5
MarcAndria Maurizzi,126.3,1.45,55.36,4,1.0,124.4,1.4,2471,2447,237,2,2,22.04,17.09,0.62,72.78,-1.68,1.98,0.92,112.1,140.5,0.5,0.5,5.81,291.92,0.38,5297.05
Ahmed Adly,120.6,1.75,44.97,6,2.5,123.3,1.69,2575,2535,360,3,3,17.47,25.42,0.79,71.6,-1.99,2.03,1.47,112.3,129.0,1.0,1.5,10.5,646.08,0.62,5127.04
Bassem Amin,110.3,1.84,85.74,4,0.5,104.2,1.92,2593,2280,154,2,2,28.69,25.5,1.1,122.05,-2.55,2.27,1.42,102.2,118.3,0.5,0.0,7.38,650.41,1.2,14897.3
