white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
161.1,133.4,0.81,1.31,14.38,30.8,Nino Batsiashvili,Sopiko Khukhashvili,"Round 1: Batsiashvili, Nino - Khukhashvili, Sopiko",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/yknknKJ6,1.1,2469,2304,1.0,0.0,2025.09.27,61,60,2.6,2.2,0.01,0.02,0.19,-1.31,4,0,1,3,1,2,1,0,2,1,"[{'turn': 'Black', 'fen': 'r1r3k1/1bqn1ppp/p2P1n2/8/1PpPP3/R1NQ2P1/3N2BP/5RK1 b - - 0 18', 'move_number': 19, 'move': 'c7d6', 'prev_move': 'e5d6', 'time_diff': '0:06:10', 'exp_point_loss': 0.2415}, {'turn': 'White', 'fen': '8/r4pkp/4q1p1/3nP3/1p1PQ3/5RP1/6KP/2R5 w - - 2 39', 'move_number': 39, 'move': 'c1c5', 'prev_move': 'd7a7', 'time_diff': '0:00:36', 'exp_point_loss': 0.4415}, {'turn': 'Black', 'fen': '8/5pkp/6p1/2R1P3/1p1P1Q2/2n3P1/4q2P/6K1 b - - 4 44', 'move_number': 45, 'move': 'e2d1', 'prev_move': 'f1g1', 'time_diff': '0:02:47', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'r4rk1/1bqn1ppp/pp1ppn2/8/2PPP3/R1NQ1NP1/1P3PBP/5RK1 w - - 1 14', 'move_number': 14, 'move': 'f3d2', 'prev_move': 'b8d7', 'time_diff': '0:16:28', 'exp_point_loss': 0.03150000000000003}, {'turn': 'White', 'fen': '8/5pkp/4q1p1/2R1P3/1p1P1Q2/2n2RP1/r5KP/8 w - - 6 41', 'move_number': 41, 'move': 'f3f2', 'prev_move': 'a7a2', 'time_diff': '0:19:24', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/5pkp/4q1p1/2R1P3/1p1P1Q2/2n3P1/r4RKP/8 b - - 7 41', 'move_number': 42, 'move': 'a2f2', 'prev_move': 'f3f2', 'time_diff': '0:18:49', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '5k2/5p1p/4n1p1/4P3/1R3P2/4K3/7P/8 w - - 1 55', 'move_number': 55, 'move': 'e3e4', 'prev_move': 'g7f8', 'time_diff': '0:39:51', 'exp_point_loss': 0}]"
138.0,165.9,1.06,0.55,37.77,21.35,Inga Khurtsilava,Lela Javakhishvili,"Round 1: Khurtsilava, Inga - Javakhishvili, Lela",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/76DKDRNL,1.2,2128,2423,0.0,1.0,2025.10.05,43,43,3.2,3.9,0.02,0.01,-1.06,0.45,2,0,2,1,0,1,0,0,1,2,"[{'turn': 'White', 'fen': '2rn1rk1/pp2ppbp/3n2p1/N2P4/8/P4N2/1P3PPP/R1B2RK1 w - - 1 20', 'move_number': 20, 'move': 'c1g5', 'prev_move': 'a8c8', 'time_diff': '0:01:09', 'exp_point_loss': 0.36149999999999993}, {'turn': 'Black', 'fen': '2rnr1k1/pp2ppbp/3n2p1/N2P2B1/8/P4N2/1P3PPP/4RRK1 b - - 4 21', 'move_number': 22, 'move': 'e7e5', 'prev_move': 'a1e1', 'time_diff': '0:06:25', 'exp_point_loss': 0.3125}, {'turn': 'White', 'fen': '2rnr1k1/pp3pbp/3n2p1/N2Pp1B1/8/P4N2/1P3PPP/4RRK1 w - e6 0 22', 'move_number': 22, 'move': 'b2b4', 'prev_move': 'e7e5', 'time_diff': '0:03:16', 'exp_point_loss': 0.4525}]","[{'turn': 'Black', 'fen': 'r1bq1rk1/pp2ppbp/6p1/3n4/2B1n3/1N2PN2/PP3PPP/R1BQ1RK1 b - - 1 11', 'move_number': 12, 'move': 'd5b4', 'prev_move': 'e2c4', 'time_diff': '0:16:31', 'exp_point_loss': 0.014000000000000012}, {'turn': 'Black', 'fen': '6r1/p4k2/1p3b1p/3Ppp2/1P5r/PNN1RP1n/7P/5R1K b - - 6 41', 'move_number': 42, 'move': 'h4h5', 'prev_move': 'd1f1', 'time_diff': '0:15:38', 'exp_point_loss': 0.019500000000000073}, {'turn': 'White', 'fen': '6r1/p4k2/1p3b1p/3Ppp1r/1P6/PNN1RP1n/7P/5R1K w - - 7 42', 'move_number': 42, 'move': 'f3f4', 'prev_move': 'h4h5', 'time_diff': '0:23:25', 'exp_point_loss': 0.019500000000000073}]"
143.7,116.0,1.75,2.24,16.38,36.46,Bella Khotenashvili,Sofio Gvetadze,"Round 1: Khotenashvili, Bella - Gvetadze, Sofio",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/nUbDCSf0,1.3,2416,2298,1.0,0.0,2025.10.05,40,39,3.6,3.0,0.04,0.06,-0.75,-2.24,4,4,1,3,0,5,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2q1rk1/pp1n1pbp/n2pp1p1/1NpP4/2P1P3/P6P/1P2QPP1/R1BB1RK1 b - - 2 14', 'move_number': 15, 'move': 'd8e7', 'prev_move': 'c3b5', 'time_diff': '0:12:03', 'exp_point_loss': 0.382}, {'turn': 'Black', 'fen': 'r4rk1/pp2q1bp/nn1p4/1NpPpp2/2P2P2/P3B2P/1PQ3P1/R2B1RK1 b - - 0 19', 'move_number': 20, 'move': 'e5e4', 'prev_move': 'f2f4', 'time_diff': '0:12:14', 'exp_point_loss': 0.23150000000000004}, {'turn': 'Black', 'fen': 'r4rk1/pp2q1bp/nn1p4/1NpP1p2/2P1pP2/P3B2P/1PQ1B1P1/R4RK1 b - - 1 20', 'move_number': 21, 'move': 'a6b8', 'prev_move': 'd1e2', 'time_diff': '0:02:18', 'exp_point_loss': 0.352}, {'turn': 'White', 'fen': 'rn3rk1/pp2q1bp/1n1p4/1NpP1p2/2P1pP2/P3B2P/1PQ1B1P1/R4RK1 w - - 2 21', 'move_number': 21, 'move': 'a1b1', 'prev_move': 'a6b8', 'time_diff': '0:04:10', 'exp_point_loss': 0.313}, {'turn': 'Black', 'fen': 'rn3rk1/1p4qp/pn1p4/2pP1p2/2PbpP2/P1N1B2P/1P1QB1P1/3R1RK1 b - - 5 24', 'move_number': 25, 'move': 'd4f6', 'prev_move': 'b1d1', 'time_diff': '0:03:34', 'exp_point_loss': 0.3155}, {'turn': 'Black', 'fen': 'rn3rk1/1p4qp/pn1p1b2/2pP1p2/2P1pP2/P1N1B2P/1P1QB1PK/3R1R2 b - - 7 25', 'move_number': 26, 'move': 'g8h8', 'prev_move': 'g1h2', 'time_diff': '0:05:14', 'exp_point_loss': 0.3095}]",[]
112.0,139.9,2.46,1.95,59.35,31.89,Lile Koridze,Meri Arabidze,"Round 1: Koridze, Lile - Arabidze, Meri",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/FTVLEOv2,1.4,2104,2417,0.0,1.0,2025.10.05,37,37,3.0,3.8,0.07,0.05,-2.46,-0.95,2,2,5,1,0,5,0,1,1,2,"[{'turn': 'White', 'fen': 'r1bqk2r/ppp5/2n1p3/3p1pbp/2PPn3/BP2PNP1/P4PB1/RN1Q1RK1 w kq - 0 12', 'move_number': 12, 'move': 'c4d5', 'prev_move': 'f6g5', 'time_diff': '0:06:22', 'exp_point_loss': 0.367}, {'turn': 'Black', 'fen': 'r2qk2r/ppp5/4b3/3pP1b1/4npPp/BP2PB2/P2N1P2/R2Q1RK1 b kq - 1 17', 'move_number': 18, 'move': 'e4d2', 'prev_move': 'b1d2', 'time_diff': '0:04:34', 'exp_point_loss': 0.378}, {'turn': 'Black', 'fen': 'r3k1r1/pQpq4/4b3/3pP1b1/6Pp/BP2pB2/P4P2/R4RK1 b q - 0 21', 'move_number': 22, 'move': 'a8d8', 'prev_move': 'b5b7', 'time_diff': '0:00:20', 'exp_point_loss': 0.36449999999999994}, {'turn': 'White', 'fen': '3rk1r1/pQpq4/4b3/3pP1b1/6Pp/BP2pB2/P4P2/R4RK1 w - - 1 22', 'move_number': 22, 'move': 'f3e2', 'prev_move': 'a8d8', 'time_diff': '0:01:01', 'exp_point_loss': 0.394}, {'turn': 'White', 'fen': '4k1r1/p2r4/2p1b3/3pP1b1/6Pp/BP6/P3BK2/R4R2 w - - 0 25', 'move_number': 25, 'move': 'f2g2', 'prev_move': 'd8d7', 'time_diff': '0:00:34', 'exp_point_loss': 0.3305}, {'turn': 'Black', 'fen': '4k1r1/p2r4/2p1b3/3pP1b1/6Pp/BP6/P3B1K1/R4R2 b - - 1 25', 'move_number': 26, 'move': 'd7g7', 'prev_move': 'f2g2', 'time_diff': '0:03:57', 'exp_point_loss': 0.38649999999999995}, {'turn': 'Black', 'fen': '4k1r1/p5r1/2p1bR2/4P3/3p2Pp/BP2b2K/P3B3/4R3 b - - 1 28', 'move_number': 29, 'move': 'e8d7', 'prev_move': 'f1f6', 'time_diff': '0:03:32', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '6r1/p2k2r1/2p1bR2/4P3/3p2Pp/BP2b2K/P3B3/4R3 w - - 2 29', 'move_number': 29, 'move': 'a3d6', 'prev_move': 'e8d7', 'time_diff': '0:00:37', 'exp_point_loss': 0.37650000000000006}, {'turn': 'Black', 'fen': '6r1/p2k2r1/2pBbR2/4P3/3p2Pp/1P2b2K/P3B3/4R3 b - - 3 29', 'move_number': 30, 'move': 'e6g4', 'prev_move': 'a3d6', 'time_diff': '0:01:27', 'exp_point_loss': 0.3395}, {'turn': 'White', 'fen': '6r1/p2k4/2pB1R2/4P3/3p2rp/1P2b2K/P7/4R3 w - - 0 31', 'move_number': 31, 'move': 'e1f1', 'prev_move': 'g7g4', 'time_diff': '0:00:11', 'exp_point_loss': 0.44199999999999995}]","[{'turn': 'Black', 'fen': 'rnbqk2r/ppp1bppp/4p3/3p4/2PPn3/5NP1/PP2PPBP/RNBQ1RK1 b kq - 0 6', 'move_number': 7, 'move': 'f7f5', 'prev_move': 'c2c4', 'time_diff': '0:34:47', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r1bqk2r/ppp5/2n5/3pNpbp/3Pn3/BP2P1P1/P4PB1/RN1Q1RK1 b kq - 1 13', 'move_number': 14, 'move': 'h5h4', 'prev_move': 'f3e5', 'time_diff': '0:15:48', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r1bqk2r/ppp5/2n5/3pNpb1/3Pn2p/BP2P1P1/P4PB1/RN1Q1RK1 w kq - 0 14', 'move_number': 14, 'move': 'g2f3', 'prev_move': 'h5h4', 'time_diff': '0:22:56', 'exp_point_loss': 0.007000000000000006}, {'turn': 'Black', 'fen': 'r2qk2r/ppp5/4b3/3pPpb1/4n1Pp/BP2PB2/P4P2/RN1Q1RK1 b kq - 0 16', 'move_number': 17, 'move': 'f5f4', 'prev_move': 'g3g4', 'time_diff': '0:26:31', 'exp_point_loss': 0.06000000000000005}]"
164.1,164.2,0.15,0.14,5.06,4.78,Marina Brunello,Alina Kashlinskaya,"Round 1: Brunello, Marina - Kashlinskaya, Alina",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/wFtDmtbY,1.5,2287,2450,0.5,0.5,2025.10.05,64,64,2.6,2.6,0.0,0.0,0.35,0.36,0,0,0,0,0,0,0,0,1,1,[],"[{'turn': 'White', 'fen': '8/2p2pk1/1p1p1np1/3Pp2p/1PP1P1nP/3Q1NP1/1qN2PK1/8 w - - 2 41', 'move_number': 41, 'move': 'f3e1', 'prev_move': 'g8g7', 'time_diff': '0:16:39', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/2p2pk1/1p1p1np1/3Pp2p/1PP1P1nP/3Q2P1/1qN2PK1/4N3 b - - 3 41', 'move_number': 42, 'move': 'g4h6', 'prev_move': 'f3e1', 'time_diff': '0:18:06', 'exp_point_loss': 0}]"
146.1,118.4,1.62,2.11,19.43,43.85,Aleksandra Maltsevskaya,Elena Sedina,"Round 1: Maltsevskaya, Aleksandra - Sedina, Elena",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/synS6vfX,1.6,2394,2233,1.0,0.0,2025.10.05,40,40,3.7,3.0,0.04,0.05,-0.62,-2.11,4,2,2,1,0,5,0,1,3,1,"[{'turn': 'Black', 'fen': '2r2rk1/1p1bb1pp/1qn1p3/p2pP2P/5P2/3B1NP1/PPN1Q1K1/1R3R2 b - - 3 23', 'move_number': 24, 'move': 'c6b4', 'prev_move': 'd1e2', 'time_diff': '0:05:12', 'exp_point_loss': 0.261}, {'turn': 'White', 'fen': '2r2rk1/1p1b2p1/4p1Pp/p1qpP2P/8/P2B2P1/1P2Q1K1/1R3R2 w - - 0 29', 'move_number': 29, 'move': 'f1f7', 'prev_move': 'h7h6', 'time_diff': '0:00:07', 'exp_point_loss': 0.376}, {'turn': 'Black', 'fen': '2r2rk1/1p1b1Rp1/4p1Pp/p1qpP2P/8/P2B2P1/1P2Q1K1/1R6 b - - 1 29', 'move_number': 30, 'move': 'd7e8', 'prev_move': 'f1f7', 'time_diff': '0:01:47', 'exp_point_loss': 0.489}, {'turn': 'Black', 'fen': '2r1bk2/1p4p1/4p1Pp/3pP2P/1P1q4/3B2P1/4Q1K1/5R2 b - - 1 33', 'move_number': 34, 'move': 'f8e7', 'prev_move': 'b1f1', 'time_diff': '0:01:12', 'exp_point_loss': 0.2405}, {'turn': 'White', 'fen': '2r1b3/1p2k1p1/4p1Pp/3pP2P/1P3R2/3B2P1/4Q1K1/q7 w - - 4 35', 'move_number': 35, 'move': 'f4f2', 'prev_move': 'd4a1', 'time_diff': '0:00:05', 'exp_point_loss': 0.404}, {'turn': 'Black', 'fen': '4b3/1p2k1p1/4p1Pp/3pP2P/1P6/3B1QP1/5RK1/q1r5 b - - 7 36', 'move_number': 37, 'move': 'a1e5', 'prev_move': 'e2f3', 'time_diff': '0:00:57', 'exp_point_loss': 0.4965}, {'turn': 'Black', 'fen': '3kbQ2/1p4p1/4p1Pp/3pq2P/1P6/3B2P1/R5K1/2r5 b - - 3 38', 'move_number': 39, 'move': 'd8c7', 'prev_move': 'f2a2', 'time_diff': '0:01:06', 'exp_point_loss': 0.249}]","[{'turn': 'Black', 'fen': 'r4rk1/pp1b2pp/1qn1p3/3pP1bP/3N4/6P1/PPN1BPK1/R2Q1R2 b - - 3 18', 'move_number': 19, 'move': 'g5e7', 'prev_move': 'g1g2', 'time_diff': '0:17:32', 'exp_point_loss': 0.066}, {'turn': 'White', 'fen': 'r4rk1/pp1b2pp/1qn1p3/2bpP2P/3N1P2/6P1/PPN1B1K1/R2Q1R2 w - - 1 20', 'move_number': 20, 'move': 'd4f3', 'prev_move': 'e7c5', 'time_diff': '0:16:18', 'exp_point_loss': 0.09149999999999997}, {'turn': 'White', 'fen': '2r2rk1/pp1b2pp/1qn1p3/2bpP2P/5P2/5NP1/PPN1B1K1/R2Q1R2 w - - 3 21', 'move_number': 21, 'move': 'a1b1', 'prev_move': 'a8c8', 'time_diff': '0:27:16', 'exp_point_loss': 0.09549999999999997}, {'turn': 'White', 'fen': '2r2rk1/1p1b2pp/4p3/p1qpP1PP/8/P2B2P1/1P2Q1K1/1R3R2 w - - 1 28', 'move_number': 28, 'move': 'g5g6', 'prev_move': 'b6c5', 'time_diff': '0:17:59', 'exp_point_loss': 0.104}, {'turn': 'Black', 'fen': '4bQ2/1p2k1p1/4p1Pp/3pq2P/1P6/3B2P1/5RK1/2r5 b - - 1 37', 'move_number': 38, 'move': 'e7d8', 'prev_move': 'f3f8', 'time_diff': '0:39:31', 'exp_point_loss': 0}]"
116.8,144.7,2.2,1.69,34.62,17.42,Olga Zimina,Oliwia Kiolbasa,"Round 1: Zimina, Olga - Kiolbasa, Oliwia",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/jVf6FID5,1.7,2274,2388,0.0,1.0,2025.10.05,45,45,2.6,3.2,0.05,0.04,-2.2,-0.69,1,1,4,2,0,3,0,0,3,3,"[{'turn': 'Black', 'fen': 'rnbqkb1r/p1pp1pp1/1p2p2p/7n/3P4/2P1BN2/PP1NPPPP/R2QKB1R b KQkq - 3 6', 'move_number': 7, 'move': 'f7f5', 'prev_move': 'f4e3', 'time_diff': '0:05:02', 'exp_point_loss': 0.479}, {'turn': 'White', 'fen': 'rnbqkb1r/p1pp2p1/1p2p2p/5p1n/3P4/2P1BN2/PP1NPPPP/R2QKB1R w KQkq - 0 7', 'move_number': 7, 'move': 'f3e5', 'prev_move': 'f7f5', 'time_diff': '0:21:39', 'exp_point_loss': 0.44699999999999995}, {'turn': 'Black', 'fen': 'rnbqkb1r/p1pp2p1/1p2p2p/4Np1n/3P4/2P1B3/PP1NPPPP/R2QKB1R b KQkq - 1 7', 'move_number': 8, 'move': 'd8f6', 'prev_move': 'f3e5', 'time_diff': '0:18:54', 'exp_point_loss': 0.472}, {'turn': 'White', 'fen': 'rn2kb1r/pbpp2p1/1p2pq1p/4Np1n/3P2P1/2P1B3/PP1NPP1P/R2QKB1R w KQkq - 1 9', 'move_number': 9, 'move': 'd2f3', 'prev_move': 'c8b7', 'time_diff': '0:15:58', 'exp_point_loss': 0.4905}, {'turn': 'White', 'fen': '5r2/4k1p1/3pp2p/1p1n3n/3P1P1P/rP1KP3/3B1NR1/6R1 w - - 1 30', 'move_number': 30, 'move': 'd3c2', 'prev_move': 'a8a3', 'time_diff': '0:01:29', 'exp_point_loss': 0.478}, {'turn': 'Black', 'fen': '2r5/4k1p1/3pp2p/3n3n/1p1PNP1P/1r2P3/3BK3/R5R1 b - - 1 35', 'move_number': 36, 'move': 'b3a3', 'prev_move': 'g2g1', 'time_diff': '0:01:45', 'exp_point_loss': 0.44399999999999995}, {'turn': 'White', 'fen': '2r5/4k1p1/3pp2p/3n3n/1p1PNP1P/r3P3/3BK3/R5R1 w - - 2 36', 'move_number': 36, 'move': 'a1a3', 'prev_move': 'b3a3', 'time_diff': '0:02:16', 'exp_point_loss': 0.4525}]","[{'turn': 'White', 'fen': 'rnbqkb1r/p1pp2p1/1p2p2p/5p1n/3P4/2P1BN2/PP1NPPPP/R2QKB1R w KQkq - 0 7', 'move_number': 7, 'move': 'f3e5', 'prev_move': 'f7f5', 'time_diff': '0:21:39', 'exp_point_loss': 0.44699999999999995}, {'turn': 'Black', 'fen': 'rnbqkb1r/p1pp2p1/1p2p2p/4Np1n/3P4/2P1B3/PP1NPPPP/R2QKB1R b KQkq - 1 7', 'move_number': 8, 'move': 'd8f6', 'prev_move': 'f3e5', 'time_diff': '0:18:54', 'exp_point_loss': 0.472}, {'turn': 'White', 'fen': 'rn2kb1r/pbpp2p1/1p2pq1p/4Np1n/3P2P1/2P1B3/PP1NPP1P/R2QKB1R w KQkq - 1 9', 'move_number': 9, 'move': 'd2f3', 'prev_move': 'c8b7', 'time_diff': '0:15:58', 'exp_point_loss': 0.4905}, {'turn': 'Black', 'fen': 'rn2kb1r/pbpp2p1/1p2p2p/5q1n/3P2N1/2P1BN2/PP2PP1P/R2QKBR1 b Qkq - 2 11', 'move_number': 12, 'move': 'd7d6', 'prev_move': 'h1g1', 'time_diff': '0:21:07', 'exp_point_loss': 0.14100000000000001}, {'turn': 'White', 'fen': '8/6p1/3ppk1p/3n4/r2P1P1P/p2KP3/R2B4/8 w - - 2 41', 'move_number': 41, 'move': 'e3e4', 'prev_move': 'a8a4', 'time_diff': '0:19:43', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/6p1/3ppk1p/3n4/r2PPP1P/p2K4/R2B4/8 b - - 0 41', 'move_number': 42, 'move': 'd5c7', 'prev_move': 'e3e4', 'time_diff': '0:15:38', 'exp_point_loss': 0}]"
140.9,141.0,1.4,1.4,20.15,20.19,Klaudia Kulon,Tea Gueci,"Round 1: Kulon, Klaudia - Gueci, Tea",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/NQyMHOKG,1.8,2336,2175,0.5,0.5,2025.10.05,54,53,2.6,2.7,0.03,0.03,-0.9,-0.9,1,0,3,0,0,3,0,0,1,3,"[{'turn': 'Black', 'fen': '6k1/R5bp/pp4p1/2r1p3/P4p1B/2P2P2/1P4PP/6K1 b - - 1 28', 'move_number': 29, 'move': 'c5a5', 'prev_move': 'd7a7', 'time_diff': '0:00:15', 'exp_point_loss': 0.4115}, {'turn': 'White', 'fen': '6k1/7p/1R4p1/8/P4p2/1Pb5/4rBPP/6K1 w - - 1 34', 'move_number': 34, 'move': 'b3b4', 'prev_move': 'e4e2', 'time_diff': '0:04:56', 'exp_point_loss': 0.501}, {'turn': 'Black', 'fen': '6k1/7p/1R4p1/2B5/1P2Kp2/r7/3b2PP/8 b - - 5 38', 'move_number': 39, 'move': 'd2e3', 'prev_move': 'f3e4', 'time_diff': '0:00:31', 'exp_point_loss': 0.372}, {'turn': 'White', 'fen': '6k1/7p/1R4p1/2B5/1P2Kp2/r3b3/6PP/8 w - - 6 39', 'move_number': 39, 'move': 'b6b8', 'prev_move': 'd2e3', 'time_diff': '0:00:13', 'exp_point_loss': 0.391}, {'turn': 'White', 'fen': '6k1/1R5p/4K2r/4B1p1/1P3p2/4b3/8/8 w - - 2 46', 'move_number': 46, 'move': 'e6e7', 'prev_move': 'h2h6', 'time_diff': '0:00:31', 'exp_point_loss': 0.507}, {'turn': 'Black', 'fen': '6k1/3RK2p/1r6/4B1p1/1P3p2/4b3/8/8 b - - 5 47', 'move_number': 48, 'move': 'h7h6', 'prev_move': 'b7d7', 'time_diff': '0:01:42', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'r2q1rk1/pp2ppbp/2np1np1/3N4/4P1b1/2PQ1N2/PP2BPPP/R1B2RK1 b - - 0 10', 'move_number': 11, 'move': 'a8c8', 'prev_move': 'c2c3', 'time_diff': '0:19:02', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'Black', 'fen': '2rq1rk1/pp2ppbp/2np1np1/3N2B1/4P1b1/2PQ1N2/PP2BPPP/R4RK1 b - - 2 11', 'move_number': 12, 'move': 'f6d5', 'prev_move': 'c1g5', 'time_diff': '0:15:20', 'exp_point_loss': 0.018500000000000016}, {'turn': 'Black', 'fen': '1R6/5k1p/3B2p1/4K3/1P3p2/4b3/r5PP/8 b - - 11 41', 'move_number': 42, 'move': 'g6g5', 'prev_move': 'e4e5', 'time_diff': '0:26:31', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1R6/5k1p/3B4/4K1p1/1P3p2/4b3/r5PP/8 w - - 0 42', 'move_number': 42, 'move': 'e5f5', 'prev_move': 'g6g5', 'time_diff': '0:23:36', 'exp_point_loss': 0}]"
151.7,151.7,0.82,0.81,11.16,11.14,Yuliia Osmak,Olga Badelka,"Round 1: Osmak, Yuliia - Badelka, Olga",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/PD9HtKWH,1.9,2464,2377,0.5,0.5,2025.10.05,43,42,3.5,3.6,0.02,0.02,-0.32,-0.31,2,1,1,1,0,2,0,1,1,0,"[{'turn': 'Black', 'fen': '2r1r1k1/5pp1/6qp/p1bP4/P1pNP3/1p6/1P4PP/1Q1RR2K b - - 3 34', 'move_number': 35, 'move': 'c5d4', 'prev_move': 'e2d4', 'time_diff': '0:02:40', 'exp_point_loss': 0.4395}, {'turn': 'White', 'fen': '3r2k1/5pp1/3P2qp/p3P3/P2R4/1p2r3/6PP/1Q2R2K w - - 1 39', 'move_number': 39, 'move': 'd4d1', 'prev_move': 'c3e3', 'time_diff': '0:00:35', 'exp_point_loss': 0.33450000000000013}, {'turn': 'Black', 'fen': '3r2k1/5pp1/3P2qp/p3P3/P7/1p2r3/6PP/1Q1RR2K b - - 2 39', 'move_number': 40, 'move': 'e3e1', 'prev_move': 'd4d1', 'time_diff': '0:01:00', 'exp_point_loss': 0.3370000000000001}]","[{'turn': 'White', 'fen': 'r1bqrbk1/1pn2pp1/2pn3p/p2p4/3P4/P1NBP1B1/1PQ1NPPP/3RR1K1 w - - 1 16', 'move_number': 16, 'move': 'c3a4', 'prev_move': 'a6c7', 'time_diff': '0:15:50', 'exp_point_loss': 0.003500000000000003}, {'turn': 'Black', 'fen': 'r1bqrbk1/1p3pp1/2pnn2p/p2p4/N2P1N2/P2BP1B1/1PQ2PPP/3RR1K1 b - - 4 17', 'move_number': 18, 'move': 'e6f4', 'prev_move': 'e2f4', 'time_diff': '0:30:44', 'exp_point_loss': 0}]"
160.4,160.4,0.35,0.35,9.0,8.5,Jasmin-Denise Schloffer,Inna Gaponenko,"Round 1: Schloffer, Jasmin-Denise - Gaponenko, Inna",https://lichess.org/broadcast/european-team-chess-championship-2025--women/round-1/7cd0b3NS/esquB02E,1.10,2186,2340,0.5,0.5,2025.10.05,34,34,4.7,4.7,0.01,0.01,0.15,0.15,0,0,0,2,0,0,0,0,0,2,[],"[{'turn': 'Black', 'fen': 'r2qkb1r/1bpn1ppp/p3pn2/1p6/3P4/1P1BPN2/PB3PPP/RN1Q1RK1 b kq - 2 9', 'move_number': 10, 'move': 'c7c5', 'prev_move': 'c1b2', 'time_diff': '0:25:16', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r2q1rk1/1b2bppp/pn2pn2/1p2N3/3P4/1PN5/PB3PPP/1BRQ1RK1 b - - 6 14', 'move_number': 15, 'move': 'b5b4', 'prev_move': 'd3b1', 'time_diff': '0:15:31', 'exp_point_loss': 0}]"
