Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Natalia Zhukova,165.7,0.31,25.68,8,6.0,167.4,0.33,2305,2466,350,4,4,9.12,7.46,0.26,48.59,0.44,0.49,0.13,162.4,169.0,3.0,3.0,2.5,55.69,0.07,2361.37
Anna Ushenina,165.4,0.33,-2.4,8,6.0,167.9,0.22,2407,2518,399,5,3,7.7,9.97,0.39,31.01,0.42,0.11,0.7,170.4,157.0,4.0,2.0,2.65,99.4,0.15,961.32
Bozhena Piddubna,163.8,0.38,12.71,7,5.0,164.8,0.23,2265,2352,246,3,4,6.52,12.66,0.37,14.77,0.34,0.19,0.52,169.6,159.5,2.5,2.5,2.65,160.16,0.14,218.15
Ketevan Arakhamia-Grant,163.4,0.5,11.77,8,6.5,167.0,0.48,2269,2475,341,4,4,8.2,10.08,0.34,7.35,0.31,0.64,0.36,157.4,169.4,2.5,4.0,3.99,101.69,0.12,54.09
Mariam Mkrtchyan,163.3,0.42,-9.4,9,6.5,166.4,0.22,2318,2464,368,4,5,6.58,13.02,0.47,59.1,0.31,0.22,0.57,167.3,160.1,3.0,3.5,3.74,169.4,0.22,3492.69
Elena-Luminita Cosma,161.7,0.44,8.94,6,4.0,162.9,0.43,2237,2346,313,3,3,8.71,10.72,0.45,4.68,0.23,0.39,0.49,162.6,160.9,2.0,2.0,2.64,114.9,0.2,21.86
Aleksandra Milovic,160.7,0.52,41.18,8,5.5,163.9,0.44,2050,2212,342,4,4,19.39,15.54,0.47,59.84,0.17,0.67,0.36,152.1,169.4,1.5,4.0,4.12,241.34,0.22,3580.95
Ghazal Hakimifard,160.6,0.55,31.38,7,5.0,168.2,0.25,2206,2343,265,4,3,7.65,22.85,0.9,42.8,0.16,0.2,1.02,170.1,147.8,3.5,1.5,3.88,522.16,0.81,1831.73
Stavroula Tsolakidou,160.3,0.69,11.52,9,7.5,165.5,0.55,2453,2632,460,4,5,10.5,13.01,0.54,6.71,0.15,0.58,0.77,165.3,156.2,4.0,3.5,6.19,169.21,0.3,45.03
Robin Duson,160.2,0.57,10.93,7,5.0,168.2,0.43,2188,2212,266,4,3,11.73,15.5,0.5,13.64,0.14,0.42,0.78,163.8,155.4,3.0,2.0,4.0,240.28,0.25,185.94
Alina Kashlinskaya,158.7,0.66,12.44,9,6.5,165.3,0.57,2450,2556,349,5,4,11.5,14.06,0.62,6.34,0.06,0.33,1.08,168.2,146.8,4.5,2.0,5.95,197.69,0.38,40.19
