,Mean,Median,Std Dev,Min,Max
Total Moves,60544.0,60544.0,0.0,60544.0,60544.0
Total Games,648.0,648.0,0.0,648.0,648.0
avg_gi,146.4,147.7,8.79,118.0,165.7
avg_missed_points,1.09,1.06,0.37,0.31,2.49
avg_missed_points_white,1.08,1.06,0.54,0.11,3.22
avg_missed_points_black,1.07,1.03,0.51,-0.01,2.58
avg_gi_white,147.21,149.0,12.26,104.8,170.4
avg_gi_black,145.93,147.0,11.29,109.8,175.3
avg_acpl,23.79,22.72,16.75,-20.68,85.74
Elo,2198.32,2220.0,168.24,1543.0,2496.0
TPR,2183.27,2204.0,222.57,1456.0,2650.0
gi_median,148.47,147.6,9.72,119.0,168.2
missed_points_median,0.92,0.86,0.36,0.14,2.17
