white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
139.3,139.4,1.48,1.48,8.78,8.44,Vincent Keymer,Jonas Buhl Bjerre,"Round 1: Keymer, Vincent - Bjerre, Jonas Buhl",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/MIwQIswg,1.1,2755,2629,0.5,0.5,2025.09.27,50,50,2.8,2.8,0.03,0.03,-0.98,-0.98,1,0,3,0,0,3,0,0,1,0,"[{'turn': 'Black', 'fen': 'rq4k1/1b4pp/1p2pr2/pNn5/2P1p3/PP4Q1/2B2PPP/R4RK1 b - - 1 20', 'move_number': 21, 'move': 'b8f8', 'prev_move': 'g4g3', 'time_diff': '0:07:49', 'exp_point_loss': 0.3905}, {'turn': 'White', 'fen': 'r4qk1/1b4pp/1p2pr2/pNn5/2P1p3/PP4Q1/2B2PPP/R4RK1 w - - 2 21', 'move_number': 21, 'move': 'g3d6', 'prev_move': 'b8f8', 'time_diff': '0:12:18', 'exp_point_loss': 0.411}, {'turn': 'Black', 'fen': '3r1rk1/1b4pp/1p2p3/pNn5/2P1p3/PP6/2B2PPP/3R1RK1 b - - 1 23', 'move_number': 24, 'move': 'e6e5', 'prev_move': 'a1d1', 'time_diff': '0:04:18', 'exp_point_loss': 0.41450000000000004}, {'turn': 'White', 'fen': '5k2/1b4pp/1p6/pNn1p3/2P1p3/PP6/5PPP/3B2K1 w - - 1 27', 'move_number': 27, 'move': 'b3b4', 'prev_move': 'g8f8', 'time_diff': '0:04:50', 'exp_point_loss': 0.442}, {'turn': 'Black', 'fen': '5k2/1b4pp/1p6/pNn1p3/1PP1p3/P7/5PPP/3B2K1 b - - 0 27', 'move_number': 28, 'move': 'a5b4', 'prev_move': 'b3b4', 'time_diff': '0:09:10', 'exp_point_loss': 0.4705}, {'turn': 'White', 'fen': '5k2/6pp/1p6/1P2pb2/2P1N3/3n4/5PPP/3B2K1 w - - 1 32', 'move_number': 32, 'move': 'e4d2', 'prev_move': 'd7f5', 'time_diff': '0:03:07', 'exp_point_loss': 0.4285}]","[{'turn': 'White', 'fen': '8/6p1/1p4Bp/1P2p3/2nk3P/6K1/5PP1/8 w - - 0 41', 'move_number': 41, 'move': 'g6e8', 'prev_move': 'd2c4', 'time_diff': '0:17:29', 'exp_point_loss': 0}]"
165.3,165.4,0.08,0.08,8.4,7.55,Jesper Sondergaard Thybo,Rasmus Svane,"Round 1: Thybo, Jesper Sondergaard - Svane, Rasmus",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/AoDNpVbt,1.2,2578,2614,0.5,0.5,2025.10.05,20,20,8.3,8.3,0.0,0.0,0.42,0.42,0,0,0,0,0,0,0,0,1,1,[],"[{'turn': 'White', 'fen': 'r2q1rk1/1pp1bppp/p1n1pn2/6B1/P2Pb3/5NP1/1P2PPBP/RNQ2RK1 w - - 7 13', 'move_number': 13, 'move': 'e2e3', 'prev_move': 'b8c6', 'time_diff': '0:15:44', 'exp_point_loss': 0.005500000000000005}, {'turn': 'Black', 'fen': 'r2q1rk1/1pp2pp1/p3pb1p/8/PnNP4/4PNP1/1Pb2PBP/R1Q2RK1 b - - 11 20', 'move_number': 21, 'move': 'c2d3', 'prev_move': 'd1f1', 'time_diff': '0:15:17', 'exp_point_loss': 0.033500000000000085}]"
147.9,175.8,0.52,0.02,17.95,3.13,Dmitrij Kollars,Mads Andersen,"Round 1: Kollars, Dmitrij - Andersen, Mads",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/Yvqgh7yT,1.3,2642,2556,0.0,1.0,2025.10.05,39,39,3.8,4.5,0.01,0.0,-0.52,0.98,0,0,1,0,0,0,0,0,1,1,"[{'turn': 'White', 'fen': '2rq1bk1/p4pp1/3Pb2p/1pn5/3pN3/NP1B4/P4PPP/3RQ1K1 w - - 2 21', 'move_number': 21, 'move': 'a3b5', 'prev_move': 'a6c5', 'time_diff': '0:12:49', 'exp_point_loss': 0.5035000000000001}]","[{'turn': 'Black', 'fen': 'rnb2bk1/pp3pp1/5q1p/3P4/2Np4/3B4/PP1N1PPP/R3Q1K1 b - - 1 15', 'move_number': 16, 'move': 'b8a6', 'prev_move': 'b1d2', 'time_diff': '0:20:23', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'White', 'fen': 'r1b2bk1/pp3pp1/n4q1p/3P4/2Np4/3B4/PP1N1PPP/R3Q1K1 w - - 2 16', 'move_number': 16, 'move': 'd2e4', 'prev_move': 'b8a6', 'time_diff': '0:16:43', 'exp_point_loss': 0.0010000000000000009}]"
122.8,122.9,2.38,2.37,24.07,23.65,Bjorn Moller Ochsner,Frederik Svane,"Round 1: Ochsner, Bjorn Moller - Svane, Frederik",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/TDpsNLI8,1.4,2461,2638,0.5,0.5,2025.10.05,43,43,2.9,2.9,0.06,0.06,-1.88,-1.87,5,2,4,3,1,5,0,1,1,2,"[{'turn': 'White', 'fen': 'r5k1/1q2bppp/pBn1bn2/P2pp1N1/1p6/1B3P2/1PP3PP/R2QR1K1 w - - 1 22', 'move_number': 22, 'move': 'f3f4', 'prev_move': 'g4e6', 'time_diff': '0:08:59', 'exp_point_loss': 0.4295}, {'turn': 'Black', 'fen': 'r5k1/1q2bppp/pBn1bn2/P2pp1N1/1p3P2/1B6/1PP3PP/R2QR1K1 b - - 0 22', 'move_number': 23, 'move': 'e7d8', 'prev_move': 'f3f4', 'time_diff': '0:02:26', 'exp_point_loss': 0.4295}, {'turn': 'Black', 'fen': '3r2k1/q5pp/p1n1p3/P3P3/1p2p1Q1/1B6/1PP3PP/R6K b - - 1 28', 'move_number': 29, 'move': 'a7d4', 'prev_move': 'd1g4', 'time_diff': '0:00:08', 'exp_point_loss': 0.272}, {'turn': 'White', 'fen': '3r2k1/6pp/p1n1p3/P3P3/1p1qp1Q1/1B6/1PP3PP/R6K w - - 2 29', 'move_number': 29, 'move': 'h2h3', 'prev_move': 'a7d4', 'time_diff': '0:01:27', 'exp_point_loss': 0.4595}, {'turn': 'Black', 'fen': '3r2k1/6pp/p1n1p3/P3P3/1p1qp1Q1/1B5P/1PP3P1/R6K b - - 0 29', 'move_number': 30, 'move': 'g8h8', 'prev_move': 'h2h3', 'time_diff': '0:02:25', 'exp_point_loss': 0.322}, {'turn': 'Black', 'fen': '3r3k/6pp/p3B3/n3q3/1p2Q3/7P/1PP3P1/4R2K b - - 0 32', 'move_number': 33, 'move': 'e5b2', 'prev_move': 'g4e4', 'time_diff': '0:00:34', 'exp_point_loss': 0.4075}, {'turn': 'White', 'fen': '3r3k/6pp/p4q2/n7/1pB1Q3/7P/2P3P1/4R2K w - - 2 34', 'move_number': 34, 'move': 'c4a6', 'prev_move': 'b2f6', 'time_diff': '0:00:23', 'exp_point_loss': 0.475}, {'turn': 'Black', 'fen': '3r3k/7p/5qp1/n7/1p2Q3/3B3P/2P3P1/4R2K b - - 1 35', 'move_number': 36, 'move': 'b4b3', 'prev_move': 'a6d3', 'time_diff': '0:00:29', 'exp_point_loss': 0.493}, {'turn': 'White', 'fen': '3r3k/7p/5qp1/n7/4Q3/1p1B3P/2P3P1/4R2K w - - 0 36', 'move_number': 36, 'move': 'c2b3', 'prev_move': 'b4b3', 'time_diff': '0:00:11', 'exp_point_loss': 0.492}]","[{'turn': 'White', 'fen': 'r2q1rk1/4bppp/p1npbn2/1p2p3/4P3/2N1BN2/PPP2PPP/R2QRBK1 w - - 2 12', 'move_number': 12, 'move': 'a2a4', 'prev_move': 'c8e6', 'time_diff': '0:15:54', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r2q1rk1/4bppp/p1npbn2/3Np3/Pp2P3/4BN2/1PP2PPP/R2QRBK1 b - - 1 13', 'move_number': 14, 'move': 'f6e4', 'prev_move': 'c3d5', 'time_diff': '0:27:59', 'exp_point_loss': 0.14250000000000002}, {'turn': 'Black', 'fen': 'r5k1/1q1bbppp/pBn2n2/P2pp1N1/1p6/1B6/1PP2PPP/R2QR1K1 b - - 1 20', 'move_number': 21, 'move': 'd7g4', 'prev_move': 'c4b3', 'time_diff': '0:15:37', 'exp_point_loss': 0.006500000000000002}, {'turn': 'Black', 'fen': 'r5k1/1q2bppp/pBn2n2/P2pp1N1/1p4b1/1B3P2/1PP3PP/R2QR1K1 b - - 0 21', 'move_number': 22, 'move': 'g4e6', 'prev_move': 'f2f3', 'time_diff': '0:32:21', 'exp_point_loss': 0.017}]"
135.1,163.0,1.21,0.71,24.84,11.03,Arkadij Naiditsch,Anish Giri,"Round 1: Naiditsch, Arkadij - Giri, Anish",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/5OhsnRHX,1.5,2587,2759,0.0,1.0,2025.10.05,38,38,3.6,4.3,0.03,0.02,-1.21,0.29,0,0,3,3,0,1,0,0,1,1,"[{'turn': 'White', 'fen': 'r1b2rk1/1p1n1pb1/p4npp/q3p3/4P2B/2N2N2/PPP1Q1PP/1K1R1B1R w - - 6 14', 'move_number': 14, 'move': 'c3d5', 'prev_move': 'e8g8', 'time_diff': '0:06:15', 'exp_point_loss': 0.411}, {'turn': 'White', 'fen': 'r1b2rk1/5pb1/pn4pp/qp1Rp3/4P2B/4QN2/PPP3PP/1K3B1R w - - 2 17', 'move_number': 17, 'move': 'd5e5', 'prev_move': 'd7b6', 'time_diff': '0:13:15', 'exp_point_loss': 0.36050000000000004}, {'turn': 'Black', 'fen': 'r1b2rk1/5pb1/p5pp/qp2R3/n3P3/4QN2/PPP3PP/1K2BB1R b - - 2 18', 'move_number': 19, 'move': 'a5d8', 'prev_move': 'h4e1', 'time_diff': '0:14:10', 'exp_point_loss': 0.33999999999999997}, {'turn': 'White', 'fen': '4r1k1/2q2pb1/p5pp/1p1bP3/n7/P3QN2/1PP3PP/1K1BBR2 w - - 1 26', 'move_number': 26, 'move': 'e3f2', 'prev_move': 'e7c7', 'time_diff': '0:06:29', 'exp_point_loss': 0.49349999999999994}]","[{'turn': 'White', 'fen': 'r1b2rk1/3n1pb1/p5pp/qp1Rp3/4P2B/5N2/PPP1Q1PP/1K3B1R w - - 0 16', 'move_number': 16, 'move': 'e2e3', 'prev_move': 'b7b5', 'time_diff': '0:22:27', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'r1b2rk1/3n1pb1/p5pp/qp1Rp3/4P2B/4QN2/PPP3PP/1K3B1R b - - 1 16', 'move_number': 17, 'move': 'd7b6', 'prev_move': 'e2e3', 'time_diff': '0:27:17', 'exp_point_loss': 0.12}]"
168.8,141.1,0.39,0.89,4.05,16.85,Jorden Van Foreest,Martin Petrov,"Round 1: Van Foreest, Jorden - Petrov, Martin",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/hPUhITPz,1.6,2697,2540,1.0,0.0,2025.10.05,41,40,4.1,3.5,0.01,0.02,0.61,-0.89,1,0,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '1n1qrbk1/1r1n1ppp/b1p1p3/p2p4/P2PPN1P/1P1N2P1/2QB1PB1/1R2R1K1 b - - 2 21', 'move_number': 22, 'move': 'd5e4', 'prev_move': 'e3d2', 'time_diff': '0:03:22', 'exp_point_loss': 0.231}, {'turn': 'White', 'fen': '3q1bk1/4rppp/n1B1p3/p7/Pr1P1N1P/1P4P1/2Q2P2/1R2R1K1 w - - 1 28', 'move_number': 28, 'move': 'd4d5', 'prev_move': 'e8e7', 'time_diff': '0:00:18', 'exp_point_loss': 0.336}, {'turn': 'Black', 'fen': '3q1bk1/4rppp/1rB1p3/p2P4/PnQ2N1P/1P4P1/5P2/3RR1K1 b - - 4 30', 'move_number': 31, 'move': 'b4c6', 'prev_move': 'c2c4', 'time_diff': '0:01:24', 'exp_point_loss': 0.477}]",[]
159.9,160.0,0.38,0.37,9.26,9.0,Momchil Petkov,Max Warmerdam,"Round 1: Petkov, Momchil - Warmerdam, Max",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/F9SWr8fV,1.7,2509,2582,0.5,0.5,2025.10.05,34,33,4.7,4.8,0.01,0.01,0.12,0.13,0,0,1,0,0,1,0,0,2,2,"[{'turn': 'Black', 'fen': 'r2qr1k1/3nbpp1/p1n1b2p/P3p3/Bp2P3/3PBN1P/3N1PP1/R2Q1RK1 b - - 2 19', 'move_number': 20, 'move': 'c6a5', 'prev_move': 'c2a4', 'time_diff': '0:15:58', 'exp_point_loss': 0.25849999999999995}, {'turn': 'White', 'fen': 'r2qr1k1/3nbpp1/p3b2p/n3p3/Bp2P3/3PBN1P/3N1PP1/R2Q1RK1 w - - 0 20', 'move_number': 20, 'move': 'f3e5', 'prev_move': 'c6a5', 'time_diff': '0:03:16', 'exp_point_loss': 0.31900000000000006}]","[{'turn': 'White', 'fen': 'r2qr1k1/4bpp1/p1npbn1p/1pp1p3/1P2P3/P1PPBN1P/2BN1PP1/R2Q1RK1 w - - 1 15', 'move_number': 15, 'move': 'b4c5', 'prev_move': 'c8e6', 'time_diff': '0:15:34', 'exp_point_loss': 0.00649999999999995}, {'turn': 'White', 'fen': 'r2qr1k1/3nbpp1/p1n1b2p/P3p3/1p2P3/3PBN1P/2BN1PP1/R2Q1RK1 w - - 1 19', 'move_number': 19, 'move': 'c2a4', 'prev_move': 'f6d7', 'time_diff': '0:20:41', 'exp_point_loss': 0.0044999999999999485}, {'turn': 'Black', 'fen': 'r2qr1k1/3nbpp1/p1n1b2p/P3p3/Bp2P3/3PBN1P/3N1PP1/R2Q1RK1 b - - 2 19', 'move_number': 20, 'move': 'c6a5', 'prev_move': 'c2a4', 'time_diff': '0:15:58', 'exp_point_loss': 0.25849999999999995}, {'turn': 'Black', 'fen': 'r2q2k1/5pp1/p3b2p/4P3/B3P3/2Q4P/3n1PP1/3R2K1 b - - 1 28', 'move_number': 29, 'move': 'a8c8', 'prev_move': 'a1c3', 'time_diff': '0:19:20', 'exp_point_loss': 0.0010000000000000009}]"
175.9,148.2,0.01,0.51,11.93,33.24,Erwin L'Ami,Radoslav Dimitrov,"Round 1: L'Ami, Erwin - Dimitrov, Radoslav",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/zNTT1JlT,1.8,2615,2496,1.0,0.0,2025.10.05,30,29,5.9,5.1,0.0,0.02,0.99,-0.51,0,0,0,1,0,1,0,1,0,1,"[{'turn': 'Black', 'fen': 'r3k1nr/bp1q1ppp/p1npb3/4p3/4PP2/1NNB2B1/PPPQ2PP/2KR3R b kq - 0 12', 'move_number': 13, 'move': 'g8e7', 'prev_move': 'f2f4', 'time_diff': '0:35:39', 'exp_point_loss': 0.3275}]","[{'turn': 'Black', 'fen': 'r3k1nr/bp1q1ppp/p1npb3/4p3/4PP2/1NNB2B1/PPPQ2PP/2KR3R b kq - 0 12', 'move_number': 13, 'move': 'g8e7', 'prev_move': 'f2f4', 'time_diff': '0:35:39', 'exp_point_loss': 0.3275}, {'turn': 'Black', 'fen': 'r3k2r/bp1qnppp/p1np4/4pP2/4P3/1PNB2B1/1PPQ2PP/2KR3R b kq - 0 14', 'move_number': 15, 'move': 'f7f6', 'prev_move': 'a2b3', 'time_diff': '0:25:32', 'exp_point_loss': 0.024499999999999997}]"
163.4,163.5,0.19,0.18,4.78,4.5,Peter Leko,Mikheil Mchedlishvili,"Round 1: Leko, Peter - Mchedlishvili, Mikheil",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/SyV5P0K8,1.9,2666,2562,0.5,0.5,2025.10.05,49,48,3.3,3.4,0.0,0.0,0.31,0.32,1,0,0,1,0,0,0,0,1,2,[],"[{'turn': 'Black', 'fen': 'r4rk1/2p1bppp/p1n5/1p1qPb2/3B4/1PPp1N2/1P3PPP/RB1QR1K1 b - - 6 17', 'move_number': 18, 'move': 'f8d8', 'prev_move': 'f1e1', 'time_diff': '0:20:56', 'exp_point_loss': 0.01100000000000001}, {'turn': 'Black', 'fen': 'r2r2k1/4bpp1/p6p/1p1qP3/3p4/1P1Q1N1P/1P2RPP1/R5K1 b - - 0 23', 'move_number': 24, 'move': 'd5e6', 'prev_move': 'h2h3', 'time_diff': '0:17:28', 'exp_point_loss': 0.0025000000000000022}, {'turn': 'White', 'fen': '4rk2/2b3p1/7p/4P3/3p4/1p1N2PP/1Pr3RK/R7 w - - 5 41', 'move_number': 41, 'move': 'a1a3', 'prev_move': 'b6c7', 'time_diff': '0:17:26', 'exp_point_loss': 0}]"
161.1,161.2,0.31,0.3,4.57,4.2,Nikolozi Kacharava,Tamas Banusz,"Round 1: Kacharava, Nikolozi - Banusz, Tamas",https://lichess.org/broadcast/european-team-chess-championship-2025--open/round-1/JA38IIQd/DpxYtt4M,1.10,2486,2588,0.5,0.5,2025.10.05,49,49,3.3,3.3,0.01,0.01,0.19,0.2,0,1,0,2,0,0,0,0,1,1,[],"[{'turn': 'Black', 'fen': 'r3k1n1/1p1bbp1r/pq6/2p1Q2p/2B1P3/2P1B2p/PP1N1PP1/R3R1K1 b q - 3 16', 'move_number': 17, 'move': 'b6g6', 'prev_move': 'b1d2', 'time_diff': '0:16:00', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/4k3/p1R5/5p1p/8/r1P3P1/5K2/8 w - - 0 41', 'move_number': 41, 'move': 'f2e3', 'prev_move': 'a4a3', 'time_diff': '0:22:19', 'exp_point_loss': 0}]"
