Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Laurent Fressinet,168.6,0.09,3.86,8,5.5,166.4,0.04,2602,2684,304,5,3,3.38,5.61,0.14,2.41,0.59,0.08,0.12,167.2,170.8,3.0,2.5,0.75,31.42,0.02,5.82
Nils Grandelius,165.2,0.34,8.3,8,6.0,166.0,0.1,2645,2747,371,4,4,4.94,9.54,0.42,8.99,0.41,0.45,0.23,165.4,165.0,3.5,2.5,2.72,90.99,0.18,80.79
Erwin L'Ami,165.1,0.17,5.36,7,4.0,165.6,0.07,2615,2627,326,4,3,3.95,6.54,0.25,3.43,0.4,0.08,0.29,167.7,161.5,2.5,1.5,1.18,42.77,0.06,11.77
Igor Kovalenko,164.7,0.42,11.59,8,6.5,165.6,0.18,2669,2830,494,5,3,6.07,9.36,0.58,11.93,0.39,0.59,0.14,161.4,170.4,4.0,2.5,3.4,87.7,0.34,142.25
Filip Magold,164.2,0.31,8.12,3,2.0,166.4,0.19,2459,2599,114,1,2,6.63,9.69,0.36,5.36,0.36,0.19,0.36,172.6,160.0,1.0,1.0,0.92,93.88,0.13,28.71
Noe Tutisani,163.8,0.31,2.43,7,4.5,163.8,0.28,2424,2595,287,3,4,7.1,9.53,0.16,24.89,0.34,0.31,0.3,161.0,165.8,1.5,3.0,2.15,90.9,0.03,619.68
Liviu-Dieter Nisipeanu,163.7,0.17,4.74,7,3.5,165.9,0.05,2577,2626,281,4,3,4.48,3.39,0.18,3.03,0.33,0.08,0.29,165.3,161.5,2.0,1.5,1.19,11.46,0.03,9.17
Radoslaw Wojtaszek,163.0,0.33,4.63,8,5.0,166.0,0.08,2654,2703,277,4,4,3.17,12.17,0.61,4.28,0.29,0.2,0.47,167.8,158.1,3.0,2.0,2.66,148.17,0.38,18.34
Richard Rapport,162.9,0.5,12.89,7,5.5,164.3,0.6,2724,2864,338,4,3,13.33,7.14,0.34,6.09,0.29,0.55,0.43,163.6,162.0,3.5,2.0,3.48,50.99,0.12,37.06
Andrei Volokitin,162.8,0.22,9.62,6,3.0,166.2,0.08,2617,2628,229,4,2,3.69,9.3,0.34,15.89,0.28,0.24,0.18,162.4,163.4,2.0,1.0,1.33,86.44,0.12,252.36
Nikita Vitiugov,162.5,0.3,5.44,8,4.5,165.8,0.08,2654,2680,292,5,3,4.07,10.56,0.51,3.96,0.27,0.45,0.04,160.3,166.1,3.0,1.5,2.37,111.45,0.26,15.69
Robert Hovhannisyan,162.5,0.24,4.59,8,4.0,166.1,0.04,2633,2594,380,3,5,1.83,10.08,0.4,6.09,0.26,0.24,0.24,165.6,160.6,2.0,2.0,1.89,101.67,0.16,37.07
Aleksandar Indjic,162.2,0.44,11.92,8,5.5,166.4,0.25,2618,2761,343,5,3,7.34,13.2,0.51,48.34,0.25,0.32,0.63,164.6,158.2,3.5,2.0,3.52,174.12,0.26,2336.85
Robert Markus,162.0,0.39,15.6,4,2.5,167.4,0.22,2535,2613,130,2,2,7.14,16.61,0.48,19.72,0.24,0.22,0.56,167.4,156.4,1.5,1.0,1.55,275.92,0.23,388.99
Ruslan Ponomariov,161.8,0.27,6.13,8,4.0,164.9,0.11,2633,2683,312,4,4,5.32,5.68,0.31,4.81,0.23,0.33,0.22,160.7,162.9,2.0,2.0,2.18,32.26,0.09,23.15
Alexey Sarana,161.7,0.39,19.65,9,5.5,165.3,0.09,2661,2712,433,3,6,7.11,9.07,0.46,26.07,0.22,0.6,0.28,155.8,164.6,1.5,4.0,3.5,82.24,0.21,679.65
Dmitrii Gubin,161.5,0.43,36.09,7,4.5,165.1,0.29,2275,2527,346,4,3,8.45,16.74,0.59,69.0,0.21,0.6,0.21,158.0,166.1,2.5,2.0,3.02,280.3,0.34,4760.38
