,Mean,Median,Std Dev,Min,Max
Total Moves,67360.0,67360.0,0.0,67360.0,67360.0
Total Games,720.0,720.0,0.0,720.0,720.0
avg_gi,152.62,153.7,7.99,114.4,168.6
avg_missed_points,0.76,0.74,0.34,0.09,2.43
avg_missed_points_white,0.74,0.68,0.43,0.05,3.5
avg_missed_points_black,0.78,0.71,0.46,0.04,3.21
avg_gi_white,153.88,155.1,10.13,92.5,172.6
avg_gi_black,151.44,153.2,10.2,107.3,170.8
avg_acpl,15.79,13.52,11.02,-15.45,65.47
Elo,2500.37,2533.0,149.52,1839.0,2759.0
TPR,2491.38,2524.0,177.87,1861.0,2864.0
gi_median,155.37,157.7,9.71,116.8,169.6
missed_points_median,0.62,0.6,0.37,0.04,2.3
