white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
164.0,164.1,0.15,0.15,3.06,2.57,Jeffery Xiong,Praggnanandhaa R,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/otpsBzDM,1.1,2640,2785,0.5,0.5,????.??.??,31,30,5.3,5.5,0.0,0.0,0.35,0.35,2,0,0,1,0,0,0,1,1,0,[],"[{'turn': 'Black', 'fen': 'r1b2rk1/1pp1qppp/p2b1n2/3Pn3/5B2/5N2/PP2BPPP/RN1QR1K1 b - - 8 12', 'move_number': 13, 'move': 'e5f3', 'prev_move': 'c1f4', 'time_diff': '0:30:14', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1r1rn1k1/2pb1pp1/p6p/Np1PR3/8/2R2B1P/PP3PP1/6K1 w - - 1 24', 'move_number': 24, 'move': 'b2b4', 'prev_move': 'f6e8', 'time_diff': '0:16:10', 'exp_point_loss': 0.08049999999999996}]"
143.2,143.3,1.27,1.27,11.04,11.02,Erigaisi Arjun,Maksim Chigaev,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/WyzgaEuN,1.2,2771,2638,0.5,0.5,????.??.??,54,53,2.7,2.7,0.02,0.02,-0.77,-0.77,0,0,3,0,0,3,0,0,3,3,"[{'turn': 'White', 'fen': 'r3q2k/p1p3p1/bb2rp1p/N7/4P3/6P1/PPQ1PP1P/R2RB1K1 w - - 3 24', 'move_number': 24, 'move': 'b2b3', 'prev_move': 'c8a6', 'time_diff': '0:02:22', 'exp_point_loss': 0.32900000000000007}, {'turn': 'Black', 'fen': 'r3q2k/p1p3p1/bb3p1p/N3r3/1P6/4P1P1/P1Q2P1P/R2RB1K1 b - - 0 26', 'move_number': 27, 'move': 'b6a5', 'prev_move': 'b3b4', 'time_diff': '0:02:14', 'exp_point_loss': 0.3114999999999999}, {'turn': 'White', 'fen': 'r3q2k/pbp3p1/5p1p/P3r3/8/4P1P1/P1Q2P1P/R2RB1K1 w - - 1 28', 'move_number': 28, 'move': 'c2c7', 'prev_move': 'a6b7', 'time_diff': '0:02:58', 'exp_point_loss': 0.38550000000000006}, {'turn': 'Black', 'fen': 'r3q2k/pbQ3p1/5p1p/P3r3/8/4P1P1/P4P1P/R2RB1K1 b - - 0 28', 'move_number': 29, 'move': 'e5e7', 'prev_move': 'c2c7', 'time_diff': '0:01:06', 'exp_point_loss': 0.4025000000000001}, {'turn': 'White', 'fen': 'r3q2k/pbQ1r1p1/5p1p/P7/8/4P1P1/P4P1P/R2RB1K1 w - - 1 29', 'move_number': 29, 'move': 'c7d6', 'prev_move': 'e5e7', 'time_diff': '0:02:00', 'exp_point_loss': 0.4145}, {'turn': 'Black', 'fen': 'r3q2k/pb2r1p1/3Q1p1p/P7/8/4P1P1/P4P1P/R2RB1K1 b - - 2 29', 'move_number': 30, 'move': 'b7f3', 'prev_move': 'c7d6', 'time_diff': '0:02:08', 'exp_point_loss': 0.4175}]","[{'turn': 'Black', 'fen': 'r1br2k1/p1p1qpp1/2p4p/2b1p3/Q7/2BP2P1/PP1NPP1P/R4RK1 b - - 1 14', 'move_number': 15, 'move': 'a8b8', 'prev_move': 'd1a4', 'time_diff': '0:18:13', 'exp_point_loss': 0.009500000000000008}, {'turn': 'White', 'fen': '1rbr2k1/p1p1qpp1/1bp4p/4p3/Q7/2BP2P1/PP1NPP1P/R1R3K1 w - - 4 16', 'move_number': 16, 'move': 'd2c4', 'prev_move': 'c5b6', 'time_diff': '0:16:33', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '1rbr2k1/p1p1qpp1/1bp4p/4p3/Q1N5/2BP2P1/PP2PP1P/R1R3K1 b - - 5 16', 'move_number': 17, 'move': 'f7f6', 'prev_move': 'd2c4', 'time_diff': '0:18:11', 'exp_point_loss': 0.003500000000000003}, {'turn': 'White', 'fen': '1rbr3k/p1p1q1p1/1bp2p1p/N3p3/Q7/2BP2P1/PP2PP1P/R1R3K1 w - - 2 18', 'move_number': 18, 'move': 'a5c6', 'prev_move': 'g8h8', 'time_diff': '0:21:32', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '8/p5pk/P2r1p1p/4q3/4P2P/Q5P1/5P2/R5K1 b - - 0 42', 'move_number': 43, 'move': 'd6e6', 'prev_move': 'h3h4', 'time_diff': '0:15:04', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/p5pk/P3rp1p/4q3/4P2P/Q5P1/5P2/R5K1 w - - 1 43', 'move_number': 43, 'move': 'a1e1', 'prev_move': 'd6e6', 'time_diff': '0:17:28', 'exp_point_loss': 0}]"
149.7,177.7,0.42,-0.08,14.62,1.47,Etienne Bacrot,Gukesh D,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/X2jCDICf,1.3,2637,2767,0.0,1.0,????.??.??,45,45,3.3,3.9,0.01,-0.0,-0.42,1.08,0,0,1,0,0,0,0,0,1,1,"[{'turn': 'White', 'fen': '6kb/2q2p2/1p2p1np/1BnpP1pN/3Bb3/2P2N1P/rP2QPP1/4R1K1 w - - 11 30', 'move_number': 30, 'move': 'f3d2', 'prev_move': 'g7h8', 'time_diff': '0:03:55', 'exp_point_loss': 0.4515}]","[{'turn': 'White', 'fen': '2rq1rk1/p2nnpb1/1pp1p2p/3pPbp1/P2P4/1N2BN1P/1PP1BPP1/R2QR1K1 w - - 2 13', 'move_number': 13, 'move': 'a4a5', 'prev_move': 'a8c8', 'time_diff': '0:18:57', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '3q1rk1/2rnnpb1/Bp2p2p/2ppPbp1/3P4/1NP1BN1P/1P3PP1/R2QR1K1 b - - 0 16', 'move_number': 17, 'move': 'c5d4', 'prev_move': 'c2c3', 'time_diff': '0:29:35', 'exp_point_loss': 0.0020000000000000018}]"
171.0,143.2,0.28,0.78,6.98,21.98,Alireza Firouzja,Bassem Amin,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/5szptgQu,1.4,2754,2636,1.0,0.0,????.??.??,65,65,2.6,2.2,0.0,0.01,0.72,-0.78,0,1,0,2,0,1,1,1,2,0,"[{'turn': 'Black', 'fen': '1n6/2pn3p/3p4/1P1Pp1P1/N3P3/3KBk2/8/8 b - - 2 44', 'move_number': 45, 'move': 'd7f8', 'prev_move': 'c4d3', 'time_diff': '0:06:21', 'exp_point_loss': 0.498}]","[{'turn': 'White', 'fen': '5r1k/1pp4p/n2p4/p1nPprb1/2P1p1RP/2N1B3/PP1K1P2/6R1 w - - 0 24', 'move_number': 24, 'move': 'g4g5', 'prev_move': 'h6g5', 'time_diff': '0:19:42', 'exp_point_loss': 0.010000000000000009}, {'turn': 'White', 'fen': '1n3n2/2p4p/3p4/1P1Pp1P1/N3P3/3KBk2/8/8 w - - 3 45', 'move_number': 45, 'move': 'e3d2', 'prev_move': 'd7f8', 'time_diff': '0:35:53', 'exp_point_loss': 0.0005}, {'turn': 'Black', 'fen': '1n6/1P5p/3P4/3K1kP1/8/8/4pB2/8 b - - 6 61', 'move_number': 62, 'move': 'b8d7', 'prev_move': 'e1f2', 'time_diff': '0:35:09', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/1P1n3p/3P4/3K1kP1/8/8/4pB2/8 w - - 7 62', 'move_number': 62, 'move': 'd5c6', 'prev_move': 'b8d7', 'time_diff': '0:27:07', 'exp_point_loss': 0}]"
164.8,164.9,0.11,0.1,3.97,3.57,Ediz Gurel,Vincent Keymer,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/vGzPGKAH,1.5,2631,2751,0.5,0.5,????.??.??,36,35,4.6,4.7,0.0,0.0,0.39,0.4,0,0,0,0,0,0,0,1,1,0,[],"[{'turn': 'Black', 'fen': '2kr3r/1ppbnppp/p1pq4/7Q/4P3/1NN5/PPP2PPP/R4RK1 b - - 5 12', 'move_number': 13, 'move': 'e7g6', 'prev_move': 'd1h5', 'time_diff': '0:38:27', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2k4r/1ppb1ppp/p1p5/4n3/3NP3/2N2P2/PPP2KPP/5R2 w - - 3 19', 'move_number': 19, 'move': 'c3d1', 'prev_move': 'g6e5', 'time_diff': '0:17:08', 'exp_point_loss': 0.02999999999999997}]"
161.7,134.0,0.78,1.27,8.11,26.6,Nodirbek Abdusattorov,Velimir Ivic,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/bdQ4GbbD,1.6,2748,2630,1.0,0.0,????.??.??,54,53,3.0,2.5,0.01,0.02,0.22,-1.27,0,1,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '1qr3k1/7p/P1Bp2p1/3Pbp2/1r6/8/4Q1PP/2R3BK b - - 0 34', 'move_number': 35, 'move': 'b4b1', 'prev_move': 'f1c1', 'time_diff': '0:07:01', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '1qr3k1/7p/P1Bp2p1/3Pbp2/8/8/4Q1PP/1rR3BK w - - 1 35', 'move_number': 35, 'move': 'e2f1', 'prev_move': 'b4b1', 'time_diff': '0:02:59', 'exp_point_loss': 0.496}, {'turn': 'Black', 'fen': '1qr3k1/7p/P1Bp2p1/3Pbp2/8/8/6PP/1rR2QBK b - - 2 35', 'move_number': 36, 'move': 'b1c1', 'prev_move': 'e2f1', 'time_diff': '0:00:09', 'exp_point_loss': 0.496}]",[]
131.2,159.1,1.42,0.92,29.93,11.65,Robert Hovhannisyan,Anish Giri,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/ifnQyP6O,1.7,2629,2746,0.0,1.0,????.??.??,40,40,3.3,4.0,0.04,0.02,-1.42,0.08,3,1,2,4,0,1,0,0,0,1,"[{'turn': 'White', 'fen': '2r1k2r/2q1bpp1/pnbp1n2/1p2pPN1/4P3/2N1B3/PPP1Q1B1/1KR3R1 w - - 4 21', 'move_number': 21, 'move': 'e3b6', 'prev_move': 'd7b6', 'time_diff': '0:11:18', 'exp_point_loss': 0.44999999999999996}, {'turn': 'Black', 'fen': '2r1kr2/5pp1/1q1p1b2/p2PpP2/1p2B3/6R1/PPP1Q3/1K5R b - - 4 29', 'move_number': 30, 'move': 'c8c3', 'prev_move': 'g1g3', 'time_diff': '0:03:12', 'exp_point_loss': 0.3215}, {'turn': 'White', 'fen': '5r2/4kpp1/1q1p1b2/p2PpP2/4B3/1Pp5/P1P1Q3/1K5R w - - 1 32', 'move_number': 32, 'move': 'e2c4', 'prev_move': 'e8e7', 'time_diff': '0:03:51', 'exp_point_loss': 0.4115}]","[{'turn': 'Black', 'fen': 'rn1qk2r/1p1bbppp/p2p1n2/4pP2/4P1P1/1NN1B3/PPP4P/R2QKB1R b KQkq - 0 10', 'move_number': 11, 'move': 'h7h5', 'prev_move': 'g2g4', 'time_diff': '0:18:00', 'exp_point_loss': 0}]"
166.5,166.6,0.02,0.01,1.69,1.35,Levon Aronian,Haik M. Martirosyan,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/8fcheWrL,1.8,2744,2628,0.5,0.5,????.??.??,32,31,5.2,5.4,0.0,0.0,0.48,0.49,0,0,0,0,0,0,0,0,0,0,[],[]
164.9,165.0,0.11,0.1,3.32,2.92,Andrei Volokitin,Ian Nepomniachtchi,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/yVoNQaOP,1.9,2628,2742,0.5,0.5,????.??.??,37,36,4.5,4.6,0.0,0.0,0.39,0.4,1,0,0,0,0,0,1,0,1,0,[],"[{'turn': 'White', 'fen': 'r2qr1k1/2pb1pb1/p1np1npp/1p2p3/P3P3/2PP1NN1/1PB2PPP/R1BQR1K1 w - - 2 15', 'move_number': 15, 'move': 'h2h3', 'prev_move': 'f8g7', 'time_diff': '0:23:15', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r2qr1k1/2pb1pb1/p1n2npp/1p1pp3/P3P3/2PP1NNP/1PB2PP1/R1BQR1K1 w - - 0 16', 'move_number': 16, 'move': 'd3d4', 'prev_move': 'd6d5', 'time_diff': '0:35:04', 'exp_point_loss': 0.07550000000000001}]"
162.7,162.8,0.22,0.22,9.76,9.08,Shakhriyar Mamedyarov,Ivan Cheparinov,FIDE Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--open/round-1/xSCoiNg0/naheFMpd,1.10,2741,2627,0.5,0.5,????.??.??,25,25,6.5,6.5,0.01,0.01,0.28,0.28,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': '2rq1rk1/1b2bpp1/p3pn1p/2p4N/Pp1P4/1P2P3/1BQ2PPP/1BR2RK1 b - - 7 19', 'move_number': 20, 'move': 'f6e4', 'prev_move': 'g3h5', 'time_diff': '0:15:38', 'exp_point_loss': 0.06049999999999994}]"
