Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Matthias Bluebaum,165.7,0.24,4.83,11,7.5,165.7,0.06,2671,2818,444,6,5,4.58,6.87,0.32,3.54,0.44,0.06,0.47,168.9,161.9,4.0,3.5,2.69,47.24,0.1,12.52
Samuel Sevian,165.7,0.2,5.26,11,7.0,166.1,0.06,2692,2726,499,6,5,3.97,9.52,0.24,3.83,0.44,0.12,0.29,167.7,163.3,4.0,3.0,2.18,90.71,0.06,14.64
Narayanan_S L,164.6,0.16,4.75,11,6.0,165.4,0.08,2591,2680,345,6,5,4.4,2.25,0.24,2.78,0.38,0.05,0.3,165.9,163.1,3.0,3.0,1.81,5.05,0.06,7.75
Alexei Shirov,163.7,0.26,8.7,11,6.5,165.4,0.13,2616,2746,443,6,5,5.73,7.67,0.32,8.43,0.33,0.15,0.39,167.1,159.6,4.0,2.5,2.84,58.84,0.1,71.14
Maxime Vachier-Lagrave,163.5,0.31,13.16,11,7.0,166.0,0.05,2738,2726,488,6,5,3.94,13.57,0.47,15.25,0.32,0.38,0.24,164.5,162.4,4.5,2.5,3.46,184.23,0.22,232.42
Ian Nepomniachtchi,163.0,0.25,14.12,11,6.0,165.0,0.1,2742,2673,560,5,6,2.98,8.46,0.3,30.9,0.29,0.36,0.16,162.0,163.8,3.0,3.0,2.79,71.65,0.09,954.73
Abhimanyu Mishra,163.0,0.34,5.85,11,7.0,165.3,0.4,2611,2823,597,5,6,3.1,5.74,0.43,5.43,0.29,0.57,0.15,161.8,164.0,4.0,3.0,3.78,32.92,0.18,29.46
Shakhriyar Mamedyarov,162.7,0.36,8.11,11,7.0,163.1,0.22,2741,2744,405,6,5,7.36,8.47,0.33,5.58,0.27,0.35,0.38,166.6,158.0,5.0,2.0,3.98,71.67,0.11,31.1
Volodar Murzin,161.8,0.32,6.07,11,6.0,163.2,0.19,2670,2640,441,5,6,6.29,7.74,0.34,2.61,0.23,0.4,0.25,159.4,163.8,2.5,3.5,3.49,59.88,0.12,6.8
Aydin Suleymanli,161.4,0.25,7.24,11,5.0,165.2,0.09,2602,2633,445,6,5,4.38,10.63,0.34,6.94,0.21,0.33,0.15,159.2,164.1,2.5,2.5,2.72,112.94,0.11,48.15
Alireza Firouzja,161.2,0.49,7.44,11,7.5,165.3,0.25,2754,2808,489,6,5,4.94,11.68,0.56,4.79,0.2,0.31,0.7,162.7,159.4,3.5,4.0,5.34,136.32,0.32,22.97
M. Amin Tabatabaei,161.2,0.35,11.62,11,6.0,164.6,0.12,2673,2689,458,5,6,5.33,10.44,0.39,10.62,0.2,0.27,0.41,163.6,159.2,3.0,3.0,3.83,108.95,0.15,112.87
Hans Moke Niemann,161.0,0.45,7.22,11,7.0,164.7,0.34,2733,2760,532,6,5,5.8,10.76,0.5,5.71,0.18,0.52,0.38,161.9,159.9,4.5,2.5,4.99,115.76,0.25,32.57
Shamsiddin Vokhidov,160.9,0.37,14.0,11,6.0,162.9,0.38,2645,2614,454,5,6,6.98,10.03,0.37,21.3,0.18,0.49,0.26,155.8,165.1,2.0,4.0,4.02,100.59,0.14,453.48
Ray Robson,160.8,0.32,5.56,11,5.5,162.2,0.25,2674,2612,523,6,5,4.73,7.22,0.25,3.87,0.18,0.35,0.29,161.8,159.6,3.5,2.0,3.56,52.12,0.06,15.01
Awonder Liang,160.4,0.48,8.98,11,7.0,164.4,0.36,2698,2752,517,5,6,7.8,11.91,0.49,6.13,0.15,0.48,0.49,163.5,157.8,4.0,3.0,5.31,141.78,0.24,37.55
Daniil Dubov,160.3,0.4,9.36,11,6.0,165.5,0.07,2691,2642,402,6,5,5.29,8.6,0.58,7.9,0.15,0.46,0.32,159.9,160.8,3.5,2.5,4.37,74.04,0.34,62.4
Javokhir Sindarov,160.0,0.46,6.51,11,6.5,161.3,0.4,2722,2693,590,6,5,5.98,10.46,0.4,4.58,0.13,0.54,0.37,160.0,160.0,4.0,2.5,5.07,109.4,0.16,21.01
Praggnanandhaa R,160.0,0.41,9.49,11,6.0,164.1,0.37,2785,2690,502,5,6,5.97,11.39,0.38,9.03,0.13,0.37,0.45,163.7,157.0,3.5,2.5,4.54,129.68,0.14,81.57
Aram Hakobyan,159.9,0.42,8.52,11,6.0,164.3,0.39,2625,2712,399,5,6,6.36,11.09,0.43,8.77,0.13,0.61,0.26,157.3,162.1,3.0,3.0,4.6,122.93,0.18,76.84
Bogdan-Daniel Deac,159.9,0.29,6.02,11,4.5,165.9,0.05,2674,2551,548,5,6,3.93,10.7,0.39,7.33,0.12,0.31,0.26,159.2,160.5,2.0,2.5,3.14,114.5,0.15,53.74
Jorden Van Foreest,159.8,0.47,7.28,11,6.5,161.6,0.56,2692,2713,476,5,6,7.13,9.31,0.39,3.05,0.12,0.46,0.48,163.9,156.4,4.0,2.5,5.19,86.63,0.15,9.28
Nikolas Theodorou,159.8,0.42,9.58,11,6.0,165.0,0.14,2646,2697,548,6,5,4.65,10.76,0.46,10.3,0.12,0.45,0.39,160.0,159.6,3.5,2.5,4.67,115.82,0.22,106.04
