white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
147.6,157.0,0.54,1.03,12.0,17.14,Anna Muzychuk,Zsoka Gaal,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/s9yMYjnE,1.1,2535,2388,0.0,1.0,2025.08.26,35,35,4.2,4.5,0.02,0.03,-0.54,-0.03,1,0,2,2,1,3,1,0,1,0,"[{'turn': 'Black', 'fen': '2k1r2r/1ppqn1pp/p1n2p2/P2p3b/3P4/B1P2N1P/2P2PP1/R2QRBK1 b - - 1 15', 'move_number': 16, 'move': 'g7g5', 'prev_move': 'd3f1', 'time_diff': '0:14:47', 'exp_point_loss': 0.3115}, {'turn': 'White', 'fen': '2k1r2r/1ppqn2p/p1n2p2/P2p2pb/3P4/B1P2N1P/2P2PP1/R2QRBK1 w - - 0 16', 'move_number': 16, 'move': 'a3c5', 'prev_move': 'g7g5', 'time_diff': '0:14:10', 'exp_point_loss': 0.3125}, {'turn': 'Black', 'fen': '2k1r2r/1ppqn2p/p1n2p2/P1Bp2pb/3P4/2P2N1P/2P2PP1/R2QRBK1 b - - 1 16', 'move_number': 17, 'move': 'h8g8', 'prev_move': 'a3c5', 'time_diff': '0:08:56', 'exp_point_loss': 0.4185}, {'turn': 'Black', 'fen': '2k1r1r1/1ppqn2p/p1n5/P1Bpp1pQ/3P4/2P4P/2P2PP1/R3RBK1 b - - 0 18', 'move_number': 19, 'move': 'e7g6', 'prev_move': 'd1h5', 'time_diff': '0:00:15', 'exp_point_loss': 0.238}, {'turn': 'White', 'fen': '2k1r1r1/1ppq3p/p1n3n1/P1Bpp1pQ/3P4/2P4P/2P2PP1/R3RBK1 w - - 1 19', 'move_number': 19, 'move': 'h5g4', 'prev_move': 'e7g6', 'time_diff': '0:03:30', 'exp_point_loss': 0.4885}]","[{'turn': 'White', 'fen': '2k1r2r/1ppqnppp/p1n5/3p3b/P2P4/B1PB1N1P/2P2PP1/R2QR1K1 w - - 2 14', 'move_number': 14, 'move': 'a4a5', 'prev_move': 'd8e8', 'time_diff': '0:16:36', 'exp_point_loss': 0.020000000000000018}, {'turn': 'White', 'fen': '2k5/1p1n2B1/p6p/P2p1np1/2p3P1/2P2PP1/2P5/4K3 w - - 0 35', 'move_number': 35, 'move': 'g4f5', 'prev_move': 'e7f5', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
172.7,145.0,0.18,0.68,14.47,29.91,Olga Girya,Zhongyi Tan,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/2wBf9wEF,1.2,2386,2531,1.0,0.0,2025.09.04,70,69,2.5,2.1,0.0,0.01,0.82,-0.68,1,0,0,2,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': '2r3k1/3Q2p1/2r1p2p/1q1p3P/3P2P1/1Pp1PP2/6K1/R3R3 b - - 3 39', 'move_number': 40, 'move': 'b5b8', 'prev_move': 'd1a1', 'time_diff': '0:11:29', 'exp_point_loss': 0.29}]","[{'turn': 'White', 'fen': 'r4rk1/1p2nppp/p2q1n2/2ppNb2/3P4/P1N1P3/1P2BPPP/R2Q1RK1 w - - 0 13', 'move_number': 13, 'move': 'f1e1', 'prev_move': 'a7a6', 'time_diff': '0:23:29', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'Black', 'fen': '2rr2k1/4nppb/p2q1n1p/1pppN3/3P4/P1NBPP2/1P1Q2PP/3RR1K1 b - - 1 18', 'move_number': 19, 'move': 'e7f5', 'prev_move': 'f1d3', 'time_diff': '0:15:22', 'exp_point_loss': 0.01599999999999996}]"
177.1,149.4,-0.05,0.44,2.15,39.85,Bibisara Assaubayeva,Mai Narva,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/Jn5bGBcE,1.3,2505,2386,1.0,0.0,2025.09.04,27,26,6.6,5.7,-0.0,0.02,1.05,-0.44,0,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2rqk2r/1p1nbppp/pn1p4/3Pp3/6P1/1N2BQ1P/PPP2P2/1K1R1B1R b k - 2 14', 'move_number': 15, 'move': 'd8c7', 'prev_move': 'c1b1', 'time_diff': '0:07:07', 'exp_point_loss': 0.256}]",[]
166.4,166.5,0.03,0.02,2.33,1.77,Nurgyul Salimova,Kateryna Lagno,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/qHX4xPY7,1.4,2386,2505,0.5,0.5,2025.09.04,30,30,5.5,5.5,0.0,0.0,0.47,0.48,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'r2q1rk1/pp3ppp/5n2/6Bb/3b4/2NB3P/PPQ2PP1/R4RK1 b - - 2 15', 'move_number': 16, 'move': 'h7h6', 'prev_move': 'f4g5', 'time_diff': '0:15:57', 'exp_point_loss': 0}]"
136.0,163.9,1.16,0.66,25.47,13.21,Polina Shuvalova,Ulviyya Fataliyeva,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/YOySnUSz,1.5,2492,2385,0.0,1.0,2025.09.04,62,62,2.2,2.6,0.02,0.01,-1.16,0.34,3,3,1,1,1,1,0,0,2,1,"[{'turn': 'White', 'fen': '1qr3k1/4npp1/p1b2n1p/1pb1p3/1B2P3/PQN2N1P/1P3PP1/3rRBK1 w - - 0 23', 'move_number': 23, 'move': 'b3d1', 'prev_move': 'd7d1', 'time_diff': '0:11:30', 'exp_point_loss': 0.3350000000000001}, {'turn': 'Black', 'fen': '1q4k1/1b3pp1/p4n1p/1p2p3/1P1rP3/1QN2P1P/1P4P1/4RBK1 b - - 0 29', 'move_number': 30, 'move': 'b8f8', 'prev_move': 'f2f3', 'time_diff': '0:01:17', 'exp_point_loss': 0.3444999999999999}]","[{'turn': 'White', 'fen': '1q1r2k1/1b2npp1/p4n1p/1p2p3/1P2P3/1QN2N1P/1P3PP1/4RBK1 w - - 3 26', 'move_number': 26, 'move': 'f3h4', 'prev_move': 'c8d8', 'time_diff': '0:15:27', 'exp_point_loss': 0.17499999999999993}, {'turn': 'White', 'fen': '2b2k2/5p2/7p/p5p1/1p2Pn2/3pKP1P/1P4P1/1N3B2 w - - 0 41', 'move_number': 41, 'move': 'b2b3', 'prev_move': 'a6a5', 'time_diff': '0:24:19', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2b2k2/5p2/7p/p5p1/1p2Pn2/1P1pKP1P/6P1/1N3B2 b - - 0 41', 'move_number': 42, 'move': 'c8a6', 'prev_move': 'b2b3', 'time_diff': '0:18:55', 'exp_point_loss': 0}]"
173.8,146.1,0.13,0.62,7.5,22.93,Xeniya Balabayeva,Mariya Muzychuk,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/eDTd33ay,1.6,2383,2484,1.0,0.0,2025.09.04,44,43,3.9,3.4,0.0,0.01,0.87,-0.62,0,0,0,0,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': '5k2/5ppp/7r/2KN1n2/8/8/P3RPP1/8 b - - 6 36', 'move_number': 37, 'move': 'h6a6', 'prev_move': 'c6c5', 'time_diff': '0:00:15', 'exp_point_loss': 0.4715}]","[{'turn': 'Black', 'fen': 'r3r1k1/1p1n1ppp/2p5/p2p1n2/3PP3/2N2N1P/PP3PP1/2KRR3 b - - 0 16', 'move_number': 17, 'move': 'f5e7', 'prev_move': 'e3e4', 'time_diff': '0:24:15', 'exp_point_loss': 0.004500000000000004}]"
133.1,161.0,1.32,0.82,29.08,13.49,Yuliia Osmak,Vantika Agrawal,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/QJQYltty,1.7,2478,2381,0.0,1.0,2025.09.04,65,65,2.0,2.5,0.02,0.01,-1.32,0.18,4,0,2,3,1,0,0,0,1,0,"[{'turn': 'White', 'fen': '2r2rk1/1b1q2p1/4p2p/p3B1p1/1b1P4/2NQ1P2/1P4PP/3R1RK1 w - - 0 26', 'move_number': 26, 'move': 'c3a2', 'prev_move': 'a6a5', 'time_diff': '0:13:03', 'exp_point_loss': 0.48849999999999993}, {'turn': 'White', 'fen': '5rk1/6p1/4p2p/p4qp1/2r1R3/1bN2P2/1P4PP/1Q3R1K w - - 4 34', 'move_number': 34, 'move': 'f1e1', 'prev_move': 'c8c4', 'time_diff': '0:04:24', 'exp_point_loss': 0.393}]","[{'turn': 'White', 'fen': '2r2rk1/1b1qbpp1/p3p1np/1p1n4/3P4/P1N3B1/1P1QNPPP/1B1R1RK1 w - - 12 20', 'move_number': 20, 'move': 'b1g6', 'prev_move': 'f6d5', 'time_diff': '0:19:49', 'exp_point_loss': 0.0010000000000000009}]"
175.1,147.4,0.06,0.55,4.54,43.44,Mo Zhai,Leya Garifullina,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/q9tSciZH,1.8,2380,2477,1.0,0.0,2025.09.04,26,25,6.7,5.9,0.0,0.02,0.94,-0.55,1,0,0,1,0,1,0,0,2,0,"[{'turn': 'Black', 'fen': 'r3k2r/pp1b1p1p/2p1n3/q1P5/7Q/4P1P1/P2NB1P1/2R1K2R b Kkq - 4 19', 'move_number': 20, 'move': 'a5a3', 'prev_move': 'g4h4', 'time_diff': '0:02:40', 'exp_point_loss': 0.4075}]","[{'turn': 'White', 'fen': 'r1bqk2r/pp3p1p/2p1n3/2P5/3p2p1/4PQP1/P2N1PP1/2R1KB1R w Kkq - 0 16', 'move_number': 16, 'move': 'f3g4', 'prev_move': 'g5g4', 'time_diff': '0:16:28', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'r3k2r/pp1b1p2/2p1n2p/2P5/4N2Q/4P1P1/Pq2BKP1/2R4R w kq - 2 22', 'move_number': 22, 'move': 'c1d1', 'prev_move': 'a3b2', 'time_diff': '0:16:55', 'exp_point_loss': 0}]"
149.4,149.5,0.94,0.94,9.34,8.95,Alexandra Kosteniuk,Aleksandra Maltsevskaya,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/zcxKlKO8,1.9,2472,2379,0.5,0.5,2025.09.04,44,44,3.4,3.4,0.02,0.02,-0.44,-0.44,5,2,0,5,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': '5rk1/4q1pp/1p2p3/r2pPp2/2nP4/PR1QP3/6PP/2B2RK1 b - - 2 25', 'move_number': 26, 'move': 'f8a8', 'prev_move': 'b5b3', 'time_diff': '0:01:55', 'exp_point_loss': 0.2400000000000001}]","[{'turn': 'Black', 'fen': 'r2q1rk1/pb2bppp/1pn1pn2/2ppN3/3P4/PP1BP3/1BP1QPPP/RN3RK1 b - - 0 10', 'move_number': 11, 'move': 'a7a5', 'prev_move': 'a2a3', 'time_diff': '0:18:08', 'exp_point_loss': 0.0010000000000000009}, {'turn': 'White', 'fen': 'r2q1rk1/1b1nbppp/1pn1p3/p1ppN3/3P4/PP1BP3/1BPNQPPP/R4RK1 w - - 2 12', 'move_number': 12, 'move': 'f2f4', 'prev_move': 'f6d7', 'time_diff': '0:25:02', 'exp_point_loss': 0.003500000000000003}]"
158.3,158.4,0.46,0.45,5.67,5.44,Marsel Efroimski,Harika Dronavalli,FIDE Women's Grand Swiss 2025,https://lichess.org/broadcast/fide-grand-swiss-2025--women/round-1/SwdwlpSh/wJnJRwaP,1.10,2377,2467,0.5,0.5,2025.09.04,55,54,2.9,2.9,0.01,0.01,0.04,0.05,0,1,0,1,0,0,1,0,2,1,[],"[{'turn': 'White', 'fen': 'r1b1k1nr/ppqp1ppp/2n1p3/8/1b2P3/1NN1B3/PPP2PPP/R2QKB1R w KQkq - 4 8', 'move_number': 8, 'move': 'd1d3', 'prev_move': 'f8b4', 'time_diff': '0:27:12', 'exp_point_loss': 0.005500000000000005}, {'turn': 'White', 'fen': '1k1r3r/5ppp/p1bpp3/1pn5/3bP1P1/P1N2P2/1PP1BKP1/3R3R w - - 0 22', 'move_number': 22, 'move': 'd1d4', 'prev_move': 'f6d4', 'time_diff': '0:40:00', 'exp_point_loss': 0.004999999999999949}, {'turn': 'White', 'fen': '8/5pp1/1k5r/1p2p3/3n2P1/P5P1/1P3KB1/2R5 w - - 7 42', 'move_number': 42, 'move': 'c1c8', 'prev_move': 'h2h6', 'time_diff': '0:18:31', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '4R3/6p1/1k4r1/1p2pp2/3n2P1/P3KBP1/1P6/8 b - - 1 45', 'move_number': 46, 'move': 'f5g4', 'prev_move': 'c8e8', 'time_diff': '0:15:42', 'exp_point_loss': 0}]"
