Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Rameshbabu Vaishali,164.5,0.35,9.27,11,8.0,165.8,0.22,2452,2599,408,6,5,6.73,8.09,0.35,8.89,0.38,0.43,0.25,165.0,164.0,5.0,3.0,3.85,65.49,0.12,79.05
Bibisara Assaubayeva,162.0,0.44,8.08,11,7.5,165.1,0.21,2505,2554,584,6,5,5.61,14.51,0.63,5.61,0.24,0.21,0.72,169.2,153.4,5.0,2.5,4.86,210.48,0.4,31.44
Qi Guo,161.4,0.39,10.63,11,6.5,165.1,0.14,2371,2490,422,5,6,6.52,9.8,0.45,11.98,0.2,0.16,0.58,165.8,157.6,3.0,3.5,4.26,96.07,0.2,143.53
Olga Girya,161.2,0.4,9.75,11,6.5,163.9,0.18,2386,2484,597,6,5,8.19,12.24,0.43,6.09,0.2,0.42,0.36,162.0,160.2,4.0,2.5,4.35,149.86,0.18,37.12
Anna Muzychuk,160.9,0.41,10.31,11,6.5,163.4,0.31,2535,2456,552,5,6,11.93,7.17,0.41,6.86,0.18,0.67,0.2,158.2,163.1,3.5,3.0,4.56,51.45,0.17,47.1
Yuxin Song,160.6,0.52,10.89,11,7.5,157.8,0.53,2409,2536,486,5,6,9.69,10.69,0.46,9.56,0.16,0.22,0.76,168.3,154.2,4.0,3.5,5.69,114.33,0.21,91.37
Irina Krush,160.3,0.49,12.95,11,7.0,165.5,0.09,2366,2511,517,6,5,14.22,17.79,0.87,9.7,0.15,0.6,0.35,158.8,162.1,4.0,3.0,5.38,316.53,0.75,94.01
Kateryna Lagno,158.7,0.67,8.94,11,8.0,165.9,0.25,2505,2587,441,6,5,8.74,13.9,0.8,6.59,0.06,0.93,0.35,155.8,162.2,5.0,3.0,7.35,193.18,0.64,43.37
Ulviyya Fataliyeva,157.7,0.63,10.86,11,7.0,163.5,0.66,2385,2548,569,5,6,9.36,11.9,0.54,7.91,0.0,0.92,0.39,151.6,162.8,3.0,4.0,6.95,141.65,0.29,62.57
Lela Javakhishvili,156.5,0.6,15.96,11,6.0,160.2,0.56,2434,2357,497,6,5,10.0,9.49,0.35,16.46,-0.06,0.45,0.78,161.6,150.5,4.0,2.0,6.61,90.01,0.13,270.94
Miaoyi Lu,155.4,0.71,13.37,11,6.5,161.1,0.57,2449,2436,571,5,6,11.33,14.63,0.64,10.3,-0.12,1.12,0.37,148.0,161.6,3.0,3.5,7.79,213.96,0.41,106.19
Harika Dronavalli,155.2,0.72,0.69,11,6.5,160.5,0.34,2467,2459,546,5,6,6.03,17.87,0.95,23.2,-0.13,0.54,0.87,158.7,152.2,3.0,3.5,7.92,319.37,0.9,538.4
Khanim Balajayeva,154.6,0.71,13.24,11,6.0,161.1,0.67,2331,2465,443,6,5,12.15,16.88,0.67,7.51,-0.16,1.03,0.32,147.7,162.8,3.0,3.0,7.79,284.82,0.45,56.38
Alexandra Kosteniuk,154.3,0.77,11.36,11,6.5,149.4,0.94,2472,2449,480,6,5,9.34,11.94,0.48,9.5,-0.18,0.81,0.72,150.3,159.1,2.5,4.0,8.46,142.46,0.23,90.29
Afruza Khamdamova,154.0,0.69,10.45,11,5.5,164.2,0.14,2409,2408,568,5,6,6.57,16.1,0.79,8.12,-0.19,0.3,1.02,163.2,146.3,3.0,2.5,7.63,259.26,0.63,65.91
Mariya Muzychuk,154.0,0.83,33.17,11,7.0,153.2,0.75,2484,2483,476,6,5,16.84,18.0,0.64,46.97,-0.19,0.46,1.27,167.5,137.8,6.0,1.0,9.1,324.05,0.4,2206.43
Mai Narva,153.5,0.81,23.43,11,6.5,157.1,0.61,2386,2477,516,5,6,9.53,15.1,0.61,35.19,-0.22,1.12,0.56,147.9,158.1,3.0,3.5,8.94,228.04,0.37,1238.32
Marsel Efroimski,153.3,0.73,3.71,11,5.5,156.2,0.58,2377,2395,564,6,5,8.7,15.65,0.68,29.16,-0.23,0.48,1.03,159.5,145.9,3.5,2.0,8.02,244.78,0.46,850.41
Anna Ushenina,152.5,0.82,5.47,11,6.0,155.3,0.94,2409,2392,534,6,5,11.94,10.9,0.42,33.59,-0.27,0.62,1.06,158.5,145.4,4.0,2.0,9.01,118.85,0.18,1128.1
Leya Garifullina,151.9,0.85,14.27,11,6.0,156.1,0.58,2477,2401,483,5,6,10.21,17.32,0.7,12.58,-0.31,0.81,0.88,157.3,147.4,4.0,2.0,9.36,299.83,0.49,158.31
Stavroula Tsolakidou,151.9,0.9,12.53,11,6.5,156.9,0.53,2445,2449,546,6,5,8.97,18.63,0.93,8.31,-0.3,0.84,0.96,154.3,149.0,4.0,2.5,9.85,347.23,0.87,68.97
Antoaneta Stefanova,151.8,0.81,22.61,11,5.5,161.3,0.72,2395,2381,554,6,5,15.36,16.39,0.73,19.9,-0.31,0.85,0.76,148.0,156.4,2.0,3.5,8.91,268.73,0.53,396.03
Teodora Injac,151.4,0.83,15.17,11,5.5,162.7,0.63,2454,2331,510,6,5,11.93,21.61,0.77,8.55,-0.33,0.85,0.81,152.7,149.9,3.5,2.0,9.15,466.83,0.59,73.18
Mo Zhai,151.3,0.84,17.66,11,5.5,152.4,0.81,2380,2396,479,6,5,22.16,17.6,0.68,13.09,-0.34,0.66,1.05,153.0,149.3,2.5,3.0,9.21,309.93,0.46,171.41
Zhongyi Tan,151.3,1.02,6.7,11,7.5,153.5,0.68,2531,2522,592,6,5,8.02,27.83,1.5,24.93,-0.34,0.58,1.55,157.7,143.6,3.5,4.0,11.23,774.32,2.25,621.49
Polina Shuvalova,150.9,0.86,34.19,11,5.5,156.0,0.58,2492,2402,557,6,5,9.75,12.21,0.61,67.22,-0.36,0.72,1.02,152.0,149.7,2.5,3.0,9.42,149.12,0.37,4518.97
Anna Shukhman,150.6,0.83,15.92,11,5.0,155.7,0.92,2420,2312,534,5,6,18.64,15.25,0.57,9.67,-0.38,0.82,0.84,149.8,151.2,2.0,3.0,9.15,232.67,0.33,93.55
