white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
173.4,145.8,0.14,0.64,6.42,22.13,Javokhir Sindarov,Magnus Carlsen,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-1/yCRHhgen/Nk8t36T8,1.1,2704,2923,1.0,0.0,2025.12.05,31,30,5.6,4.9,0.0,0.02,0.86,-0.64,2,0,0,1,1,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'rbb2knr/pp1q1ppp/2n5/5N2/3p4/1P3N2/P3QPPP/RBB2K1R b KQkq - 0 10', 'move_number': 11, 'move': 'g8e7', 'prev_move': 'b2b3', 'time_diff': '0:01:00', 'exp_point_loss': 0.46749999999999997}]",[]
160.0,160.7,0.37,0.33,9.52,7.19,Vincent Keymer,Levon Aronian,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-1/yCRHhgen/Jhl3nGLz,1.2,2752,2772,0.5,0.5,2025.12.08,27,26,5.9,6.2,0.01,0.01,0.13,0.17,2,0,1,0,0,1,0,0,0,0,"[{'turn': 'White', 'fen': 'rb3rk1/pb2n1pp/1pn5/3p3q/3PB3/Q1N2N1P/P4PP1/R1B1R1K1 w - - 0 15', 'move_number': 15, 'move': 'c3d5', 'prev_move': 'e6d5', 'time_diff': '0:00:46', 'exp_point_loss': 0.30599999999999994}, {'turn': 'Black', 'fen': 'r4rk1/pb4pp/1pn2n2/6N1/3P2Pq/Q6P/P4PBb/R1B1R2K b - - 4 19', 'move_number': 20, 'move': 'c6a5', 'prev_move': 'g1h1', 'time_diff': '0:00:29', 'exp_point_loss': 0.39349999999999996}]",[]
137.0,137.1,1.61,1.61,13.62,13.18,Erigaisi Arjun,Hans Moke Niemann,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-1/yCRHhgen/G49mzumE,1.3,2744,2725,0.5,0.5,2025.12.08,40,40,3.4,3.4,0.04,0.04,-1.11,-1.11,3,4,2,3,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'rb1nqk1r/ppp2ppp/3p1n2/4p3/4P1bN/2P5/PP1P1PPP/RBBNQRK1 b kq - 3 5', 'move_number': 6, 'move': 'g7g5', 'prev_move': 'f3h4', 'time_diff': '0:01:15', 'exp_point_loss': 0.239}, {'turn': 'White', 'fen': 'rb1nqk1r/ppp2p1p/3p1n2/4p1p1/4P1bN/2P5/PP1P1PPP/RBBNQRK1 w kq - 0 6', 'move_number': 6, 'move': 'f2f3', 'prev_move': 'g7g5', 'time_diff': '0:00:28', 'exp_point_loss': 0.305}, {'turn': 'Black', 'fen': '3r4/2p1qpk1/5n2/pP3P1p/P1QP2p1/4rP2/2B3PP/3R1R1K b - - 1 31', 'move_number': 32, 'move': 'f6d5', 'prev_move': 'a1d1', 'time_diff': '0:00:36', 'exp_point_loss': 0.35050000000000003}, {'turn': 'White', 'fen': '3r4/2p1qpk1/8/pP1n1P1p/P1QP2p1/4rP2/2B3PP/3R1R1K w - - 2 32', 'move_number': 32, 'move': 'f3g4', 'prev_move': 'f6d5', 'time_diff': '0:00:35', 'exp_point_loss': 0.35050000000000003}]",[]
121.6,149.6,1.94,1.43,73.51,52.38,Parham Maghsoodloo,Fabiano Caruana,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-1/yCRHhgen/yc6EUasa,1.4,2712,2797,0.0,1.0,2025.12.08,47,47,2.6,3.2,0.04,0.03,-1.94,-0.43,1,4,3,2,0,3,0,2,0,0,"[{'turn': 'Black', 'fen': 'rbb1qrk1/p2pn1pp/4n3/2p1pp2/2B1P3/2P2N2/P2P1PPP/1RBNQRK1 b - - 1 9', 'move_number': 10, 'move': 'g8h8', 'prev_move': 'a1b1', 'time_diff': '0:02:36', 'exp_point_loss': 0.27949999999999997}, {'turn': 'White', 'fen': '2b1qr1k/p3n1pp/8/2ppQP2/2B2n2/2P1NN2/P2P1PPP/1rB2RK1 w - - 0 14', 'move_number': 14, 'move': 'e5f4', 'prev_move': 'd7d5', 'time_diff': '0:01:02', 'exp_point_loss': 0.34299999999999997}, {'turn': 'Black', 'fen': '4r2k/pb4pp/8/1N6/1Bp5/P1P1P3/3P2PP/5K2 b - - 2 24', 'move_number': 25, 'move': 'a7a6', 'prev_move': 'd4b5', 'time_diff': '0:01:14', 'exp_point_loss': 0.9895}, {'turn': 'Black', 'fen': '7k/6pp/3N4/p1B1P3/2PP4/P7/b1r3PP/6K1 b - - 0 33', 'move_number': 34, 'move': 'a2c4', 'prev_move': 'c3c4', 'time_diff': '0:00:27', 'exp_point_loss': 0.31}, {'turn': 'White', 'fen': '8/6kp/4P3/p1B3p1/P2P4/1r6/3K2PP/8 w - - 1 40', 'move_number': 40, 'move': 'd2c2', 'prev_move': 'g8g7', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/1r4kp/4P3/p1B3p1/P2P4/8/2K3PP/8 w - - 3 41', 'move_number': 41, 'move': 'd4d5', 'prev_move': 'b3b7', 'time_diff': '0:00:28', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': 'rbb1qk1r/pp1pnppp/4n3/2p1p3/1P2P3/2P2N2/P2P1PPP/RBBNQRK1 b kq - 0 5', 'move_number': 6, 'move': 'b7b6', 'prev_move': 'b2b4', 'time_diff': '0:38:02', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'Black', 'fen': '2b1qr1k/p3n1pp/8/2pp1P2/2B2Q2/2P1NN2/P2P1PPP/1rB2RK1 b - - 0 14', 'move_number': 15, 'move': 'd5c4', 'prev_move': 'e5f4', 'time_diff': '0:39:07', 'exp_point_loss': 0}]"
172.4,144.6,0.2,0.7,12.59,29.61,Magnus Carlsen,Fabiano Caruana,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-2/EGGFG94Y/eru80S1d,2.1,2923,2797,1.0,0.0,2025.12.05,29,28,5.9,5.2,0.01,0.02,0.8,-0.7,1,1,0,1,2,0,0,0,0,0,[],[]
163.5,135.8,0.68,1.17,9.78,29.48,Hans Moke Niemann,Parham Maghsoodloo,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-2/EGGFG94Y/9FBEJWbY,2.2,2725,2712,1.0,0.0,2025.12.08,45,44,3.6,3.1,0.02,0.03,0.32,-1.17,3,2,1,5,0,2,0,0,0,0,"[{'turn': 'White', 'fen': '1r3rk1/1pbn2qp/2p1bnp1/p1Pp1p2/3PpP2/1P2P1P1/P1NNBBQP/1RK2R2 w KQ - 3 16', 'move_number': 16, 'move': 'c1f1', 'prev_move': 'c8f8', 'time_diff': '0:01:08', 'exp_point_loss': 0.3045}, {'turn': 'Black', 'fen': '1r3rk1/1pbn2qp/2p1bnp1/p1Pp1p2/3PpP2/1P2P1P1/P1NNBBQP/1R3RK1 b - - 4 16', 'move_number': 17, 'move': 'b7b6', 'prev_move': 'c1f1', 'time_diff': '0:00:26', 'exp_point_loss': 0.44900000000000007}, {'turn': 'Black', 'fen': 'r5k1/qr1b3p/N1pbnnp1/P2p1p2/3PpP2/2B1P1P1/4B2P/1RR1QNK1 b - - 2 28', 'move_number': 29, 'move': 'd7c8', 'prev_move': 'b4a6', 'time_diff': '0:00:51', 'exp_point_loss': 0.29800000000000004}]",[]
169.6,141.9,0.35,0.85,-22.91,-6.69,Levon Aronian,Erigaisi Arjun,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-2/EGGFG94Y/YdwDtQs7,2.3,2772,2744,1.0,0.0,2025.12.08,54,54,3.1,2.6,0.01,0.02,0.65,-0.85,1,0,0,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '8/1k3r1p/p3R1p1/2B3P1/2n4P/3K4/P7/8 b - - 1 42', 'move_number': 43, 'move': 'c4b2', 'prev_move': 'e2d3', 'time_diff': '0:00:34', 'exp_point_loss': 0.496}]",[]
122.1,122.2,2.41,2.41,37.47,36.91,Javokhir Sindarov,Vincent Keymer,Freestyle Chess Grand Slam Finals: RR,https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-2/EGGFG94Y/u281wIgX,2.4,2704,2752,0.5,0.5,2025.12.08,34,34,3.6,3.6,0.07,0.07,-1.91,-1.91,2,0,4,3,0,5,1,0,0,0,"[{'turn': 'Black', 'fen': 'nrkb1rbq/p2pp2p/1p3np1/2p2p2/2P2P2/1P6/PBNPP1PP/1RKBNR1Q b KQkq - 1 6', 'move_number': 7, 'move': 'a8c7', 'prev_move': 'd4b2', 'time_diff': '0:00:30', 'exp_point_loss': 0.4225}, {'turn': 'White', 'fen': '1rkb1rbq/p1npp2p/1p3np1/2p2p2/2P2P2/1P6/PBNPP1PP/1RKBNR1Q w KQkq - 2 7', 'move_number': 7, 'move': 'e2e3', 'prev_move': 'a8c7', 'time_diff': '0:01:21', 'exp_point_loss': 0.3805}, {'turn': 'Black', 'fen': '1rkb1rq1/pbn1p2p/1p1p1np1/5p2/1RPN1P2/2BPPB2/P1N3PP/2K2R1Q b Kkq - 4 15', 'move_number': 16, 'move': 'c7a6', 'prev_move': 'e2f3', 'time_diff': '0:01:28', 'exp_point_loss': 0.36999999999999994}, {'turn': 'White', 'fen': '1rkb1rq1/pb2p2p/np1p1np1/5p2/1RPN1P2/2BPPB2/P1N3PP/2K2R1Q w Kkq - 5 16', 'move_number': 16, 'move': 'd4c6', 'prev_move': 'c7a6', 'time_diff': '0:01:02', 'exp_point_loss': 0.362}, {'turn': 'Black', 'fen': '1rkb1rq1/Nb2p2p/1p1p1np1/p4p2/1NP2P2/2BPPB2/P5PP/2K2R1Q b Kkq - 1 18', 'move_number': 19, 'move': 'c8d7', 'prev_move': 'c6a7', 'time_diff': '0:00:26', 'exp_point_loss': 0.3815}, {'turn': 'White', 'fen': 'r2b1r2/Nb1kpq1p/1pNp4/p4p2/2P1nP2/2BPPB2/P6P/2K3RQ w - - 2 23', 'move_number': 23, 'move': 'a7b5', 'prev_move': 'g8f7', 'time_diff': '0:00:36', 'exp_point_loss': 1.0}, {'turn': 'Black', 'fen': 'r2b1r2/1b1kpq1p/1pNp4/pN3p2/2P1nP2/2BPPB2/P6P/2K3RQ b - - 3 23', 'move_number': 24, 'move': 'b7c6', 'prev_move': 'a7b5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5285}, {'turn': 'Black', 'fen': 'r2b1r2/3kpqRp/1pbp4/pN3p2/2P1nP2/2BPPB2/P6P/2K4Q b - - 1 24', 'move_number': 25, 'move': 'f7e8', 'prev_move': 'g1g7', 'time_diff': '0:00:41', 'exp_point_loss': 0.4955}, {'turn': 'White', 'fen': '2rbqr2/3kp1Rp/1pbp4/pN3p2/2P1PP2/2B1PB2/P6P/2K4Q w - - 1 26', 'move_number': 26, 'move': 'e4f5', 'prev_move': 'a8c8', 'time_diff': '0:00:32', 'exp_point_loss': 0.4995}]","[{'turn': 'White', 'fen': '1rkb1r1q/p1npp2p/1p2bnp1/2p2p2/2P2P2/1P2P3/PBNP2PP/1RKBNR1Q w KQkq - 1 8', 'move_number': 8, 'move': 'e1f3', 'prev_move': 'g8e6', 'time_diff': '0:39:56', 'exp_point_loss': 0.01050000000000001}]"
149.1,177.0,0.46,-0.05,18.05,7.86,Vincent Keymer,Magnus Carlsen,"Round 3: Keymer, Vincent - Carlsen, Magnus",https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-3/pHt2NpmY/Cjv5UWu5,3.1,2752,2923,0.0,1.0,2025.12.08,44,44,3.4,4.0,0.01,-0.0,-0.46,1.05,2,1,0,0,0,0,0,0,0,0,[],[]
156.7,156.8,0.55,0.54,14.79,14.07,Erigaisi Arjun,Javokhir Sindarov,"Round 3: Erigaisi Arjun - Sindarov, Javokhir",https://lichess.org/broadcast/freestyle-chess-grand-slam-finals-2025--round-robin/round-3/pHt2NpmY/MGimmZTE,3.2,2744,2704,0.5,0.5,2025.12.08,28,28,5.6,5.6,0.02,0.02,-0.05,-0.04,1,1,0,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2kr3b/ppppQ2p/2q5/8/2b2P2/1NP5/PP5P/2KR2B1 b - - 0 17', 'move_number': 18, 'move': 'h8c3', 'prev_move': 'e1e7', 'time_diff': '0:01:42', 'exp_point_loss': 0.23250000000000004}]",[]
