white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
144.2,148.2,0.9,0.91,6.95,7.25,Vincent Keymer,Anthony Wirig,"Round 2: Keymer, Vincent - Wirig, Anthony",https://lichess.org/study/AprGXQxU/eB2pWFAM,2.14,2718,2433,0.5,0.5,2025.04.18,60,59,2.4,2.5,0.02,0.02,-0.72,-0.5,3,0,1,4,1,1,0,0,0,1,"[{'turn': 'Black', 'fen': '1nr2rk1/1bp2qpp/p1Nb1p2/3P4/Pp2pP2/1P2P1N1/6PP/B1RQ1RK1 b - - 3 17', 'move_number': 18, 'move': 'c8e8', 'prev_move': 'e2g3', 'time_diff': '0:01:56', 'exp_point_loss': 0.2505}, {'turn': 'White', 'fen': '2r3k1/6pp/2r1qp2/P7/1QbBpP2/4P3/2R3PP/2R3K1 w - - 1 30', 'move_number': 30, 'move': 'f4f5', 'prev_move': 'f7e6', 'time_diff': '0:06:15', 'exp_point_loss': 0.408}]","[{'turn': 'Black', 'fen': '1nr2rk1/1bp1qppp/pp1b1n2/3pN3/3P1P2/1PNBP3/P5PP/B1RQ1RK1 b - - 0 11', 'move_number': 12, 'move': 'b6b5', 'prev_move': 'f2f4', 'time_diff': '0:19:18', 'exp_point_loss': 0.08049999999999996}]"
161.8,139.4,0.02,0.52,21.21,324.21,Sergey Sklokin,Benny Aizenberg,Freestyle Chess Open A,"Karlsruhe, Germany",6.42,2305,2450,1.0,0.0,2025.04.20,34,33,4.8,4.2,0.0,0.02,0.23,-0.98,0,3,0,3,1,1,3,1,1,4,"[{'turn': 'Black', 'fen': '1k1rrnq1/1pbp1bpp/2p2p2/3Pp3/4P3/1N2NP2/PPB3PP/2KRR2Q b - - 4 13', 'move_number': 14, 'move': 'c7b6', 'prev_move': 'b1c2', 'time_diff': '0:04:51', 'exp_point_loss': 0.272}]","[{'turn': 'Black', 'fen': '1bkrrnbq/pppp1ppp/1n6/4p3/4P3/1NP5/PP1P1PPP/1BKRRNBQ b - - 0 4', 'move_number': 5, 'move': 'f7f6', 'prev_move': 'c2c3', 'time_diff': '0:15:48', 'exp_point_loss': 0.01150000000000001}, {'turn': 'Black', 'fen': '1bkrrnq1/1p1p1bpp/2p2p2/3Pp3/2N1P3/1N3P2/PP4PP/1BKRR2Q b - - 0 11', 'move_number': 12, 'move': 'b8c7', 'prev_move': 'e3c4', 'time_diff': '0:19:19', 'exp_point_loss': 0.0025}, {'turn': 'White', 'fen': '2krrnq1/1pbp1bpp/2p2p2/3Pp3/2N1P3/1N3P2/PP4PP/1BKRR2Q w - - 1 12', 'move_number': 12, 'move': 'c4e3', 'prev_move': 'b8c7', 'time_diff': '0:24:47', 'exp_point_loss': 0.169}, {'turn': 'Black', 'fen': '2krrnq1/1pbp1bpp/2p2p2/3Pp3/4P3/1N2NP2/PP4PP/1BKRR2Q b - - 2 12', 'move_number': 13, 'move': 'c8b8', 'prev_move': 'c4e3', 'time_diff': '0:23:06', 'exp_point_loss': 0.08950000000000001}, {'turn': 'Black', 'fen': '1kr1rnq1/1pbp1bpp/2p2p2/N2Pp3/4P3/1N3P2/PPB3PP/2KRRQ2 b - - 14 18', 'move_number': 19, 'move': 'c7b6', 'prev_move': 'c4a5', 'time_diff': '0:37:04', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '1k1r1nq1/1prp1bpp/2p2p2/Q2Pp3/4P3/1N3P2/PPB3PP/1K1RR3 b - - 0 22', 'move_number': 23, 'move': 'c6d5', 'prev_move': 'b4a5', 'time_diff': '0:28:16', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1k1r1nq1/1prp1bpp/5p2/Q2pp3/4P3/1N3P2/PPB3PP/1K1RR3 w - - 0 23', 'move_number': 23, 'move': 'e4d5', 'prev_move': 'c6d5', 'time_diff': '0:39:52', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1kr2n2/1prp1qpp/5pb1/Q2PpB2/6P1/1N3P2/PP5P/1K1RR3 w - - 1 26', 'move_number': 26, 'move': 'e1e4', 'prev_move': 'g8f7', 'time_diff': '0:34:44', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '2k2n2/1rrp1qpp/3Q1pb1/3PpB2/4R1P1/1N3P2/PP5P/1KR5 w - - 5 30', 'move_number': 30, 'move': 'c1c7', 'prev_move': 'b8c8', 'time_diff': '0:38:53', 'exp_point_loss': 0}]"
158.4,146.1,-0.16,0.33,9.44,30.0,Drazen Dragicevic,Bank Szalay-Ocsak,Freestyle Chess Open A,"Karlsruhe, Germany",9.53,2334,2126,1.0,0.0,2025.04.21,9,8,17.6,18.3,-0.02,0.04,0.05,-0.62,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'nbrqnkbr/pp3ppp/2p5/3ppB2/3P4/1NP5/PP2PPPP/2RQNKBR b KQkq - 1 4', 'move_number': 5, 'move': 'c8c7', 'prev_move': 'b1f5', 'time_diff': '0:02:22', 'exp_point_loss': 0.283}]",[]
127.6,157.8,1.22,0.71,328.0,15.29,Thomas Ahner,Alexander Grischuk,"Round 1: Ahner, Thomas - Grischuk, Alexander",https://lichess.org/study/9Y9s1M4a/01uDyuxQ,1.22,2164,2682,0.0,1.0,2025.04.17,32,31,4.0,5.1,0.04,0.02,-1.61,0.01,2,3,1,4,0,0,0,0,0,1,"[{'turn': 'White', 'fen': 'rkb3rq/2np2p1/pppbnp2/4p2p/PPP3P1/3NP3/1B1P1PBP/RK1N2RQ w KQkq - 0 10', 'move_number': 10, 'move': 'b4b5', 'prev_move': 'h7h5', 'time_diff': '0:10:02', 'exp_point_loss': 0.49299999999999994}]","[{'turn': 'Black', 'fen': 'rk4rq/2np2p1/bpPb1p2/2n1p3/P3B1p1/4P3/1B1P1P1P/RKNN2RQ b KQkq - 4 14', 'move_number': 15, 'move': 'c5e4', 'prev_move': 'g2e4', 'time_diff': '0:19:10', 'exp_point_loss': 0.000500000000000056}]"
159.9,157.6,0.0,0.0,0.0,0.0,Alexander Grischuk,Drazen Dragicevic,Freestyle Chess Open A,"Karlsruhe, Germany",4.30,2682,2334,1.0,0.0,2025.04.19,39,38,4.1,4.1,0.0,0.0,0.13,0.0,0,0,0,0,0,0,0,1,0,0,[],"[{'turn': 'Black', 'fen': 'q1rkrb2/1p1n2pp/4bp2/1Pp5/p3Pn2/N1B3N1/PQ1PB1PP/2R2RK1 b q - 6 15', 'move_number': 16, 'move': 'f4e2', 'prev_move': 'd1e1', 'time_diff': '0:39:32', 'exp_point_loss': 0}]"
158.4,124.0,0.9,1.4,19.05,38.38,Andrey Esipenko,Baadur Jobava,Freestyle Chess Open A,"Karlsruhe, Germany",9.10,2696,2600,1.0,0.0,2025.04.21,38,37,4.2,3.4,0.02,0.04,0.05,-1.81,1,2,1,6,0,1,0,0,0,1,"[{'turn': 'White', 'fen': '3qr1k1/p4ppb/3p4/2pN4/2P1P2P/r1BP3Q/6P1/2R3K1 w - - 2 28', 'move_number': 28, 'move': 'h3g4', 'prev_move': 'a2a3', 'time_diff': '0:01:28', 'exp_point_loss': 0.3315}, {'turn': 'Black', 'fen': '3qr1k1/p4ppb/3p4/2pN4/2P1P1QP/2RP4/6P1/6K1 b - - 0 29', 'move_number': 30, 'move': 'f7f5', 'prev_move': 'c1c3', 'time_diff': '0:03:52', 'exp_point_loss': 0.4525}]","[{'turn': 'Black', 'fen': '3qr1k1/p4ppb/3p4/2pN4/2P1P2P/2BP3Q/r5P1/2R3K1 b - - 1 27', 'move_number': 28, 'move': 'a2a3', 'prev_move': 'e1c3', 'time_diff': '0:18:17', 'exp_point_loss': 0}]"
159.1,157.6,0.0,0.0,0.0,0.0,Dinara Wagner,Roland Wehner,Freestyle Chess Open A,"Karlsruhe, Germany",4.49,2435,2249,1.0,0.0,2025.04.19,55,54,2.9,2.9,0.0,0.0,0.08,0.0,0,0,0,0,0,0,0,0,2,2,[],"[{'turn': 'Black', 'fen': 'qnrkrbbn/pp1ppppp/8/2p5/4PP2/8/PPPP2PP/QNRKRBBN b KQkq - 0 2', 'move_number': 3, 'move': 'e7e5', 'prev_move': 'f2f4', 'time_diff': '0:21:39', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'q1rkrbbn/pp1p3p/2n2pp1/2p1pP2/4P3/2N3N1/PPPP2PP/Q1RKRBB1 w KQkq - 2 6', 'move_number': 6, 'move': 'b2b3', 'prev_move': 'b8c6', 'time_diff': '0:17:07', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'q1rkrbbn/pp1p3p/2n2pp1/2p1pP2/4P3/1PN3N1/P1PP2PP/Q1RKRBB1 b KQkq - 0 6', 'move_number': 7, 'move': 'b7b6', 'prev_move': 'b2b3', 'time_diff': '0:25:18', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '5rk1/p3q2p/1r1p1pn1/2pPpR2/2P1N2P/P3Q3/3P2P1/2R3K1 w - - 1 23', 'move_number': 23, 'move': 'c1f1', 'prev_move': 'h8g6', 'time_diff': '0:15:22', 'exp_point_loss': 0}]"
158.0,136.7,0.16,0.65,14.06,307.59,Raja Harshit,Leon Wu,"Round 1: Raja Harshit - Wu, Leon",https://lichess.org/study/9Y9s1M4a/H9vzUG1a,1.65,2474,2067,1.0,0.0,2025.04.17,35,34,4.5,4.0,0.0,0.02,0.02,-1.13,0,0,0,1,0,1,0,0,0,1,"[{'turn': 'Black', 'fen': 'rkb5/1ppp3p/1b2n2q/p2Q4/P2P1p2/2N5/1PP1PB1P/1K1RN3 b q - 1 16', 'move_number': 17, 'move': 'd7d6', 'prev_move': 'g3f2', 'time_diff': '0:01:17', 'exp_point_loss': 0.458}]","[{'turn': 'Black', 'fen': 'rkb1n1q1/1ppp3p/4n3/p1bBpp2/P4P2/2NP4/1PP1P2P/RKB1N2Q b Qq - 0 9', 'move_number': 10, 'move': 'e5f4', 'prev_move': 'f2f4', 'time_diff': '0:24:20', 'exp_point_loss': 0.0010000000000000009}]"
157.7,129.8,0.29,0.79,24.22,59.15,Christian Scholz,Aayush Wadhwa,"Round 2: Scholz, Christian, Dr. - Wadhwa, Aayush",https://lichess.org/study/AprGXQxU/V1DZHVcB,2.62,2284,1916,1.0,0.0,2025.04.18,27,26,5.8,5.0,0.01,0.03,0.01,-1.5,0,2,0,3,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '3q2kr/2r1bppp/ppn2n2/2p5/3p1P2/1P2PQ1B/P2PNP1P/B1R2R1K b k - 1 13', 'move_number': 14, 'move': 'c6b4', 'prev_move': 'c3e2', 'time_diff': '0:06:05', 'exp_point_loss': 0.2555}, {'turn': 'Black', 'fen': '3q2kr/2r1bppp/pp3n2/2p5/1n1p1P2/PP2PQ1B/3PNP1P/B1R2R1K b k - 0 14', 'move_number': 15, 'move': 'b4d3', 'prev_move': 'a2a3', 'time_diff': '0:03:55', 'exp_point_loss': 0.2625}]",[]
164.1,157.6,0.0,0.0,0.0,0.0,Hans Moke Niemann,Denis Kadric,Freestyle Chess Open A,"Karlsruhe, Germany",4.11,2736,2533,1.0,0.0,2025.04.19,43,42,3.8,3.8,0.0,0.0,0.35,0.0,0,0,0,0,0,0,1,1,0,1,[],"[{'turn': 'Black', 'fen': '2krrqbn/1ppp1ppp/p7/3Np3/1PBnP3/P4PN1/Q1PP2PP/2KR2R1 b - - 2 11', 'move_number': 12, 'move': 'f7f6', 'prev_move': 'c3d5', 'time_diff': '0:28:04', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '1k1rr3/1p3q1p/pNp1bpp1/Pn1pp3/1PN1P3/1QP2P2/1K1P2PP/3R2R1 w - - 0 23', 'move_number': 23, 'move': 'e4d5', 'prev_move': 'd7d5', 'time_diff': '0:37:23', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': '2r5/R6p/5pp1/1p2k3/1P6/3K1P2/3P2PP/8 b - - 0 39', 'move_number': 40, 'move': 'c8c4', 'prev_move': 'c3d3', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
