Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Ebru Ceylan,158.9,0.93,10.96,1,1,158.9,0.93,0,2582,24,1,0,10.96,0,0,0,0.07,0.93,,158.9,,1,0,0.93,0,0,0
Christian Doenitz,158.5,0,0,1,0.5,158.5,0,2015,2281,37,0,1,0,0,0,0,0.05,,0,,158.5,0,0.5,0,0,0,0
Simon Knudsen,157.8,0,0,1,0.5,157.8,0,2289,2050,59,1,0,0,0,0,0,0.01,0,,157.8,,0.5,0,0,0,0,0
Achim Gunter Hoffmann,157.6,0,0,1,0,157.6,0,2035,2207,47,1,0,0,0,0,0,0,0,,157.6,,0,0,0,0,0,0
Thomas A Quilter,144.5,0.53,35.03,1,0,144.5,0.53,2162,2490,29,0,1,35.03,0,0,0,-0.71,,0.53,,144.5,0,0,0.53,0,0,0
Lukas Pfatteicher,143.1,0.68,27.21,1,0,143.1,0.68,2210,2557,29,0,1,27.21,0,0,0,-0.78,,0.68,,143.1,0,0,0.68,0,0,0
Phil Thomsen,141.9,0.61,51,1,0,141.9,0.61,2156,2471,13,0,1,51,0,0,0,-0.84,,0.61,,141.9,0,0,0.61,0,0,0
Hans Walter Schmitt,139.3,0.52,46.53,1,0,139.3,0.52,1986,2113,17,1,0,46.53,0,0,0,-0.99,0.52,,139.3,,0,0,0.52,0,0,0
Andrew M Dunn,138.9,0.65,36.05,1,0,138.9,0.65,2117,2391,20,0,1,36.05,0,0,0,-1.01,,0.65,,138.9,0,0,0.65,0,0,0
Stefan Huhn,138.1,0.62,30.5,1,0,138.1,0.62,2076,2310,24,0,1,30.5,0,0,0,-1.05,,0.62,,138.1,0,0,0.62,0,0,0
Ufuk Tuncer,137.4,1.09,15.04,1,0,137.4,1.09,2391,-191,23,0,1,15.04,0,0,0,-1.09,,1.09,,137.4,0,0,1.09,0,0,0
Thomas Braeutigam,136.6,0.68,21.87,1,0,136.6,0.68,2032,2338,40,0,1,21.87,0,0,0,-1.13,,0.68,,136.6,0,0,0.68,0,0,0
Cedric Bleuzen,134.3,0.75,416.67,1,0,134.3,0.75,2003,2322,24,0,1,416.67,0,0,0,-1.26,,0.75,,134.3,0,0,0.75,0,0,0
Marcel Germer,133.3,0.88,286.7,1,0,133.3,0.88,2130,2427,37,1,0,286.7,0,0,0,-1.31,0.88,,133.3,,0,0,0.88,0,0,0
Jonas Tibke,132.5,0.72,58.34,1,0,132.5,0.72,2030,2143,35,1,0,58.34,0,0,0,-1.35,0.72,,132.5,,0,0,0.72,0,0,0
Stefan Morgenthaler,131.5,0.85,52.81,1,0,131.5,0.85,2074,2342,21,0,1,52.81,0,0,0,-1.4,,0.85,,131.5,0,0,0.85,0,0,0
Conrad Schormann,126.6,1.05,42,1,0,126.6,1.05,2111,2377,36,1,0,42,0,0,0,-1.67,1.05,,126.6,,0,0,1.05,0,0,0
Matthias Kribben,124.7,1.01,29.68,1,0,124.7,1.01,2060,2268,31,0,1,29.68,0,0,0,-1.77,,1.01,,124.7,0,0,1.01,0,0,0
Markus Hess,122.1,1.99,305.51,1,1,122.1,1.99,2057,2426,37,1,0,305.51,0,0,0,-1.91,1.99,,122.1,,1,0,1.99,0,0,0
Karl-Heinz Steinhart,121.1,1.22,34.21,1,0,121.1,1.22,2110,2366,29,0,1,34.21,0,0,0,-1.96,,1.22,,121.1,0,0,1.22,0,0,0
Jakob Leck,121,1.2,38.33,1,0,121,1.2,2046,2345,36,0,1,38.33,0,0,0,-1.97,,1.2,,121,0,0,1.2,0,0,0
Martin Ahn,119.6,1.33,223.98,1,0,119.6,1.33,2124,2397,90,1,0,223.98,0,0,0,-2.05,1.33,,119.6,,0,0,1.33,0,0,0
Heiko Degro,119.4,1.22,32.31,1,0,119.4,1.22,1948,2317,35,0,1,32.31,0,0,0,-2.06,,1.22,,119.4,0,0,1.22,0,0,0
Bernd Wagner,119.4,1.2,45.96,1,0,119.4,1.2,2069,2298,27,0,1,45.96,0,0,0,-2.06,,1.2,,119.4,0,0,1.2,0,0,0
