Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Gata Kamsky,159,0.51,12.36,9,6,158,0.36,2603,2671,347,5,4,7,3.54,0.39,11.41,0.09,0.54,0.46,159,159,3.5,2.5,4.57,12.55,0.15,130.15
Magnus Carlsen,159,0.6,4.28,9,9,162,0.59,2837,3180,334,5,4,9.61,11.24,0.64,16.64,0.07,0.79,0.36,155,164,5,4,5.4,126.31,0.4,277.05
Tobias Koelle,159,0.3,8.77,9,6,159,0.21,2459,2598,373,5,4,5.5,4.55,0.31,7.5,0.06,0.47,0.08,157,161,3,3,2.7,20.66,0.1,56.3
Frederik Svane,158,0.26,30.94,9,7,160,0.14,2668,2692,369,5,4,8.58,11.17,0.33,71.44,0.03,0.27,0.26,154,163,3,4,2.36,124.71,0.11,5103.99
Vincent Keymer,157,0.39,8.39,9,6.5,158,0.34,2718,2713,366,4,5,6.94,10.07,0.41,9.2,-0.04,0.33,0.44,159,155,3,3.5,3.53,101.46,0.17,84.65
Leon Luke Mendonca,156,0.46,10.03,9,6.5,160,0.17,2643,2751,325,5,4,7.91,19.92,0.67,11.54,-0.07,0.64,0.23,151,162,3.5,3,4.11,396.88,0.45,133.06
Rauf Mamedov,156,0.59,12.87,9,6.5,159,0.56,2657,2691,405,4,5,12.85,7.2,0.35,7.36,-0.09,0.54,0.63,154,157,2.5,4,5.29,51.78,0.12,54.11
Maxime Vachier-Lagrave,156,0.45,31.16,9,6.5,159,0.33,2722,2613,396,5,4,8.39,6.78,0.45,66.63,-0.1,0.6,0.26,156,155,4,2.5,4.04,45.93,0.2,4440
Aryan Chopra,156,0.59,9.66,9,6,157,0.51,2620,2616,387,5,4,8.67,9.58,0.4,7.32,-0.11,0.77,0.37,150,162,3,3,5.33,91.78,0.16,53.52
Javokhir Sindarov,156,0.39,10.8,9,6.5,160,0.33,2706,2681,265,4,5,10.52,13.35,0.37,9.89,-0.11,0.3,0.47,156,155,2.5,4,3.54,178.21,0.14,97.85
Erigaisi Arjun,156,0.62,9.22,9,7,158,0.55,2782,2710,341,4,5,9.93,9.32,0.51,4.46,-0.11,0.52,0.7,154,156,2,5,5.58,86.92,0.26,19.93
Jorden Van Foreest,155,0.53,13.23,9,6,158,0.7,2681,2632,366,5,4,12.57,6.8,0.49,8.54,-0.12,0.67,0.36,154,158,4,2,4.81,46.17,0.24,72.92
Richard Rapport,155,0.49,8.85,9,6.5,158,0.29,2722,2700,392,5,4,8.13,10.76,0.47,6.69,-0.14,0.37,0.65,157,153,3,3.5,4.42,115.75,0.22,44.78
Levon Aronian,155,0.54,30.13,9,6,160,0.32,2747,2624,373,4,5,12.31,9.03,0.49,61.28,-0.16,0.47,0.6,157,153,3,3,4.87,81.61,0.24,3755.7
Quang Liem Le,155,0.45,13.2,9,6,160,0.35,2729,2604,368,5,4,13.9,12.32,0.44,8.86,-0.17,0.5,0.4,152,158,3.5,2.5,4.06,151.88,0.2,78.5
Baadur Jobava,154,0.48,11.64,9,6,162,0.3,2600,2670,335,4,5,12.71,18.59,0.59,11.94,-0.17,0.43,0.52,155,154,2.5,3.5,4.32,345.43,0.35,142.65
Wesley So,154,0.48,11.87,9,6.5,159,0.32,2748,2629,363,5,4,7.3,13.51,0.5,13.17,-0.17,0.66,0.26,150,159,3.5,3,4.34,182.48,0.25,173.49
Fabiano Caruana,154,0.62,41.84,9,7,161,0.56,2776,2764,300,5,4,13.13,14.36,0.65,95.3,-0.2,0.72,0.48,150,159,3.5,3.5,5.55,206.09,0.42,9082.52
Pranesh M,154,0.63,49.5,9,6.5,158,0.42,2572,2744,315,5,4,11.5,16.66,0.83,115.2,-0.21,0.8,0.42,152,155,4.5,2,5.65,277.7,0.7,13271.75
Maciej Klekowski,154,0.45,130.08,9,5.5,158,0.43,2474,2557,237,5,4,16.93,11.73,0.32,178.52,-0.22,0.5,0.38,152,155,2.5,3,4.04,137.63,0.1,31870.43
Bibisara Assaubayeva,153,0.42,12.29,9,6,158,0.26,2494,2495,315,4,5,10.61,11.42,0.56,9.21,-0.23,0.78,0.13,147,159,2,4,3.76,130.38,0.31,84.78
Yangyi Yu,153,0.59,10.45,9,6.5,160,0.32,2714,2703,285,5,4,11.27,19.45,0.9,5.48,-0.23,0.23,1.03,161,144,3.5,3,5.29,378.21,0.8,30.05
Adrian Gschnitzer,153,0.64,17.11,8,5.5,158,0.58,2430,2521,346,4,4,17.45,9.13,0.48,11.49,-0.25,0.39,0.89,157,149,2.5,3,5.1,83.32,0.23,131.98
Rasmus Svane,153,0.6,10.84,9,6.5,158,0.34,2625,2704,345,5,4,9.8,12.33,0.65,8.1,-0.27,0.8,0.36,150,156,3.5,3,5.44,151.93,0.42,65.67
Alexander Grischuk,153,0.6,8.93,10,7,158,0.52,2682,2603,452,4,6,8.86,11.23,0.52,6.36,-0.26,0.44,0.7,157,150,3.5,3.5,5.95,126.2,0.27,40.48
