,Mean,Median,Std Dev,Min,Max
Total Moves,48890.0,48890.0,0.0,48890.0,48890.0
Total Games,621.0,621.0,0.0,621.0,621.0
avg_gi,134.51,138.7,17.73,69.0,159.3
avg_missed_points,0.97,0.86,0.49,0.0,2.69
avg_missed_points_white,0.93,0.79,0.62,0.0,3.91
avg_missed_points_black,0.95,0.84,0.55,0.0,3.11
avg_gi_white,136.79,143.0,22.05,15.2,160.6
avg_gi_black,136.05,140.0,18.1,77.4,163.6
avg_acpl,63.09,31.16,79.04,-2.66,416.67
Elo,2319.67,2300.0,269.26,0.0,2837.0
TPR,2351.76,2345.0,265.17,-191.0,3180.0
gi_median,138.44,141.9,19.76,71.7,162.0
missed_points_median,0.91,0.79,0.54,0.0,2.75
