white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
139.5,136.4,1.49,1.49,15.6,15.26,Wesley So,Hikaru Nakamura,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",15.2,2745,2807,0.5,0.5,????.??.??,50,50,2.8,2.7,0.03,0.03,-0.97,-1.14,2,1,2,3,1,2,0,0,0,0,"[{'turn': 'White', 'fen': 'rqnnk1br/pp1p2p1/2pb1p2/8/2PBPP1p/6P1/PP5P/RQNNKB1R w KQkq - 0 8', 'move_number': 8, 'move': 'd1f2', 'prev_move': 'h5h4', 'time_diff': '0:00:23', 'exp_point_loss': 0.4215}, {'turn': 'Black', 'fen': 'r1nnk1br/pp1pb1p1/2pq1p2/8/2PBPP1p/6P1/PP1Q1N1P/R1NK1B1R b kq - 7 11', 'move_number': 12, 'move': 'd8e6', 'prev_move': 'c2d2', 'time_diff': '0:00:25', 'exp_point_loss': 0.40700000000000003}, {'turn': 'Black', 'fen': '8/3pk3/2p2p2/1P6/1P2PP2/p1KB3r/b7/R7 b - - 3 34', 'move_number': 35, 'move': 'd7d5', 'prev_move': 'e2d3', 'time_diff': '0:00:28', 'exp_point_loss': 0.498}, {'turn': 'White', 'fen': '8/4k3/2p2p2/1P1p4/1P2PP2/p1KB3r/b7/R7 w - - 0 35', 'move_number': 35, 'move': 'e4d5', 'prev_move': 'd7d5', 'time_diff': '0:00:54', 'exp_point_loss': 0.5}]",[]
170.7,145.7,0.16,0.66,4.65,33.94,Hikaru Nakamura,Wesley So,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",16.2,2807,2745,1.0,0.0,????.??.??,17,16,10.0,9.1,0.01,0.04,0.71,-0.64,1,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'rqb3kr/pp1p1pbp/2nn2p1/2p1p3/P3P3/2PP1N2/BP3PPP/RQBN2KR b KQkq - 2 7', 'move_number': 8, 'move': 'a7a6', 'prev_move': 'c4a2', 'time_diff': '0:00:23', 'exp_point_loss': 0.371}]",[]
172.2,146.7,0.16,0.66,18.17,32.6,Magnus Carlsen,Praggnanandhaa R,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",16.1,2839,2779,1.0,0.0,????.??.??,41,40,4.2,3.7,0.0,0.02,0.79,-0.58,1,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '3Rrk2/pN3pp1/2p4p/7P/1P3P2/P1n2KP1/8/8 b - - 0 31', 'move_number': 32, 'move': 'f8e7', 'prev_move': 'a2a3', 'time_diff': '0:01:46', 'exp_point_loss': 0.3885}]",[]
168.8,138.9,0.45,0.95,12.12,250.05,Praggnanandhaa R,Magnus Carlsen,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",15.1,2779,2839,1.0,0.0,????.??.??,43,42,3.9,3.3,0.01,0.02,0.61,-1.01,1,4,0,3,1,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'rq2k2r/pp2bnpp/2pnbp2/4p3/3PP3/2PBN3/PP2NBPP/RQ3RK1 b kq - 6 10', 'move_number': 11, 'move': 'g7g6', 'prev_move': 'c1e2', 'time_diff': '0:00:26', 'exp_point_loss': 0.39799999999999996}, {'turn': 'Black', 'fen': '4rkr1/p2bbn1p/3n4/3P1p1N/8/3p2R1/PQ4PP/4R1K1 b - - 7 25', 'move_number': 26, 'move': 'e7g5', 'prev_move': 'f3g3', 'time_diff': '0:02:58', 'exp_point_loss': 0.319}]",[]
173.4,148.0,0.09,0.58,4.45,196.54,Magnus Carlsen,Erigaisi Arjun,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",20.2,2839,2776,1.0,0.0,????.??.??,53,52,3.3,2.8,0.0,0.01,0.85,-0.52,0,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '5rk1/p5p1/2r1p2p/2p1Qp1P/1PNq4/3P1PP1/P1R1P1K1/8 b - - 0 31', 'move_number': 32, 'move': 'f8e8', 'prev_move': 'b3b4', 'time_diff': '0:01:22', 'exp_point_loss': 0.365}]",[]
137.9,162.9,1.19,0.69,25.67,13.02,Erigaisi Arjun,Magnus Carlsen,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",21.2,2776,2839,0.0,1.0,????.??.??,42,42,3.3,3.9,0.03,0.02,-1.06,0.29,1,2,2,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bk1qrb/pp2pp1p/2np4/1NpN4/4P1pP/2PP2Pn/PP3PR1/R1B1KQ1B b Q - 2 10', 'move_number': 11, 'move': 'c6e5', 'prev_move': 'g1g2', 'time_diff': '0:00:26', 'exp_point_loss': 0.36500000000000005}, {'turn': 'White', 'fen': 'r2k1qrb/pp1bpp1p/3p4/1N1Nn3/3pP1pP/2P3Pn/PP3P1R/R1B1KQ1B w Q - 0 13', 'move_number': 13, 'move': 'c3d4', 'prev_move': 'c5d4', 'time_diff': '0:01:34', 'exp_point_loss': 0.3115}, {'turn': 'White', 'fen': '2rk1qrb/1p3p1p/p1npp3/1N6/3PP2P/2N1BpPQ/PP6/R3K2B w Q - 0 19', 'move_number': 19, 'move': 'b5a3', 'prev_move': 'a7a6', 'time_diff': '0:00:50', 'exp_point_loss': 0.3464999999999999}]",[]
143.2,142.3,1.29,1.29,7.12,7.06,Fabiano Caruana,Hikaru Nakamura,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",21.1,2784,2807,0.5,0.5,????.??.??,52,52,2.8,2.7,0.02,0.02,-0.77,-0.82,6,0,1,7,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1b2rk1/4pn1p/1pp1n3/p2pP1p1/P1PP2PP/4BB2/1P1N4/R3R1K1 b - - 0 28', 'move_number': 29, 'move': 'f8d8', 'prev_move': 'c3c4', 'time_diff': '0:00:21', 'exp_point_loss': 0.28}, {'turn': 'White', 'fen': 'r1br2k1/4pn1p/1p2n3/p2pP1p1/P2P2PP/4BB2/1P1N4/R3R1K1 w - - 0 30', 'move_number': 30, 'move': 'h4g5', 'prev_move': 'c6d5', 'time_diff': '0:00:40', 'exp_point_loss': 0.3395}]",[]
110.3,113.4,2.94,2.93,36.45,36.23,Hikaru Nakamura,Fabiano Caruana,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",20.1,2807,2784,0.5,0.5,????.??.??,66,66,1.7,1.7,0.04,0.04,-2.55,-2.38,2,3,4,4,0,5,0,0,0,0,"[{'turn': 'White', 'fen': '1b1r1rk1/p2qn1p1/1p2bp2/1Ppnp2p/7P/P2PPN2/3NBPP1/BQ2R1KR w K - 8 26', 'move_number': 26, 'move': 'a3a4', 'prev_move': 'c7b8', 'time_diff': '0:00:50', 'exp_point_loss': 0.44799999999999995}, {'turn': 'Black', 'fen': '1b1r1rk1/p2qn1p1/1p2bp2/1Ppnp2p/P6P/3PPN2/3NBPP1/BQ2R1KR b K - 0 26', 'move_number': 27, 'move': 'e6g4', 'prev_move': 'a3a4', 'time_diff': '0:00:22', 'exp_point_loss': 0.2925}, {'turn': 'Black', 'fen': '4r2k/p4Bp1/1p3p2/1Pr4p/P5bP/2q1nN2/1Q3RP1/4R1K1 b - - 3 44', 'move_number': 45, 'move': 'c3b2', 'prev_move': 'b3f7', 'time_diff': '0:00:46', 'exp_point_loss': 0.4615}, {'turn': 'White', 'fen': '5r1k/p4Bp1/1p3p2/1Pr4p/P5bP/4nN2/1R4P1/4R1K1 w - - 1 46', 'move_number': 46, 'move': 'f7b3', 'prev_move': 'e8f8', 'time_diff': '0:01:13', 'exp_point_loss': 0.49349999999999994}, {'turn': 'Black', 'fen': '7k/N5p1/1p3p2/1P5p/P5bP/1Brrn3/1R3KP1/4R3 b - - 0 50', 'move_number': 51, 'move': 'f6f5', 'prev_move': 'c6a7', 'time_diff': '0:00:37', 'exp_point_loss': 0.48750000000000004}, {'turn': 'White', 'fen': '7k/N5p1/1p6/1P3p1p/P5bP/1Brrn3/1R3KP1/4R3 w - - 0 51', 'move_number': 51, 'move': 'a7c6', 'prev_move': 'f6f5', 'time_diff': '0:00:55', 'exp_point_loss': 0.48750000000000004}, {'turn': 'Black', 'fen': '7k/6p1/1pN5/1P5p/P4pbP/1Brrn3/1R3KP1/1R6 b - - 1 52', 'move_number': 53, 'move': 'g4d1', 'prev_move': 'e1b1', 'time_diff': '0:00:49', 'exp_point_loss': 0.496}, {'turn': 'White', 'fen': '7k/6p1/1p6/1P2N2p/P2r1p1P/1Br1n3/1R3KP1/1R1b4 w - - 4 54', 'move_number': 54, 'move': 'e5f7', 'prev_move': 'd3d4', 'time_diff': '0:00:42', 'exp_point_loss': 0.48950000000000005}, {'turn': 'Black', 'fen': '8/6p1/1P3k2/p6p/3r1pnP/1B5r/1R6/1R4K1 b - - 8 66', 'move_number': 67, 'move': 'h3g3', 'prev_move': 'h1g1', 'time_diff': '0:00:23', 'exp_point_loss': 0.5}]",[]
115.9,112.0,2.38,2.37,6.8,6.66,Ray Robson,Vincent Keymer,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",1.4,2687,2730,0.5,0.5,????.??.??,128,128,0.9,0.9,0.02,0.02,-2.25,-2.46,4,2,4,1,1,5,0,0,0,0,"[{'turn': 'White', 'fen': 'nrbk1bqr/p2p2pp/1pp2n2/8/1P1Qp3/1N2P3/PBPP2PP/1R1KNB1R w KQkq - 0 8', 'move_number': 8, 'move': 'b4b5', 'prev_move': 'c7c6', 'time_diff': '0:04:39', 'exp_point_loss': 0.3545}, {'turn': 'Black', 'fen': 'nrbk1bqr/p2p2pp/1p3n2/1Pp5/Q3p3/1N2P3/PBPP2PP/1R1KNB1R b KQkq - 1 9', 'move_number': 10, 'move': 'f6g4', 'prev_move': 'd4a4', 'time_diff': '0:01:45', 'exp_point_loss': 0.33799999999999997}, {'turn': 'Black', 'fen': '1rbk1bqr/p1np2pp/1p6/1Pp5/Q3p3/1N2P3/PBPPBnPP/1RK1N1R1 b kq - 7 12', 'move_number': 13, 'move': 'a7a6', 'prev_move': 'f1e2', 'time_diff': '0:02:36', 'exp_point_loss': 0.41000000000000003}, {'turn': 'White', 'fen': 'r1bk1bqr/2np2pp/Pp6/2p5/Q3p3/1N2P3/PBPPBnPP/1RK1N1R1 w k - 1 14', 'move_number': 14, 'move': 'g1f1', 'prev_move': 'b8a8', 'time_diff': '0:04:59', 'exp_point_loss': 0.36950000000000005}, {'turn': 'White', 'fen': '2k1r3/2npb1Qp/1p2q3/1bp1N3/8/1N2P3/rBPP1RPP/1RK5 w - - 1 23', 'move_number': 23, 'move': 'b1a1', 'prev_move': 'h8e8', 'time_diff': '0:00:28', 'exp_point_loss': 0.4334999999999999}, {'turn': 'Black', 'fen': '2k3r1/2npbQ2/1p2q3/1bp5/3P4/1N2P3/1KP2RPP/R7 b - - 2 27', 'move_number': 28, 'move': 'b5c6', 'prev_move': 'h7f7', 'time_diff': '0:01:29', 'exp_point_loss': 0.40949999999999986}, {'turn': 'White', 'fen': '2k3r1/2npbQ2/1pb1q3/2p5/3P4/1N2P3/1KP2RPP/R7 w - - 3 28', 'move_number': 28, 'move': 'g2g3', 'prev_move': 'b5c6', 'time_diff': '0:00:33', 'exp_point_loss': 0.4264999999999999}, {'turn': 'Black', 'fen': '2k5/2npb3/1pb1r3/2p5/3P4/1N2P1P1/1KP2R1P/4R3 b - - 1 30', 'move_number': 31, 'move': 'c7d5', 'prev_move': 'a1e1', 'time_diff': '0:01:11', 'exp_point_loss': 0.344}, {'turn': 'Black', 'fen': '2k5/3pb3/1pb1r3/2pn4/3PP3/1N4P1/1KP2R1P/4R3 b - - 0 31', 'move_number': 32, 'move': 'c5c4', 'prev_move': 'e3e4', 'time_diff': '0:00:35', 'exp_point_loss': 0.3185}]",[]
144.3,168.7,0.62,0.11,349.38,304.17,Samuel Sevian,Wesley So,Freestyle Chess Grand Slam Las Vegas Lower Bracket,"Las Vegas, United States",1.2,2683,2745,0.0,1.0,????.??.??,29,29,5.0,5.8,0.02,0.0,-0.71,0.6,1,0,1,1,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'n2rn3/pkppb1pp/1p6/1P5q/Q2Np3/4P3/PBPP1rPP/1RK1N2R w - - 6 15', 'move_number': 15, 'move': 'c2c4', 'prev_move': 'f8f2', 'time_diff': '0:06:33', 'exp_point_loss': 0.472}]",[]
