Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Magnus Carlsen,154.2,0.75,60.98,17,12.0,159.6,0.69,2831,2874,768,8,9,13.6,17.38,0.55,93.35,-0.18,0.7,0.8,155.5,153.1,6.0,6.0,12.77,302.18,0.3,8714.97
Levon Aronian,152.5,0.8,85.98,13,8.5,160.3,0.66,2742,2832,586,6,7,13.28,13.69,0.6,177.98,-0.27,0.83,0.78,150.1,154.5,3.0,5.5,10.42,187.47,0.35,31678.35
Praggnanandhaa R,151.2,0.81,49.26,15,9.5,155.8,0.66,2737,2828,645,7,8,17.78,19.68,0.8,96.59,-0.34,0.58,1.01,160.3,143.2,6.5,3.0,12.1,387.35,0.64,9329.41
Nodirbek Abdusattorov,149.2,0.85,87.47,11,6.0,151.4,0.84,2751,2739,526,6,5,13.32,11.9,0.71,207.41,-0.45,0.62,1.12,152.8,144.9,3.0,3.0,9.34,141.54,0.5,43017.41
Hikaru Nakamura,148.0,1.13,15.11,17,12.0,156.0,0.96,2779,2884,854,8,9,13.71,20.48,0.83,8.39,-0.51,1.39,0.89,141.1,154.1,5.0,7.0,19.15,419.28,0.7,70.37
Hans Moke Niemann,147.4,0.94,4.25,13,7.0,150.0,1.06,2674,2747,607,7,6,11.41,14.77,0.5,39.52,-0.55,0.78,1.12,150.7,143.7,4.0,3.0,12.2,218.07,0.25,1561.53
Javokhir Sindarov,147.0,0.99,15.5,11,6.0,147.9,0.94,2700,2754,494,5,6,13.95,15.02,0.7,10.69,-0.57,1.27,0.76,143.0,150.4,3.0,3.0,10.86,225.71,0.48,114.2
Bibisara Assaubayeva,144.7,0.67,53.38,9,1.0,140.2,0.67,2459,2362,448,5,4,24.33,10.42,0.33,93.51,-0.69,0.64,0.7,144.2,145.3,0.5,0.5,5.99,108.64,0.11,8744.0
Erigaisi Arjun,141.9,1.08,75.13,15,5.5,137.9,1.19,2744,2642,640,7,8,26.38,15.33,0.54,90.85,-0.84,0.97,1.18,145.3,139.0,3.0,2.5,16.21,234.99,0.29,8253.34
Wesley So,141.4,1.07,52.49,15,6.5,149.3,0.74,2728,2677,700,8,7,26.11,24.01,0.94,84.03,-0.87,1.29,0.81,134.3,149.5,2.5,4.0,16.02,576.46,0.89,7060.37
Fabiano Caruana,140.8,1.33,17.21,15,9.0,142.5,1.29,2771,2799,731,7,8,11.96,21.32,0.85,12.44,-0.9,1.11,1.52,147.8,134.7,5.0,4.0,19.98,454.76,0.73,154.8
Vincent Keymer,134.9,1.35,32.61,11,4.5,127.3,1.7,2680,2642,608,6,5,25.59,23.08,0.91,39.25,-1.22,1.39,1.29,134.5,135.4,2.0,2.5,14.81,532.91,0.83,1540.7
Leinier Dominguez Perez,132.6,1.4,17.83,11,4.5,131.0,1.38,2717,2610,589,6,5,17.22,27.73,1.23,11.62,-1.35,1.35,1.46,133.5,131.5,2.5,2.0,15.36,769.06,1.51,135.14
Santosh Gujrathi Vidit,132.3,1.23,66.62,9,1.5,129.4,1.26,2671,2444,319,5,4,27.4,20.11,0.54,120.42,-1.36,1.2,1.27,135.5,128.2,1.5,0.0,11.11,404.41,0.3,14501.16
Ray Robson,131.8,1.46,21.74,9,3.5,132.4,1.47,2660,2621,564,5,4,22.87,15.69,0.6,15.22,-1.39,1.79,1.06,124.0,141.7,2.0,1.5,13.17,246.18,0.36,231.76
Samuel Sevian,120.0,1.92,57.77,9,3.0,123.5,1.71,2661,2583,643,4,5,25.9,35.01,1.44,110.3,-2.02,1.79,2.03,121.3,119.0,0.5,2.5,17.29,1225.53,2.08,12166.68
