white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
150.6,123.6,1.36,1.85,11.32,19.98,Hikaru Nakamura,Erigaisi Arjun,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",2.4,2804,2782,1.0,0.0,2025.04.10,62,61,2.4,2.0,0.02,0.03,-0.37,-1.83,1,3,1,7,1,2,0,0,1,1,"[{'turn': 'White', 'fen': '1r1r2k1/p4bpp/3qpb2/2Nn1p2/2nP1P2/5B2/P1N2BPP/2QR1RK1 w - - 9 23', 'move_number': 23, 'move': 'g2g3', 'prev_move': 'e7d6', 'time_diff': '0:05:11', 'exp_point_loss': 0.4704999999999999}, {'turn': 'Black', 'fen': '1r1r2k1/p4bpp/3qpb2/2Nn1p2/2nP1P2/5BP1/P1N2B1P/2QR1RK1 b - - 0 23', 'move_number': 24, 'move': 'd8c8', 'prev_move': 'g2g3', 'time_diff': '0:04:13', 'exp_point_loss': 0.4744999999999999}, {'turn': 'Black', 'fen': '1rr1q3/B1n3pk/4p2p/3nPp1b/5P2/1N4P1/P1R4P/2Q1RBK1 b - - 0 38', 'move_number': 39, 'move': 'b8a8', 'prev_move': 'f2a7', 'time_diff': '0:00:01', 'exp_point_loss': 0.23200000000000004}]","[{'turn': 'Black', 'fen': '2rbbrk1/ppn1pqpp/2np4/2p2p2/2P2P2/2NPP3/PPN2QPP/2RBBRK1 b - - 0 8', 'move_number': 9, 'move': 'e7e6', 'prev_move': 'e2e3', 'time_diff': '0:20:55', 'exp_point_loss': 0.0015000000000000013}, {'turn': 'White', 'fen': '2r2rk1/ppn1qbpp/2n1pb2/2pp1p2/2PP1P2/2N1PB2/PPN1Q1PP/3RBRK1 w - - 0 13', 'move_number': 13, 'move': 'b2b3', 'prev_move': 'd6d5', 'time_diff': '0:15:32', 'exp_point_loss': 0.009999999999999953}]"
139.8,165.5,0.97,0.44,22.0,8.3,Vincent Keymer,Hikaru Nakamura,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",9.1,2718,2804,0.0,1.0,2025.04.12,43,43,3.3,3.8,0.02,0.01,-0.96,0.43,1,2,1,2,0,1,0,1,0,0,"[{'turn': 'White', 'fen': '2kq4/p7/2b1rnp1/2p2p1p/2P2B1P/5P2/P1N1P1P1/4QNK1 w - - 3 29', 'move_number': 29, 'move': 'e1b1', 'prev_move': 'b7c6', 'time_diff': '0:03:22', 'exp_point_loss': 0.43999999999999995}, {'turn': 'Black', 'fen': 'k7/p7/4r1p1/2Q2p1p/b1q2B1P/3N1P2/P3P1P1/5K2 b - - 0 37', 'move_number': 38, 'move': 'a4b5', 'prev_move': 'f2c5', 'time_diff': '0:00:43', 'exp_point_loss': 0.256}]","[{'turn': 'Black', 'fen': '2kR3r/pbq3p1/5n2/2p1Bp1p/2P4P/4N3/P3PPP1/2Q1bNK1 b - - 0 24', 'move_number': 25, 'move': 'c7d8', 'prev_move': 'd6d8', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
125.4,156.8,1.54,1.04,41.16,28.02,Nodirbek Abdusattorov,Ian Nepomniachtchi,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",15.4,2773,2757,0.0,1.0,2025.04.13,44,44,2.9,3.6,0.04,0.02,-1.73,-0.04,2,0,3,4,0,1,0,1,0,0,"[{'turn': 'White', 'fen': '2qbrr2/p5k1/1pn3p1/1Q1Np2p/2P1B3/3P2Pb/P1N1PP2/1R2R1K1 w - - 0 22', 'move_number': 22, 'move': 'c4c5', 'prev_move': 'h7h5', 'time_diff': '0:05:52', 'exp_point_loss': 0.39199999999999996}, {'turn': 'Black', 'fen': '3b4/p2Q1rk1/1N2r1p1/2P1p3/3NB1qp/3P2Pb/P3PP2/1R2R1K1 b - - 4 26', 'move_number': 27, 'move': 'f7e7', 'prev_move': 'c2d4', 'time_diff': '0:10:39', 'exp_point_loss': 0.514}, {'turn': 'White', 'fen': '3b4/p5k1/1N2q1p1/2P1p3/4B2p/3P2Pb/P3PP2/1R2R1K1 w - - 0 29', 'move_number': 29, 'move': 'b6d7', 'prev_move': 'g4e6', 'time_diff': '0:00:04', 'exp_point_loss': 0.5105}, {'turn': 'White', 'fen': '8/R1bq4/6pk/2P1p3/4B1b1/3P2P1/P3P3/1R4K1 w - - 1 34', 'move_number': 34, 'move': 'a7a6', 'prev_move': 'h3g4', 'time_diff': '0:06:28', 'exp_point_loss': 0.49949999999999994}]","[{'turn': 'Black', 'fen': '3b4/p3r1k1/1N2Q1p1/2P1p3/3NB1qp/3P2Pb/P3PP2/1R2R1K1 b - - 0 27', 'move_number': 28, 'move': 'e7e6', 'prev_move': 'd7e6', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
160.7,131.2,0.78,1.27,15.85,278.58,Praggnanandhaa R,Richard Rapport,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",9.5,2758,2722,1.0,0.0,2025.04.12,39,38,4.1,3.5,0.02,0.03,0.17,-1.42,2,1,1,1,1,2,0,0,0,1,"[{'turn': 'White', 'fen': '4rrk1/3n3p/b2q2p1/p1pppp2/7P/1P1NP1Q1/P2P1PP1/1BR1R1K1 w - - 1 22', 'move_number': 22, 'move': 'h4h5', 'prev_move': 'b7a6', 'time_diff': '0:01:45', 'exp_point_loss': 0.36750000000000005}, {'turn': 'Black', 'fen': '4rrk1/3n3p/b2q2p1/p1pppp1P/8/1P1NP1Q1/P2P1PP1/1BR1R1K1 b - - 0 22', 'move_number': 23, 'move': 'c5c4', 'prev_move': 'h4h5', 'time_diff': '0:03:55', 'exp_point_loss': 0.493}, {'turn': 'Black', 'fen': '4rrk1/3n3p/b2q2p1/p3pp1P/2p5/4P1Q1/PN1P1PP1/1BR1R1K1 b - - 1 24', 'move_number': 25, 'move': 'd6d2', 'prev_move': 'd3b2', 'time_diff': '0:00:26', 'exp_point_loss': 0.5005}]","[{'turn': 'Black', 'fen': 'qbb1r1kr/p3pppp/4nn2/1PppB3/8/1P1NN3/P2PPPPP/QB3RKR b KQk - 1 7', 'move_number': 8, 'move': 'a7a6', 'prev_move': 'b2e5', 'time_diff': '0:21:40', 'exp_point_loss': 0.0015000000000000013}]"
141.7,128.3,1.3,1.79,12.33,26.09,Maxime Vachier-Lagrave,Fabiano Caruana,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",1.3,2722,2776,0.5,0.5,2025.04.09,43,43,3.3,3.0,0.03,0.04,-0.85,-1.58,4,0,2,4,1,3,0,0,1,0,"[{'turn': 'White', 'fen': 'rk1bbrq1/1p2n2p/2pp4/p3np2/P7/1N1P2P1/1PP1B2P/RK2BRQN w KQkq - 2 11', 'move_number': 11, 'move': 'c2c4', 'prev_move': 'c8e7', 'time_diff': '0:18:31', 'exp_point_loss': 0.42499999999999993}, {'turn': 'Black', 'fen': 'rk1bbrq1/1p2n2p/3p4/p1p1np2/P1P5/1N1P2P1/1P2BN1P/RK2BRQ1 b KQkq - 1 12', 'move_number': 13, 'move': 'e8c6', 'prev_move': 'h1f2', 'time_diff': '0:07:09', 'exp_point_loss': 0.4635}, {'turn': 'Black', 'fen': 'r4rk1/3q3p/1p1p1bn1/p2Pnp2/P2B4/R5P1/1P2B2P/1KN2RQ1 b K - 0 21', 'move_number': 22, 'move': 'd7g7', 'prev_move': 'c3d4', 'time_diff': '0:00:25', 'exp_point_loss': 0.27499999999999997}, {'turn': 'White', 'fen': 'r4rk1/6qp/1p1p1bn1/p2Pn3/P4p2/R1B3P1/1P2B2P/1KN2RQ1 w K - 0 23', 'move_number': 23, 'move': 'g3f4', 'prev_move': 'f5f4', 'time_diff': '0:01:26', 'exp_point_loss': 0.4275}, {'turn': 'Black', 'fen': '8/7p/3b1k2/pBN5/P1P3P1/8/2K5/8 b - - 0 43', 'move_number': 44, 'move': 'f6e5', 'prev_move': 'd3c5', 'time_diff': '0:00:30', 'exp_point_loss': 0.5}]","[{'turn': 'White', 'fen': 'rk1bbrq1/1p2n2p/2pp4/p3np2/P7/1N1P2P1/1PP1B2P/RK2BRQN w KQkq - 2 11', 'move_number': 11, 'move': 'c2c4', 'prev_move': 'c8e7', 'time_diff': '0:18:31', 'exp_point_loss': 0.42499999999999993}]"
164.0,135.8,0.55,1.05,17.11,27.94,Praggnanandhaa R,Santosh Gujrathi Vidit,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",1.5,2758,2720,1.0,0.0,2025.04.09,54,53,3.0,2.6,0.01,0.02,0.35,-1.17,1,0,1,0,0,2,0,0,0,1,"[{'turn': 'White', 'fen': '1k2brq1/2ppb2p/1p4n1/5p2/r4P2/1R1P1NN1/1PP4P/1K1B1RQ1 w Kk - 0 17', 'move_number': 17, 'move': 'f3d4', 'prev_move': 'a8a4', 'time_diff': '0:06:03', 'exp_point_loss': 0.34850000000000003}, {'turn': 'Black', 'fen': '1k3r2/2p4p/1p4n1/2qb4/1bN1NP2/1R1P4/1PK4P/r2B1R1Q b k - 1 26', 'move_number': 27, 'move': 'c5b5', 'prev_move': 'g3e4', 'time_diff': '0:00:25', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '1k3r2/2pR2bp/1p6/8/2N2n2/3P4/1PK4P/r2B1R2 b k - 3 33', 'move_number': 34, 'move': 'f4g6', 'prev_move': 'd5d7', 'time_diff': '0:00:30', 'exp_point_loss': 0.4715}]","[{'turn': 'Black', 'fen': 'rknbbrq1/2pp3p/1p6/p4p2/P2N1P1n/3P2N1/1PP4P/RK1BBRQ1 b KQkq - 2 10', 'move_number': 11, 'move': 'c8e7', 'prev_move': 'b3d4', 'time_diff': '0:19:49', 'exp_point_loss': 0.003500000000000003}]"
156.7,156.7,0.54,0.54,7.3,6.97,Santosh Gujrathi Vidit,Praggnanandhaa R,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",2.5,2720,2758,0.5,0.5,2025.04.10,30,29,5.2,5.4,0.02,0.02,-0.05,-0.04,0,1,1,1,0,1,0,0,1,1,"[{'turn': 'Black', 'fen': '1nrbbrk1/p3pqpp/3p4/1np2p2/4PP2/2NP4/PPN2QPP/2RBBRK1 b - - 0 9', 'move_number': 10, 'move': 'b5c3', 'prev_move': 'e2e4', 'time_diff': '0:18:28', 'exp_point_loss': 0.401}, {'turn': 'White', 'fen': '1nrbbrk1/p3pqpp/3p4/2p5/4pP2/2BP4/PPN2QPP/2RB1RK1 w - - 0 11', 'move_number': 11, 'move': 'd3e4', 'prev_move': 'f5e4', 'time_diff': '0:02:22', 'exp_point_loss': 0.3315}]","[{'turn': 'Black', 'fen': '1nrbbrk1/p3pqpp/3p4/1np2p2/4PP2/2NP4/PPN2QPP/2RBBRK1 b - - 0 9', 'move_number': 10, 'move': 'b5c3', 'prev_move': 'e2e4', 'time_diff': '0:18:28', 'exp_point_loss': 0.401}, {'turn': 'White', 'fen': '6k1/Q3p1pp/3pq3/n1r5/1p2PP2/4N3/P5PP/5RK1 w - - 1 20', 'move_number': 20, 'move': 'a7a8', 'prev_move': 'f7e6', 'time_diff': '0:23:19', 'exp_point_loss': 0}]"
167.1,166.4,0.04,0.03,2.15,1.88,Hikaru Nakamura,Magnus Carlsen,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",16.1,2804,2837,0.5,0.5,2025.04.14,41,40,4.1,4.2,0.0,0.0,0.51,0.47,0,0,0,0,0,0,0,0,0,0,[],[]
163.8,164.6,0.06,0.07,4.89,5.46,Ian Nepomniachtchi,Vincent Keymer,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",2.1,2757,2718,0.5,0.5,2025.04.10,37,37,4.4,4.4,0.0,0.0,0.34,0.38,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': 'nnrbbkqr/pp1pp1pp/5p2/2p5/4PP2/2N5/PPPP2PP/N1RBBKQR b KQkq - 0 3', 'move_number': 4, 'move': 'd8b6', 'prev_move': 'f2f4', 'time_diff': '0:16:08', 'exp_point_loss': 0}]"
139.7,166.1,0.91,0.41,28.1,11.32,Maxime Vachier-Lagrave,Erigaisi Arjun,Freestyle Chess Grand Slam Tour Paris Knock Out,"Paris, France",15.3,2722,2782,0.0,1.0,2025.04.13,41,41,3.4,4.1,0.02,0.01,-0.96,0.46,1,2,1,2,0,0,0,0,0,2,"[{'turn': 'White', 'fen': 'q2r1rk1/pb2pp1p/1p2n1p1/3nN3/1Q1p4/1P3BP1/P1P1PP1P/1NRR2K1 w - - 2 15', 'move_number': 15, 'move': 'b4d2', 'prev_move': 'f6d5', 'time_diff': '0:00:38', 'exp_point_loss': 0.4314999999999999}]","[{'turn': 'Black', 'fen': 'qnbrnkrb/ppp1pppp/8/3p4/3P4/1P6/P1P1PPPP/QNBRNKRB b KQkq - 0 2', 'move_number': 3, 'move': 'b7b6', 'prev_move': 'b2b3', 'time_diff': '0:17:05', 'exp_point_loss': 0.0030000000000000027}, {'turn': 'Black', 'fen': 'q1br1rk1/p6p/1p3pp1/2nnp3/3p2BQ/1P3NP1/P1P1PP1P/1NRR2K1 b - - 3 19', 'move_number': 20, 'move': 'd5b4', 'prev_move': 'h6h4', 'time_diff': '0:18:20', 'exp_point_loss': 0.034499999999999975}]"
