Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Praggnanandhaa R,161.1,0.5,11.06,4,3.0,162.0,0.55,2758,2912,167,2,2,11.41,3.28,0.28,6.38,0.2,0.66,0.32,162.4,160.0,2.0,1.0,1.98,10.78,0.08,40.7
Ian Nepomniachtchi,159.8,0.43,97.66,5,3.0,161.6,0.28,2757,2825,188,2,3,8.79,8.81,0.38,191.53,0.12,0.17,0.61,167.0,155.0,1.5,1.5,2.16,77.66,0.15,36683.37
Magnus Carlsen,158.7,0.66,9.36,6,4.5,160.4,0.59,2837,2975,304,3,3,9.78,11.44,0.7,7.49,0.06,0.95,0.37,157.9,159.5,3.0,1.5,3.96,130.79,0.5,56.04
Vincent Keymer,148.6,0.78,39.44,6,2.0,160.5,0.34,2718,2659,264,3,3,14.59,23.67,1.0,65.11,-0.49,1.3,0.25,135.3,161.9,0.5,1.5,4.65,560.14,0.99,4238.84
Richard Rapport,148.2,0.94,77.31,4,2.0,149.0,1.18,2722,2772,189,2,2,13.02,14.59,0.57,134.25,-0.5,0.6,1.3,160.0,136.5,1.5,0.5,3.78,212.95,0.32,18024.38
Hikaru Nakamura,148.0,1.1,11.86,6,3.5,155.4,0.9,2804,2837,299,3,3,9.93,20.73,0.98,9.29,-0.52,0.57,1.63,159.3,136.7,2.0,1.5,6.59,429.56,0.96,86.35
Fabiano Caruana,147.6,1.03,15.35,6,3.5,144.8,1.01,2776,2817,286,3,3,19.9,20.03,0.95,10.01,-0.54,0.18,1.88,165.6,129.6,2.0,1.5,6.18,401.39,0.91,100.18
Maxime Vachier-Lagrave,147.1,0.8,18.43,5,1.5,141.7,0.91,2722,2629,189,3,2,20.35,14.32,0.44,7.47,-0.56,0.78,0.84,151.2,140.9,1.5,0.0,4.02,205.09,0.19,55.74
Santosh Gujrathi Vidit,146.2,0.8,17.62,2,0.5,146.2,0.8,2720,2567,83,1,1,17.62,14.78,0.36,14.59,-0.61,0.54,1.05,156.7,135.8,0.5,0.0,1.59,218.4,0.13,213.0
Nodirbek Abdusattorov,145.8,0.87,23.19,5,1.5,147.6,0.63,2773,2628,236,3,2,26.29,14.0,0.44,14.0,-0.64,1.05,0.62,146.0,145.4,1.5,0.0,4.37,195.87,0.19,195.89
Erigaisi Arjun,145.5,1.09,14.53,5,2.5,141.4,0.78,2782,2769,243,2,3,11.53,23.06,0.96,7.17,-0.65,1.2,1.01,148.3,143.7,1.5,1.0,5.44,531.79,0.93,51.35
Gukesh D,130.6,1.44,18.82,2,0.5,130.6,1.44,2787,2531,105,1,1,18.82,12.16,0.18,12.4,-1.46,1.31,1.57,139.2,122.0,0.5,0.0,2.88,147.92,0.03,153.83
