white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
121.7,119.3,2.34,2.34,14.84,15.19,Praggnanandhaa R,Erigaisi Arjun,Freestyle Chess Grand Slam Tour Paris Round Robin,"Pairs, France",5.3,2758,2782,0.5,0.5,2025.04.07,64,63,1.9,1.9,0.04,0.04,-1.93,-2.06,1,3,3,4,0,5,0,0,0,0,"[{'turn': 'Black', 'fen': 'r5r1/ppk2bpp/1n6/2Bpp3/P1n3P1/2PN4/2P1B2P/RK4R1 b KQ - 1 20', 'move_number': 21, 'move': 'f7g6', 'prev_move': 'f1e2', 'time_diff': '0:00:55', 'exp_point_loss': 0.469}, {'turn': 'Black', 'fen': 'r5r1/p1kn2pp/1p4b1/P2pp3/1Bn3PP/2PN4/2P1B3/RK4R1 b KQ - 0 23', 'move_number': 24, 'move': 'b6a5', 'prev_move': 'h2h4', 'time_diff': '0:01:27', 'exp_point_loss': 0.23350000000000004}, {'turn': 'White', 'fen': 'r5r1/p2n2pp/2k3b1/3pp3/1Bn3PP/2PN4/2P1B3/RK4R1 w KQ - 3 26', 'move_number': 26, 'move': 'd3b2', 'prev_move': 'd6c6', 'time_diff': '0:00:28', 'exp_point_loss': 0.3385}, {'turn': 'Black', 'fen': 'r5r1/p2n2pp/2k3b1/3pp3/1Bn3PP/2P5/1NP1B3/RK4R1 b KQ - 4 26', 'move_number': 27, 'move': 'c4e3', 'prev_move': 'd3b2', 'time_diff': '0:00:39', 'exp_point_loss': 0.43000000000000005}, {'turn': 'Black', 'fen': 'r3r3/p4b1p/1nk3p1/R1NppnPP/1B6/2P2R2/2P1B3/1K6 b - - 3 34', 'move_number': 35, 'move': 'e8c8', 'prev_move': 'a6a5', 'time_diff': '0:00:36', 'exp_point_loss': 0.45449999999999996}, {'turn': 'White', 'fen': 'r7/pk3b1p/1n4p1/R2p1nPP/1B6/2PNp3/2P5/2K2R2 w - - 2 41', 'move_number': 41, 'move': 'h5g6', 'prev_move': 'c7b7', 'time_diff': '0:00:27', 'exp_point_loss': 0.44999999999999996}, {'turn': 'Black', 'fen': 'r7/pk5p/1n4b1/R2p1nP1/1B3N2/2P1p3/2P5/2K2R2 b - - 1 42', 'move_number': 43, 'move': 'a8d8', 'prev_move': 'd3f4', 'time_diff': '0:00:36', 'exp_point_loss': 0.446}, {'turn': 'White', 'fen': '3r4/R6p/2k3b1/2Bp1nP1/2n2N2/2P1p3/2P5/2K2R2 w - - 1 45', 'move_number': 45, 'move': 'c5d4', 'prev_move': 'b7c6', 'time_diff': '0:00:29', 'exp_point_loss': 0.462}]",[]
137.3,166.2,1.01,0.5,382.22,10.81,Fabiano Caruana,Nodirbek Abdusattorov,Freestyle Chess Grand Slam Tour Paris Round Robin,"Pairs, France",2.1,2776,2773,0.0,1.0,2025.04.07,27,27,5.1,6.2,0.04,0.02,-1.09,0.47,0,3,1,0,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'qr1kr1bb/p1pppppp/1p1nn3/8/1P3P2/3NN3/P1PPP1PP/QR1KR1BB b KQkq - 4 4', 'move_number': 5, 'move': 'h7h5', 'prev_move': 'f1e3', 'time_diff': '0:02:26', 'exp_point_loss': 0.27649999999999997}, {'turn': 'White', 'fen': 'qr1kr1bb/p1ppppp1/1p1nn3/7p/1P3P2/3NN3/P1PPP1PP/QR1KR1BB w KQkq - 0 5', 'move_number': 5, 'move': 'a1e5', 'prev_move': 'h7h5', 'time_diff': '0:02:06', 'exp_point_loss': 0.345}, {'turn': 'Black', 'fen': 'qr1kr2b/p1pppp2/1p1nn1p1/8/1P2bPQ1/3NN3/P1PPPBPP/1R1KR2B b KQkq - 1 8', 'move_number': 9, 'move': 'h8d4', 'prev_move': 'g1f2', 'time_diff': '0:01:46', 'exp_point_loss': 0.26549999999999996}]",[]
172.2,143.5,0.18,0.67,18.19,45.45,Ian Nepomniachtchi,Gukesh D,"Round 11: Nepomniachtchi, Ian - Gukesh D",https://lichess.org/study/z51nQgyz/S6ZDH2TK,11.4,2757,2787,1.0,0.0,2025.04.08,21,20,8.2,7.2,0.01,0.03,0.79,-0.76,2,0,0,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'bbqr1nkr/p1p2ppp/1p2pn2/3p4/2PP4/1P3NN1/P3PPPP/BBQR2KR b KQkq - 3 5', 'move_number': 6, 'move': 'f8d7', 'prev_move': 'f1g3', 'time_diff': '0:00:27', 'exp_point_loss': 0.4885}]",[]
126.6,153.4,1.69,1.18,38.54,26.28,Richard Rapport,Hikaru Nakamura,"Round 11: Rapport, Richard - Nakamura, Hikaru",https://lichess.org/study/z51nQgyz/NT0iwgGx,11.3,2722,2804,0.0,1.0,2025.04.08,37,36,3.4,4.3,0.05,0.03,-1.67,-0.22,0,4,2,3,0,2,0,0,0,0,"[{'turn': 'White', 'fen': '1bqr3r/p5k1/1p2ppp1/3p3p/1PP4P/2Q1NP2/P4PP1/3R1RK1 w - - 0 15', 'move_number': 15, 'move': 'c3b3', 'prev_move': 'f7g6', 'time_diff': '0:00:32', 'exp_point_loss': 0.34250000000000014}, {'turn': 'Black', 'fen': '1bqr3r/p5k1/1p3pp1/4p2p/1PPp3P/NQ3P2/P4PP1/3R1RK1 b - - 1 17', 'move_number': 18, 'move': 'c8f5', 'prev_move': 'c2a3', 'time_diff': '0:02:08', 'exp_point_loss': 0.36550000000000005}, {'turn': 'Black', 'fen': '5k2/p1b5/1pP2p2/8/1r5p/2R5/P1N2P2/5K2 b - - 4 33', 'move_number': 34, 'move': 'b4b1', 'prev_move': 'a3c2', 'time_diff': '0:00:39', 'exp_point_loss': 0.47850000000000004}, {'turn': 'White', 'fen': '5k2/p1b5/1pP2p2/8/7p/2R5/P1N2P2/1r3K2 w - - 5 34', 'move_number': 34, 'move': 'f1e2', 'prev_move': 'b4b1', 'time_diff': '0:00:21', 'exp_point_loss': 0.48550000000000004}]",[]
155.8,156.0,0.58,0.58,12.09,13.0,Nodirbek Abdusattorov,Maxime Vachier-Lagrave,Freestyle Chess Grand Slam Tour Paris Round Robin,"Pairs, France",5.5,2773,2722,0.5,0.5,2025.04.07,22,21,7.1,7.4,0.03,0.03,-0.09,-0.09,2,0,1,1,1,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2kr2r1/pp1nq1b1/4p3/P1ppP1pp/8/1PBB4/2P1QPPP/R4RK1 b - - 0 16', 'move_number': 17, 'move': 'a7a6', 'prev_move': 'a4a5', 'time_diff': '0:01:51', 'exp_point_loss': 0.23500000000000001}, {'turn': 'White', 'fen': '2kr2r1/1p1nq1b1/p3p3/P1ppP1pp/8/1PBB4/2P1QPPP/R4RK1 w - - 0 17', 'move_number': 17, 'move': 'd3a6', 'prev_move': 'a7a6', 'time_diff': '0:01:32', 'exp_point_loss': 0.4655}]",[]
174.7,146.1,0.01,0.5,10.93,30.38,Vincent Keymer,Fabiano Caruana,"Round 11: Keymer, Vincent - Caruana, Fabiano",https://lichess.org/study/z51nQgyz/e9HAPuxv,11.1,2718,2776,1.0,0.0,2025.04.08,27,26,6.5,5.6,0.0,0.02,0.92,-0.62,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'bbqr2kr/p1p1ppp1/4nn2/3p3p/2PP4/3N2N1/P3PPPP/BBQR1RK1 b kq - 0 7', 'move_number': 8, 'move': 'g7g6', 'prev_move': 'b3c4', 'time_diff': '0:01:19', 'exp_point_loss': 0.46699999999999997}]",[]
167.5,142.5,0.31,0.78,14.67,42.29,Gukesh D,Vincent Keymer,"Round 8: Gukesh D - Keymer, Vincent",https://lichess.org/study/9syOR1hw/VTnWglEV,8.5,2787,2718,1.0,0.0,2025.04.08,36,35,4.7,4.1,0.01,0.02,0.53,-0.81,1,0,1,3,0,1,0,0,0,0,"[{'turn': 'White', 'fen': 'r2kqrb1/ppbp2pp/2p3n1/P3pN2/1Pn5/2P5/3PP1PP/RBNKQRB1 w KQkq - 2 9', 'move_number': 9, 'move': 'c1d3', 'prev_move': 'h8g6', 'time_diff': '0:03:33', 'exp_point_loss': 0.4195}, {'turn': 'Black', 'fen': 'r2kqrb1/ppb3Np/2pp2n1/P3p3/1Pn5/2PN4/3PP1PP/RB1KQRB1 b KQkq - 0 10', 'move_number': 11, 'move': 'f8f1', 'prev_move': 'f5g7', 'time_diff': '0:01:53', 'exp_point_loss': 0.29250000000000004}]",[]
172.8,148.2,-0.05,0.45,13.85,32.16,Ian Nepomniachtchi,Maxime Vachier-Lagrave,"Round 7: Nepomniachtchi, Ian - Vachier-Lagrave, Maxime",https://lichess.org/study/mj8U0kHL/VAg6XKQD,7.6,2757,2722,1.0,0.0,2025.04.08,26,25,6.6,5.9,-0.0,0.02,0.82,-0.5,0,0,0,1,0,1,2,1,0,0,"[{'turn': 'Black', 'fen': 'rbbqk2r/pp2pppp/2p3n1/8/2PP1n1P/4NN2/PP3PP1/RBBQK2R b KQkq - 0 7', 'move_number': 8, 'move': 'd8a5', 'prev_move': 'h2h4', 'time_diff': '0:00:53', 'exp_point_loss': 0.3215}]","[{'turn': 'White', 'fen': 'rbbqkn1r/pp2pppp/2p5/8/2PP1n2/5N2/PP3PPP/RBBQKN1R w KQkq - 1 6', 'move_number': 6, 'move': 'f1e3', 'prev_move': 'd5f4', 'time_diff': '0:39:25', 'exp_point_loss': 0}, {'turn': 'Black', 'fen': 'rbb1k2r/pp2pppp/2p3n1/7q/2PP1n1P/4NNP1/PP1B1P2/RB1QK2R b KQkq - 0 9', 'move_number': 10, 'move': 'f4g2', 'prev_move': 'g2g3', 'time_diff': '0:38:58', 'exp_point_loss': 0}, {'turn': 'White', 'fen': 'rb2k2r/pp1qn2p/2p3pP/4p1N1/2PPp3/6P1/PP1BQP2/R3K2R w KQkq - 0 18', 'move_number': 18, 'move': 'g5e4', 'prev_move': 'g7g6', 'time_diff': '0:39:05', 'exp_point_loss': 0}]"
139.6,102.4,1.93,2.43,24.08,37.96,Santosh Gujrathi Vidit,Gukesh D,Freestyle Chess Grand Slam Tour Paris Round Robin,"Pairs, France",2.5,2720,2787,1.0,0.0,2025.04.07,51,50,2.7,2.0,0.04,0.05,-0.97,-2.97,1,2,3,3,0,5,0,0,0,0,"[{'turn': 'Black', 'fen': 'qr1krnbb/p1ppp1pp/1p6/5p2/1P2nP2/3NN3/P1PPPBPP/QR1KR2B b KQkq - 5 5', 'move_number': 6, 'move': 'e7e5', 'prev_move': 'c1d3', 'time_diff': '0:01:49', 'exp_point_loss': 0.2815}, {'turn': 'Black', 'fen': 'qr1krnbb/p1pp2pp/1p6/4pN2/1P3P2/8/P1PPPNPP/QR1KR2B b KQkq - 0 7', 'move_number': 8, 'move': 'g7g6', 'prev_move': 'd3f2', 'time_diff': '0:00:26', 'exp_point_loss': 0.45599999999999996}, {'turn': 'White', 'fen': 'qr1krn1b/p1pp3p/1p5N/4pP2/1P4P1/8/P1PP1N1P/QR1KR2b w KQkq - 0 13', 'move_number': 13, 'move': 'h6f7', 'prev_move': 'd5h1', 'time_diff': '0:01:03', 'exp_point_loss': 0.347}, {'turn': 'Black', 'fen': '1rk1rn1N/p1pp3p/1p6/4pP2/1P3qP1/1RQ5/P1PPRNbP/3K4 b - - 6 17', 'move_number': 18, 'move': 'g2f1', 'prev_move': 'a1c3', 'time_diff': '0:00:45', 'exp_point_loss': 0.3715}, {'turn': 'White', 'fen': '1r1k1n2/p1ppr2p/1p1N4/4pP2/1P3qP1/1RQ5/P1PPKN1P/8 w - - 3 21', 'move_number': 21, 'move': 'd6b5', 'prev_move': 'c8d8', 'time_diff': '0:00:35', 'exp_point_loss': 0.4995}, {'turn': 'White', 'fen': '1r1k1n2/p3r2p/1pp4q/3ppP2/1PN3P1/1RQ5/P1PPKN1P/8 w - - 0 24', 'move_number': 24, 'move': 'c4e5', 'prev_move': 'd7d5', 'time_diff': '0:00:29', 'exp_point_loss': 0.4494999999999999}, {'turn': 'Black', 'fen': '3k4/p3r2p/1p5Q/3p1P2/1P4P1/5R2/P1r2NK1/q7 b - - 3 31', 'move_number': 32, 'move': 'e7e1', 'prev_move': 'f1g2', 'time_diff': '0:00:24', 'exp_point_loss': 0.4794999999999999}, {'turn': 'Black', 'fen': '8/pk6/1p3P2/1P1p4/6P1/5R2/P1r2NKQ/q3r3 b - - 0 42', 'move_number': 43, 'move': 'a1d1', 'prev_move': 'f5f6', 'time_diff': '0:00:47', 'exp_point_loss': 0.5}]",[]
179.3,149.0,-0.06,0.44,8.14,31.5,Erigaisi Arjun,Magnus Carlsen,Freestyle Chess Grand Slam Tour Paris Round Robin,"Pairs, France",2.6,2782,2837,1.0,0.0,2025.04.07,29,28,6.2,5.3,-0.0,0.02,1.17,-0.46,0,0,0,1,1,0,0,0,0,0,[],[]
