Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Ian Nepomniachtchi,153.4,0.9,28.11,11,8.5,162.0,0.68,2757,2976,569,5,6,15.62,23.33,0.89,43.2,-0.22,0.92,0.88,150.7,155.7,3.5,5.0,9.9,544.16,0.8,1866.43
Magnus Carlsen,152.5,0.98,29.02,11,8.5,153.6,1.01,2837,2969,631,6,5,15.3,10.57,0.67,45.48,-0.27,1.13,0.81,152.8,152.1,5.5,3.0,10.83,111.73,0.45,2068.39
Vincent Keymer,151.9,0.74,45.76,11,5.5,154.1,0.78,2718,2767,457,6,5,30.44,19.61,0.65,52.41,-0.31,0.62,0.88,156.0,147.1,3.5,2.0,8.14,384.68,0.43,2746.9
Maxime Vachier-Lagrave,147.0,1.14,18.45,11,7.0,152.8,0.64,2722,2864,459,5,6,15.95,16.9,0.91,10.73,-0.57,1.21,1.09,148.3,145.9,4.0,3.0,12.55,285.47,0.83,115.21
Erigaisi Arjun,146.2,1.16,40.53,11,6.5,148.7,0.48,2782,2825,445,6,5,15.19,28.83,1.31,69.41,-0.61,1.36,0.91,144.0,148.7,4.0,2.5,12.71,831.14,1.71,4817.46
Fabiano Caruana,142.5,1.14,64.59,11,4.5,146.1,1.01,2776,2698,467,5,6,27.62,17.97,0.7,109.99,-0.81,1.43,0.9,135.2,148.7,2.0,2.5,12.58,322.75,0.48,12098.46
Nodirbek Abdusattorov,141.9,1.37,34.36,11,6.5,142.6,1.53,2773,2826,543,5,6,21.28,20.3,0.83,50.32,-0.84,1.15,1.56,143.5,140.6,2.5,4.0,15.07,412.08,0.69,2532.45
Gukesh D,139.9,1.12,27.22,11,3.5,143.5,0.92,2787,2628,416,6,5,30.16,22.58,0.81,13.63,-0.96,1.11,1.13,141.2,138.2,2.5,1.0,12.32,510.04,0.65,185.77
Hikaru Nakamura,139.9,1.39,63.0,11,6.0,144.3,1.02,2804,2791,545,6,5,26.28,24.59,1.24,93.39,-0.95,1.12,1.72,143.6,135.6,2.5,3.5,15.34,604.53,1.54,8721.06
Richard Rapport,134.3,1.5,147.71,11,3.5,128.0,1.37,2722,2634,471,5,6,37.78,17.39,0.59,185.45,-1.25,1.6,1.4,130.6,137.3,1.0,2.5,16.45,302.26,0.34,34390.59
Praggnanandhaa R,132.5,1.6,106.61,11,4.0,131.9,1.47,2758,2666,533,6,5,22.94,15.6,0.66,196.84,-1.35,1.59,1.62,125.9,140.5,0.5,3.5,17.6,243.41,0.43,38747.57
Santosh Gujrathi Vidit,127.3,1.67,132.08,11,2.0,129.5,1.66,2720,2506,566,5,6,48.16,12.33,0.43,139.3,-1.63,1.62,1.7,129.1,125.8,1.0,1.0,18.32,151.97,0.19,19403.63
