white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
150.8,115.6,1.4,1.89,17.0,30.05,Vincent Keymer,Magnus Carlsen,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",5.1,2731,2833,1.0,0.0,2025.02.11,39,39,3.9,3.0,0.04,0.05,-0.36,-2.26,5,3,1,8,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '1kn2rq1/bppr2p1/p4p2/2BPp3/4PnP1/1N4N1/PPK2Q1P/2RR4 b - - 0 19', 'move_number': 20, 'move': 'g7g6', 'prev_move': 'e3c5', 'time_diff': '0:07:35', 'exp_point_loss': 0.29800000000000004}, {'turn': 'Black', 'fen': '3r4/kpp4q/pr6/2NPp1p1/P1QnP3/8/KP3R1P/5R2 b - - 3 32', 'move_number': 33, 'move': 'g5g4', 'prev_move': 'c1f1', 'time_diff': '0:02:16', 'exp_point_loss': 0.38}, {'turn': 'White', 'fen': '3r4/kpp4q/pr6/2NPp3/P1QnP1p1/8/KP3R1P/5R2 w - - 0 33', 'move_number': 33, 'move': 'c4c3', 'prev_move': 'g5g4', 'time_diff': '0:00:37', 'exp_point_loss': 0.499}, {'turn': 'Black', 'fen': 'k5r1/1pp4q/p2rN3/3Pp3/P3P1p1/4Qn2/KP3RRP/8 b - - 9 37', 'move_number': 38, 'move': 'c7c6', 'prev_move': 'c5e6', 'time_diff': '0:00:48', 'exp_point_loss': 0.335}]",[]
125.3,123.9,2.13,2.13,16.96,17.02,Alireza Firouzja,Gukesh D,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",12.4,2760,2777,0.5,0.5,2025.02.13,92,91,1.4,1.4,0.02,0.02,-1.74,-1.81,1,2,3,5,0,3,0,1,0,1,"[{'turn': 'White', 'fen': '2rkrb2/pq3pp1/3p2np/2p1p1Pn/2P1b2P/4PN1Q/P2PBP2/B1RKR2N w KQkq - 1 12', 'move_number': 12, 'move': 'f3e5', 'prev_move': 'h8g6', 'time_diff': '0:11:21', 'exp_point_loss': 0.48950000000000005}, {'turn': 'Black', 'fen': '2rkrb2/pq3pp1/3p3p/2p1B1Pn/2P1b2P/4P2Q/P2PBP2/2RKR2N b KQkq - 0 13', 'move_number': 14, 'move': 'e8e5', 'prev_move': 'a1e5', 'time_diff': '0:00:17', 'exp_point_loss': 0.502}, {'turn': 'Black', 'fen': '3k4/p3bpp1/3p2q1/2p3r1/2P2Q2/3PP1N1/Pr1RKP2/6R1 b - - 2 27', 'move_number': 28, 'move': 'b2b6', 'prev_move': 'd1d2', 'time_diff': '0:00:17', 'exp_point_loss': 0.40950000000000003}, {'turn': 'White', 'fen': '7R/p2kbpp1/1r1pq3/2p3r1/2P2Q2/3PP1N1/P2RKP2/8 w - - 7 30', 'move_number': 30, 'move': 'f4e4', 'prev_move': 'g6e6', 'time_diff': '0:05:51', 'exp_point_loss': 0.46499999999999997}, {'turn': 'Black', 'fen': '7R/p2kbpp1/1r1p4/2p5/2P5/2NPP3/P2RKP2/6r1 b - - 2 32', 'move_number': 33, 'move': 'e7d8', 'prev_move': 'e4c3', 'time_diff': '0:00:08', 'exp_point_loss': 0.4495}, {'turn': 'White', 'fen': '5r2/k7/3p2Kb/P1pN4/2P5/3P4/5R2/8 w - - 2 59', 'move_number': 59, 'move': 'f2f8', 'prev_move': 'f4h6', 'time_diff': '0:01:22', 'exp_point_loss': 0.5}]","[{'turn': 'Black', 'fen': '2rkrb1n/pq3pp1/3p3p/1pp1p1Pn/2P1b2P/1P2PN1Q/P2PBP2/B1RKR2N b KQkq - 2 10', 'move_number': 11, 'move': 'b5c4', 'prev_move': 'f1e2', 'time_diff': '0:20:19', 'exp_point_loss': 0.0020000000000000018}, {'turn': 'Black', 'fen': '3b4/3k1R2/3p1p2/2pN1K2/p1P5/3PP3/P2R4/1r4r1 b - - 2 40', 'move_number': 41, 'move': 'd7c6', 'prev_move': 'f8f7', 'time_diff': '0:40:00', 'exp_point_loss': 0}]"
152.7,129.2,1.2,1.69,7.9,16.2,Magnus Carlsen,Javokhir Sindarov,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",13.2,2833,2700,1.0,0.0,2025.02.14,42,41,3.6,3.2,0.03,0.04,-0.26,-1.53,2,5,1,3,2,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'rkqbrnbn/ppp3pp/3p4/3Pp3/2P1Pp2/5P2/PP4PP/RKQBRNBN b KQkq - 0 5', 'move_number': 6, 'move': 'c7c5', 'prev_move': 'c2c4', 'time_diff': '0:12:58', 'exp_point_loss': 0.3325}, {'turn': 'Black', 'fen': '3n1r1k/2q4p/1p1p1n2/3Pp3/2P1P2P/p1Q2P2/K3N3/1R4B1 b - - 3 30', 'move_number': 31, 'move': 'f6d7', 'prev_move': 'e1b1', 'time_diff': '0:00:06', 'exp_point_loss': 0.2375}, {'turn': 'White', 'fen': '3n1r1k/2qn3p/1p1p4/3Pp3/2P1P2P/p1Q2P2/K3N3/1R4B1 w - - 4 31', 'move_number': 31, 'move': 'f3f4', 'prev_move': 'f6d7', 'time_diff': '0:00:29', 'exp_point_loss': 0.3605}, {'turn': 'Black', 'fen': '3n1r1k/2qn3p/1p1p4/3Pp3/2P1PP1P/p1Q5/K3N3/1R4B1 b - - 0 31', 'move_number': 32, 'move': 'd8b7', 'prev_move': 'f3f4', 'time_diff': '0:02:48', 'exp_point_loss': 0.4235}]",[]
157.6,174.9,0.0,0.0,0.0,0.0,Gukesh D,Alireza Firouzja,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",13.4,2777,2760,0.0,1.0,2025.02.14,30,30,5.3,5.8,0.0,0.0,0.0,0.93,0,0,0,0,0,0,0,0,0,1,[],"[{'turn': 'Black', 'fen': '2kr2b1/pp1nrnpp/1qp2p2/4pPPN/4P1BP/8/PPP5/RKQR3N b Q - 4 13', 'move_number': 14, 'move': 'c8c7', 'prev_move': 'e1d1', 'time_diff': '0:15:42', 'exp_point_loss': 0}]"
170.6,144.5,0.22,0.71,9.83,19.54,Hikaru Nakamura,Nodirbek Abdusattorov,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",13.3,2802,2766,1.0,0.0,2025.02.14,36,35,4.7,4.1,0.01,0.02,0.7,-0.71,1,0,0,2,0,1,0,0,1,0,"[{'turn': 'Black', 'fen': 'r4rk1/ppqn1bpp/1bpp1p2/3PpB2/2P1P3/5PP1/PPR4P/2KR1QBN b - - 0 14', 'move_number': 15, 'move': 'f8c8', 'prev_move': 'g4f5', 'time_diff': '0:01:55', 'exp_point_loss': 0.49749999999999994}]","[{'turn': 'White', 'fen': 'rkq1r1b1/pp1nn1pp/2pp1p2/b2Pp3/2P1P3/4N1P1/PPR2P1P/RKQB2BN w Qkq - 4 9', 'move_number': 9, 'move': 'd1g4', 'prev_move': 'f8d7', 'time_diff': '0:21:50', 'exp_point_loss': 0}]"
172.2,141.7,0.22,0.71,6.94,24.03,Vincent Keymer,Fabiano Caruana,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",12.1,2731,2803,1.0,0.0,2025.02.13,33,32,5.2,4.4,0.01,0.02,0.79,-0.85,2,1,0,2,0,2,0,0,0,3,"[{'turn': 'Black', 'fen': 'bqrkrb2/p4ppQ/1p1p1pn1/8/1pP5/4PN2/P2PBPPP/2RKR2N b KQkq - 1 8', 'move_number': 9, 'move': 'c8c5', 'prev_move': 'f1e2', 'time_diff': '0:08:43', 'exp_point_loss': 0.271}, {'turn': 'Black', 'fen': '3krb2/p1q2ppQ/1pbp1pn1/r7/1pPP4/4PNN1/P1R1BPPP/5RK1 b k - 4 12', 'move_number': 13, 'move': 'a5a3', 'prev_move': 'd1e1', 'time_diff': '0:00:03', 'exp_point_loss': 0.262}]","[{'turn': 'Black', 'fen': 'bqrkrb1n/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/BQRKRB1N b KQkq - 2 2', 'move_number': 3, 'move': 'b7b6', 'prev_move': 'g1f3', 'time_diff': '0:16:00', 'exp_point_loss': 0.006500000000000006}, {'turn': 'Black', 'fen': 'bqrkrb1n/p1pppppp/1p3n2/8/1PP5/5N2/P2PPPPP/BQRKRB1N b KQkq - 0 3', 'move_number': 4, 'move': 'c7c5', 'prev_move': 'b2b4', 'time_diff': '0:16:04', 'exp_point_loss': 0.01200000000000001}, {'turn': 'Black', 'fen': '3krb2/p1q2ppQ/1pbp1pn1/8/1pPP3P/r3PNN1/P1R1BPP1/5RK1 b k - 0 13', 'move_number': 14, 'move': 'c6a4', 'prev_move': 'h2h4', 'time_diff': '0:17:27', 'exp_point_loss': 0}]"
167.5,140.2,0.32,0.81,3.22,29.2,Levon Aronian,Vladimir Fedoseev,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",1.5,2745,2724,1.0,0.0,2025.02.09,36,35,4.7,4.0,0.01,0.02,0.54,-0.93,2,0,0,2,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '1rk1r1q1/pp1nb1pp/1np2p2/3bpP2/6P1/1N1P1BN1/PPP4P/2KRR1BQ b kq - 0 10', 'move_number': 11, 'move': 'e7b4', 'prev_move': 'd2d3', 'time_diff': '0:06:33', 'exp_point_loss': 0.2405}, {'turn': 'Black', 'fen': '1rk1r1q1/pp1n2pp/1np2p2/3bpP2/1b4P1/1NPP1BN1/PP5P/2KRR1BQ b kq - 0 11', 'move_number': 12, 'move': 'b4e7', 'prev_move': 'c2c3', 'time_diff': '0:04:41', 'exp_point_loss': 0.26549999999999996}]",[]
117.2,147.7,1.98,1.48,32.67,16.93,Alireza Firouzja,Nodirbek Abdusattorov,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",6.3,2760,2766,0.0,1.0,2025.02.12,43,43,2.7,3.4,0.05,0.03,-2.18,-0.53,1,3,2,4,1,3,0,0,1,0,"[{'turn': 'Black', 'fen': '1kr1r3/1pqn1b1p/p2p1p1b/PnpNp3/1PN1P3/2PQ2P1/1K1P3P/R1R3BB b - - 1 20', 'move_number': 21, 'move': 'c7c6', 'prev_move': 'e3d5', 'time_diff': '0:00:01', 'exp_point_loss': 0.33099999999999996}, {'turn': 'White', 'fen': '1kr1r3/1p1n1b1p/p1qp1p1b/PnpNp3/1PN1P3/2PQ2P1/1K1P3P/R1R3BB w - - 2 21', 'move_number': 21, 'move': 'c4e3', 'prev_move': 'c7c6', 'time_diff': '0:04:00', 'exp_point_loss': 0.31199999999999994}, {'turn': 'Black', 'fen': '1kr1r3/1p3b1p/p1qp4/P1pNnP2/1PPp4/1Q4P1/1K1P3P/R1R4B b - - 2 26', 'move_number': 27, 'move': 'c6d7', 'prev_move': 'd3b3', 'time_diff': '0:00:07', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/k4r1p/P2p2q1/P1pB4/1nPp4/1Q4P1/1K1P3P/4R3 b - - 4 36', 'move_number': 37, 'move': 'g6g5', 'prev_move': 'b7d5', 'time_diff': '0:01:01', 'exp_point_loss': 0.306}, {'turn': 'White', 'fen': '8/k4r1p/P2p4/P1pB2q1/1nPp4/1Q4P1/1K1P3P/4R3 w - - 5 37', 'move_number': 37, 'move': 'e1e2', 'prev_move': 'g6g5', 'time_diff': '0:00:18', 'exp_point_loss': 0.977}]","[{'turn': 'White', 'fen': 'r1k1r1b1/ppqn2bp/2ppnpp1/P3p3/1PN1P3/2P1N1P1/3P1P1P/RQK1R1BB w KQkq - 2 10', 'move_number': 10, 'move': 'e1f1', 'prev_move': 'h8g7', 'time_diff': '0:16:38', 'exp_point_loss': 0.1865}]"
174.0,149.0,0.02,0.51,3.04,31.14,Magnus Carlsen,Nodirbek Abdusattorov,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",1.4,2833,2766,1.0,0.0,2025.02.09,23,22,7.6,6.8,0.0,0.02,0.89,-0.46,0,0,0,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'nk2rn1q/1p1pp2p/1bp3p1/8/4QP2/1N2N1P1/1PPP3P/1K1BR3 b - - 1 9', 'move_number': 10, 'move': 'a8c7', 'prev_move': 'a1b3', 'time_diff': '0:11:18', 'exp_point_loss': 0.3735}]",[]
144.5,167.2,0.78,0.28,35.96,11.11,Javokhir Sindarov,Magnus Carlsen,Freestyle Chess Grand Slam Tour Knock Out,"Weissenhaus, Germany",12.2,2700,2833,0.0,1.0,2025.02.13,28,28,5.2,6.0,0.03,0.01,-0.7,0.52,2,0,1,2,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'bk1rrb2/ppq2p1p/2p2p2/4pB2/Pn6/1Q3NP1/2PP1P1P/BR3RK1 w - - 0 14', 'move_number': 14, 'move': 'd2d4', 'prev_move': 'd5b4', 'time_diff': '0:01:06', 'exp_point_loss': 0.498}]",[]
