Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Hikaru Nakamura,158.4,0.55,8.17,6,4.0,161.1,0.32,2802,2868,360,3,3,7.88,10.61,0.52,4.55,0.04,0.16,0.94,165.6,151.2,2.0,2.0,3.3,112.58,0.27,20.67
Fabiano Caruana,153.5,0.72,17.06,6,3.5,156.5,0.64,2803,2794,207,3,3,15.7,14.05,0.49,13.0,-0.22,0.37,1.06,162.6,144.5,2.0,1.5,4.3,197.37,0.24,169.06
Vincent Keymer,153.4,0.96,12.72,6,4.5,154.3,0.91,2731,2990,231,3,3,13.49,15.71,0.66,6.08,-0.22,1.16,0.75,150.8,156.0,2.5,2.0,5.75,246.66,0.44,36.93
Levon Aronian,150.9,0.92,11.67,2,1.5,150.9,0.92,2745,2915,78,1,1,11.67,23.48,0.86,11.95,-0.36,0.32,1.53,167.5,134.3,1.0,0.5,1.85,551.12,0.73,142.8
Magnus Carlsen,150.5,0.98,11.82,6,4.5,153.5,1.18,2833,2923,235,3,3,9.5,20.98,0.7,9.59,-0.38,0.85,1.11,155.2,145.7,2.5,2.0,5.89,440.13,0.49,91.91
Gukesh D,147.0,0.79,15.26,6,1.5,153.0,0.45,2777,2597,302,3,3,11.57,16.56,0.84,15.83,-0.57,0.64,0.94,148.8,145.2,0.5,1.0,4.74,274.3,0.71,250.58
Javokhir Sindarov,144.8,1.06,22.34,6,2.0,143.9,1.03,2700,2692,294,3,3,15.51,14.21,0.72,19.95,-0.68,1.35,0.78,139.4,150.3,1.0,1.0,6.38,201.93,0.51,398.18
Nodirbek Abdusattorov,141.7,1.12,18.53,6,1.5,146.1,1.12,2766,2607,260,3,3,17.74,10.52,0.52,7.12,-0.85,1.35,0.9,136.4,147.1,0.5,1.0,6.75,110.67,0.27,50.7
Alireza Firouzja,138.9,1.28,21.89,6,2.5,131.8,1.41,2760,2700,287,3,3,18.99,21.33,0.85,18.25,-1.01,1.69,0.88,126.3,151.5,0.5,2.0,7.69,454.98,0.72,333.22
Vladimir Fedoseev,137.7,1.18,24.84,2,0.5,137.7,1.18,2724,2554,78,1,1,24.84,3.54,0.52,6.17,-1.07,1.54,0.81,135.2,140.2,0.5,0.0,2.35,12.5,0.27,38.11
