white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
134.2,168.9,0.92,0.42,22.48,6.03,Magnus Carlsen,Javokhir Sindarov,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",5.3,2819,2668,0.0,1.0,2025.02.07,33,33,4.1,5.1,0.03,0.01,-1.26,0.61,1,2,1,2,1,0,0,0,0,0,"[{'turn': 'White', 'fen': 'r2k2q1/1ppn3p/3p4/p2bn1p1/P2QP3/4N2P/1PP2KP1/RB6 w q - 0 19', 'move_number': 19, 'move': 'e4d5', 'prev_move': 'c4d5', 'time_diff': '0:00:25', 'exp_point_loss': 0.361}]",[]
161.3,125.7,0.76,1.26,18.6,29.0,Javokhir Sindarov,Levon Aronian,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",2.1,2668,2745,1.0,0.0,2025.02.07,53,52,3.0,2.4,0.01,0.02,0.2,-1.72,2,0,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '1nbrq1kb/pp3r1p/2p3p1/3Ppp2/2n1P3/1NN3P1/PPP4P/2BRQRKB b - - 0 11', 'move_number': 12, 'move': 'b8d7', 'prev_move': 'd4d5', 'time_diff': '0:00:36', 'exp_point_loss': 0.473}, {'turn': 'White', 'fen': '2brq1kb/pp3r2/2Pn1np1/8/4p3/1NN3P1/PPP1Q2P/2BR1RKB w - - 0 16', 'move_number': 16, 'move': 'd1e1', 'prev_move': 'e5e4', 'time_diff': '0:01:05', 'exp_point_loss': 0.4445}, {'turn': 'Black', 'fen': '3r2kb/pp3r2/2qnbnp1/8/4p3/1NN1B1P1/PPP1Q1BP/4RRK1 b - - 3 18', 'move_number': 19, 'move': 'e6c4', 'prev_move': 'c1e3', 'time_diff': '0:00:21', 'exp_point_loss': 0.5455}]",[]
163.6,133.1,0.61,1.11,16.19,42.31,Nodirbek Abdusattorov,Vladimir Fedoseev,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",5.5,2732,2739,1.0,0.0,2025.02.07,27,26,6.1,5.1,0.02,0.04,0.32,-1.32,2,2,0,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': 'rbbk1rq1/1pnp2pp/2p2p2/4n3/p3P3/1PPNBPN1/P2Q2PP/RB1K1R2 b KQkq - 1 10', 'move_number': 11, 'move': 'c7b5', 'prev_move': 'e1d3', 'time_diff': '0:01:35', 'exp_point_loss': 0.2595}, {'turn': 'Black', 'fen': 'rbbk1rq1/1p1p2pp/2p2p2/1n2n3/p3PP2/1PPNB1N1/P2Q2PP/RB1K1R2 b KQkq - 0 11', 'move_number': 12, 'move': 'e5d3', 'prev_move': 'f3f4', 'time_diff': '0:02:13', 'exp_point_loss': 0.262}, {'turn': 'Black', 'fen': 'rbbk1rq1/1pnp2pp/2p2p2/5N2/2P1PP2/3BB3/p2Q2PP/R4RK1 b kq - 2 15', 'move_number': 16, 'move': 'c7e6', 'prev_move': 'g3f5', 'time_diff': '0:01:31', 'exp_point_loss': 0.29}]",[]
77.0,72.6,4.34,4.34,31.9,31.89,Nodirbek Abdusattorov,Alireza Firouzja,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",8.5,2732,2754,0.5,0.5,2025.02.08,61,61,1.3,1.2,0.07,0.07,-4.34,-4.58,5,4,7,3,0,11,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1n1krb1/pppp1pp1/2n5/7q/4Qp1b/2P5/PPBPPB1P/RNN1KR2 b KQkq - 1 7', 'move_number': 8, 'move': 'c8e7', 'prev_move': 'h1e4', 'time_diff': '0:00:22', 'exp_point_loss': 0.239}, {'turn': 'White', 'fen': '2kr1rb1/ppppnp2/2n5/6pq/5Q2/N1P5/PPBPPR1P/R1N1K3 w Q - 0 11', 'move_number': 11, 'move': 'f4a4', 'prev_move': 'g7g5', 'time_diff': '0:01:26', 'exp_point_loss': 0.31199999999999994}, {'turn': 'Black', 'fen': '1k1rr1b1/1pp5/p1p5/N1Qn4/7q/2P3p1/PPBPP1R1/2K2R2 b - - 3 22', 'move_number': 23, 'move': 'd5b6', 'prev_move': 'c4a5', 'time_diff': '0:01:36', 'exp_point_loss': 0.4285000000000001}, {'turn': 'Black', 'fen': '1k3r2/2p5/pp6/2pn1q2/5r2/1NPP4/PP6/2KRR2Q b - - 0 38', 'move_number': 39, 'move': 'f4f2', 'prev_move': 'd2d3', 'time_diff': '0:00:52', 'exp_point_loss': 0.241}, {'turn': 'White', 'fen': '1k6/2p5/pp3n2/2p3q1/8/1NPP4/PP1R2rr/1K2QR2 w - - 11 44', 'move_number': 44, 'move': 'd2f2', 'prev_move': 'h8h2', 'time_diff': '0:00:35', 'exp_point_loss': 0.493}, {'turn': 'Black', 'fen': '1k6/2p5/pp6/2pn4/8/1NPq4/PP5r/K2Q1R2 b - - 3 48', 'move_number': 49, 'move': 'c5c4', 'prev_move': 'e1d1', 'time_diff': '0:00:43', 'exp_point_loss': 0.4075}, {'turn': 'Black', 'fen': '1k6/2p5/pp6/3n4/2pN4/2Pq4/PP5r/K2Q1R2 b - - 1 49', 'move_number': 50, 'move': 'b8b7', 'prev_move': 'b3d4', 'time_diff': '0:00:32', 'exp_point_loss': 0.26349999999999996}, {'turn': 'White', 'fen': '8/1kp5/pp6/3n4/2pN4/2Pq4/PP5r/K2Q1R2 w - - 2 50', 'move_number': 50, 'move': 'd4f3', 'prev_move': 'b8b7', 'time_diff': '0:00:34', 'exp_point_loss': 0.46950000000000003}, {'turn': 'Black', 'fen': '8/1kp5/pp6/3n4/2p5/2Pq1N2/PP5r/K2Q1R2 b - - 3 50', 'move_number': 51, 'move': 'h2e2', 'prev_move': 'd4f3', 'time_diff': '0:00:30', 'exp_point_loss': 0.3145}, {'turn': 'Black', 'fen': '8/1kp5/pp6/3n4/2pN4/2Pq4/PP2r3/K2Q1R2 b - - 5 51', 'move_number': 52, 'move': 'e2e3', 'prev_move': 'f3d4', 'time_diff': '0:00:30', 'exp_point_loss': 0.2899999999999999}, {'turn': 'White', 'fen': '8/1kp5/pp6/3n4/2pN4/2Pqr3/PP6/K2Q1R2 w - - 6 52', 'move_number': 52, 'move': 'd4c2', 'prev_move': 'e2e3', 'time_diff': '0:00:31', 'exp_point_loss': 0.31599999999999995}, {'turn': 'Black', 'fen': '8/1kp5/pp6/3n4/2p5/2Pqr3/PPN5/K2Q1R2 b - - 7 52', 'move_number': 53, 'move': 'e3h3', 'prev_move': 'd4c2', 'time_diff': '0:00:26', 'exp_point_loss': 0.30900000000000005}, {'turn': 'White', 'fen': '8/1kp5/pp6/3n4/2p5/2Pq3r/PPN5/K2Q1R2 w - - 8 53', 'move_number': 53, 'move': 'a2a3', 'prev_move': 'e3h3', 'time_diff': '0:00:29', 'exp_point_loss': 0.32300000000000006}, {'turn': 'Black', 'fen': '8/1kp5/pp6/3n4/2p5/P1Pq3r/1PN5/K2Q1R2 b - - 0 53', 'move_number': 54, 'move': 'a6a5', 'prev_move': 'a2a3', 'time_diff': '0:00:29', 'exp_point_loss': 0.3265}, {'turn': 'White', 'fen': '8/1kp5/1p6/p2n4/2p5/P1Pq3r/1PN5/K2Q1R2 w - - 0 54', 'move_number': 54, 'move': 'f1e1', 'prev_move': 'a6a5', 'time_diff': '0:00:29', 'exp_point_loss': 0.4125}, {'turn': 'Black', 'fen': '8/1kp5/1p6/p2n4/2pN4/P1Pq4/1P5r/K2QR3 b - - 3 55', 'move_number': 56, 'move': 'h2f2', 'prev_move': 'c2d4', 'time_diff': '0:00:25', 'exp_point_loss': 0.4734999999999999}, {'turn': 'Black', 'fen': '8/1kp5/1p6/p2n3Q/2pN4/P1Pq4/1P3r2/K3R3 b - - 5 56', 'move_number': 57, 'move': 'c7c6', 'prev_move': 'd1h5', 'time_diff': '0:00:41', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4Q3/1k6/1pp2r2/p2n4/2pN4/P1Pq4/1P6/K3R3 w - - 2 58', 'move_number': 58, 'move': 'e1e7', 'prev_move': 'f2f6', 'time_diff': '0:00:23', 'exp_point_loss': 0.5}]",[]
175.7,145.7,0.08,0.57,8.08,26.67,Fabiano Caruana,Magnus Carlsen,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",2.5,2756,2819,1.0,0.0,2025.02.07,25,24,7.0,6.1,0.0,0.02,0.98,-0.64,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'n2rqrkb/p2npppp/bpp5/3p4/3P1B2/2N3P1/PPPQPP1P/N2RR1KB b - - 3 7', 'move_number': 8, 'move': 'e7e5', 'prev_move': 'f1e1', 'time_diff': '0:01:20', 'exp_point_loss': 0.4945}]",[]
137.7,137.9,1.4,1.39,9.98,9.74,Hikaru Nakamura,Nodirbek Abdusattorov,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",2.2,2734,2732,0.5,0.5,2025.02.07,81,81,1.7,1.7,0.02,0.02,-1.07,-1.06,2,1,2,1,0,3,0,0,0,0,"[{'turn': 'Black', 'fen': '1n1rq1kb/pp3r1p/1np2p2/3p2p1/8/1NN1B1P1/PPP1PPKP/3RQR2 b - - 0 12', 'move_number': 13, 'move': 'b8d7', 'prev_move': 'g1g2', 'time_diff': '0:00:25', 'exp_point_loss': 0.2929999999999999}, {'turn': 'White', 'fen': '5bk1/8/5p2/rp3Np1/4r1P1/2P1nK2/4R3/3R4 w - - 0 35', 'move_number': 35, 'move': 'f5e3', 'prev_move': 'c4e3', 'time_diff': '0:00:22', 'exp_point_loss': 0.487}, {'turn': 'Black', 'fen': '5bk1/8/5p2/rp4p1/4r1P1/2P1NK2/4R3/3R4 b - - 0 35', 'move_number': 36, 'move': 'a5a4', 'prev_move': 'f5e3', 'time_diff': '0:00:46', 'exp_point_loss': 0.49649999999999994}, {'turn': 'White', 'fen': '5bk1/8/5p2/1p4p1/r3r1P1/2P1NK2/4R3/3R4 w - - 1 36', 'move_number': 36, 'move': 'd1d5', 'prev_move': 'a5a4', 'time_diff': '0:00:24', 'exp_point_loss': 0.49749999999999994}, {'turn': 'Black', 'fen': '6k1/8/5p2/1R4p1/4rrP1/b1P1N3/6K1/4R3 b - - 2 39', 'move_number': 40, 'move': 'a3c1', 'prev_move': 'e2e1', 'time_diff': '0:00:30', 'exp_point_loss': 0.49749999999999994}]",[]
143.6,145.7,1.04,1.04,4.64,4.57,Nodirbek Abdusattorov,Gukesh D,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",1.4,2732,2654,0.5,0.5,2025.02.07,96,96,1.5,1.5,0.01,0.01,-0.75,-0.64,4,3,1,9,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '4r3/3r4/5nk1/1N1p1Npp/6P1/1P3P1P/1KPR4/8 w - - 1 35', 'move_number': 35, 'move': 'b5d4', 'prev_move': 'c8e8', 'time_diff': '0:00:41', 'exp_point_loss': 0.36550000000000005}]",[]
120.1,127.7,1.93,1.93,17.72,17.43,Fabiano Caruana,Vincent Keymer,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",9.1,2756,2649,0.5,0.5,2025.02.08,60,60,2.0,2.1,0.03,0.03,-2.02,-1.61,0,2,3,3,0,3,0,0,0,0,"[{'turn': 'White', 'fen': '3r4/p1p1nk2/1p3Pp1/1P6/4P1p1/8/P1P1N2P/B4K2 w - - 1 28', 'move_number': 28, 'move': 'e2d4', 'prev_move': 'g8d8', 'time_diff': '0:01:05', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/p1p2k2/1p3P1n/1P2P1p1/6p1/1NB3K1/P1P4P/3r4 b - - 1 33', 'move_number': 34, 'move': 'd1g1', 'prev_move': 'a1c3', 'time_diff': '0:00:46', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/p1p5/1p3Pkn/1P2P1p1/P2N2p1/2B1K3/2P4P/7r w - - 9 42', 'move_number': 42, 'move': 'e3e4', 'prev_move': 'f7g6', 'time_diff': '0:00:21', 'exp_point_loss': 0.48}, {'turn': 'Black', 'fen': '8/p1p1Pk2/1p3P1n/1P4p1/P3K3/2B2Np1/2P4r/8 b - - 2 45', 'move_number': 46, 'move': 'g5g4', 'prev_move': 'd4f3', 'time_diff': '0:00:26', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '4k3/p4n2/5P2/pP6/3B2p1/3K4/2P3p1/8 w - - 0 54', 'move_number': 54, 'move': 'd4a7', 'prev_move': 'b6a5', 'time_diff': '0:00:22', 'exp_point_loss': 0.48150000000000004}, {'turn': 'Black', 'fen': '4k3/B4n2/5P2/pP6/6p1/3K4/2P3p1/8 b - - 0 54', 'move_number': 55, 'move': 'a5a4', 'prev_move': 'd4a7', 'time_diff': '0:00:22', 'exp_point_loss': 0.49}]",[]
121.5,119.4,2.23,2.22,13.34,13.29,Nodirbek Abdusattorov,Fabiano Caruana,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",3.1,2732,2756,0.5,0.5,2025.02.07,77,76,1.6,1.6,0.03,0.03,-1.95,-2.06,1,2,4,0,0,5,0,0,0,0,"[{'turn': 'Black', 'fen': 'R7/ppk2p2/2p4p/8/4Pb2/2PP1n1b/P6P/RK6 b Q - 0 27', 'move_number': 28, 'move': 'f3e1', 'prev_move': 'b2c3', 'time_diff': '0:00:47', 'exp_point_loss': 0.42800000000000005}, {'turn': 'White', 'fen': '8/p6R/1kp4p/1p2P1b1/3P1n2/2PK4/P7/8 w - - 3 39', 'move_number': 39, 'move': 'd3e4', 'prev_move': 'g6f4', 'time_diff': '0:00:22', 'exp_point_loss': 0.3085000000000001}, {'turn': 'Black', 'fen': '8/p6R/1kp4p/1p2P1b1/3PKn2/2P5/P7/8 b - - 4 39', 'move_number': 40, 'move': 'f4d5', 'prev_move': 'd3e4', 'time_diff': '0:00:21', 'exp_point_loss': 0.30700000000000005}, {'turn': 'White', 'fen': '8/7R/1kp4p/pp1nP1b1/3P4/2PK4/P7/8 w - - 0 41', 'move_number': 41, 'move': 'h7f7', 'prev_move': 'a7a5', 'time_diff': '0:01:16', 'exp_point_loss': 0.4365000000000001}, {'turn': 'Black', 'fen': '8/5R2/1kp4p/pp1nP1b1/3P4/2PK4/P7/8 b - - 1 41', 'move_number': 42, 'move': 'a5a4', 'prev_move': 'h7f7', 'time_diff': '0:00:42', 'exp_point_loss': 0.37750000000000006}, {'turn': 'White', 'fen': '8/5R2/1kp4p/1p1nP1b1/p2P4/2PK4/P7/8 w - - 0 42', 'move_number': 42, 'move': 'f7g7', 'prev_move': 'a5a4', 'time_diff': '0:00:26', 'exp_point_loss': 0.36049999999999993}, {'turn': 'Black', 'fen': '8/3kb2R/1np5/4P3/3P3p/p2K4/P7/8 b - - 15 54', 'move_number': 55, 'move': 'b6a8', 'prev_move': 'h6h7', 'time_diff': '0:00:22', 'exp_point_loss': 0.48849999999999993}, {'turn': 'White', 'fen': 'n7/3kb2R/2p5/4P3/3P3p/p2K4/P7/8 w - - 16 55', 'move_number': 55, 'move': 'd3c4', 'prev_move': 'b6a8', 'time_diff': '0:00:30', 'exp_point_loss': 0.4485}, {'turn': 'Black', 'fen': 'n7/3kb2R/2p5/4P3/2KP3p/p7/P7/8 b - - 17 55', 'move_number': 56, 'move': 'a8c7', 'prev_move': 'd3c4', 'time_diff': '0:00:22', 'exp_point_loss': 0.4485}]",[]
131.2,87.6,2.19,2.68,99.8,112.66,Vincent Keymer,Nodirbek Abdusattorov,Freestyle Chess Grand Slam Tour Round Robin,"Weissenhaus, Germany",4.3,2649,2732,1.0,0.0,2025.02.07,65,65,2.0,1.3,0.03,0.04,-1.42,-3.77,4,1,3,3,0,4,0,0,0,0,"[{'turn': 'Black', 'fen': 'qb1rr1k1/p4npp/1pbppp2/8/2P1PP2/BP1Q2NP/P5P1/1B1R1RK1 b - - 2 18', 'move_number': 19, 'move': 'e6e5', 'prev_move': 'd4d3', 'time_diff': '0:00:38', 'exp_point_loss': 0.439}, {'turn': 'White', 'fen': 'qb1rr1k1/p4npp/1pbp1p2/4p3/2P1PP2/BP1Q2NP/P5P1/1B1R1RK1 w - - 0 19', 'move_number': 19, 'move': 'f4f5', 'prev_move': 'e6e5', 'time_diff': '0:00:35', 'exp_point_loss': 0.478}, {'turn': 'Black', 'fen': '3r2rk/b3qnpp/p1bp1p2/4pP1N/2P1P1Q1/3B1R1P/P5PK/2BR4 b - - 4 27', 'move_number': 28, 'move': 'g7g6', 'prev_move': 'f1f3', 'time_diff': '0:00:52', 'exp_point_loss': 0.27649999999999997}, {'turn': 'Black', 'fen': '3r2rk/b4n1p/p1bp1qP1/4p3/2P1P1Q1/3B1R1P/P5PK/2BR4 b - - 0 29', 'move_number': 30, 'move': 'f6e7', 'prev_move': 'f5g6', 'time_diff': '0:01:41', 'exp_point_loss': 0.23149999999999998}, {'turn': 'White', 'fen': '3r2rk/b3qn1p/p1bp2P1/4p3/2P1P1Q1/3B1R1P/P5PK/2BR4 w - - 1 30', 'move_number': 30, 'move': 'd1f1', 'prev_move': 'f6e7', 'time_diff': '0:00:54', 'exp_point_loss': 0.4925}, {'turn': 'White', 'fen': '1r6/7p/p2pb1k1/2b1p1P1/2P1P3/2RB1KP1/P7/2B5 w - - 3 45', 'move_number': 45, 'move': 'f3g2', 'prev_move': 'b4b8', 'time_diff': '0:00:32', 'exp_point_loss': 0.38}, {'turn': 'Black', 'fen': '8/7p/p2p2k1/4p1P1/2P1P1b1/5rP1/P3B1RK/2b5 b - - 1 50', 'move_number': 51, 'move': 'g6g5', 'prev_move': 'd3e2', 'time_diff': '0:00:29', 'exp_point_loss': 0.9985}]",[]
