Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Javokhir Sindarov,153.63,0.79,39.9,9,6.5,161.3,0.6,2668.0,2897.0,369,4,5,17.4,17.92,0.7,75.28,-0.21,1.3,0.38,141.88,163.04,2.5,4.0,7.08,321.03,0.48,5667.29
Magnus Carlsen,153.44,0.72,17.47,9,5.5,157.0,0.57,2819.0,2793.0,329,5,4,19.33,11.46,0.43,7.0,-0.22,0.91,0.48,153.38,153.52,4.0,1.5,6.48,131.31,0.18,49.04
Alireza Firouzja,145.88,1.12,44.96,9,6.5,161.7,0.56,2754.0,2888.0,371,5,4,22.21,32.48,1.37,72.72,-0.63,0.7,1.64,155.76,133.52,4.0,2.5,10.08,1055.03,1.88,5287.74
Fabiano Caruana,141.79,1.32,33.66,9,6.0,145.8,1.15,2756.0,2842.0,483,4,5,17.72,20.53,0.82,44.55,-0.85,0.89,1.66,151.5,134.02,3.0,3.0,11.85,421.38,0.68,1984.78
Vincent Keymer,137.73,1.37,83.75,9,4.0,135.4,1.46,2649.0,2695.0,435,5,4,35.23,11.11,0.57,84.33,-1.07,1.4,1.34,139.4,135.65,3.0,1.0,12.34,123.37,0.33,7110.78
Gukesh D,136.84,1.34,62.1,9,3.5,144.2,1.04,2654.0,2654.0,482,4,5,22.03,15.25,0.73,126.35,-1.12,1.33,1.35,134.57,138.66,1.0,2.5,12.09,232.5,0.54,15963.23
Levon Aronian,134.32,1.15,59.92,9,1.5,140.8,1.09,2745.0,2443.0,391,4,5,29.19,19.81,0.73,101.35,-1.25,0.91,1.35,142.4,127.86,1.0,0.5,10.38,392.36,0.54,10271.43
Hikaru Nakamura,133.84,1.66,28.77,9,5.5,128.0,1.88,2734.0,2803.0,494,4,5,22.27,22.09,0.71,19.73,-1.28,1.2,2.03,147.18,123.18,3.0,2.5,14.93,487.98,0.51,389.2
Vladimir Fedoseev,133.38,1.28,62.09,9,2.5,133.1,1.11,2739.0,2557.0,350,5,4,32.37,27.79,1.05,102.47,-1.3,1.52,0.98,128.96,138.9,1.5,1.0,11.54,772.27,1.09,10500.04
Nodirbek Abdusattorov,128.42,1.67,28.37,9,3.5,131.3,1.39,2732.0,2646.0,511,5,4,16.19,29.94,1.27,33.57,-1.57,1.87,1.42,127.06,130.12,2.5,1.0,15.01,896.31,1.6,1126.9
