,Mean,Median,Std Dev,Min,Max
Total Moves,4215.0,4215.0,0.0,4215.0,4215.0
Total Games,45.0,45.0,0.0,45.0,45.0
avg_gi,139.93,137.28,8.61,128.42,153.63
avg_missed_points,1.24,1.3,0.31,0.72,1.67
avg_missed_points_white,1.2,1.25,0.35,0.7,1.87
avg_missed_points_black,1.26,1.35,0.52,0.38,2.03
avg_gi_white,142.21,142.14,9.95,127.06,155.76
avg_gi_black,137.85,134.84,11.99,123.18,163.04
avg_acpl,46.1,42.43,20.41,17.47,83.75
Elo,2725.0,2736.5,53.16,2649.0,2819.0
TPR,2721.8,2744.0,149.21,2443.0,2897.0
gi_median,143.86,142.5,12.49,128.0,161.7
missed_points_median,1.08,1.1,0.43,0.56,1.88
