white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
143.0,165.6,0.66,0.16,266.64,10.13,Gukesh D,Praggnanandhaa R,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",18.2,2615,2734,0.0,1.0,????.??.??,39,39,3.7,4.2,0.02,0.0,-0.79,0.43,1,0,1,1,0,0,0,0,0,0,"[{'turn': 'White', 'fen': '2r3k1/p1q1pp1p/1n1p2p1/2r5/2PR3P/2Q1N1P1/P3PP2/1R4K1 w - - 1 22', 'move_number': 22, 'move': 'e3g4', 'prev_move': 'f8c8', 'time_diff': '0:01:09', 'exp_point_loss': 0.477}]",[]
163.9,163.2,0.06,0.06,1.71,1.5,Anish Giri,Nodirbek Abdusattorov,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",17.3,2690,2723,0.5,0.5,????.??.??,73,72,2.2,2.3,0.0,0.0,0.34,0.31,0,0,0,0,0,0,0,0,0,0,[],[]
136.0,157.3,1.52,1.01,41.52,19.86,Fabiano Caruana,Magnus Carlsen,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",12.3,2782,2883,0.0,1.0,????.??.??,42,42,3.2,3.7,0.04,0.02,-1.16,-0.01,3,1,2,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2qk3/1b1n1p2/2np2p1/p5P1/Np2PQ2/P7/1PP1N3/R3K2B b Qq - 0 20', 'move_number': 21, 'move': 'd7e5', 'prev_move': 'd2f4', 'time_diff': '0:00:32', 'exp_point_loss': 0.4584999999999999}, {'turn': 'White', 'fen': 'r2qk3/1b3p2/2np2p1/p3n1P1/Np2PQ2/P7/1PP1N3/R3K2B w Qq - 1 21', 'move_number': 21, 'move': 'e1c1', 'prev_move': 'd7e5', 'time_diff': '0:00:30', 'exp_point_loss': 0.46399999999999986}, {'turn': 'Black', 'fen': 'r2qk3/5p2/b2p2p1/p3n1P1/Np1RPQ2/P7/1PP5/2K4B b q - 0 23', 'move_number': 24, 'move': 'd8c7', 'prev_move': 'd1d4', 'time_diff': '0:00:56', 'exp_point_loss': 0.38}, {'turn': 'White', 'fen': 'r3k3/2q2p2/b2p2p1/p3n1P1/Np1RPQ2/P7/1PP5/2K4B w q - 1 24', 'move_number': 24, 'move': 'f4f6', 'prev_move': 'd8c7', 'time_diff': '0:00:40', 'exp_point_loss': 0.3330000000000001}]",[]
147.5,167.1,0.5,-0.0,25.12,3.44,Gukesh D,Jan-Krzysztof Duda,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",12.1,2615,2770,0.0,1.0,????.??.??,25,25,5.9,6.7,0.02,-0.0,-0.54,0.51,1,0,1,0,0,0,0,0,0,0,"[{'turn': 'White', 'fen': 'r2q1rk1/3nbppp/bpp1pn2/3p4/p1PP4/1PN1PNP1/PB2QPBP/R4RK1 w - - 0 12', 'move_number': 12, 'move': 'c3a4', 'prev_move': 'a5a4', 'time_diff': '0:00:39', 'exp_point_loss': 0.3025}]",[]
121.5,147.8,1.85,1.34,193.98,12.18,Ivan Saric,Fabiano Caruana,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",13.5,2593,2782,0.0,1.0,????.??.??,55,55,2.2,2.7,0.03,0.02,-1.95,-0.53,2,1,4,2,0,3,1,0,0,0,"[{'turn': 'White', 'fen': 'r2qk2r/1b2bp1p/p3p1p1/1p1p2Pn/4PP2/PNNP4/1P1BQ2P/2KR3R w kq - 1 17', 'move_number': 17, 'move': 'f4f5', 'prev_move': 'f6h5', 'time_diff': '0:00:45', 'exp_point_loss': 0.35849999999999993}, {'turn': 'Black', 'fen': 'r2qk2r/1b2bp1p/p3P1p1/1p4Pn/3pP3/PNNP4/1P1BQ2P/2KR3R b kq - 0 18', 'move_number': 19, 'move': 'd4c3', 'prev_move': 'f5e6', 'time_diff': '0:00:35', 'exp_point_loss': 0.375}, {'turn': 'White', 'fen': 'r2qkb2/1b5p/p5p1/1p4Pn/4P3/PNBP4/1P2Q2P/2KR4 w - - 0 23', 'move_number': 23, 'move': 'h2h4', 'prev_move': 'e7f8', 'time_diff': '0:00:42', 'exp_point_loss': 0.30799999999999994}, {'turn': 'Black', 'fen': 'r2qkb2/1b5p/p5p1/1p4Pn/4P2P/PNBP4/1P2Q3/2KR4 b - - 0 23', 'move_number': 24, 'move': 'a6a5', 'prev_move': 'h2h4', 'time_diff': '0:00:48', 'exp_point_loss': 0.38149999999999995}, {'turn': 'White', 'fen': 'r2qkb2/1b5p/6p1/pp4Pn/4P2P/PNBP4/1P2Q3/2KR4 w - - 0 24', 'move_number': 24, 'move': 'd3d4', 'prev_move': 'a6a5', 'time_diff': '0:01:23', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': 'r2qkb2/1b5p/6p1/pp4Pn/3PP2P/PNB5/1P2Q3/2KR4 b - - 0 24', 'move_number': 25, 'move': 'd8b6', 'prev_move': 'd3d4', 'time_diff': '0:00:50', 'exp_point_loss': 0.353}, {'turn': 'White', 'fen': 'r3kb2/1b5p/1q4p1/pp4Pn/3PP2P/PNB5/1P2Q3/2KR4 w - - 1 25', 'move_number': 25, 'move': 'b3c5', 'prev_move': 'd8b6', 'time_diff': '0:00:47', 'exp_point_loss': 0.353}]","[{'turn': 'White', 'fen': 'r2k4/1b5p/6p1/p1q3Pn/1p2P2P/P1B2Q2/1P6/2K2R2 w - - 2 29', 'move_number': 29, 'move': 'f3f7', 'prev_move': 'e8d8', 'time_diff': '0:39:52', 'exp_point_loss': 0}]"
130.9,162.9,0.94,0.44,42.76,12.15,Gukesh D,Ivan Saric,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",14.3,2615,2593,0.0,1.0,????.??.??,34,33,3.8,4.9,0.03,0.01,-1.44,0.29,1,1,1,1,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r2qr1k1/1p1n1pB1/2pbp2p/p4b2/2P1n3/PP3NP1/R2N1PBP/Q4RK1 b - - 0 15', 'move_number': 16, 'move': 'd6f8', 'prev_move': 'b2g7', 'time_diff': '0:01:02', 'exp_point_loss': 0.25549999999999995}, {'turn': 'White', 'fen': '3rrnk1/1p3p2/2p4p/p3p3/2P1R2N/Pq1n2P1/3RNP1P/Q5K1 w - - 1 26', 'move_number': 26, 'move': 'a1f1', 'prev_move': 'a8d8', 'time_diff': '0:01:00', 'exp_point_loss': 0.3625000000000001}]",[]
166.8,147.5,0.03,0.52,13.21,47.46,Wesley So,Gukesh D,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",19.5,2786,2615,1.0,0.0,????.??.??,29,28,5.8,5.3,0.0,0.02,0.5,-0.54,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '3rr1k1/bppq1pp1/p1n2n1p/3bpN2/8/2PP2NP/PPB2PP1/R1BQR1K1 b - - 5 16', 'move_number': 17, 'move': 'd7e6', 'prev_move': 'h4f5', 'time_diff': '0:01:25', 'exp_point_loss': 0.4895}]",[]
161.4,137.3,0.56,1.05,8.74,26.09,Wesley So,Ivan Saric,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",24.1,2786,2593,1.0,0.0,????.??.??,23,22,7.0,6.2,0.02,0.05,0.21,-1.09,1,0,1,1,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': 'r1bqr1k1/pp3pb1/2pp2pp/2n4n/2P1P3/2N1BP2/PPN3PP/1R1QRBK1 b - - 2 14', 'move_number': 15, 'move': 'f7f5', 'prev_move': 'c1e3', 'time_diff': '0:00:43', 'exp_point_loss': 0.29800000000000004}, {'turn': 'White', 'fen': 'r2qr1k1/pp4b1/2pp2pp/2n2b1n/2P5/2N1BP2/PPN3PP/1R1QRBK1 w - - 0 16', 'move_number': 16, 'move': 'd1d2', 'prev_move': 'c8f5', 'time_diff': '0:00:42', 'exp_point_loss': 0.4275}, {'turn': 'Black', 'fen': 'r3r1k1/pp4b1/2pp2Qp/2n3pn/2P4q/2N2P2/PP1B2PP/3RRB1K b - - 5 21', 'move_number': 22, 'move': 'e8e1', 'prev_move': 'c2g6', 'time_diff': '0:02:16', 'exp_point_loss': 0.433}]",[]
169.2,155.8,0.09,0.09,5.95,5.7,Fabiano Caruana,Anish Giri,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",14.1,2782,2690,1.0,0.0,????.??.??,44,44,3.8,3.5,0.0,0.0,0.63,-0.09,0,0,0,0,0,0,0,0,0,0,[],[]
135.5,143.4,1.5,1.49,8.6,8.49,Magnus Carlsen,Praggnanandhaa R,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",26.4,2883,2734,0.5,0.5,????.??.??,83,82,1.6,1.7,0.02,0.02,-1.19,-0.76,2,1,3,2,0,3,0,0,0,0,"[{'turn': 'White', 'fen': '2rq1rk1/p4pp1/4b2p/1Nb5/4p3/P1P1B3/3Q1PPP/R4RK1 w - - 0 19', 'move_number': 19, 'move': 'b5d4', 'prev_move': 'd5e4', 'time_diff': '0:00:33', 'exp_point_loss': 0.3205}, {'turn': 'Black', 'fen': '2r2rk1/p4pp1/6qp/2b5/2bNp3/P1P1B2P/5PP1/R2QR1K1 b - - 0 22', 'move_number': 23, 'move': 'c4d3', 'prev_move': 'h2h3', 'time_diff': '0:01:00', 'exp_point_loss': 0.37749999999999995}, {'turn': 'White', 'fen': '5r1k/p4pp1/7p/3N4/4p1P1/P1rbb3/5PP1/R3R1K1 w - - 0 28', 'move_number': 28, 'move': 'e1e3', 'prev_move': 'b6e3', 'time_diff': '0:00:34', 'exp_point_loss': 0.361}, {'turn': 'Black', 'fen': '5r1k/p4pp1/7p/8/4pNP1/Pr1bR3/5PP1/R5K1 b - - 2 29', 'move_number': 30, 'move': 'f8d8', 'prev_move': 'd5f4', 'time_diff': '0:00:44', 'exp_point_loss': 0.30199999999999994}, {'turn': 'White', 'fen': '3r3k/p4pp1/7p/8/4pNP1/Pr1bR3/5PP1/R5K1 w - - 3 30', 'move_number': 30, 'move': 'a3a4', 'prev_move': 'f8d8', 'time_diff': '0:00:36', 'exp_point_loss': 0.3679999999999999}, {'turn': 'Black', 'fen': '7k/6p1/4p2p/4R3/p4PP1/r3p1K1/6P1/8 b - - 0 42', 'move_number': 43, 'move': 'a3b3', 'prev_move': 'f3f4', 'time_diff': '0:00:40', 'exp_point_loss': 0.498}]",[]
