Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Magnus Carlsen,155.6,0.68,27.27,18,12.5,160.4,0.58,2883,2866,987,9,9,10.66,12.47,0.56,51.63,-0.1,0.79,0.57,153.2,158.1,6.5,6.0,12.23,155.38,0.32,2665.69
Nodirbek Abdusattorov,152.2,0.83,42.37,18,12.0,160.0,0.42,2723,2861,887,9,9,20.52,18.79,0.79,70.54,-0.29,0.62,1.04,161.6,142.7,8.5,3.5,14.92,353.11,0.63,4975.89
Anish Giri,150.6,0.8,59.61,18,9.0,153.0,0.54,2690,2744,957,9,9,12.5,17.18,0.83,94.15,-0.38,0.73,0.86,153.7,147.5,5.5,3.5,14.31,295.06,0.69,8864.36
Alireza Firouzja,145.3,1.09,37.48,18,11.0,151.2,0.96,2814,2809,844,9,9,15.76,21.89,0.94,85.09,-0.66,0.97,1.21,149.3,141.3,6.0,5.0,19.62,479.03,0.88,7239.67
Gukesh D,145.3,0.85,77.59,18,5.5,146.4,0.66,2615,2610,815,9,9,25.12,18.59,0.72,103.18,-0.66,0.97,0.73,139.7,150.9,1.5,4.0,15.24,345.43,0.52,10645.52
Wesley So,144.5,1.25,46.79,18,12.0,148.5,1.16,2786,2854,906,9,9,16.58,21.35,0.98,82.35,-0.7,1.04,1.46,149.0,140.0,6.5,5.5,22.48,455.79,0.96,6781.71
Fabiano Caruana,141.1,1.17,43.03,18,8.0,147.0,1.06,2782,2695,884,9,9,23.05,26.11,1.02,69.87,-0.89,1.3,1.05,140.7,141.6,5.0,3.0,21.15,681.63,1.04,4881.15
Ivan Saric,140.7,1.13,42.21,18,6.0,140.0,0.83,2593,2635,765,9,9,23.94,17.34,0.71,57.47,-0.91,1.14,1.12,141.0,140.5,3.0,3.0,20.37,300.74,0.51,3302.9
Praggnanandhaa R,139.0,1.19,62.8,18,6.0,140.4,1.04,2734,2619,984,9,9,16.4,18.47,0.83,99.95,-1.0,1.31,1.06,134.3,143.6,2.0,4.0,21.35,341.13,0.69,9989.03
Jan-Krzysztof Duda,136.0,1.35,78.84,18,8.0,135.8,1.1,2770,2697,941,9,9,21.4,23.22,0.93,130.67,-1.16,1.32,1.38,136.9,135.2,4.0,4.0,24.36,539.3,0.87,17073.38
