white_gi,black_gi,white_missed_points,black_missed_points,white_acpl,black_acpl,White,Black,Event,Site,Round,WhiteElo,BlackElo,WhiteResult,BlackResult,Date,white_move_number,black_move_number,white_gi_permove,black_gi_permove,white_missed_points_permove,black_missed_points_permove,white_gi_raw,black_gi_raw,counts.white_inaccuracy,counts.white_mistake,counts.white_blunder,counts.black_inaccuracy,counts.black_mistake,counts.black_blunder,counts.white_deepthink,counts.black_deepthink,counts.white_critical_position,counts.black_critical_position,counts.blunder_positions,counts.critical_positions
164.4,164.8,0.08,0.07,3.05,2.8,Alireza Firouzja,Fabiano Caruana,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",3.1,2767,2756,0.5,0.5,????.??.??,62,61,2.7,2.7,0.0,0.0,0.37,0.39,0,0,0,0,0,0,0,0,0,0,[],[]
149.7,146.8,0.95,0.94,6.2,5.97,Praggnanandhaa R,Magnus Carlsen,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",5.2,2688,2819,0.5,0.5,????.??.??,74,74,2.0,2.0,0.01,0.01,-0.42,-0.58,0,1,1,1,1,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2k3r1/1ppbq3/n2p4/p1nPp3/2P1Pp2/PPN2Pr1/1K2BNPR/2Q3R1 b - - 3 26', 'move_number': 27, 'move': 'b7b6', 'prev_move': 'h4h2', 'time_diff': '0:00:21', 'exp_point_loss': 0.39949999999999997}, {'turn': 'White', 'fen': '8/1kpb2q1/np1p2r1/p1nPp3/2P1Pp2/PPN2P2/1K1Q1NPR/5B2 w - - 3 32', 'move_number': 32, 'move': 'f2d3', 'prev_move': 'g3g6', 'time_diff': '0:01:47', 'exp_point_loss': 0.416}]",[]
106.7,101.9,2.84,2.84,12.49,12.51,Jan-Krzysztof Duda,Nodirbek Abdusattorov,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",7.3,2699,2740,0.5,0.5,????.??.??,156,155,0.7,0.7,0.02,0.02,-2.74,-3.0,3,3,5,3,0,7,0,0,0,0,"[{'turn': 'White', 'fen': 'rnb2rk1/1p2ppbp/6p1/q1P1N2n/p1p2B2/6P1/PP2PPBP/RNQ2RK1 w - - 2 12', 'move_number': 12, 'move': 'e5c4', 'prev_move': 'f6h5', 'time_diff': '0:10:08', 'exp_point_loss': 0.39500000000000013}, {'turn': 'Black', 'fen': 'r1r3k1/1Q2ppbp/2n1b1p1/2q5/p1N5/6P1/PP1NPPBP/2R2RK1 b - - 0 17', 'move_number': 18, 'move': 'a8b8', 'prev_move': 'c7b7', 'time_diff': '0:05:19', 'exp_point_loss': 0.45599999999999996}, {'turn': 'White', 'fen': '1rr3k1/4ppbp/Q3b1p1/7q/p1Nn4/6P1/PP1NPPBP/2R1R1K1 w - - 5 20', 'move_number': 20, 'move': 'd2f3', 'prev_move': 'c5h5', 'time_diff': '0:01:19', 'exp_point_loss': 0.49049999999999994}, {'turn': 'Black', 'fen': '1rr3k1/4ppbp/Q3b1p1/7q/p1Nn4/5NP1/PP2PPBP/2R1R1K1 b - - 6 20', 'move_number': 21, 'move': 'd4f3', 'prev_move': 'd2f3', 'time_diff': '0:02:28', 'exp_point_loss': 0.49549999999999994}, {'turn': 'White', 'fen': '5bk1/5p1p/6p1/4p3/Q4N2/P5P1/r1r1PPKP/8 w - - 0 30', 'move_number': 30, 'move': 'f4h3', 'prev_move': 'e7e5', 'time_diff': '0:00:32', 'exp_point_loss': 0.48450000000000004}, {'turn': 'Black', 'fen': '8/5pk1/P5pp/1Qb1p3/4r3/6PN/2r2P1P/5K2 b - - 0 38', 'move_number': 39, 'move': 'e4b4', 'prev_move': 'a5a6', 'time_diff': '0:00:58', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/5pk1/P5pp/1Qb1p3/1r6/6PN/2r2P1P/5K2 w - - 1 39', 'move_number': 39, 'move': 'b5e8', 'prev_move': 'e4b4', 'time_diff': '0:00:33', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/r4pk1/6p1/4p1Pp/2Qb4/8/4NPKP/r7 b - - 3 48', 'move_number': 49, 'move': 'a7d7', 'prev_move': 'f4e2', 'time_diff': '0:00:31', 'exp_point_loss': 0.242}, {'turn': 'Black', 'fen': '3r4/r4pk1/2QN2p1/6Pp/3b4/8/5PKP/8 b - - 2 52', 'move_number': 53, 'move': 'a7a2', 'prev_move': 'e4d6', 'time_diff': '0:00:25', 'exp_point_loss': 0.2865000000000001}, {'turn': 'White', 'fen': '3r4/5pk1/2QN2p1/6Pp/3b4/8/r4PKP/8 w - - 3 53', 'move_number': 53, 'move': 'd6e4', 'prev_move': 'a7a2', 'time_diff': '0:00:29', 'exp_point_loss': 0.3235}, {'turn': 'Black', 'fen': '8/5pk1/6p1/3r1rPp/3bN3/8/2Q2PKP/8 b - - 16 59', 'move_number': 60, 'move': 'f5g5', 'prev_move': 'c4c2', 'time_diff': '0:00:54', 'exp_point_loss': 0.487}, {'turn': 'Black', 'fen': '8/8/8/2r2pQ1/1k5p/2b4P/4K3/8 b - - 0 135', 'move_number': 136, 'move': 'c5c4', 'prev_move': 'g1g5', 'time_diff': '0:00:25', 'exp_point_loss': 0.27149999999999996}]",[]
164.1,161.7,0.03,0.02,2.42,1.84,Ivan Saric,Wesley So,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",4.2,2589,2709,0.5,0.5,????.??.??,31,31,5.3,5.2,0.0,0.0,0.35,0.22,0,0,0,0,0,0,0,0,0,0,[],[]
126.3,130.6,2.04,2.04,18.47,18.58,Magnus Carlsen,Alireza Firouzja,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",4.4,2819,2767,0.5,0.5,????.??.??,75,74,1.7,1.8,0.03,0.03,-1.69,-1.45,1,0,4,1,0,4,0,0,0,0,"[{'turn': 'White', 'fen': '2r1r1k1/6pp/5pN1/p2R4/3Q4/5qP1/P2R3P/6K1 w - - 0 32', 'move_number': 32, 'move': 'g6e7', 'prev_move': 'a3f3', 'time_diff': '0:00:21', 'exp_point_loss': 0.3649999999999999}, {'turn': 'Black', 'fen': '2rR2k1/4r1pp/5p2/p7/3Q4/5qP1/P2R3P/6K1 b - - 1 33', 'move_number': 34, 'move': 'c8d8', 'prev_move': 'd5d8', 'time_diff': '0:00:31', 'exp_point_loss': 0.471}, {'turn': 'White', 'fen': '8/8/R4p2/p1r1k2p/P5pP/4K1P1/8/8 w - - 8 46', 'move_number': 46, 'move': 'a6a8', 'prev_move': 'f5e5', 'time_diff': '0:00:22', 'exp_point_loss': 0.48550000000000004}, {'turn': 'Black', 'fen': '4R3/8/5p2/p6p/P3k1pP/2r3P1/5K2/8 b - - 17 50', 'move_number': 51, 'move': 'e4d4', 'prev_move': 'a8e8', 'time_diff': '0:00:20', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '1R6/8/5p2/p2r3p/P1k3pP/6P1/6K1/8 w - - 26 55', 'move_number': 55, 'move': 'g2f2', 'prev_move': 'f5d5', 'time_diff': '0:00:28', 'exp_point_loss': 0.497}, {'turn': 'Black', 'fen': '1R6/8/5p2/p6p/P1k1K1pP/6P1/5r2/8 b - - 33 58', 'move_number': 59, 'move': 'f2f3', 'prev_move': 'f4e4', 'time_diff': '0:00:40', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/8/5p2/p6R/P1k1K1pP/5r2/8/8 w - - 1 61', 'move_number': 61, 'move': 'h5h8', 'prev_move': 'g3f3', 'time_diff': '0:00:50', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '7R/8/5p2/p7/P1k1K1pP/5r2/8/8 b - - 2 61', 'move_number': 62, 'move': 'f6f5', 'prev_move': 'h5h8', 'time_diff': '0:00:29', 'exp_point_loss': 0.5}]",[]
143.0,147.1,1.1,1.1,8.68,8.71,Magnus Carlsen,Anish Giri,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",9.3,2819,2687,0.5,0.5,????.??.??,133,133,1.1,1.1,0.01,0.01,-0.79,-0.57,0,0,2,0,0,2,0,0,0,0,"[{'turn': 'Black', 'fen': '8/7k/5KR1/7P/5P2/8/8/r7 b - - 10 121', 'move_number': 122, 'move': 'a1a6', 'prev_move': 'f5f6', 'time_diff': '0:01:02', 'exp_point_loss': 0.4975}, {'turn': 'White', 'fen': '8/7k/6R1/6KP/5P2/8/8/r7 w - - 13 123', 'move_number': 123, 'move': 'f4f5', 'prev_move': 'a6a1', 'time_diff': '0:00:24', 'exp_point_loss': 0.5}, {'turn': 'Black', 'fen': '8/8/5K1k/5P1P/8/8/4R3/r7 b - - 6 126', 'move_number': 127, 'move': 'a1a6', 'prev_move': 'g2e2', 'time_diff': '0:00:56', 'exp_point_loss': 0.5}, {'turn': 'White', 'fen': '8/8/r4K1k/5P1P/8/8/4R3/8 w - - 7 127', 'move_number': 127, 'move': 'e2e6', 'prev_move': 'a1a6', 'time_diff': '0:00:31', 'exp_point_loss': 0.5}]",[]
124.0,160.8,1.29,0.79,43.44,20.7,Nodirbek Abdusattorov,Gukesh D,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",4.1,2740,2654,0.0,1.0,????.??.??,27,27,4.6,6.0,0.05,0.03,-1.81,0.17,2,0,2,2,0,1,0,0,0,0,"[{'turn': 'White', 'fen': 'q4rk1/3r1p2/b6p/p2p2p1/3Qn3/P3PNB1/1P3PPP/2R1K2R w K - 4 20', 'move_number': 20, 'move': 'd4d1', 'prev_move': 'd8a8', 'time_diff': '0:07:34', 'exp_point_loss': 0.42300000000000004}, {'turn': 'Black', 'fen': 'q4rk1/3r1p2/b6p/p2p2p1/4n3/P3PNB1/1P3PPP/2RQK2R b K - 5 20', 'move_number': 21, 'move': 'f8c8', 'prev_move': 'd4d1', 'time_diff': '0:01:06', 'exp_point_loss': 0.478}, {'turn': 'White', 'fen': 'q1r3k1/3r1p2/b6p/2np2p1/p2N4/P3P1B1/1PR2PPP/3QK2R w K - 0 23', 'move_number': 23, 'move': 'e1d2', 'prev_move': 'a5a4', 'time_diff': '0:01:44', 'exp_point_loss': 0.49750000000000005}]",[]
163.7,160.3,0.19,0.18,2.76,2.39,Ivan Saric,Magnus Carlsen,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",1.3,2589,2819,0.5,0.5,????.??.??,42,41,3.9,3.9,0.0,0.0,0.33,0.15,1,0,0,1,0,0,2,0,0,0,[],"[{'turn': 'White', 'fen': '1r1q1rk1/5pbp/2np2p1/pp1bp2P/4P3/P1P3PB/1PN2P2/R2QK2R w KQ - 0 18', 'move_number': 18, 'move': 'd1d5', 'prev_move': 'e6d5', 'time_diff': '0:37:21', 'exp_point_loss': 0}, {'turn': 'White', 'fen': '8/1r4b1/4k1p1/pp1Npp2/8/P1P2PP1/1P2K3/7R w - - 1 32', 'move_number': 32, 'move': 'd5e3', 'prev_move': 'f7e6', 'time_diff': '0:38:46', 'exp_point_loss': 0}]"
126.6,163.6,1.2,0.69,26.51,14.37,Magnus Carlsen,Gukesh D,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",6.3,2819,2654,0.0,1.0,????.??.??,49,49,2.6,3.3,0.02,0.01,-1.67,0.32,0,1,2,2,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': 'r3k2r/2pq1p2/3p3p/ppnPp1p1/4Pn2/2P2PB1/PPBQ2PP/R3K2R b KQkq - 0 18', 'move_number': 19, 'move': 'f4h5', 'prev_move': 'c4d5', 'time_diff': '0:01:51', 'exp_point_loss': 0.379}, {'turn': 'White', 'fen': 'r7/5pk1/1nPnq2p/4p1p1/1P6/P2Q1PP1/5K1P/2R3R1 w - - 4 35', 'move_number': 35, 'move': 'c1c5', 'prev_move': 'e7e6', 'time_diff': '0:03:15', 'exp_point_loss': 0.3205}, {'turn': 'White', 'fen': 'r5k1/5p2/1nPnq2p/2R3p1/1P1Qp3/P4PP1/5K1P/6R1 w - - 2 37', 'move_number': 37, 'move': 'g1d1', 'prev_move': 'g7g8', 'time_diff': '0:01:09', 'exp_point_loss': 0.4484999999999999}]",[]
172.2,143.8,0.1,0.59,4.5,16.18,Wesley So,Fabiano Caruana,SuperUnited Rapid & Blitz Croatia,"Zagreb, Croatia",1.2,2709,2756,1.0,0.0,????.??.??,50,49,3.4,2.9,0.0,0.01,0.79,-0.74,0,0,0,0,0,1,0,0,0,0,"[{'turn': 'Black', 'fen': '2r5/1p2nr2/1Bp2bk1/p2pp2p/P3P3/N1P3P1/1P3RKP/5R2 b - - 5 32', 'move_number': 33, 'move': 'c6c5', 'prev_move': 'd2f2', 'time_diff': '0:02:18', 'exp_point_loss': 0.449}]",[]
