Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Fabiano Caruana,155.6,0.43,-5.55,9,4.5,162.5,0.27,2756,2706,504,4,5,4.67,13.22,0.44,118.82,-0.11,0.59,0.3,152.5,158.1,2.0,2.5,3.85,174.75,0.19,14117.4
Wesley So,151.6,0.61,30.29,9,4.0,152.4,0.61,2709,2672,442,5,4,11.85,15.31,0.49,58.88,-0.32,0.55,0.68,158.2,143.5,3.5,0.5,5.45,234.41,0.24,3467.14
Gukesh D,151.0,0.93,2.78,9,7.0,160.7,0.79,2654,2935,477,4,5,9.7,21.26,0.62,26.84,-0.35,0.71,1.1,158.5,145.0,3.5,3.5,8.35,452.14,0.39,720.13
Anish Giri,150.1,0.7,45.48,9,4.0,147.5,0.7,2687,2675,486,5,4,11.75,15.01,0.49,86.84,-0.4,0.59,0.84,151.7,148.1,2.0,2.0,6.33,225.24,0.24,7541.23
Magnus Carlsen,149.7,0.8,10.99,9,5.0,146.8,0.94,2819,2738,604,4,5,8.68,16.48,0.66,7.56,-0.43,1.06,0.59,142.2,155.7,2.0,3.0,7.19,271.48,0.44,57.09
Jan-Krzysztof Duda,148.4,0.94,-0.84,9,5.5,147.9,1.01,2699,2791,688,5,4,9.29,18.77,0.85,31.64,-0.49,1.32,0.46,140.8,158.0,3.0,2.5,8.44,352.13,0.72,1001.2
Praggnanandhaa R,146.8,0.88,26.63,9,4.5,149.7,0.95,2688,2713,499,4,5,8.76,17.52,0.78,51.06,-0.58,1.2,0.63,137.7,154.0,2.0,2.5,7.94,307.11,0.6,2606.7
Ivan Saric,144.5,0.91,27.39,9,3.5,149.1,0.84,2589,2646,435,5,4,9.27,18.69,0.69,46.72,-0.7,0.77,1.08,149.8,138.0,2.5,1.0,8.18,349.39,0.48,2182.41
Alireza Firouzja,143.4,1.04,81.44,9,4.0,145.1,1.01,2767,2666,481,5,4,18.4,14.7,0.69,113.57,-0.76,0.8,1.34,149.4,135.9,2.5,1.5,9.35,216.08,0.47,12898.21
Nodirbek Abdusattorov,139.9,1.05,16.49,9,3.0,141.4,0.83,2740,2587,566,4,5,12.51,21.36,0.92,14.59,-0.95,0.62,1.4,147.6,133.7,1.0,2.0,9.45,456.22,0.84,212.75
